Data Table for Daily Case Trends - Alabama
Date generated: Mon Nov 15 2021 12:14:51 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Alabama,Nov 12 2021,600
Alabama,Nov 11 2021,722
Alabama,Nov 10 2021,686
Alabama,Nov  9 2021,178
Alabama,Nov  8 2021,995
Alabama,Nov  7 2021,180
Alabama,Nov  6 2021,267
Alabama,Nov  5 2021,612
Alabama,Nov  4 2021,780
Alabama,Nov  3 2021,1215
Alabama,Nov  2 2021,632
Alabama,Nov  1 2021,944
Alabama,Oct 31 2021,233
Alabama,Oct 30 2021,360
Alabama,Oct 29 2021,571
Alabama,Oct 28 2021,630
Alabama,Oct 27 2021,2162
Alabama,Oct 26 2021,7500
Alabama,Oct 25 2021,1025
Alabama,Oct 24 2021,301
Alabama,Oct 23 2021,405
Alabama,Oct 22 2021,1005
Alabama,Oct 21 2021,1633
Alabama,Oct 20 2021,1077
Alabama,Oct 19 2021,735
Alabama,Oct 18 2021,1050
Alabama,Oct 17 2021,343
Alabama,Oct 16 2021,526
Alabama,Oct 15 2021,917
Alabama,Oct 14 2021,1152
Alabama,Oct 13 2021,1170
Alabama,Oct 12 2021,1121
Alabama,Oct 11 2021,904
Alabama,Oct 10 2021,464
Alabama,Oct  9 2021,650
Alabama,Oct  8 2021,1016
Alabama,Oct  7 2021,1107
Alabama,Oct  6 2021,1317
Alabama,Oct  5 2021,1333
Alabama,Oct  4 2021,1555
Alabama,Oct  3 2021,719
Alabama,Oct  2 2021,889
Alabama,Oct  1 2021,1462
Alabama,Sep 30 2021,1916
Alabama,Sep 29 2021,1718
Alabama,Sep 28 2021,2148
Alabama,Sep 27 2021,2028
Alabama,Sep 26 2021,1470
Alabama,Sep 25 2021,1574
Alabama,Sep 24 2021,2959
Alabama,Sep 23 2021,2599
Alabama,Sep 22 2021,3303
Alabama,Sep 21 2021,3061
Alabama,Sep 20 2021,3272
Alabama,Sep 19 2021,1843
Alabama,Sep 18 2021,1987
Alabama,Sep 17 2021,3391
Alabama,Sep 16 2021,3086
Alabama,Sep 15 2021,3953
Alabama,Sep 14 2021,3683
Alabama,Sep 13 2021,3929
Alabama,Sep 12 2021,2532
Alabama,Sep 11 2021,1873
Alabama,Sep 10 2021,4429
Alabama,Sep  9 2021,5044
Alabama,Sep  8 2021,4444
Alabama,Sep  7 2021,4848
Alabama,Sep  6 2021,2582
Alabama,Sep  5 2021,2499
Alabama,Sep  4 2021,2874
Alabama,Sep  3 2021,4481
Alabama,Sep  2 2021,5208
Alabama,Sep  1 2021,5218
Alabama,Aug 31 2021,4810
Alabama,Aug 30 2021,5186
Alabama,Aug 29 2021,3094
Alabama,Aug 28 2021,3335
Alabama,Aug 27 2021,6152
Alabama,Aug 26 2021,4983
Alabama,Aug 25 2021,4076
Alabama,Aug 24 2021,3678
Alabama,Aug 23 2021,3496
Alabama,Aug 22 2021,2546
Alabama,Aug 21 2021,3260
Alabama,Aug 20 2021,5479
Alabama,Aug 19 2021,4463
Alabama,Aug 18 2021,3806
Alabama,Aug 17 2021,4623
Alabama,Aug 16 2021,4034
Alabama,Aug 15 2021,2366
Alabama,Aug 14 2021,3267
Alabama,Aug 13 2021,3612
Alabama,Aug 12 2021,3942
Alabama,Aug 11 2021,4190
Alabama,Aug 10 2021,3913
Alabama,Aug  9 2021,3817
Alabama,Aug  8 2021,4540
Alabama,Aug  7 2021,310
Alabama,Aug  6 2021,3900
Alabama,Aug  5 2021,3613
Alabama,Aug  4 2021,3807
Alabama,Aug  3 2021,3423
Alabama,Aug  2 2021,3286
Alabama,Aug  1 2021,1701
Alabama,Jul 31 2021,1754
Alabama,Jul 30 2021,2605
Alabama,Jul 29 2021,2787
Alabama,Jul 28 2021,2733
Alabama,Jul 27 2021,2678
Alabama,Jul 26 2021,2701
Alabama,Jul 25 2021,1406
Alabama,Jul 24 2021,1501
Alabama,Jul 23 2021,1871
Alabama,Jul 22 2021,1774
Alabama,Jul 21 2021,1521
Alabama,Jul 20 2021,1556
Alabama,Jul 19 2021,1389
Alabama,Jul 18 2021,636
Alabama,Jul 17 2021,703
Alabama,Jul 16 2021,862
Alabama,Jul 15 2021,969
Alabama,Jul 14 2021,958
Alabama,Jul 13 2021,667
Alabama,Jul 12 2021,705
Alabama,Jul 11 2021,289
Alabama,Jul 10 2021,306
Alabama,Jul  9 2021,447
Alabama,Jul  8 2021,573
Alabama,Jul  7 2021,538
Alabama,Jul  6 2021,543
Alabama,Jul  5 2021,185
Alabama,Jul  4 2021,124
Alabama,Jul  3 2021,166
Alabama,Jul  2 2021,249
Alabama,Jul  1 2021,304
Alabama,Jun 30 2021,284
Alabama,Jun 29 2021,332
Alabama,Jun 28 2021,199
Alabama,Jun 27 2021,154
Alabama,Jun 26 2021,177
Alabama,Jun 25 2021,179
Alabama,Jun 24 2021,248
Alabama,Jun 23 2021,218
Alabama,Jun 22 2021,241
Alabama,Jun 21 2021,178
Alabama,Jun 20 2021,87
Alabama,Jun 19 2021,113
Alabama,Jun 18 2021,147
Alabama,Jun 17 2021,188
Alabama,Jun 16 2021,154
Alabama,Jun 15 2021,171
Alabama,Jun 14 2021,161
Alabama,Jun 13 2021,119
Alabama,Jun 12 2021,131
Alabama,Jun 11 2021,255
Alabama,Jun 10 2021,139
Alabama,Jun  9 2021,216
Alabama,Jun  8 2021,165
Alabama,Jun  7 2021,200
Alabama,Jun  6 2021,75
Alabama,Jun  5 2021,100
Alabama,Jun  4 2021,230
Alabama,Jun  3 2021,283
Alabama,Jun  2 2021,244
Alabama,Jun  1 2021,210
Alabama,May 31 2021,101
Alabama,May 30 2021,106
Alabama,May 29 2021,130
Alabama,May 28 2021,229
Alabama,May 27 2021,233
Alabama,May 26 2021,345
Alabama,May 25 2021,283
Alabama,May 24 2021,321
Alabama,May 23 2021,131
Alabama,May 22 2021,190
Alabama,May 21 2021,252
Alabama,May 20 2021,459
Alabama,May 19 2021,330
Alabama,May 18 2021,335
Alabama,May 17 2021,372
Alabama,May 16 2021,178
Alabama,May 15 2021,253
Alabama,May 14 2021,1466
Alabama,May 13 2021,5377
Alabama,May 12 2021,1148
Alabama,May 11 2021,372
Alabama,May 10 2021,312
Alabama,May  9 2021,117
Alabama,May  8 2021,243
Alabama,May  7 2021,425
Alabama,May  6 2021,334
Alabama,May  5 2021,585
Alabama,May  4 2021,380
Alabama,May  3 2021,355
Alabama,May  2 2021,168
Alabama,May  1 2021,239
Alabama,Apr 30 2021,371
Alabama,Apr 29 2021,410
Alabama,Apr 28 2021,442
Alabama,Apr 27 2021,425
Alabama,Apr 26 2021,295
Alabama,Apr 25 2021,252
Alabama,Apr 24 2021,244
Alabama,Apr 23 2021,415
Alabama,Apr 22 2021,421
Alabama,Apr 21 2021,656
Alabama,Apr 20 2021,473
Alabama,Apr 19 2021,1447
Alabama,Apr 18 2021,104
Alabama,Apr 17 2021,262
Alabama,Apr 16 2021,505
Alabama,Apr 15 2021,414
Alabama,Apr 14 2021,412
Alabama,Apr 13 2021,469
Alabama,Apr 12 2021,1460
Alabama,Apr 11 2021,168
Alabama,Apr 10 2021,299
Alabama,Apr  9 2021,358
Alabama,Apr  8 2021,339
Alabama,Apr  7 2021,427
Alabama,Apr  6 2021,418
Alabama,Apr  5 2021,267
Alabama,Apr  4 2021,119
Alabama,Apr  3 2021,182
Alabama,Apr  2 2021,355
Alabama,Apr  1 2021,440
Alabama,Mar 31 2021,458
Alabama,Mar 30 2021,455
Alabama,Mar 29 2021,379
Alabama,Mar 28 2021,210
Alabama,Mar 27 2021,316
Alabama,Mar 26 2021,490
Alabama,Mar 25 2021,455
Alabama,Mar 24 2021,511
Alabama,Mar 23 2021,899
Alabama,Mar 22 2021,189
Alabama,Mar 21 2021,297
Alabama,Mar 20 2021,366
Alabama,Mar 19 2021,534
Alabama,Mar 18 2021,518
Alabama,Mar 17 2021,568
Alabama,Mar 16 2021,725
Alabama,Mar 15 2021,475
Alabama,Mar 14 2021,4315
Alabama,Mar 13 2021,364
Alabama,Mar 12 2021,619
Alabama,Mar 11 2021,556
Alabama,Mar 10 2021,887
Alabama,Mar  9 2021,810
Alabama,Mar  8 2021,555
Alabama,Mar  7 2021,254
Alabama,Mar  6 2021,392
Alabama,Mar  5 2021,607
Alabama,Mar  4 2021,844
Alabama,Mar  3 2021,1053
Alabama,Mar  2 2021,2687
Alabama,Mar  1 2021,724
Alabama,Feb 28 2021,546
Alabama,Feb 27 2021,468
Alabama,Feb 26 2021,903
Alabama,Feb 25 2021,760
Alabama,Feb 24 2021,976
Alabama,Feb 23 2021,1365
Alabama,Feb 22 2021,1355
Alabama,Feb 21 2021,667
Alabama,Feb 20 2021,757
Alabama,Feb 19 2021,787
Alabama,Feb 18 2021,813
Alabama,Feb 17 2021,1028
Alabama,Feb 16 2021,960
Alabama,Feb 15 2021,875
Alabama,Feb 14 2021,650
Alabama,Feb 13 2021,1050
Alabama,Feb 12 2021,1205
