Data Table for Daily Case Trends - Alaska
Date generated: Mon Nov 15 2021 12:15:07 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Alaska,Nov 12 2021,852
Alaska,Nov 11 2021,0
Alaska,Nov 10 2021,448
Alaska,Nov  9 2021,374
Alaska,Nov  8 2021,1339
Alaska,Nov  7 2021,0
Alaska,Nov  6 2021,0
Alaska,Nov  5 2021,856
Alaska,Nov  4 2021,641
Alaska,Nov  3 2021,667
Alaska,Nov  2 2021,491
Alaska,Nov  1 2021,1522
Alaska,Oct 31 2021,0
Alaska,Oct 30 2021,0
Alaska,Oct 29 2021,797
Alaska,Oct 28 2021,792
Alaska,Oct 27 2021,574
Alaska,Oct 26 2021,742
Alaska,Oct 25 2021,1656
Alaska,Oct 24 2021,0
Alaska,Oct 23 2021,0
Alaska,Oct 22 2021,834
Alaska,Oct 21 2021,1000
Alaska,Oct 20 2021,805
Alaska,Oct 19 2021,694
Alaska,Oct 18 2021,691
Alaska,Oct 17 2021,691
Alaska,Oct 16 2021,691
Alaska,Oct 15 2021,968
Alaska,Oct 14 2021,959
Alaska,Oct 13 2021,1205
Alaska,Oct 12 2021,444
Alaska,Oct 11 2021,913
Alaska,Oct 10 2021,911
Alaska,Oct  9 2021,911
Alaska,Oct  8 2021,824
Alaska,Oct  7 2021,835
Alaska,Oct  6 2021,851
Alaska,Oct  5 2021,820
Alaska,Oct  4 2021,729
Alaska,Oct  3 2021,729
Alaska,Oct  2 2021,729
Alaska,Oct  1 2021,1005
Alaska,Sep 30 2021,1237
Alaska,Sep 29 2021,968
Alaska,Sep 28 2021,664
Alaska,Sep 27 2021,1289
Alaska,Sep 26 2021,1287
Alaska,Sep 25 2021,1287
Alaska,Sep 24 2021,1729
Alaska,Sep 23 2021,1273
Alaska,Sep 22 2021,1220
Alaska,Sep 21 2021,830
Alaska,Sep 20 2021,687
Alaska,Sep 19 2021,686
Alaska,Sep 18 2021,686
Alaska,Sep 17 2021,870
Alaska,Sep 16 2021,1027
Alaska,Sep 15 2021,1066
Alaska,Sep 14 2021,676
Alaska,Sep 13 2021,473
Alaska,Sep 12 2021,472
Alaska,Sep 11 2021,472
Alaska,Sep 10 2021,675
Alaska,Sep  9 2021,805
Alaska,Sep  8 2021,808
Alaska,Sep  7 2021,515
Alaska,Sep  6 2021,515
Alaska,Sep  5 2021,515
Alaska,Sep  4 2021,515
Alaska,Sep  3 2021,570
Alaska,Sep  2 2021,670
Alaska,Sep  1 2021,761
Alaska,Aug 31 2021,606
Alaska,Aug 30 2021,371
Alaska,Aug 29 2021,370
Alaska,Aug 28 2021,370
Alaska,Aug 27 2021,509
Alaska,Aug 26 2021,700
Alaska,Aug 25 2021,574
Alaska,Aug 24 2021,564
Alaska,Aug 23 2021,352
Alaska,Aug 22 2021,351
Alaska,Aug 21 2021,351
Alaska,Aug 20 2021,441
Alaska,Aug 19 2021,631
Alaska,Aug 18 2021,633
Alaska,Aug 17 2021,431
Alaska,Aug 16 2021,334
Alaska,Aug 15 2021,333
Alaska,Aug 14 2021,333
Alaska,Aug 13 2021,313
Alaska,Aug 12 2021,376
Alaska,Aug 11 2021,359
Alaska,Aug 10 2021,239
Alaska,Aug  9 2021,272
Alaska,Aug  8 2021,270
Alaska,Aug  7 2021,270
Alaska,Aug  6 2021,313
Alaska,Aug  5 2021,347
Alaska,Aug  4 2021,327
Alaska,Aug  3 2021,269
Alaska,Aug  2 2021,235
Alaska,Aug  1 2021,234
Alaska,Jul 31 2021,234
Alaska,Jul 30 2021,264
Alaska,Jul 29 2021,264
Alaska,Jul 28 2021,236
Alaska,Jul 27 2021,235
Alaska,Jul 26 2021,179
Alaska,Jul 25 2021,178
Alaska,Jul 24 2021,178
Alaska,Jul 23 2021,212
Alaska,Jul 22 2021,211
Alaska,Jul 21 2021,219
Alaska,Jul 20 2021,218
Alaska,Jul 19 2021,146
Alaska,Jul 18 2021,146
Alaska,Jul 17 2021,146
Alaska,Jul 16 2021,133
Alaska,Jul 15 2021,133
Alaska,Jul 14 2021,118
Alaska,Jul 13 2021,118
Alaska,Jul 12 2021,54
Alaska,Jul 11 2021,53
Alaska,Jul 10 2021,53
Alaska,Jul  9 2021,59
Alaska,Jul  8 2021,58
Alaska,Jul  7 2021,40
Alaska,Jul  6 2021,39
Alaska,Jul  5 2021,39
Alaska,Jul  4 2021,39
Alaska,Jul  3 2021,39
Alaska,Jul  2 2021,50
Alaska,Jul  1 2021,49
Alaska,Jun 30 2021,40
Alaska,Jun 29 2021,39
Alaska,Jun 28 2021,28
Alaska,Jun 27 2021,27
Alaska,Jun 26 2021,27
Alaska,Jun 25 2021,20
Alaska,Jun 24 2021,19
Alaska,Jun 23 2021,34
Alaska,Jun 22 2021,33
Alaska,Jun 21 2021,81
Alaska,Jun 20 2021,26
Alaska,Jun 19 2021,23
Alaska,Jun 18 2021,23
Alaska,Jun 17 2021,23
Alaska,Jun 16 2021,26
Alaska,Jun 15 2021,25
Alaska,Jun 14 2021,22
Alaska,Jun 13 2021,20
Alaska,Jun 12 2021,20
Alaska,Jun 11 2021,30
Alaska,Jun 10 2021,30
Alaska,Jun  9 2021,33
Alaska,Jun  8 2021,32
Alaska,Jun  7 2021,18
Alaska,Jun  6 2021,16
Alaska,Jun  5 2021,16
Alaska,Jun  4 2021,57
Alaska,Jun  3 2021,50
Alaska,Jun  2 2021,34
Alaska,Jun  1 2021,26
Alaska,May 31 2021,26
Alaska,May 30 2021,26
Alaska,May 29 2021,26
Alaska,May 28 2021,46
Alaska,May 27 2021,40
Alaska,May 26 2021,65
Alaska,May 25 2021,53
Alaska,May 24 2021,32
Alaska,May 23 2021,30
Alaska,May 22 2021,30
Alaska,May 21 2021,64
Alaska,May 20 2021,80
Alaska,May 19 2021,96
Alaska,May 18 2021,53
Alaska,May 17 2021,45
Alaska,May 16 2021,43
Alaska,May 15 2021,43
Alaska,May 14 2021,109
Alaska,May 13 2021,83
Alaska,May 12 2021,84
Alaska,May 11 2021,57
Alaska,May 10 2021,78
Alaska,May  9 2021,76
Alaska,May  8 2021,76
Alaska,May  7 2021,116
Alaska,May  6 2021,96
Alaska,May  5 2021,146
Alaska,May  4 2021,84
Alaska,May  3 2021,91
Alaska,May  2 2021,89
Alaska,May  1 2021,89
Alaska,Apr 30 2021,143
Alaska,Apr 29 2021,166
Alaska,Apr 28 2021,184
Alaska,Apr 27 2021,130
Alaska,Apr 26 2021,83
Alaska,Apr 25 2021,200
Alaska,Apr 24 2021,136
Alaska,Apr 23 2021,142
Alaska,Apr 22 2021,218
Alaska,Apr 21 2021,213
Alaska,Apr 20 2021,98
Alaska,Apr 19 2021,116
Alaska,Apr 18 2021,141
Alaska,Apr 17 2021,177
Alaska,Apr 16 2021,181
Alaska,Apr 15 2021,186
Alaska,Apr 14 2021,197
Alaska,Apr 13 2021,132
Alaska,Apr 12 2021,78
Alaska,Apr 11 2021,97
Alaska,Apr 10 2021,179
Alaska,Apr  9 2021,243
Alaska,Apr  8 2021,222
Alaska,Apr  7 2021,217
Alaska,Apr  6 2021,84
Alaska,Apr  5 2021,117
Alaska,Apr  4 2021,132
Alaska,Apr  3 2021,233
Alaska,Apr  2 2021,196
Alaska,Apr  1 2021,230
Alaska,Mar 31 2021,159
Alaska,Mar 30 2021,86
Alaska,Mar 29 2021,129
Alaska,Mar 28 2021,199
Alaska,Mar 27 2021,199
Alaska,Mar 26 2021,177
Alaska,Mar 25 2021,146
Alaska,Mar 24 2021,210
Alaska,Mar 23 2021,173
Alaska,Mar 22 2021,50
Alaska,Mar 21 2021,117
Alaska,Mar 20 2021,185
Alaska,Mar 19 2021,63
Alaska,Mar 18 2021,152
Alaska,Mar 17 2021,176
Alaska,Mar 16 2021,105
Alaska,Mar 15 2021,95
Alaska,Mar 14 2021,107
Alaska,Mar 13 2021,169
Alaska,Mar 12 2021,110
Alaska,Mar 11 2021,215
Alaska,Mar 10 2021,146
Alaska,Mar  9 2021,90
Alaska,Mar  8 2021,90
Alaska,Mar  7 2021,102
Alaska,Mar  6 2021,129
Alaska,Mar  5 2021,136
Alaska,Mar  4 2021,127
Alaska,Mar  3 2021,173
Alaska,Mar  2 2021,125
Alaska,Mar  1 2021,67
Alaska,Feb 28 2021,119
Alaska,Feb 27 2021,160
Alaska,Feb 26 2021,102
Alaska,Feb 25 2021,150
Alaska,Feb 24 2021,177
Alaska,Feb 23 2021,57
Alaska,Feb 22 2021,61
Alaska,Feb 21 2021,113
Alaska,Feb 20 2021,136
Alaska,Feb 19 2021,187
Alaska,Feb 18 2021,212
Alaska,Feb 17 2021,39
Alaska,Feb 16 2021,60
Alaska,Feb 15 2021,84
Alaska,Feb 14 2021,186
Alaska,Feb 13 2021,94
Alaska,Feb 12 2021,131
Alaska,Feb 11 2021,132
Alaska,Feb 10 2021,170
Alaska,Feb  9 2021,106
Alaska,Feb  8 2021,86
Alaska,Feb  7 2021,212
Alaska,Feb  6 2021,124
Alaska,Feb  5 2021,160
Alaska,Feb  4 2021,157
Alaska,Feb  3 2021,176
Alaska,Feb  2 2021,113
Alaska,Feb  1 2021,65
Alaska,Jan 31 2021,126
Alaska,Jan 30 2021,129
Alaska,Jan 29 2021,177
Alaska,Jan 28 2021,174
Alaska,Jan 27 2021,165
Alaska,Jan 26 2021,83
Alaska,Jan 25 2021,81
Alaska,Jan 24 2021,164
Alaska,Jan 23 2021,241
Alaska,Jan 22 2021,265
Alaska,Jan 21 2021,199
Alaska,Jan 20 2021,161
Alaska,Jan 19 2021,127
Alaska,Jan 18 2021,148
Alaska,Jan 17 2021,258
Alaska,Jan 16 2021,195
Alaska,Jan 15 2021,291
Alaska,Jan 14 2021,332
Alaska,Jan 13 2021,294
Alaska,Jan 12 2021,158
Alaska,Jan 11 2021,175
Alaska,Jan 10 2021,248
Alaska,Jan  9 2021,374
Alaska,Jan  8 2021,399
Alaska,Jan  7 2021,337
Alaska,Jan  6 2021,340
Alaska,Jan  5 2021,209
Alaska,Jan  4 2021,214
Alaska,Jan  3 2021,168
Alaska,Jan  2 2021,289
Alaska,Jan  1 2021,470
Alaska,Dec 31 2020,372
Alaska,Dec 30 2020,366
Alaska,Dec 29 2020,207
Alaska,Dec 28 2020,124
Alaska,Dec 27 2020,308
Alaska,Dec 26 2020,188
Alaska,Dec 25 2020,149
Alaska,Dec 24 2020,271
Alaska,Dec 23 2020,362
Alaska,Dec 22 2020,437
Alaska,Dec 21 2020,148
Alaska,Dec 20 2020,180
Alaska,Dec 19 2020,325
Alaska,Dec 18 2020,487
Alaska,Dec 17 2020,360
Alaska,Dec 16 2020,611
Alaska,Dec 15 2020,272
Alaska,Dec 14 2020,406
Alaska,Dec 13 2020,641
Alaska,Dec 12 2020,525
Alaska,Dec 11 2020,597
Alaska,Dec 10 2020,608
Alaska,Dec  9 2020,573
Alaska,Dec  8 2020,558
Alaska,Dec  7 2020,555
Alaska,Dec  6 2020,692
Alaska,Dec  5 2020,885
Alaska,Dec  4 2020,759
Alaska,Dec  3 2020,778
Alaska,Dec  2 2020,695
Alaska,Dec  1 2020,539
Alaska,Nov 30 2020,485
Alaska,Nov 29 2020,639
Alaska,Nov 28 2020,653
Alaska,Nov 27 2020,724
Alaska,Nov 26 2020,636
Alaska,Nov 25 2020,702
Alaska,Nov 24 2020,604
