Data Table for Daily Case Trends - Arizona
Date generated: Mon Nov 15 2021 12:15:14 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Arizona,Nov 12 2021,4447
Arizona,Nov 11 2021,3624
Arizona,Nov 10 2021,3794
Arizona,Nov  9 2021,3118
Arizona,Nov  8 2021,2657
Arizona,Nov  7 2021,3231
Arizona,Nov  6 2021,3592
Arizona,Nov  5 2021,3813
Arizona,Nov  4 2021,3552
Arizona,Nov  3 2021,2180
Arizona,Nov  2 2021,2350
Arizona,Nov  1 2021,2090
Arizona,Oct 31 2021,2840
Arizona,Oct 30 2021,2843
Arizona,Oct 29 2021,3691
Arizona,Oct 28 2021,2795
Arizona,Oct 27 2021,6299
Arizona,Oct 26 2021,450
Arizona,Oct 25 2021,158
Arizona,Oct 24 2021,1484
Arizona,Oct 23 2021,3144
Arizona,Oct 22 2021,3074
Arizona,Oct 21 2021,2495
Arizona,Oct 20 2021,1991
Arizona,Oct 19 2021,1888
Arizona,Oct 18 2021,1886
Arizona,Oct 17 2021,1886
Arizona,Oct 16 2021,2482
Arizona,Oct 15 2021,2399
Arizona,Oct 14 2021,2386
Arizona,Oct 13 2021,2319
Arizona,Oct 12 2021,2029
Arizona,Oct 11 2021,1760
Arizona,Oct 10 2021,2182
Arizona,Oct  9 2021,2358
Arizona,Oct  8 2021,2702
Arizona,Oct  7 2021,2529
Arizona,Oct  6 2021,2041
Arizona,Oct  5 2021,2254
Arizona,Oct  4 2021,2113
Arizona,Oct  3 2021,2255
Arizona,Oct  2 2021,2942
Arizona,Oct  1 2021,3642
Arizona,Sep 30 2021,2744
Arizona,Sep 29 2021,3388
Arizona,Sep 28 2021,1123
Arizona,Sep 27 2021,1959
Arizona,Sep 26 2021,2579
Arizona,Sep 25 2021,2916
Arizona,Sep 24 2021,2998
Arizona,Sep 23 2021,3013
Arizona,Sep 22 2021,2106
Arizona,Sep 21 2021,1934
Arizona,Sep 20 2021,2020
Arizona,Sep 19 2021,2457
Arizona,Sep 18 2021,2742
Arizona,Sep 17 2021,2830
Arizona,Sep 16 2021,2855
Arizona,Sep 15 2021,2432
Arizona,Sep 14 2021,2609
Arizona,Sep 13 2021,2278
Arizona,Sep 12 2021,2765
Arizona,Sep 11 2021,3355
Arizona,Sep 10 2021,2988
Arizona,Sep  9 2021,2480
Arizona,Sep  8 2021,2222
Arizona,Sep  7 2021,1982
Arizona,Sep  6 2021,2378
Arizona,Sep  5 2021,3071
Arizona,Sep  4 2021,3424
Arizona,Sep  3 2021,3802
Arizona,Sep  2 2021,3470
Arizona,Sep  1 2021,4740
Arizona,Aug 31 2021,822
Arizona,Aug 30 2021,3247
Arizona,Aug 29 2021,2090
Arizona,Aug 28 2021,3893
Arizona,Aug 27 2021,3707
