Data Table for Daily Case Trends - Arkansas
Date generated: Mon Nov 15 2021 12:15:20 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Arkansas,Nov 12 2021,515
Arkansas,Nov 11 2021,673
Arkansas,Nov 10 2021,675
Arkansas,Nov  9 2021,614
Arkansas,Nov  8 2021,141
Arkansas,Nov  7 2021,266
Arkansas,Nov  6 2021,455
Arkansas,Nov  5 2021,557
Arkansas,Nov  4 2021,428
Arkansas,Nov  3 2021,546
Arkansas,Nov  2 2021,641
Arkansas,Nov  1 2021,137
Arkansas,Oct 31 2021,221
Arkansas,Oct 30 2021,464
Arkansas,Oct 29 2021,546
Arkansas,Oct 28 2021,517
Arkansas,Oct 27 2021,559
Arkansas,Oct 26 2021,502
Arkansas,Oct 25 2021,161
Arkansas,Oct 24 2021,246
Arkansas,Oct 23 2021,440
Arkansas,Oct 22 2021,622
Arkansas,Oct 21 2021,506
Arkansas,Oct 20 2021,672
Arkansas,Oct 19 2021,661
Arkansas,Oct 18 2021,142
Arkansas,Oct 17 2021,383
Arkansas,Oct 16 2021,562
Arkansas,Oct 15 2021,714
Arkansas,Oct 14 2021,781
Arkansas,Oct 13 2021,694
Arkansas,Oct 12 2021,733
Arkansas,Oct 11 2021,217
Arkansas,Oct 10 2021,467
Arkansas,Oct  9 2021,887
Arkansas,Oct  8 2021,739
Arkansas,Oct  7 2021,893
Arkansas,Oct  6 2021,882
Arkansas,Oct  5 2021,747
Arkansas,Oct  4 2021,195
Arkansas,Oct  3 2021,486
Arkansas,Oct  2 2021,642
Arkansas,Oct  1 2021,857
Arkansas,Sep 30 2021,1004
Arkansas,Sep 29 2021,1153
Arkansas,Sep 28 2021,800
Arkansas,Sep 27 2021,470
Arkansas,Sep 26 2021,417
Arkansas,Sep 25 2021,1012
Arkansas,Sep 24 2021,1365
Arkansas,Sep 23 2021,1540
Arkansas,Sep 22 2021,1463
Arkansas,Sep 21 2021,1401
Arkansas,Sep 20 2021,568
Arkansas,Sep 19 2021,567
Arkansas,Sep 18 2021,1574
Arkansas,Sep 17 2021,1809
Arkansas,Sep 16 2021,1824
Arkansas,Sep 15 2021,1919
Arkansas,Sep 14 2021,1544
Arkansas,Sep 13 2021,646
Arkansas,Sep 12 2021,1116
Arkansas,Sep 11 2021,1749
Arkansas,Sep 10 2021,2159
Arkansas,Sep  9 2021,2481
Arkansas,Sep  8 2021,2181
Arkansas,Sep  7 2021,583
Arkansas,Sep  6 2021,937
Arkansas,Sep  5 2021,1072
Arkansas,Sep  4 2021,2360
Arkansas,Sep  3 2021,2129
Arkansas,Sep  2 2021,2453
Arkansas,Sep  1 2021,2890
Arkansas,Aug 31 2021,2626
Arkansas,Aug 30 2021,882
Arkansas,Aug 29 2021,787
Arkansas,Aug 28 2021,2166
Arkansas,Aug 27 2021,2866
Arkansas,Aug 26 2021,2318
Arkansas,Aug 25 2021,2781
Arkansas,Aug 24 2021,2223
Arkansas,Aug 23 2021,986
Arkansas,Aug 22 2021,1229
Arkansas,Aug 21 2021,2520
Arkansas,Aug 20 2021,2407
Arkansas,Aug 19 2021,3549
Arkansas,Aug 18 2021,2685
Arkansas,Aug 17 2021,2203
Arkansas,Aug 16 2021,856
Arkansas,Aug 15 2021,1517
Arkansas,Aug 14 2021,2117
Arkansas,Aug 13 2021,3023
Arkansas,Aug 12 2021,2318
Arkansas,Aug 11 2021,2940
Arkansas,Aug 10 2021,2620
Arkansas,Aug  9 2021,995
Arkansas,Aug  8 2021,1369
Arkansas,Aug  7 2021,2633
Arkansas,Aug  6 2021,3037
Arkansas,Aug  5 2021,2777
Arkansas,Aug  4 2021,2838
Arkansas,Aug  3 2021,2343
Arkansas,Aug  2 2021,844
Arkansas,Aug  1 2021,1984
Arkansas,Jul 31 2021,1339
Arkansas,Jul 30 2021,2544
Arkansas,Jul 29 2021,2843
Arkansas,Jul 28 2021,1703
Arkansas,Jul 27 2021,2052
Arkansas,Jul 26 2021,621
Arkansas,Jul 25 2021,1022
Arkansas,Jul 24 2021,2015
Arkansas,Jul 23 2021,1987
Arkansas,Jul 22 2021,1860
Arkansas,Jul 21 2021,1459
Arkansas,Jul 20 2021,1875
Arkansas,Jul 19 2021,852
Arkansas,Jul 18 2021,850
Arkansas,Jul 17 2021,850
Arkansas,Jul 16 2021,1342
Arkansas,Jul 15 2021,980
Arkansas,Jul 14 2021,1309
Arkansas,Jul 13 2021,1476
Arkansas,Jul 12 2021,671
Arkansas,Jul 11 2021,671
Arkansas,Jul 10 2021,671
Arkansas,Jul  9 2021,1155
Arkansas,Jul  8 2021,1210
Arkansas,Jul  7 2021,1000
Arkansas,Jul  6 2021,270
Arkansas,Jul  5 2021,418
Arkansas,Jul  4 2021,414
Arkansas,Jul  3 2021,414
Arkansas,Jul  2 2021,494
Arkansas,Jul  1 2021,700
Arkansas,Jun 30 2021,686
Arkansas,Jun 29 2021,479
Arkansas,Jun 28 2021,324
Arkansas,Jun 27 2021,321
Arkansas,Jun 26 2021,321
Arkansas,Jun 25 2021,302
Arkansas,Jun 24 2021,383
Arkansas,Jun 23 2021,389
Arkansas,Jun 22 2021,485
Arkansas,Jun 21 2021,90
Arkansas,Jun 20 2021,222
Arkansas,Jun 19 2021,219
Arkansas,Jun 18 2021,219
Arkansas,Jun 17 2021,288
Arkansas,Jun 16 2021,288
Arkansas,Jun 15 2021,302
Arkansas,Jun 14 2021,103
Arkansas,Jun 13 2021,91
Arkansas,Jun 12 2021,264
Arkansas,Jun 11 2021,393
Arkansas,Jun 10 2021,289
Arkansas,Jun  9 2021,201
Arkansas,Jun  8 2021,231
Arkansas,Jun  7 2021,62
Arkansas,Jun  6 2021,88
Arkansas,Jun  5 2021,203
Arkansas,Jun  4 2021,253
Arkansas,Jun  3 2021,197
Arkansas,Jun  2 2021,242
Arkansas,Jun  1 2021,69
Arkansas,May 31 2021,30
Arkansas,May 30 2021,61
Arkansas,May 29 2021,160
Arkansas,May 28 2021,214
Arkansas,May 27 2021,218
Arkansas,May 26 2021,183
Arkansas,May 25 2021,329
Arkansas,May 24 2021,49
Arkansas,May 23 2021,97
Arkansas,May 22 2021,177
Arkansas,May 21 2021,201
Arkansas,May 20 2021,256
Arkansas,May 19 2021,244
Arkansas,May 18 2021,313
Arkansas,May 17 2021,67
Arkansas,May 16 2021,95
Arkansas,May 15 2021,202
Arkansas,May 14 2021,250
Arkansas,May 13 2021,192
Arkansas,May 12 2021,224
Arkansas,May 11 2021,233
Arkansas,May 10 2021,76
Arkansas,May  9 2021,95
Arkansas,May  8 2021,245
Arkansas,May  7 2021,222
Arkansas,May  6 2021,188
Arkansas,May  5 2021,298
Arkansas,May  4 2021,296
Arkansas,May  3 2021,61
Arkansas,May  2 2021,137
Arkansas,May  1 2021,243
Arkansas,Apr 30 2021,196
Arkansas,Apr 29 2021,240
Arkansas,Apr 28 2021,291
Arkansas,Apr 27 2021,229
Arkansas,Apr 26 2021,63
Arkansas,Apr 25 2021,64
Arkansas,Apr 24 2021,184
Arkansas,Apr 23 2021,236
Arkansas,Apr 22 2021,513
Arkansas,Apr 21 2021,0
Arkansas,Apr 20 2021,198
Arkansas,Apr 19 2021,59
Arkansas,Apr 18 2021,45
Arkansas,Apr 17 2021,221
Arkansas,Apr 16 2021,237
Arkansas,Apr 15 2021,283
Arkansas,Apr 14 2021,220
Arkansas,Apr 13 2021,224
Arkansas,Apr 12 2021,169
Arkansas,Apr 11 2021,0
Arkansas,Apr 10 2021,171
Arkansas,Apr  9 2021,178
Arkansas,Apr  8 2021,199
Arkansas,Apr  7 2021,244
Arkansas,Apr  6 2021,163
Arkansas,Apr  5 2021,44
Arkansas,Apr  4 2021,84
Arkansas,Apr  3 2021,217
Arkansas,Apr  2 2021,144
Arkansas,Apr  1 2021,211
Arkansas,Mar 31 2021,212
Arkansas,Mar 30 2021,178
Arkansas,Mar 29 2021,79
Arkansas,Mar 28 2021,69
Arkansas,Mar 27 2021,165
Arkansas,Mar 26 2021,184
Arkansas,Mar 25 2021,334
Arkansas,Mar 24 2021,231
Arkansas,Mar 23 2021,239
Arkansas,Mar 22 2021,52
Arkansas,Mar 21 2021,108
Arkansas,Mar 20 2021,274
Arkansas,Mar 19 2021,228
Arkansas,Mar 18 2021,264
Arkansas,Mar 17 2021,325
Arkansas,Mar 16 2021,396
Arkansas,Mar 15 2021,117
Arkansas,Mar 14 2021,130
Arkansas,Mar 13 2021,314
Arkansas,Mar 12 2021,459
Arkansas,Mar 11 2021,340
Arkansas,Mar 10 2021,317
Arkansas,Mar  9 2021,432
Arkansas,Mar  8 2021,133
Arkansas,Mar  7 2021,165
Arkansas,Mar  6 2021,327
Arkansas,Mar  5 2021,570
Arkansas,Mar  4 2021,403
Arkansas,Mar  3 2021,404
Arkansas,Mar  2 2021,440
Arkansas,Mar  1 2021,94
Arkansas,Feb 28 2021,3220
Arkansas,Feb 27 2021,557
Arkansas,Feb 26 2021,516
Arkansas,Feb 25 2021,726
Arkansas,Feb 24 2021,803
Arkansas,Feb 23 2021,834
Arkansas,Feb 22 2021,245
Arkansas,Feb 21 2021,284
Arkansas,Feb 20 2021,517
Arkansas,Feb 19 2021,268
Arkansas,Feb 18 2021,253
Arkansas,Feb 17 2021,667
Arkansas,Feb 16 2021,177
Arkansas,Feb 15 2021,320
Arkansas,Feb 14 2021,466
Arkansas,Feb 13 2021,954
Arkansas,Feb 12 2021,565
Arkansas,Feb 11 2021,1103
Arkansas,Feb 10 2021,1092
Arkansas,Feb  9 2021,1475
Arkansas,Feb  8 2021,637
Arkansas,Feb  7 2021,672
Arkansas,Feb  6 2021,1341
Arkansas,Feb  5 2021,1824
Arkansas,Feb  4 2021,2469
Arkansas,Feb  3 2021,2426
Arkansas,Feb  2 2021,1510
Arkansas,Feb  1 2021,1226
Arkansas,Jan 31 2021,881
Arkansas,Jan 30 2021,1824
Arkansas,Jan 29 2021,1707
Arkansas,Jan 28 2021,1892
Arkansas,Jan 27 2021,1777
Arkansas,Jan 26 2021,2485
Arkansas,Jan 25 2021,636
Arkansas,Jan 24 2021,1071
Arkansas,Jan 23 2021,1613
Arkansas,Jan 22 2021,2162
Arkansas,Jan 21 2021,3106
Arkansas,Jan 20 2021,2520
Arkansas,Jan 19 2021,1331
Arkansas,Jan 18 2021,1141
Arkansas,Jan 17 2021,944
Arkansas,Jan 16 2021,2543
Arkansas,Jan 15 2021,3124
Arkansas,Jan 14 2021,2491
Arkansas,Jan 13 2021,2467
Arkansas,Jan 12 2021,3209
Arkansas,Jan 11 2021,1268
Arkansas,Jan 10 2021,3330
Arkansas,Jan  9 2021,2886
Arkansas,Jan  8 2021,2944
Arkansas,Jan  7 2021,3323
Arkansas,Jan  6 2021,3705
Arkansas,Jan  5 2021,4107
Arkansas,Jan  4 2021,1306
Arkansas,Jan  3 2021,2033
Arkansas,Jan  2 2021,2000
Arkansas,Jan  1 2021,4304
Arkansas,Dec 31 2020,2708
Arkansas,Dec 30 2020,3184
Arkansas,Dec 29 2020,2718
Arkansas,Dec 28 2020,1651
Arkansas,Dec 27 2020,908
Arkansas,Dec 26 2020,702
Arkansas,Dec 25 2020,2122
Arkansas,Dec 24 2020,3204
Arkansas,Dec 23 2020,2893
Arkansas,Dec 22 2020,1941
Arkansas,Dec 21 2020,1457
Arkansas,Dec 20 2020,1536
Arkansas,Dec 19 2020,2693
Arkansas,Dec 18 2020,2878
Arkansas,Dec 17 2020,3039
Arkansas,Dec 16 2020,2306
Arkansas,Dec 15 2020,2141
Arkansas,Dec 14 2020,1355
Arkansas,Dec 13 2020,1450
Arkansas,Dec 12 2020,2628
Arkansas,Dec 11 2020,2770
Arkansas,Dec 10 2020,2202
Arkansas,Dec  9 2020,2327
Arkansas,Dec  8 2020,2283
Arkansas,Dec  7 2020,1118
Arkansas,Dec  6 2020,1542
Arkansas,Dec  5 2020,2245
Arkansas,Dec  4 2020,2827
Arkansas,Dec  3 2020,2789
Arkansas,Dec  2 2020,2212
Arkansas,Dec  1 2020,1950
Arkansas,Nov 30 2020,1112
Arkansas,Nov 29 2020,1221
Arkansas,Nov 28 2020,1349
Arkansas,Nov 27 2020,1052
Arkansas,Nov 26 2020,2348
Arkansas,Nov 25 2020,1965
Arkansas,Nov 24 2020,2122
Arkansas,Nov 23 2020,1017
Arkansas,Nov 22 2020,1352
Arkansas,Nov 21 2020,1905
Arkansas,Nov 20 2020,2061
Arkansas,Nov 19 2020,2238
Arkansas,Nov 18 2020,1715
Arkansas,Nov 17 2020,1554
Arkansas,Nov 16 2020,1308
Arkansas,Nov 15 2020,874
Arkansas,Nov 14 2020,1848
Arkansas,Nov 13 2020,2312
Arkansas,Nov 12 2020,1809
Arkansas,Nov 11 2020,1962
Arkansas,Nov 10 2020,1424
Arkansas,Nov  9 2020,945
Arkansas,Nov  8 2020,1038
Arkansas,Nov  7 2020,1598
Arkansas,Nov  6 2020,1870
Arkansas,Nov  5 2020,1548
Arkansas,Nov  4 2020,1651
Arkansas,Nov  3 2020,520
Arkansas,Nov  2 2020,584
Arkansas,Nov  1 2020,867
Arkansas,Oct 31 2020,1316
Arkansas,Oct 30 2020,1162
Arkansas,Oct 29 2020,1072
Arkansas,Oct 28 2020,961
Arkansas,Oct 27 2020,952
Arkansas,Oct 26 2020,612
Arkansas,Oct 25 2020,797
Arkansas,Oct 24 2020,1183
Arkansas,Oct 23 2020,1337
Arkansas,Oct 22 2020,1202
Arkansas,Oct 21 2020,1155
Arkansas,Oct 20 2020,844
Arkansas,Oct 19 2020,531
Arkansas,Oct 18 2020,644
Arkansas,Oct 17 2020,883
Arkansas,Oct 16 2020,1015
Arkansas,Oct 15 2020,1278
Arkansas,Oct 14 2020,1079
Arkansas,Oct 13 2020,680
Arkansas,Oct 12 2020,654
Arkansas,Oct 11 2020,613
Arkansas,Oct 10 2020,908
Arkansas,Oct  9 2020,1167
Arkansas,Oct  8 2020,1265
Arkansas,Oct  7 2020,809
Arkansas,Oct  6 2020,641
Arkansas,Oct  5 2020,417
