Data Table for Daily Case Trends - California
Date generated: Mon Nov 15 2021 12:15:28 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
California,Nov 12 2021,0
California,Nov 11 2021,8727
California,Nov 10 2021,3716
California,Nov  9 2021,3945
California,Nov  8 2021,18893
California,Nov  7 2021,0
California,Nov  6 2021,0
California,Nov  5 2021,8012
California,Nov  4 2021,9711
California,Nov  3 2021,3518
California,Nov  2 2021,4209
California,Nov  1 2021,19351
California,Oct 31 2021,0
California,Oct 30 2021,0
California,Oct 29 2021,7098
California,Oct 28 2021,8770
California,Oct 27 2021,4378
California,Oct 26 2021,24563
California,Oct 25 2021,0
California,Oct 24 2021,0
California,Oct 23 2021,0
California,Oct 22 2021,6093
California,Oct 21 2021,8407
California,Oct 20 2021,3070
California,Oct 19 2021,4081
California,Oct 18 2021,16764
California,Oct 17 2021,0
California,Oct 16 2021,0
California,Oct 15 2021,6188
California,Oct 14 2021,7263
California,Oct 13 2021,4034
California,Oct 12 2021,4091
California,Oct 11 2021,16921
California,Oct 10 2021,0
California,Oct  9 2021,0
California,Oct  8 2021,6710
California,Oct  7 2021,8440
California,Oct  6 2021,5386
California,Oct  5 2021,3752
California,Oct  4 2021,18998
California,Oct  3 2021,0
California,Oct  2 2021,0
California,Oct  1 2021,7869
California,Sep 30 2021,10221
California,Sep 29 2021,6493
California,Sep 28 2021,4753
California,Sep 27 2021,22969
California,Sep 26 2021,0
California,Sep 25 2021,0
California,Sep 24 2021,7276
California,Sep 23 2021,11543
California,Sep 22 2021,6579
California,Sep 21 2021,6032
California,Sep 20 2021,6193
California,Sep 19 2021,9038
California,Sep 18 2021,9385
California,Sep 17 2021,9543
California,Sep 16 2021,13885
California,Sep 15 2021,7760
California,Sep 14 2021,11851
California,Sep 13 2021,6842
California,Sep 12 2021,9045
California,Sep 11 2021,13463
California,Sep 10 2021,9244
California,Sep  9 2021,11638
California,Sep  8 2021,7274
California,Sep  7 2021,7523
California,Sep  6 2021,8866
California,Sep  5 2021,14267
California,Sep  4 2021,9318
California,Sep  3 2021,11742
California,Sep  2 2021,15339
California,Sep  1 2021,23387
California,Aug 31 2021,9606
California,Aug 30 2021,14968
California,Aug 29 2021,11828
California,Aug 28 2021,15157
California,Aug 27 2021,13785
California,Aug 26 2021,17375
California,Aug 25 2021,11899
California,Aug 24 2021,10401
California,Aug 23 2021,10274
California,Aug 22 2021,14564
California,Aug 21 2021,13613
California,Aug 20 2021,14716
California,Aug 19 2021,22651
California,Aug 18 2021,14317
California,Aug 17 2021,9748
California,Aug 16 2021,11437
California,Aug 15 2021,13472
California,Aug 14 2021,14479
California,Aug 13 2021,14099
California,Aug 12 2021,10450
California,Aug 11 2021,9925
California,Aug 10 2021,9625
California,Aug  9 2021,10425
California,Aug  8 2021,13271
California,Aug  7 2021,12916
California,Aug  6 2021,14402
California,Aug  5 2021,13042
California,Aug  4 2021,8552
California,Aug  3 2021,7318
California,Aug  2 2021,33407
California,Aug  1 2021,0
California,Jul 31 2021,0
California,Jul 30 2021,10356
California,Jul 29 2021,10778
California,Jul 28 2021,6849
California,Jul 27 2021,7731
California,Jul 26 2021,21940
California,Jul 25 2021,0
California,Jul 24 2021,0
California,Jul 23 2021,7984
California,Jul 22 2021,10962
California,Jul 21 2021,5285
California,Jul 20 2021,4723
California,Jul 19 2021,14097
California,Jul 18 2021,0
California,Jul 17 2021,0
California,Jul 16 2021,4651
California,Jul 15 2021,3622
California,Jul 14 2021,3093
California,Jul 13 2021,3256
California,Jul 12 2021,8910
California,Jul 11 2021,0
California,Jul 10 2021,0
California,Jul  9 2021,2411
California,Jul  8 2021,1416
California,Jul  7 2021,1332
California,Jul  6 2021,5730
California,Jul  5 2021,0
California,Jul  4 2021,0
California,Jul  3 2021,0
California,Jul  2 2021,1792
California,Jul  1 2021,1698
California,Jun 30 2021,0
California,Jun 29 2021,762
California,Jun 28 2021,1256
California,Jun 27 2021,2251
California,Jun 26 2021,1683
California,Jun 25 2021,2015
California,Jun 24 2021,1419
California,Jun 23 2021,787
California,Jun 22 2021,635
California,Jun 21 2021,1123
California,Jun 20 2021,956
California,Jun 19 2021,1176
California,Jun 18 2021,1295
California,Jun 17 2021,829
California,Jun 16 2021,699
California,Jun 15 2021,628
California,Jun 14 2021,827
