Data Table for Daily Case Trends - Colorado
Date generated: Mon Nov 15 2021 12:15:38 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Colorado,Nov 12 2021,3051
Colorado,Nov 11 2021,3912
Colorado,Nov 10 2021,3837
Colorado,Nov  9 2021,2514
Colorado,Nov  8 2021,8193
Colorado,Nov  7 2021,0
Colorado,Nov  6 2021,0
Colorado,Nov  5 2021,3306
Colorado,Nov  4 2021,4149
Colorado,Nov  3 2021,2747
Colorado,Nov  2 2021,2396
Colorado,Nov  1 2021,7394
Colorado,Oct 31 2021,0
Colorado,Oct 30 2021,0
Colorado,Oct 29 2021,3295
Colorado,Oct 28 2021,3823
Colorado,Oct 27 2021,3385
Colorado,Oct 26 2021,2452
Colorado,Oct 25 2021,6886
Colorado,Oct 24 2021,0
Colorado,Oct 23 2021,0
Colorado,Oct 22 2021,2846
Colorado,Oct 21 2021,3397
Colorado,Oct 20 2021,2252
Colorado,Oct 19 2021,1983
Colorado,Oct 18 2021,1769
Colorado,Oct 17 2021,1767
Colorado,Oct 16 2021,1767
Colorado,Oct 15 2021,2850
Colorado,Oct 14 2021,3179
Colorado,Oct 13 2021,2461
Colorado,Oct 12 2021,2000
Colorado,Oct 11 2021,1962
Colorado,Oct 10 2021,1961
Colorado,Oct  9 2021,1961
Colorado,Oct  8 2021,2911
Colorado,Oct  7 2021,2781
Colorado,Oct  6 2021,1838
Colorado,Oct  5 2021,2280
Colorado,Oct  4 2021,1714
Colorado,Oct  3 2021,1712
Colorado,Oct  2 2021,1712
Colorado,Oct  1 2021,1420
Colorado,Sep 30 2021,1743
Colorado,Sep 29 2021,1099
Colorado,Sep 28 2021,1272
Colorado,Sep 27 2021,1366
Colorado,Sep 26 2021,1364
Colorado,Sep 25 2021,1364
Colorado,Sep 24 2021,1650
Colorado,Sep 23 2021,1454
Colorado,Sep 22 2021,1432
Colorado,Sep 21 2021,1337
Colorado,Sep 20 2021,1094
Colorado,Sep 19 2021,1512
Colorado,Sep 18 2021,1845
Colorado,Sep 17 2021,2190
Colorado,Sep 16 2021,2123
Colorado,Sep 15 2021,2035
Colorado,Sep 14 2021,1717
Colorado,Sep 13 2021,1360
Colorado,Sep 12 2021,1769
Colorado,Sep 11 2021,2450
Colorado,Sep 10 2021,2315
Colorado,Sep  9 2021,2005
Colorado,Sep  8 2021,1580
Colorado,Sep  7 2021,1084
Colorado,Sep  6 2021,1486
Colorado,Sep  5 2021,1670
Colorado,Sep  4 2021,2048
Colorado,Sep  3 2021,2197
Colorado,Sep  2 2021,2190
Colorado,Sep  1 2021,2047
Colorado,Aug 31 2021,2071
Colorado,Aug 30 2021,1397
Colorado,Aug 29 2021,992
Colorado,Aug 28 2021,1701
Colorado,Aug 27 2021,1997
Colorado,Aug 26 2021,2153
Colorado,Aug 25 2021,1954
Colorado,Aug 24 2021,1298
Colorado,Aug 23 2021,1007
Colorado,Aug 22 2021,1393
Colorado,Aug 21 2021,1759
Colorado,Aug 20 2021,1786
Colorado,Aug 19 2021,1651
Colorado,Aug 18 2021,2172
Colorado,Aug 17 2021,1114
Colorado,Aug 16 2021,699
Colorado,Aug 15 2021,888
Colorado,Aug 14 2021,1376
Colorado,Aug 13 2021,1119
Colorado,Aug 12 2021,1636
Colorado,Aug 11 2021,1311
Colorado,Aug 10 2021,812
Colorado,Aug  9 2021,659
Colorado,Aug  8 2021,898
Colorado,Aug  7 2021,1104
Colorado,Aug  6 2021,1162
Colorado,Aug  5 2021,1104
Colorado,Aug  4 2021,1197
Colorado,Aug  3 2021,783
Colorado,Aug  2 2021,628
Colorado,Aug  1 2021,832
Colorado,Jul 31 2021,963
Colorado,Jul 30 2021,1000
Colorado,Jul 29 2021,1153
Colorado,Jul 28 2021,798
Colorado,Jul 27 2021,752
Colorado,Jul 26 2021,469
Colorado,Jul 25 2021,563
Colorado,Jul 24 2021,755
Colorado,Jul 23 2021,684
Colorado,Jul 22 2021,752
Colorado,Jul 21 2021,603
Colorado,Jul 20 2021,509
Colorado,Jul 19 2021,431
Colorado,Jul 18 2021,413
Colorado,Jul 17 2021,555
Colorado,Jul 16 2021,552
Colorado,Jul 15 2021,468
Colorado,Jul 14 2021,501
Colorado,Jul 13 2021,512
Colorado,Jul 12 2021,262
Colorado,Jul 11 2021,371
Colorado,Jul 10 2021,474
Colorado,Jul  9 2021,460
Colorado,Jul  8 2021,458
Colorado,Jul  7 2021,361
Colorado,Jul  6 2021,224
Colorado,Jul  5 2021,186
Colorado,Jul  4 2021,301
Colorado,Jul  3 2021,397
Colorado,Jul  2 2021,467
Colorado,Jul  1 2021,499
Colorado,Jun 30 2021,419
Colorado,Jun 29 2021,309
Colorado,Jun 28 2021,217
Colorado,Jun 27 2021,235
Colorado,Jun 26 2021,384
Colorado,Jun 25 2021,363
Colorado,Jun 24 2021,492
Colorado,Jun 23 2021,360
Colorado,Jun 22 2021,288
Colorado,Jun 21 2021,206
Colorado,Jun 20 2021,251
Colorado,Jun 19 2021,321
Colorado,Jun 18 2021,347
Colorado,Jun 17 2021,355
Colorado,Jun 16 2021,355
Colorado,Jun 15 2021,311
Colorado,Jun 14 2021,189
Colorado,Jun 13 2021,379
Colorado,Jun 12 2021,475
Colorado,Jun 11 2021,399
Colorado,Jun 10 2021,472
Colorado,Jun  9 2021,435
Colorado,Jun  8 2021,445
Colorado,Jun  7 2021,257
Colorado,Jun  6 2021,353
Colorado,Jun  5 2021,562
Colorado,Jun  4 2021,614
Colorado,Jun  3 2021,671
Colorado,Jun  2 2021,371
Colorado,Jun  1 2021,298
Colorado,May 31 2021,274
Colorado,May 30 2021,460
Colorado,May 29 2021,558
Colorado,May 28 2021,687
Colorado,May 27 2021,755
Colorado,May 26 2021,716
Colorado,May 25 2021,1359
Colorado,May 24 2021,387
Colorado,May 23 2021,569
Colorado,May 22 2021,799
Colorado,May 21 2021,744
Colorado,May 20 2021,848
Colorado,May 19 2021,1039
Colorado,May 18 2021,625
Colorado,May 17 2021,783
Colorado,May 16 2021,600
Colorado,May 15 2021,927
Colorado,May 14 2021,1170
Colorado,May 13 2021,1987
Colorado,May 12 2021,1242
Colorado,May 11 2021,895
Colorado,May 10 2021,852
Colorado,May  9 2021,1090
Colorado,May  8 2021,1411
Colorado,May  7 2021,1379
Colorado,May  6 2021,1412
Colorado,May  5 2021,1509
Colorado,May  4 2021,1421
Colorado,May  3 2021,950
Colorado,May  2 2021,1162
Colorado,May  1 2021,1895
Colorado,Apr 30 2021,1819
Colorado,Apr 29 2021,2105
Colorado,Apr 28 2021,1822
Colorado,Apr 27 2021,1485
Colorado,Apr 26 2021,996
Colorado,Apr 25 2021,1714
Colorado,Apr 24 2021,1861
Colorado,Apr 23 2021,1900
Colorado,Apr 22 2021,2380
Colorado,Apr 21 2021,1687
Colorado,Apr 20 2021,1714
Colorado,Apr 19 2021,910
Colorado,Apr 18 2021,1422
Colorado,Apr 17 2021,1554
Colorado,Apr 16 2021,2046
Colorado,Apr 15 2021,1641
Colorado,Apr 14 2021,1819
Colorado,Apr 13 2021,1671
Colorado,Apr 12 2021,974
Colorado,Apr 11 2021,1366
Colorado,Apr 10 2021,1661
Colorado,Apr  9 2021,1886
Colorado,Apr  8 2021,1843
Colorado,Apr  7 2021,1984
Colorado,Apr  6 2021,988
