Data Table for Daily Case Trends - Commonwealth of the Northern Mariana Islands
Date generated: Mon Nov 15 2021 12:15:44 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Commonwealth of the Northern Mariana Islands,Nov 12 2021,0
Commonwealth of the Northern Mariana Islands,Nov 11 2021,0
Commonwealth of the Northern Mariana Islands,Nov 10 2021,0
Commonwealth of the Northern Mariana Islands,Nov  9 2021,0
Commonwealth of the Northern Mariana Islands,Nov  8 2021,0
Commonwealth of the Northern Mariana Islands,Nov  7 2021,0
Commonwealth of the Northern Mariana Islands,Nov  6 2021,0
Commonwealth of the Northern Mariana Islands,Nov  5 2021,30
Commonwealth of the Northern Mariana Islands,Nov  4 2021,0
Commonwealth of the Northern Mariana Islands,Nov  3 2021,0
Commonwealth of the Northern Mariana Islands,Nov  2 2021,0
Commonwealth of the Northern Mariana Islands,Nov  1 2021,0
Commonwealth of the Northern Mariana Islands,Oct 31 2021,5
Commonwealth of the Northern Mariana Islands,Oct 30 2021,0
Commonwealth of the Northern Mariana Islands,Oct 29 2021,16
Commonwealth of the Northern Mariana Islands,Oct 28 2021,0
Commonwealth of the Northern Mariana Islands,Oct 27 2021,0
Commonwealth of the Northern Mariana Islands,Oct 26 2021,0
Commonwealth of the Northern Mariana Islands,Oct 25 2021,0
Commonwealth of the Northern Mariana Islands,Oct 24 2021,1
Commonwealth of the Northern Mariana Islands,Oct 23 2021,0
Commonwealth of the Northern Mariana Islands,Oct 22 2021,0
Commonwealth of the Northern Mariana Islands,Oct 21 2021,1
Commonwealth of the Northern Mariana Islands,Oct 20 2021,0
Commonwealth of the Northern Mariana Islands,Oct 19 2021,0
Commonwealth of the Northern Mariana Islands,Oct 18 2021,0
Commonwealth of the Northern Mariana Islands,Oct 17 2021,7
Commonwealth of the Northern Mariana Islands,Oct 16 2021,0
Commonwealth of the Northern Mariana Islands,Oct 15 2021,0
Commonwealth of the Northern Mariana Islands,Oct 14 2021,0
Commonwealth of the Northern Mariana Islands,Oct 13 2021,1
Commonwealth of the Northern Mariana Islands,Oct 12 2021,0
Commonwealth of the Northern Mariana Islands,Oct 11 2021,8
Commonwealth of the Northern Mariana Islands,Oct 10 2021,0
Commonwealth of the Northern Mariana Islands,Oct  9 2021,0
Commonwealth of the Northern Mariana Islands,Oct  8 2021,0
Commonwealth of the Northern Mariana Islands,Oct  7 2021,0
Commonwealth of the Northern Mariana Islands,Oct  6 2021,1
Commonwealth of the Northern Mariana Islands,Oct  5 2021,0
Commonwealth of the Northern Mariana Islands,Oct  4 2021,0
Commonwealth of the Northern Mariana Islands,Oct  3 2021,2
Commonwealth of the Northern Mariana Islands,Oct  2 2021,0
Commonwealth of the Northern Mariana Islands,Oct  1 2021,0
Commonwealth of the Northern Mariana Islands,Sep 30 2021,1
Commonwealth of the Northern Mariana Islands,Sep 29 2021,1
Commonwealth of the Northern Mariana Islands,Sep 28 2021,1
Commonwealth of the Northern Mariana Islands,Sep 27 2021,0
Commonwealth of the Northern Mariana Islands,Sep 26 2021,2
Commonwealth of the Northern Mariana Islands,Sep 25 2021,0
Commonwealth of the Northern Mariana Islands,Sep 24 2021,0
Commonwealth of the Northern Mariana Islands,Sep 23 2021,0
Commonwealth of the Northern Mariana Islands,Sep 22 2021,0
Commonwealth of the Northern Mariana Islands,Sep 21 2021,0
Commonwealth of the Northern Mariana Islands,Sep 20 2021,2
Commonwealth of the Northern Mariana Islands,Sep 19 2021,5
Commonwealth of the Northern Mariana Islands,Sep 18 2021,0
Commonwealth of the Northern Mariana Islands,Sep 17 2021,0
Commonwealth of the Northern Mariana Islands,Sep 16 2021,0
Commonwealth of the Northern Mariana Islands,Sep 15 2021,2
Commonwealth of the Northern Mariana Islands,Sep 14 2021,4
Commonwealth of the Northern Mariana Islands,Sep 13 2021,0
Commonwealth of the Northern Mariana Islands,Sep 12 2021,2
Commonwealth of the Northern Mariana Islands,Sep 11 2021,0
Commonwealth of the Northern Mariana Islands,Sep 10 2021,0
Commonwealth of the Northern Mariana Islands,Sep  9 2021,1
Commonwealth of the Northern Mariana Islands,Sep  8 2021,1
Commonwealth of the Northern Mariana Islands,Sep  7 2021,0
Commonwealth of the Northern Mariana Islands,Sep  6 2021,0
Commonwealth of the Northern Mariana Islands,Sep  5 2021,0
Commonwealth of the Northern Mariana Islands,Sep  4 2021,1
Commonwealth of the Northern Mariana Islands,Sep  3 2021,4
Commonwealth of the Northern Mariana Islands,Sep  2 2021,0
Commonwealth of the Northern Mariana Islands,Sep  1 2021,0
Commonwealth of the Northern Mariana Islands,Aug 31 2021,1
Commonwealth of the Northern Mariana Islands,Aug 30 2021,6
Commonwealth of the Northern Mariana Islands,Aug 29 2021,2
Commonwealth of the Northern Mariana Islands,Aug 28 2021,2
Commonwealth of the Northern Mariana Islands,Aug 27 2021,0
Commonwealth of the Northern Mariana Islands,Aug 26 2021,3
Commonwealth of the Northern Mariana Islands,Aug 25 2021,3
Commonwealth of the Northern Mariana Islands,Aug 24 2021,2
Commonwealth of the Northern Mariana Islands,Aug 23 2021,0
Commonwealth of the Northern Mariana Islands,Aug 22 2021,0
Commonwealth of the Northern Mariana Islands,Aug 21 2021,3
Commonwealth of the Northern Mariana Islands,Aug 20 2021,0
Commonwealth of the Northern Mariana Islands,Aug 19 2021,1
Commonwealth of the Northern Mariana Islands,Aug 18 2021,1
Commonwealth of the Northern Mariana Islands,Aug 17 2021,5
Commonwealth of the Northern Mariana Islands,Aug 16 2021,0
Commonwealth of the Northern Mariana Islands,Aug 15 2021,0
Commonwealth of the Northern Mariana Islands,Aug 14 2021,3
Commonwealth of the Northern Mariana Islands,Aug 13 2021,0
Commonwealth of the Northern Mariana Islands,Aug 12 2021,1
Commonwealth of the Northern Mariana Islands,Aug 11 2021,0
Commonwealth of the Northern Mariana Islands,Aug 10 2021,4
Commonwealth of the Northern Mariana Islands,Aug  9 2021,0
Commonwealth of the Northern Mariana Islands,Aug  8 2021,0
Commonwealth of the Northern Mariana Islands,Aug  7 2021,8
Commonwealth of the Northern Mariana Islands,Aug  6 2021,0
Commonwealth of the Northern Mariana Islands,Aug  5 2021,0
Commonwealth of the Northern Mariana Islands,Aug  4 2021,0
Commonwealth of the Northern Mariana Islands,Aug  3 2021,2
Commonwealth of the Northern Mariana Islands,Aug  2 2021,6
Commonwealth of the Northern Mariana Islands,Aug  1 2021,0
Commonwealth of the Northern Mariana Islands,Jul 31 2021,0
Commonwealth of the Northern Mariana Islands,Jul 30 2021,0
Commonwealth of the Northern Mariana Islands,Jul 29 2021,0
Commonwealth of the Northern Mariana Islands,Jul 28 2021,0
Commonwealth of the Northern Mariana Islands,Jul 27 2021,0
Commonwealth of the Northern Mariana Islands,Jul 26 2021,2
Commonwealth of the Northern Mariana Islands,Jul 25 2021,0
Commonwealth of the Northern Mariana Islands,Jul 24 2021,0
Commonwealth of the Northern Mariana Islands,Jul 23 2021,0
Commonwealth of the Northern Mariana Islands,Jul 22 2021,0
Commonwealth of the Northern Mariana Islands,Jul 21 2021,0
Commonwealth of the Northern Mariana Islands,Jul 20 2021,1
Commonwealth of the Northern Mariana Islands,Jul 19 2021,0
Commonwealth of the Northern Mariana Islands,Jul 18 2021,0
Commonwealth of the Northern Mariana Islands,Jul 17 2021,0
Commonwealth of the Northern Mariana Islands,Jul 16 2021,0
Commonwealth of the Northern Mariana Islands,Jul 15 2021,0
Commonwealth of the Northern Mariana Islands,Jul 14 2021,2
Commonwealth of the Northern Mariana Islands,Jul 13 2021,0
Commonwealth of the Northern Mariana Islands,Jul 12 2021,0
Commonwealth of the Northern Mariana Islands,Jul 11 2021,0
Commonwealth of the Northern Mariana Islands,Jul 10 2021,0
Commonwealth of the Northern Mariana Islands,Jul  9 2021,1
Commonwealth of the Northern Mariana Islands,Jul  8 2021,0
Commonwealth of the Northern Mariana Islands,Jul  7 2021,0
Commonwealth of the Northern Mariana Islands,Jul  6 2021,1
Commonwealth of the Northern Mariana Islands,Jul  5 2021,0
Commonwealth of the Northern Mariana Islands,Jul  4 2021,0
Commonwealth of the Northern Mariana Islands,Jul  3 2021,0
Commonwealth of the Northern Mariana Islands,Jul  2 2021,0
Commonwealth of the Northern Mariana Islands,Jul  1 2021,0
Commonwealth of the Northern Mariana Islands,Jun 30 2021,0
Commonwealth of the Northern Mariana Islands,Jun 29 2021,0
Commonwealth of the Northern Mariana Islands,Jun 28 2021,0
Commonwealth of the Northern Mariana Islands,Jun 27 2021,0
Commonwealth of the Northern Mariana Islands,Jun 26 2021,0
Commonwealth of the Northern Mariana Islands,Jun 25 2021,0
Commonwealth of the Northern Mariana Islands,Jun 24 2021,0
Commonwealth of the Northern Mariana Islands,Jun 23 2021,0
Commonwealth of the Northern Mariana Islands,Jun 22 2021,0
Commonwealth of the Northern Mariana Islands,Jun 21 2021,0
Commonwealth of the Northern Mariana Islands,Jun 20 2021,0
Commonwealth of the Northern Mariana Islands,Jun 19 2021,0
Commonwealth of the Northern Mariana Islands,Jun 18 2021,0
Commonwealth of the Northern Mariana Islands,Jun 17 2021,0
Commonwealth of the Northern Mariana Islands,Jun 16 2021,0
Commonwealth of the Northern Mariana Islands,Jun 15 2021,0
Commonwealth of the Northern Mariana Islands,Jun 14 2021,0
Commonwealth of the Northern Mariana Islands,Jun 13 2021,0
Commonwealth of the Northern Mariana Islands,Jun 12 2021,0
Commonwealth of the Northern Mariana Islands,Jun 11 2021,0
Commonwealth of the Northern Mariana Islands,Jun 10 2021,0
Commonwealth of the Northern Mariana Islands,Jun  9 2021,0
Commonwealth of the Northern Mariana Islands,Jun  8 2021,0
Commonwealth of the Northern Mariana Islands,Jun  7 2021,0
Commonwealth of the Northern Mariana Islands,Jun  6 2021,0
Commonwealth of the Northern Mariana Islands,Jun  5 2021,0
Commonwealth of the Northern Mariana Islands,Jun  4 2021,0
Commonwealth of the Northern Mariana Islands,Jun  3 2021,0
