Data Table for Daily Case Trends - Connecticut
Date generated: Mon Nov 15 2021 12:15:51 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Connecticut,Nov 12 2021,458
Connecticut,Nov 11 2021,540
Connecticut,Nov 10 2021,533
Connecticut,Nov  9 2021,309
Connecticut,Nov  8 2021,941
Connecticut,Nov  7 2021,0
Connecticut,Nov  6 2021,0
Connecticut,Nov  5 2021,320
Connecticut,Nov  4 2021,431
Connecticut,Nov  3 2021,391
Connecticut,Nov  2 2021,412
Connecticut,Nov  1 2021,832
Connecticut,Oct 31 2021,0
Connecticut,Oct 30 2021,0
Connecticut,Oct 29 2021,424
Connecticut,Oct 28 2021,443
Connecticut,Oct 27 2021,337
Connecticut,Oct 26 2021,254
Connecticut,Oct 25 2021,899
Connecticut,Oct 24 2021,0
Connecticut,Oct 23 2021,0
Connecticut,Oct 22 2021,453
Connecticut,Oct 21 2021,410
Connecticut,Oct 20 2021,384
Connecticut,Oct 19 2021,709
Connecticut,Oct 18 2021,383
Connecticut,Oct 17 2021,382
Connecticut,Oct 16 2021,382
Connecticut,Oct 15 2021,494
Connecticut,Oct 14 2021,908
Connecticut,Oct 13 2021,240
Connecticut,Oct 12 2021,372
Connecticut,Oct 11 2021,367
Connecticut,Oct 10 2021,367
Connecticut,Oct  9 2021,367
Connecticut,Oct  8 2021,509
Connecticut,Oct  7 2021,548
Connecticut,Oct  6 2021,377
Connecticut,Oct  5 2021,411
Connecticut,Oct  4 2021,367
Connecticut,Oct  3 2021,365
Connecticut,Oct  2 2021,365
Connecticut,Oct  1 2021,721
Connecticut,Sep 30 2021,165
Connecticut,Sep 29 2021,450
Connecticut,Sep 28 2021,553
Connecticut,Sep 27 2021,484
Connecticut,Sep 26 2021,480
Connecticut,Sep 25 2021,480
Connecticut,Sep 24 2021,470
Connecticut,Sep 23 2021,591
Connecticut,Sep 22 2021,490
Connecticut,Sep 21 2021,394
Connecticut,Sep 20 2021,484
Connecticut,Sep 19 2021,481
Connecticut,Sep 18 2021,481
Connecticut,Sep 17 2021,1544
Connecticut,Sep 16 2021,1066
Connecticut,Sep 15 2021,401
