Data Table for Daily Case Trends - Delaware
Date generated: Mon Nov 15 2021 12:15:58 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Delaware,Nov 12 2021,433
Delaware,Nov 11 2021,316
Delaware,Nov 10 2021,277
Delaware,Nov  9 2021,68
Delaware,Nov  8 2021,236
Delaware,Nov  7 2021,291
Delaware,Nov  6 2021,282
Delaware,Nov  5 2021,274
Delaware,Nov  4 2021,301
Delaware,Nov  3 2021,282
Delaware,Nov  2 2021,76
Delaware,Nov  1 2021,199
Delaware,Oct 31 2021,248
Delaware,Oct 30 2021,387
Delaware,Oct 29 2021,282
Delaware,Oct 28 2021,312
Delaware,Oct 27 2021,262
Delaware,Oct 26 2021,107
Delaware,Oct 25 2021,246
Delaware,Oct 24 2021,296
Delaware,Oct 23 2021,341
Delaware,Oct 22 2021,394
Delaware,Oct 21 2021,379
Delaware,Oct 20 2021,293
Delaware,Oct 19 2021,189
Delaware,Oct 18 2021,295
Delaware,Oct 17 2021,293
Delaware,Oct 16 2021,494
Delaware,Oct 15 2021,442
Delaware,Oct 14 2021,494
Delaware,Oct 13 2021,321
Delaware,Oct 12 2021,165
Delaware,Oct 11 2021,359
Delaware,Oct 10 2021,311
Delaware,Oct  9 2021,606
Delaware,Oct  8 2021,516
Delaware,Oct  7 2021,471
Delaware,Oct  6 2021,428
Delaware,Oct  5 2021,283
Delaware,Oct  4 2021,365
Delaware,Oct  3 2021,402
Delaware,Oct  2 2021,618
Delaware,Oct  1 2021,636
Delaware,Sep 30 2021,531
Delaware,Sep 29 2021,294
Delaware,Sep 28 2021,290
Delaware,Sep 27 2021,424
Delaware,Sep 26 2021,381
Delaware,Sep 25 2021,599
Delaware,Sep 24 2021,570
Delaware,Sep 23 2021,643
Delaware,Sep 22 2021,267
Delaware,Sep 21 2021,272
Delaware,Sep 20 2021,439
Delaware,Sep 19 2021,450
Delaware,Sep 18 2021,581
Delaware,Sep 17 2021,618
Delaware,Sep 16 2021,554
Delaware,Sep 15 2021,252
