Data Table for Daily Case Trends - District of Columbia
Date generated: Mon Nov 15 2021 12:16:04 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
District of Columbia,Nov 12 2021,212
District of Columbia,Nov 11 2021,0
District of Columbia,Nov 10 2021,65
District of Columbia,Nov  9 2021,44
District of Columbia,Nov  8 2021,251
District of Columbia,Nov  7 2021,0
District of Columbia,Nov  6 2021,0
District of Columbia,Nov  5 2021,91
District of Columbia,Nov  4 2021,106
District of Columbia,Nov  3 2021,61
District of Columbia,Nov  2 2021,71
District of Columbia,Nov  1 2021,230
District of Columbia,Oct 31 2021,0
District of Columbia,Oct 30 2021,0
District of Columbia,Oct 29 2021,132
District of Columbia,Oct 28 2021,118
District of Columbia,Oct 27 2021,71
District of Columbia,Oct 26 2021,40
District of Columbia,Oct 25 2021,291
District of Columbia,Oct 24 2021,0
District of Columbia,Oct 23 2021,0
District of Columbia,Oct 22 2021,114
District of Columbia,Oct 21 2021,74
District of Columbia,Oct 20 2021,55
District of Columbia,Oct 19 2021,40
District of Columbia,Oct 18 2021,111
District of Columbia,Oct 17 2021,109
District of Columbia,Oct 16 2021,109
District of Columbia,Oct 15 2021,124
District of Columbia,Oct 14 2021,102
District of Columbia,Oct 13 2021,48
District of Columbia,Oct 12 2021,109
District of Columbia,Oct 11 2021,109
District of Columbia,Oct 10 2021,109
District of Columbia,Oct  9 2021,109
District of Columbia,Oct  8 2021,168
District of Columbia,Oct  7 2021,120
District of Columbia,Oct  6 2021,115
District of Columbia,Oct  5 2021,72
District of Columbia,Oct  4 2021,154
District of Columbia,Oct  3 2021,153
District of Columbia,Oct  2 2021,153
District of Columbia,Oct  1 2021,178
District of Columbia,Sep 30 2021,157
District of Columbia,Sep 29 2021,98
District of Columbia,Sep 28 2021,126
District of Columbia,Sep 27 2021,189
District of Columbia,Sep 26 2021,189
District of Columbia,Sep 25 2021,189
District of Columbia,Sep 24 2021,187
District of Columbia,Sep 23 2021,169
District of Columbia,Sep 22 2021,137
District of Columbia,Sep 21 2021,149
District of Columbia,Sep 20 2021,238
District of Columbia,Sep 19 2021,237
District of Columbia,Sep 18 2021,237
District of Columbia,Sep 17 2021,202
District of Columbia,Sep 16 2021,209
District of Columbia,Sep 15 2021,209
District of Columbia,Sep 14 2021,267
District of Columbia,Sep 13 2021,229
District of Columbia,Sep 12 2021,229
District of Columbia,Sep 11 2021,229
District of Columbia,Sep 10 2021,107
District of Columbia,Sep  9 2021,165
District of Columbia,Sep  8 2021,125
District of Columbia,Sep  7 2021,149
District of Columbia,Sep  6 2021,146
District of Columbia,Sep  5 2021,146
District of Columbia,Sep  4 2021,146
District of Columbia,Sep  3 2021,200
District of Columbia,Sep  2 2021,148
District of Columbia,Sep  1 2021,139
District of Columbia,Aug 31 2021,178
District of Columbia,Aug 30 2021,215
District of Columbia,Aug 29 2021,275
District of Columbia,Aug 28 2021,155
District of Columbia,Aug 27 2021,190
District of Columbia,Aug 26 2021,210
District of Columbia,Aug 25 2021,125
District of Columbia,Aug 24 2021,133
District of Columbia,Aug 23 2021,172
