Data Table for Daily Case Trends - Florida
Date generated: Mon Nov 15 2021 11:58:01 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Florida,Nov 12 2021,1414
Florida,Nov 11 2021,1475
Florida,Nov 10 2021,2551
Florida,Nov  9 2021,1515
Florida,Nov  8 2021,1818
Florida,Nov  7 2021,271
Florida,Nov  6 2021,1436
Florida,Nov  5 2021,1680
Florida,Nov  4 2021,1724
Florida,Nov  3 2021,1861
Florida,Nov  2 2021,1868
Florida,Nov  1 2021,2052
Florida,Oct 31 2021,940
Florida,Oct 30 2021,937
Florida,Oct 29 2021,1756
Florida,Oct 28 2021,2079
Florida,Oct 27 2021,2355
Florida,Oct 26 2021,1905
Florida,Oct 25 2021,2039
Florida,Oct 24 2021,945
Florida,Oct 23 2021,1371
Florida,Oct 22 2021,2257
Florida,Oct 21 2021,2071
Florida,Oct 20 2021,2438
Florida,Oct 19 2021,2661
Florida,Oct 18 2021,2155
Florida,Oct 17 2021,1833
Florida,Oct 16 2021,1509
Florida,Oct 15 2021,2636
Florida,Oct 14 2021,2875
Florida,Oct 13 2021,3443
Florida,Oct 12 2021,2587
Florida,Oct 11 2021,2677
Florida,Oct 10 2021,1866
Florida,Oct  9 2021,2870
Florida,Oct  8 2021,3215
Florida,Oct  7 2021,3927
Florida,Oct  6 2021,3940
Florida,Oct  5 2021,3757
Florida,Oct  4 2021,3663
Florida,Oct  3 2021,2715
Florida,Oct  2 2021,3196
Florida,Oct  1 2021,4501
Florida,Sep 30 2021,5935
Florida,Sep 29 2021,4994
Florida,Sep 28 2021,5839
Florida,Sep 27 2021,5118
Florida,Sep 26 2021,3689
Florida,Sep 25 2021,5061
Florida,Sep 24 2021,7184
Florida,Sep 23 2021,7829
Florida,Sep 22 2021,6382
Florida,Sep 21 2021,10126
Florida,Sep 20 2021,6978
Florida,Sep 19 2021,6351
Florida,Sep 18 2021,8715
Florida,Sep 17 2021,9940
Florida,Sep 16 2021,11516
Florida,Sep 15 2021,9391
Florida,Sep 14 2021,10813
Florida,Sep 13 2021,10753
Florida,Sep 12 2021,6500
Florida,Sep 11 2021,15395
Florida,Sep 10 2021,9206
Florida,Sep  9 2021,17891
Florida,Sep  8 2021,12496
Florida,Sep  7 2021,13863
Florida,Sep  6 2021,10185
Florida,Sep  5 2021,11123
Florida,Sep  4 2021,17252
Florida,Sep  3 2021,17099
Florida,Sep  2 2021,18070
Florida,Sep  1 2021,21551
Florida,Aug 31 2021,19177
Florida,Aug 30 2021,18702
Florida,Aug 29 2021,13073
Florida,Aug 28 2021,17716
Florida,Aug 27 2021,21361
Florida,Aug 26 2021,27755
Florida,Aug 25 2021,21311
Florida,Aug 24 2021,26327
Florida,Aug 23 2021,21311
Florida,Aug 22 2021,14677
Florida,Aug 21 2021,18033
Florida,Aug 20 2021,22238
Florida,Aug 19 2021,24212
Florida,Aug 18 2021,24212
Florida,Aug 17 2021,23505
Florida,Aug 16 2021,21731
Florida,Aug 15 2021,17215
Florida,Aug 14 2021,16415
Florida,Aug 13 2021,22266
Florida,Aug 12 2021,25894
Florida,Aug 11 2021,23872
Florida,Aug 10 2021,24717
Florida,Aug  9 2021,20444
Florida,Aug  8 2021,15297
Florida,Aug  7 2021,19542
Florida,Aug  6 2021,21481
Florida,Aug  5 2021,24143
Florida,Aug  4 2021,22759
Florida,Aug  3 2021,20199
Florida,Aug  2 2021,17060
Florida,Aug  1 2021,13142
Florida,Jul 31 2021,17732
Florida,Jul 30 2021,19764
Florida,Jul 29 2021,21685
Florida,Jul 28 2021,16960
Florida,Jul 27 2021,17450
Florida,Jul 26 2021,15989
Florida,Jul 25 2021,10224
Florida,Jul 24 2021,13021
Florida,Jul 23 2021,14777
Florida,Jul 22 2021,14199
Florida,Jul 21 2021,13337
Florida,Jul 20 2021,11653
Florida,Jul 19 2021,9238
Florida,Jul 18 2021,7123
Florida,Jul 17 2021,7928
Florida,Jul 16 2021,9193
Florida,Jul 15 2021,8504
Florida,Jul 14 2021,8204
Florida,Jul 13 2021,7007
Florida,Jul 12 2021,6439
Florida,Jul 11 2021,4526
Florida,Jul 10 2021,5058
Florida,Jul  9 2021,5479
Florida,Jul  8 2021,5303
Florida,Jul  7 2021,4823
Florida,Jul  6 2021,3921
Florida,Jul  5 2021,1707
Florida,Jul  4 2021,1776
Florida,Jul  3 2021,2463
Florida,Jul  2 2021,3137
Florida,Jul  1 2021,2872
Florida,Jun 30 2021,2870
Florida,Jun 29 2021,2442
Florida,Jun 28 2021,2305
Florida,Jun 27 2021,1514
Florida,Jun 26 2021,1795
Florida,Jun 25 2021,2117
Florida,Jun 24 2021,1894
Florida,Jun 23 2021,1914
Florida,Jun 22 2021,1997
Florida,Jun 21 2021,1772
Florida,Jun 20 2021,1046
Florida,Jun 19 2021,1692
Florida,Jun 18 2021,1456
Florida,Jun 17 2021,1856
Florida,Jun 16 2021,1540
Florida,Jun 15 2021,1748
Florida,Jun 14 2021,1339
Florida,Jun 13 2021,1019
Florida,Jun 12 2021,1346
Florida,Jun 11 2021,1585
Florida,Jun 10 2021,1994
Florida,Jun  9 2021,1869
Florida,Jun  8 2021,1688
Florida,Jun  7 2021,1419
Florida,Jun  6 2021,1224
Florida,Jun  5 2021,1485
Florida,Jun  4 2021,2141
Florida,Jun  3 2021,2379
Florida,Jun  2 2021,1840
Florida,Jun  1 2021,1241
Florida,May 31 2021,1238
Florida,May 30 2021,1293
Florida,May 29 2021,1445
Florida,May 28 2021,1979
Florida,May 27 2021,2310
Florida,May 26 2021,2276
Florida,May 25 2021,2308
Florida,May 24 2021,1873
Florida,May 23 2021,1574
Florida,May 22 2021,2020
Florida,May 21 2021,3295
Florida,May 20 2021,2313
Florida,May 19 2021,2861
Florida,May 18 2021,2827
Florida,May 17 2021,2751
Florida,May 16 2021,1961
Florida,May 15 2021,2411
Florida,May 14 2021,3256
Florida,May 13 2021,3533
Florida,May 12 2021,4005
Florida,May 11 2021,3146
Florida,May 10 2021,3238
Florida,May  9 2021,2268
Florida,May  8 2021,3171
Florida,May  7 2021,3924
Florida,May  6 2021,4250
