Data Table for Daily Case Trends - Georgia
Date generated: Mon Nov 15 2021 11:58:14 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Georgia,Nov 12 2021,2268
Georgia,Nov 11 2021,0
Georgia,Nov 10 2021,1052
Georgia,Nov  9 2021,2909
Georgia,Nov  8 2021,0
Georgia,Nov  7 2021,0
Georgia,Nov  6 2021,0
Georgia,Nov  5 2021,1140
Georgia,Nov  4 2021,1290
Georgia,Nov  3 2021,1208
Georgia,Nov  2 2021,1073
Georgia,Nov  1 2021,2232
Georgia,Oct 31 2021,0
Georgia,Oct 30 2021,0
Georgia,Oct 29 2021,1223
Georgia,Oct 28 2021,1522
Georgia,Oct 27 2021,2011
Georgia,Oct 26 2021,1171
Georgia,Oct 25 2021,2767
Georgia,Oct 24 2021,0
Georgia,Oct 23 2021,0
Georgia,Oct 22 2021,1536
Georgia,Oct 21 2021,1487
Georgia,Oct 20 2021,1682
Georgia,Oct 19 2021,1679
Georgia,Oct 18 2021,1106
Georgia,Oct 17 2021,1105
Georgia,Oct 16 2021,1105
Georgia,Oct 15 2021,1905
Georgia,Oct 14 2021,2102
Georgia,Oct 13 2021,2011
Georgia,Oct 12 2021,1758
Georgia,Oct 11 2021,1752
Georgia,Oct 10 2021,1752
Georgia,Oct  9 2021,1752
Georgia,Oct  8 2021,3274
Georgia,Oct  7 2021,5753
Georgia,Oct  6 2021,907
Georgia,Oct  5 2021,2876
Georgia,Oct  4 2021,2600
Georgia,Oct  3 2021,2597
Georgia,Oct  2 2021,2597
Georgia,Oct  1 2021,3347
Georgia,Sep 30 2021,4876
Georgia,Sep 29 2021,4435
Georgia,Sep 28 2021,3865
Georgia,Sep 27 2021,2670
Georgia,Sep 26 2021,2667
Georgia,Sep 25 2021,2667
Georgia,Sep 24 2021,4300
Georgia,Sep 23 2021,4553
Georgia,Sep 22 2021,4723
Georgia,Sep 21 2021,7493
Georgia,Sep 20 2021,3785
Georgia,Sep 19 2021,3784
Georgia,Sep 18 2021,3784
Georgia,Sep 17 2021,5592
Georgia,Sep 16 2021,5852
Georgia,Sep 15 2021,6167
Georgia,Sep 14 2021,7327
Georgia,Sep 13 2021,5302
Georgia,Sep 12 2021,5300
Georgia,Sep 11 2021,5300
Georgia,Sep 10 2021,8278
Georgia,Sep  9 2021,7586
Georgia,Sep  8 2021,8792
Georgia,Sep  7 2021,6479
Georgia,Sep  6 2021,6475
Georgia,Sep  5 2021,6475
Georgia,Sep  4 2021,6475
Georgia,Sep  3 2021,12018
Georgia,Sep  2 2021,8412
Georgia,Sep  1 2021,9702
Georgia,Aug 31 2021,10521
Georgia,Aug 30 2021,7713
Georgia,Aug 29 2021,7711
Georgia,Aug 28 2021,7711
Georgia,Aug 27 2021,11084
Georgia,Aug 26 2021,10823
Georgia,Aug 25 2021,10677
Georgia,Aug 24 2021,9186
Georgia,Aug 23 2021,7024
Georgia,Aug 22 2021,7024
Georgia,Aug 21 2021,7024
Georgia,Aug 20 2021,9581
Georgia,Aug 19 2021,9836
Georgia,Aug 18 2021,8014
Georgia,Aug 17 2021,7639
Georgia,Aug 16 2021,6467
Georgia,Aug 15 2021,6466
Georgia,Aug 14 2021,6466
Georgia,Aug 13 2021,7216
Georgia,Aug 12 2021,7016
Georgia,Aug 11 2021,6958
Georgia,Aug 10 2021,6945
Georgia,Aug  9 2021,4349
Georgia,Aug  8 2021,4346
Georgia,Aug  7 2021,4346
Georgia,Aug  6 2021,6005
Georgia,Aug  5 2021,5806
Georgia,Aug  4 2021,4860
Georgia,Aug  3 2021,3832
Georgia,Aug  2 2021,3829
Georgia,Aug  1 2021,3829
Georgia,Jul 31 2021,3829
Georgia,Jul 30 2021,3604
Georgia,Jul 29 2021,4612
Georgia,Jul 28 2021,3828
Georgia,Jul 27 2021,3587
Georgia,Jul 26 2021,2039
Georgia,Jul 25 2021,2037
Georgia,Jul 24 2021,2037
Georgia,Jul 23 2021,2497
Georgia,Jul 22 2021,2144
Georgia,Jul 21 2021,2229
Georgia,Jul 20 2021,1569
Georgia,Jul 19 2021,1098
Georgia,Jul 18 2021,1096
Georgia,Jul 17 2021,1096
Georgia,Jul 16 2021,1086
Georgia,Jul 15 2021,1362
Georgia,Jul 14 2021,1260
Georgia,Jul 13 2021,1109
Georgia,Jul 12 2021,589
Georgia,Jul 11 2021,587
Georgia,Jul 10 2021,587
Georgia,Jul  9 2021,904
Georgia,Jul  8 2021,932
Georgia,Jul  7 2021,667
Georgia,Jul  6 2021,344
Georgia,Jul  5 2021,341
Georgia,Jul  4 2021,341
Georgia,Jul  3 2021,341
Georgia,Jul  2 2021,433
Georgia,Jul  1 2021,520
Georgia,Jun 30 2021,590
Georgia,Jun 29 2021,502
Georgia,Jun 28 2021,190
Georgia,Jun 27 2021,228
Georgia,Jun 26 2021,402
Georgia,Jun 25 2021,332
Georgia,Jun 24 2021,357
Georgia,Jun 23 2021,389
Georgia,Jun 22 2021,351
Georgia,Jun 21 2021,184
Georgia,Jun 20 2021,323
Georgia,Jun 19 2021,321
Georgia,Jun 18 2021,321
Georgia,Jun 17 2021,408
Georgia,Jun 16 2021,498
Georgia,Jun 15 2021,307
Georgia,Jun 14 2021,180
Georgia,Jun 13 2021,223
Georgia,Jun 12 2021,375
Georgia,Jun 11 2021,434
Georgia,Jun 10 2021,458
Georgia,Jun  9 2021,411
Georgia,Jun  8 2021,392
Georgia,Jun  7 2021,263
Georgia,Jun  6 2021,280
Georgia,Jun  5 2021,342
Georgia,Jun  4 2021,495
Georgia,Jun  3 2021,446
Georgia,Jun  2 2021,491
Georgia,Jun  1 2021,239
Georgia,May 31 2021,237
Georgia,May 30 2021,261
Georgia,May 29 2021,632
Georgia,May 28 2021,545
Georgia,May 27 2021,694
Georgia,May 26 2021,549
Georgia,May 25 2021,651
Georgia,May 24 2021,293
Georgia,May 23 2021,365
Georgia,May 22 2021,602
Georgia,May 21 2021,704
