Data Table for Daily Case Trends - Hawaii
Date generated: Mon Nov 15 2021 11:58:34 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Hawaii,Nov 12 2021,126
Hawaii,Nov 11 2021,128
Hawaii,Nov 10 2021,128
Hawaii,Nov  9 2021,75
Hawaii,Nov  8 2021,97
Hawaii,Nov  7 2021,123
Hawaii,Nov  6 2021,88
Hawaii,Nov  5 2021,111
Hawaii,Nov  4 2021,110
Hawaii,Nov  3 2021,161
Hawaii,Nov  2 2021,39
Hawaii,Nov  1 2021,64
Hawaii,Oct 31 2021,125
Hawaii,Oct 30 2021,150
Hawaii,Oct 29 2021,143
Hawaii,Oct 28 2021,117
Hawaii,Oct 27 2021,175
Hawaii,Oct 26 2021,69
Hawaii,Oct 25 2021,85
Hawaii,Oct 24 2021,153
Hawaii,Oct 23 2021,170
Hawaii,Oct 22 2021,118
Hawaii,Oct 21 2021,142
Hawaii,Oct 20 2021,134
Hawaii,Oct 19 2021,64
Hawaii,Oct 18 2021,109
Hawaii,Oct 17 2021,135
Hawaii,Oct 16 2021,135
Hawaii,Oct 15 2021,151
Hawaii,Oct 14 2021,156
Hawaii,Oct 13 2021,113
Hawaii,Oct 12 2021,49
Hawaii,Oct 11 2021,107
Hawaii,Oct 10 2021,200
Hawaii,Oct  9 2021,189
Hawaii,Oct  8 2021,192
Hawaii,Oct  7 2021,278
Hawaii,Oct  6 2021,164
Hawaii,Oct  5 2021,87
Hawaii,Oct  4 2021,188
Hawaii,Oct  3 2021,276
Hawaii,Oct  2 2021,269
Hawaii,Oct  1 2021,359
Hawaii,Sep 30 2021,327
Hawaii,Sep 29 2021,214
Hawaii,Sep 28 2021,237
Hawaii,Sep 27 2021,248
Hawaii,Sep 26 2021,367
Hawaii,Sep 25 2021,394
Hawaii,Sep 24 2021,391
Hawaii,Sep 23 2021,437
Hawaii,Sep 22 2021,328
Hawaii,Sep 21 2021,274
Hawaii,Sep 20 2021,419
Hawaii,Sep 19 2021,461
Hawaii,Sep 18 2021,550
Hawaii,Sep 17 2021,567
Hawaii,Sep 16 2021,579
Hawaii,Sep 15 2021,487
Hawaii,Sep 14 2021,421
Hawaii,Sep 13 2021,454
Hawaii,Sep 12 2021,713
Hawaii,Sep 11 2021,829
Hawaii,Sep 10 2021,741
Hawaii,Sep  9 2021,421
Hawaii,Sep  8 2021,371
Hawaii,Sep  7 2021,497
Hawaii,Sep  6 2021,742
Hawaii,Sep  5 2021,718
Hawaii,Sep  4 2021,875
Hawaii,Sep  3 2021,862
Hawaii,Sep  2 2021,1060
Hawaii,Sep  1 2021,447
Hawaii,Aug 31 2021,545
Hawaii,Aug 30 2021,714
Hawaii,Aug 29 2021,1658
Hawaii,Aug 28 2021,927
Hawaii,Aug 27 2021,1017
Hawaii,Aug 26 2021,824
Hawaii,Aug 25 2021,503
Hawaii,Aug 24 2021,557
Hawaii,Aug 23 2021,570
Hawaii,Aug 22 2021,885
Hawaii,Aug 21 2021,752
Hawaii,Aug 20 2021,836
Hawaii,Aug 19 2021,744
Hawaii,Aug 18 2021,641
Hawaii,Aug 17 2021,453
Hawaii,Aug 16 2021,522
Hawaii,Aug 15 2021,829
Hawaii,Aug 14 2021,764
Hawaii,Aug 13 2021,1149
Hawaii,Aug 12 2021,543
Hawaii,Aug 11 2021,460
Hawaii,Aug 10 2021,419
Hawaii,Aug  9 2021,432
Hawaii,Aug  8 2021,632
Hawaii,Aug  7 2021,600
Hawaii,Aug  6 2021,607
Hawaii,Aug  5 2021,635
Hawaii,Aug  4 2021,320
Hawaii,Aug  3 2021,369
Hawaii,Aug  2 2021,356
Hawaii,Aug  1 2021,447
Hawaii,Jul 31 2021,467
Hawaii,Jul 30 2021,552
Hawaii,Jul 29 2021,232
Hawaii,Jul 28 2021,88
Hawaii,Jul 27 2021,148
Hawaii,Jul 26 2021,156
Hawaii,Jul 25 2021,259
Hawaii,Jul 24 2021,242
Hawaii,Jul 23 2021,215
Hawaii,Jul 22 2021,218
Hawaii,Jul 21 2021,130
Hawaii,Jul 20 2021,97
Hawaii,Jul 19 2021,122
Hawaii,Jul 18 2021,140
Hawaii,Jul 17 2021,122
