Data Table for Daily Case Trends - Idaho
Date generated: Mon Nov 15 2021 11:58:42 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Idaho,Nov 12 2021,942
Idaho,Nov 11 2021,0
Idaho,Nov 10 2021,724
Idaho,Nov  9 2021,768
Idaho,Nov  8 2021,843
Idaho,Nov  7 2021,0
Idaho,Nov  6 2021,349
Idaho,Nov  5 2021,803
Idaho,Nov  4 2021,662
Idaho,Nov  3 2021,1244
Idaho,Nov  2 2021,924
Idaho,Nov  1 2021,1001
Idaho,Oct 31 2021,64
Idaho,Oct 30 2021,380
Idaho,Oct 29 2021,1076
Idaho,Oct 28 2021,873
Idaho,Oct 27 2021,1244
Idaho,Oct 26 2021,1344
Idaho,Oct 25 2021,1090
Idaho,Oct 24 2021,242
Idaho,Oct 23 2021,725
Idaho,Oct 22 2021,1480
Idaho,Oct 21 2021,1328
Idaho,Oct 20 2021,1549
Idaho,Oct 19 2021,1464
Idaho,Oct 18 2021,1290
Idaho,Oct 17 2021,305
Idaho,Oct 16 2021,782
Idaho,Oct 15 2021,1520
Idaho,Oct 14 2021,1935
Idaho,Oct 13 2021,2024
Idaho,Oct 12 2021,971
Idaho,Oct 11 2021,970
Idaho,Oct 10 2021,206
Idaho,Oct  9 2021,790
Idaho,Oct  8 2021,1682
Idaho,Oct  7 2021,1321
Idaho,Oct  6 2021,1367
Idaho,Oct  5 2021,1835
Idaho,Oct  4 2021,1108
Idaho,Oct  3 2021,339
Idaho,Oct  2 2021,912
Idaho,Oct  1 2021,1778
Idaho,Sep 30 2021,1905
Idaho,Sep 29 2021,1684
Idaho,Sep 28 2021,1355
Idaho,Sep 27 2021,1423
Idaho,Sep 26 2021,399
Idaho,Sep 25 2021,816
Idaho,Sep 24 2021,1646
Idaho,Sep 23 2021,1345
Idaho,Sep 22 2021,1354
Idaho,Sep 21 2021,1830
Idaho,Sep 20 2021,1244
Idaho,Sep 19 2021,300
Idaho,Sep 18 2021,758
Idaho,Sep 17 2021,1730
Idaho,Sep 16 2021,1218
Idaho,Sep 15 2021,1315
Idaho,Sep 14 2021,1657
Idaho,Sep 13 2021,1436
Idaho,Sep 12 2021,330
Idaho,Sep 11 2021,947
Idaho,Sep 10 2021,1574
Idaho,Sep  9 2021,1459
Idaho,Sep  8 2021,1504
Idaho,Sep  7 2021,638
Idaho,Sep  6 2021,637
Idaho,Sep  5 2021,637
Idaho,Sep  4 2021,637
Idaho,Sep  3 2021,1388
Idaho,Sep  2 2021,1604
Idaho,Sep  1 2021,1163
Idaho,Aug 31 2021,1226
Idaho,Aug 30 2021,760
Idaho,Aug 29 2021,758
Idaho,Aug 28 2021,758
Idaho,Aug 27 2021,834
Idaho,Aug 26 2021,992
Idaho,Aug 25 2021,1019
Idaho,Aug 24 2021,1032
Idaho,Aug 23 2021,359
Idaho,Aug 22 2021,356
Idaho,Aug 21 2021,356
Idaho,Aug 20 2021,612
Idaho,Aug 19 2021,795
Idaho,Aug 18 2021,1217
Idaho,Aug 17 2021,904
Idaho,Aug 16 2021,455
Idaho,Aug 15 2021,451
Idaho,Aug 14 2021,451
Idaho,Aug 13 2021,780
Idaho,Aug 12 2021,751
Idaho,Aug 11 2021,736
Idaho,Aug 10 2021,754
Idaho,Aug  9 2021,316
Idaho,Aug  8 2021,313
Idaho,Aug  7 2021,313
Idaho,Aug  6 2021,679
Idaho,Aug  5 2021,743
Idaho,Aug  4 2021,637
Idaho,Aug  3 2021,680
Idaho,Aug  2 2021,290
Idaho,Aug  1 2021,289
Idaho,Jul 31 2021,289
Idaho,Jul 30 2021,529
Idaho,Jul 29 2021,439
Idaho,Jul 28 2021,358
Idaho,Jul 27 2021,318
Idaho,Jul 26 2021,182
Idaho,Jul 25 2021,181
Idaho,Jul 24 2021,181
Idaho,Jul 23 2021,282
Idaho,Jul 22 2021,233
Idaho,Jul 21 2021,325
Idaho,Jul 20 2021,245
Idaho,Jul 19 2021,119
Idaho,Jul 18 2021,118
Idaho,Jul 17 2021,118
Idaho,Jul 16 2021,161
Idaho,Jul 15 2021,206
Idaho,Jul 14 2021,179
Idaho,Jul 13 2021,182
Idaho,Jul 12 2021,99
Idaho,Jul 11 2021,99
Idaho,Jul 10 2021,99
Idaho,Jul  9 2021,135
Idaho,Jul  8 2021,144
Idaho,Jul  7 2021,123
Idaho,Jul  6 2021,65
Idaho,Jul  5 2021,64
Idaho,Jul  4 2021,64
Idaho,Jul  3 2021,64
Idaho,Jul  2 2021,83
Idaho,Jul  1 2021,91
Idaho,Jun 30 2021,97
Idaho,Jun 29 2021,77
Idaho,Jun 28 2021,46
Idaho,Jun 27 2021,44
Idaho,Jun 26 2021,44
Idaho,Jun 25 2021,81
Idaho,Jun 24 2021,89
Idaho,Jun 23 2021,153
Idaho,Jun 22 2021,118
Idaho,Jun 21 2021,63
Idaho,Jun 20 2021,60
Idaho,Jun 19 2021,60
Idaho,Jun 18 2021,60
Idaho,Jun 17 2021,87
Idaho,Jun 16 2021,87
Idaho,Jun 15 2021,89
Idaho,Jun 14 2021,78
Idaho,Jun 13 2021,75
Idaho,Jun 12 2021,75
Idaho,Jun 11 2021,118
Idaho,Jun 10 2021,102
Idaho,Jun  9 2021,138
Idaho,Jun  8 2021,127
Idaho,Jun  7 2021,89
Idaho,Jun  6 2021,87
Idaho,Jun  5 2021,59
Idaho,Jun  4 2021,165
Idaho,Jun  3 2021,152
Idaho,Jun  2 2021,173
Idaho,Jun  1 2021,227
Idaho,May 31 2021,22
Idaho,May 30 2021,22
Idaho,May 29 2021,22
Idaho,May 28 2021,135
Idaho,May 27 2021,139
Idaho,May 26 2021,192
Idaho,May 25 2021,149
Idaho,May 24 2021,126
Idaho,May 23 2021,124
Idaho,May 22 2021,79
Idaho,May 21 2021,168
Idaho,May 20 2021,188
Idaho,May 19 2021,240
Idaho,May 18 2021,193
Idaho,May 17 2021,138
Idaho,May 16 2021,137
Idaho,May 15 2021,96
Idaho,May 14 2021,173
Idaho,May 13 2021,149
Idaho,May 12 2021,225
Idaho,May 11 2021,233
Idaho,May 10 2021,114
Idaho,May  9 2021,113
Idaho,May  8 2021,113
Idaho,May  7 2021,187
Idaho,May  6 2021,166
Idaho,May  5 2021,202
Idaho,May  4 2021,209
Idaho,May  3 2021,125
Idaho,May  2 2021,123
Idaho,May  1 2021,120
Idaho,Apr 30 2021,177
Idaho,Apr 29 2021,210
Idaho,Apr 28 2021,255
Idaho,Apr 27 2021,289
Idaho,Apr 26 2021,360
Idaho,Apr 25 2021,91
Idaho,Apr 24 2021,91
Idaho,Apr 23 2021,190
Idaho,Apr 22 2021,234
Idaho,Apr 21 2021,294
Idaho,Apr 20 2021,238
Idaho,Apr 19 2021,227
Idaho,Apr 18 2021,52
Idaho,Apr 17 2021,179
Idaho,Apr 16 2021,212
Idaho,Apr 15 2021,210
Idaho,Apr 14 2021,437
Idaho,Apr 13 2021,219
Idaho,Apr 12 2021,317
Idaho,Apr 11 2021,0
Idaho,Apr 10 2021,221
Idaho,Apr  9 2021,312
Idaho,Apr  8 2021,310
Idaho,Apr  7 2021,349
Idaho,Apr  6 2021,346
Idaho,Apr  5 2021,655
Idaho,Apr  4 2021,0
Idaho,Apr  3 2021,0
Idaho,Apr  2 2021,284
Idaho,Apr  1 2021,361
Idaho,Mar 31 2021,460
Idaho,Mar 30 2021,313
Idaho,Mar 29 2021,335
Idaho,Mar 28 2021,0
Idaho,Mar 27 2021,224
Idaho,Mar 26 2021,317
Idaho,Mar 25 2021,333
Idaho,Mar 24 2021,435
Idaho,Mar 23 2021,359
Idaho,Mar 22 2021,340
Idaho,Mar 21 2021,0
Idaho,Mar 20 2021,235
Idaho,Mar 19 2021,383
Idaho,Mar 18 2021,341
Idaho,Mar 17 2021,454
Idaho,Mar 16 2021,350
Idaho,Mar 15 2021,421
Idaho,Mar 14 2021,0
Idaho,Mar 13 2021,293
Idaho,Mar 12 2021,333
Idaho,Mar 11 2021,364
Idaho,Mar 10 2021,456
Idaho,Mar  9 2021,481
Idaho,Mar  8 2021,378
Idaho,Mar  7 2021,0
Idaho,Mar  6 2021,104
Idaho,Mar  5 2021,240
Idaho,Mar  4 2021,299
Idaho,Mar  3 2021,452
Idaho,Mar  2 2021,374
Idaho,Mar  1 2021,322
Idaho,Feb 28 2021,0
Idaho,Feb 27 2021,233
Idaho,Feb 26 2021,312
Idaho,Feb 25 2021,306
Idaho,Feb 24 2021,423
Idaho,Feb 23 2021,282
Idaho,Feb 22 2021,434
Idaho,Feb 21 2021,0
Idaho,Feb 20 2021,197
Idaho,Feb 19 2021,314
Idaho,Feb 18 2021,286
Idaho,Feb 17 2021,408
Idaho,Feb 16 2021,462
Idaho,Feb 15 2021,0
Idaho,Feb 14 2021,0
Idaho,Feb 13 2021,258
Idaho,Feb 12 2021,349
Idaho,Feb 11 2021,323
Idaho,Feb 10 2021,458
Idaho,Feb  9 2021,437
Idaho,Feb  8 2021,449
Idaho,Feb  7 2021,0
Idaho,Feb  6 2021,240
Idaho,Feb  5 2021,404
Idaho,Feb  4 2021,402
Idaho,Feb  3 2021,507
Idaho,Feb  2 2021,491
Idaho,Feb  1 2021,482
Idaho,Jan 31 2021,0
Idaho,Jan 30 2021,328
Idaho,Jan 29 2021,635
Idaho,Jan 28 2021,508
Idaho,Jan 27 2021,620
Idaho,Jan 26 2021,559
Idaho,Jan 25 2021,527
Idaho,Jan 24 2021,181
Idaho,Jan 23 2021,527
Idaho,Jan 22 2021,598
Idaho,Jan 21 2021,612
Idaho,Jan 20 2021,810
Idaho,Jan 19 2021,1224
Idaho,Jan 18 2021,0
Idaho,Jan 17 2021,278
Idaho,Jan 16 2021,1918
Idaho,Jan 15 2021,0
Idaho,Jan 14 2021,994
Idaho,Jan 13 2021,1091
Idaho,Jan 12 2021,1034
Idaho,Jan 11 2021,572
Idaho,Jan 10 2021,432
Idaho,Jan  9 2021,977
Idaho,Jan  8 2021,1085
Idaho,Jan  7 2021,1067
Idaho,Jan  6 2021,1263
Idaho,Jan  5 2021,1538
Idaho,Jan  4 2021,798
Idaho,Jan  3 2021,308
Idaho,Jan  2 2021,1122
Idaho,Jan  1 2021,0
Idaho,Dec 31 2020,1213
Idaho,Dec 30 2020,1340
Idaho,Dec 29 2020,1514
Idaho,Dec 28 2020,795
Idaho,Dec 27 2020,428
Idaho,Dec 26 2020,554
Idaho,Dec 25 2020,0
Idaho,Dec 24 2020,1248
Idaho,Dec 23 2020,1391
Idaho,Dec 22 2020,1717
Idaho,Dec 21 2020,917
Idaho,Dec 20 2020,891
Idaho,Dec 19 2020,851
Idaho,Dec 18 2020,1340
Idaho,Dec 17 2020,1426
Idaho,Dec 16 2020,1433
Idaho,Dec 15 2020,1802
Idaho,Dec 14 2020,1038
Idaho,Dec 13 2020,547
Idaho,Dec 12 2020,1022
Idaho,Dec 11 2020,1582
Idaho,Dec 10 2020,1825
Idaho,Dec  9 2020,2298
Idaho,Dec  8 2020,2012
Idaho,Dec  7 2020,1383
Idaho,Dec  6 2020,805
Idaho,Dec  5 2020,1339
Idaho,Dec  4 2020,1911
Idaho,Dec  3 2020,1721
Idaho,Dec  2 2020,1429
Idaho,Dec  1 2020,1607
Idaho,Nov 30 2020,1214
Idaho,Nov 29 2020,824
Idaho,Nov 28 2020,1160
Idaho,Nov 27 2020,1446
Idaho,Nov 26 2020,551
Idaho,Nov 25 2020,1773
Idaho,Nov 24 2020,1640
Idaho,Nov 23 2020,1437
Idaho,Nov 22 2020,819
Idaho,Nov 21 2020,1070
Idaho,Nov 20 2020,1786
Idaho,Nov 19 2020,1543
Idaho,Nov 18 2020,1310
Idaho,Nov 17 2020,1781
Idaho,Nov 16 2020,1099
Idaho,Nov 15 2020,928
Idaho,Nov 14 2020,1519
Idaho,Nov 13 2020,1519
Idaho,Nov 12 2020,1158
Idaho,Nov 11 2020,1693
Idaho,Nov 10 2020,1201
Idaho,Nov  9 2020,1266
Idaho,Nov  8 2020,649
Idaho,Nov  7 2020,1403
Idaho,Nov  6 2020,1330
Idaho,Nov  5 2020,1265
Idaho,Nov  4 2020,1290
Idaho,Nov  3 2020,1179
Idaho,Nov  2 2020,757
Idaho,Nov  1 2020,480
Idaho,Oct 31 2020,798
Idaho,Oct 30 2020,1064
Idaho,Oct 29 2020,961
Idaho,Oct 28 2020,862
Idaho,Oct 27 2020,882
Idaho,Oct 26 2020,697
Idaho,Oct 25 2020,650
Idaho,Oct 24 2020,1021
Idaho,Oct 23 2020,1073
Idaho,Oct 22 2020,950
Idaho,Oct 21 2020,987
Idaho,Oct 20 2020,873
Idaho,Oct 19 2020,698
Idaho,Oct 18 2020,510
Idaho,Oct 17 2020,878
Idaho,Oct 16 2020,1094
Idaho,Oct 15 2020,718
Idaho,Oct 14 2020,645
Idaho,Oct 13 2020,584
Idaho,Oct 12 2020,597
Idaho,Oct 11 2020,365
Idaho,Oct 10 2020,613
Idaho,Oct  9 2020,662
Idaho,Oct  8 2020,673
Idaho,Oct  7 2020,671
Idaho,Oct  6 2020,660
Idaho,Oct  5 2020,458
Idaho,Oct  4 2020,262
Idaho,Oct  3 2020,464
Idaho,Oct  2 2020,677
Idaho,Oct  1 2020,513
Idaho,Sep 30 2020,614
Idaho,Sep 29 2020,511
Idaho,Sep 28 2020,422
Idaho,Sep 27 2020,205
Idaho,Sep 26 2020,539
Idaho,Sep 25 2020,523
Idaho,Sep 24 2020,491
Idaho,Sep 23 2020,396
Idaho,Sep 22 2020,446
Idaho,Sep 21 2020,410
Idaho,Sep 20 2020,244
Idaho,Sep 19 2020,288
Idaho,Sep 18 2020,470
Idaho,Sep 17 2020,396
Idaho,Sep 16 2020,283
Idaho,Sep 15 2020,278
Idaho,Sep 14 2020,253
Idaho,Sep 13 2020,112
Idaho,Sep 12 2020,217
Idaho,Sep 11 2020,333
Idaho,Sep 10 2020,307
Idaho,Sep  9 2020,329
Idaho,Sep  8 2020,240
Idaho,Sep  7 2020,74
Idaho,Sep  6 2020,190
Idaho,Sep  5 2020,281
Idaho,Sep  4 2020,269
Idaho,Sep  3 2020,263
Idaho,Sep  2 2020,296
Idaho,Sep  1 2020,280
Idaho,Aug 31 2020,221
Idaho,Aug 30 2020,190
Idaho,Aug 29 2020,293
Idaho,Aug 28 2020,262
Idaho,Aug 27 2020,342
Idaho,Aug 26 2020,315
Idaho,Aug 25 2020,395
