Data Table for Daily Case Trends - Illinois
Date generated: Mon Nov 15 2021 11:58:53 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Illinois,Nov 12 2021,7952
Illinois,Nov 11 2021,0
Illinois,Nov 10 2021,5044
Illinois,Nov  9 2021,2245
Illinois,Nov  8 2021,7359
Illinois,Nov  7 2021,0
Illinois,Nov  6 2021,0
Illinois,Nov  5 2021,2942
Illinois,Nov  4 2021,4267
Illinois,Nov  3 2021,1746
Illinois,Nov  2 2021,2382
Illinois,Nov  1 2021,6125
Illinois,Oct 31 2021,0
Illinois,Oct 30 2021,0
Illinois,Oct 29 2021,2649
Illinois,Oct 28 2021,2601
Illinois,Oct 27 2021,2013
Illinois,Oct 26 2021,2213
Illinois,Oct 25 2021,5140
Illinois,Oct 24 2021,0
Illinois,Oct 23 2021,0
Illinois,Oct 22 2021,2969
Illinois,Oct 21 2021,2146
Illinois,Oct 20 2021,2447
Illinois,Oct 19 2021,2071
Illinois,Oct 18 2021,1834
Illinois,Oct 17 2021,1832
Illinois,Oct 16 2021,1832
Illinois,Oct 15 2021,2413
Illinois,Oct 14 2021,2481
Illinois,Oct 13 2021,2913
Illinois,Oct 12 2021,1967
Illinois,Oct 11 2021,1965
Illinois,Oct 10 2021,1965
Illinois,Oct  9 2021,1965
Illinois,Oct  8 2021,2744
Illinois,Oct  7 2021,3371
Illinois,Oct  6 2021,2932
Illinois,Oct  5 2021,3058
Illinois,Oct  4 2021,2381
Illinois,Oct  3 2021,2379
Illinois,Oct  2 2021,2379
Illinois,Oct  1 2021,3356
Illinois,Sep 30 2021,3344
Illinois,Sep 29 2021,2989
Illinois,Sep 28 2021,2375
Illinois,Sep 27 2021,2225
Illinois,Sep 26 2021,2223
Illinois,Sep 25 2021,2223
Illinois,Sep 24 2021,3304
Illinois,Sep 23 2021,3505
Illinois,Sep 22 2021,3561
Illinois,Sep 21 2021,3002
Illinois,Sep 20 2021,2805
Illinois,Sep 19 2021,2805
Illinois,Sep 18 2021,2805
Illinois,Sep 17 2021,3601
Illinois,Sep 16 2021,4349
Illinois,Sep 15 2021,4194
Illinois,Sep 14 2021,4660
Illinois,Sep 13 2021,3052
Illinois,Sep 12 2021,3050
Illinois,Sep 11 2021,3050
Illinois,Sep 10 2021,5309
Illinois,Sep  9 2021,4741
Illinois,Sep  8 2021,3961
Illinois,Sep  7 2021,3015
Illinois,Sep  6 2021,3012
Illinois,Sep  5 2021,3012
Illinois,Sep  4 2021,3012
Illinois,Sep  3 2021,5980
Illinois,Sep  2 2021,4224
Illinois,Sep  1 2021,5178
Illinois,Aug 31 2021,4871
Illinois,Aug 30 2021,3356
Illinois,Aug 29 2021,3355
