Data Table for Daily Case Trends - Indiana
Date generated: Mon Nov 15 2021 11:59:00 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Indiana,Nov 12 2021,6728
Indiana,Nov 11 2021,2929
Indiana,Nov 10 2021,2809
Indiana,Nov  9 2021,1968
Indiana,Nov  8 2021,4850
Indiana,Nov  7 2021,0
Indiana,Nov  6 2021,0
Indiana,Nov  5 2021,2310
Indiana,Nov  4 2021,2024
Indiana,Nov  3 2021,1977
Indiana,Nov  2 2021,1371
Indiana,Nov  1 2021,3971
Indiana,Oct 31 2021,0
Indiana,Oct 30 2021,0
Indiana,Oct 29 2021,1916
Indiana,Oct 28 2021,2070
Indiana,Oct 27 2021,2046
Indiana,Oct 26 2021,1409
Indiana,Oct 25 2021,3516
Indiana,Oct 24 2021,0
Indiana,Oct 23 2021,0
Indiana,Oct 22 2021,1884
Indiana,Oct 21 2021,2150
Indiana,Oct 20 2021,1950
Indiana,Oct 19 2021,1534
Indiana,Oct 18 2021,1274
Indiana,Oct 17 2021,1274
Indiana,Oct 16 2021,1274
Indiana,Oct 15 2021,2262
Indiana,Oct 14 2021,2619
Indiana,Oct 13 2021,2695
Indiana,Oct 12 2021,1601
Indiana,Oct 11 2021,1574
Indiana,Oct 10 2021,1573
Indiana,Oct  9 2021,1573
Indiana,Oct  8 2021,3444
Indiana,Oct  7 2021,2198
Indiana,Oct  6 2021,2633
Indiana,Oct  5 2021,2102
Indiana,Oct  4 2021,2029
Indiana,Oct  3 2021,2028
Indiana,Oct  2 2021,2028
Indiana,Oct  1 2021,3174
Indiana,Sep 30 2021,3399
Indiana,Sep 29 2021,2861
Indiana,Sep 28 2021,2318
Indiana,Sep 27 2021,2104
Indiana,Sep 26 2021,2104
Indiana,Sep 25 2021,2104
Indiana,Sep 24 2021,3210
Indiana,Sep 23 2021,3588
Indiana,Sep 22 2021,3899
Indiana,Sep 21 2021,2635
Indiana,Sep 20 2021,2662
Indiana,Sep 19 2021,2660
Indiana,Sep 18 2021,2660
Indiana,Sep 17 2021,4284
Indiana,Sep 16 2021,4090
Indiana,Sep 15 2021,4702
Indiana,Sep 14 2021,3515
Indiana,Sep 13 2021,3391
Indiana,Sep 12 2021,3389
Indiana,Sep 11 2021,3389
Indiana,Sep 10 2021,5328
Indiana,Sep  9 2021,5154
Indiana,Sep  8 2021,2901
Indiana,Sep  7 2021,3246
Indiana,Sep  6 2021,3245
Indiana,Sep  5 2021,3245
Indiana,Sep  4 2021,3245
Indiana,Sep  3 2021,5029
Indiana,Sep  2 2021,5152
Indiana,Sep  1 2021,4733
Indiana,Aug 31 2021,3535
Indiana,Aug 30 2021,3777
Indiana,Aug 29 2021,3777
Indiana,Aug 28 2021,3777
Indiana,Aug 27 2021,4831
Indiana,Aug 26 2021,4901
Indiana,Aug 25 2021,4958
Indiana,Aug 24 2021,3461
Indiana,Aug 23 2021,2800
Indiana,Aug 22 2021,2800
Indiana,Aug 21 2021,2800
Indiana,Aug 20 2021,4103
Indiana,Aug 19 2021,3501
Indiana,Aug 18 2021,3451
Indiana,Aug 17 2021,2691
Indiana,Aug 16 2021,2224
Indiana,Aug 15 2021,2223
Indiana,Aug 14 2021,2223
Indiana,Aug 13 2021,2656
Indiana,Aug 12 2021,3151
Indiana,Aug 11 2021,2458
Indiana,Aug 10 2021,2196
Indiana,Aug  9 2021,1650
Indiana,Aug  8 2021,1648
Indiana,Aug  7 2021,1648
Indiana,Aug  6 2021,2009
Indiana,Aug  5 2021,1900
Indiana,Aug  4 2021,1731
Indiana,Aug  3 2021,1589
Indiana,Aug  2 2021,934
Indiana,Aug  1 2021,932
Indiana,Jul 31 2021,932
Indiana,Jul 30 2021,1424
Indiana,Jul 29 2021,1251
Indiana,Jul 28 2021,1215
Indiana,Jul 27 2021,1058
Indiana,Jul 26 2021,635
Indiana,Jul 25 2021,634
Indiana,Jul 24 2021,634
Indiana,Jul 23 2021,760
Indiana,Jul 22 2021,851
Indiana,Jul 21 2021,710
Indiana,Jul 20 2021,655
Indiana,Jul 19 2021,437
Indiana,Jul 18 2021,436
Indiana,Jul 17 2021,436
Indiana,Jul 16 2021,545
Indiana,Jul 15 2021,556
Indiana,Jul 14 2021,583
Indiana,Jul 13 2021,575
Indiana,Jul 12 2021,282
Indiana,Jul 11 2021,280
Indiana,Jul 10 2021,280
Indiana,Jul  9 2021,437
Indiana,Jul  8 2021,555
Indiana,Jul  7 2021,370
Indiana,Jul  6 2021,244
Indiana,Jul  5 2021,244
Indiana,Jul  4 2021,244
Indiana,Jul  3 2021,244
Indiana,Jul  2 2021,407
Indiana,Jul  1 2021,390
Indiana,Jun 30 2021,399
Indiana,Jun 29 2021,268
Indiana,Jun 28 2021,187
Indiana,Jun 27 2021,187
Indiana,Jun 26 2021,187
Indiana,Jun 25 2021,304
Indiana,Jun 24 2021,287
Indiana,Jun 23 2021,282
Indiana,Jun 22 2021,300
Indiana,Jun 21 2021,71
Indiana,Jun 20 2021,213
Indiana,Jun 19 2021,405
Indiana,Jun 18 2021,405
Indiana,Jun 17 2021,262
Indiana,Jun 16 2021,335
Indiana,Jun 15 2021,303
Indiana,Jun 14 2021,55
Indiana,Jun 13 2021,380
Indiana,Jun 12 2021,443
Indiana,Jun 11 2021,395
Indiana,Jun 10 2021,460
Indiana,Jun  9 2021,352
Indiana,Jun  8 2021,364
Indiana,Jun  7 2021,67
Indiana,Jun  6 2021,462
Indiana,Jun  5 2021,419
Indiana,Jun  4 2021,445
Indiana,Jun  3 2021,1216
Indiana,Jun  2 2021,261
Indiana,Jun  1 2021,65
Indiana,May 31 2021,452
Indiana,May 30 2021,358
Indiana,May 29 2021,428
Indiana,May 28 2021,557
Indiana,May 27 2021,656
Indiana,May 26 2021,644
Indiana,May 25 2021,489
Indiana,May 24 2021,375
Indiana,May 23 2021,563
Indiana,May 22 2021,665
Indiana,May 21 2021,788
Indiana,May 20 2021,891
Indiana,May 19 2021,802
Indiana,May 18 2021,481
Indiana,May 17 2021,537
Indiana,May 16 2021,726
Indiana,May 15 2021,1145
Indiana,May 14 2021,899
Indiana,May 13 2021,882
Indiana,May 12 2021,841
Indiana,May 11 2021,663
Indiana,May 10 2021,590
Indiana,May  9 2021,905
Indiana,May  8 2021,1047
Indiana,May  7 2021,1164
Indiana,May  6 2021,1247
Indiana,May  5 2021,1139
Indiana,May  4 2021,771
Indiana,May  3 2021,797
Indiana,May  2 2021,1069
Indiana,May  1 2021,1152
Indiana,Apr 30 2021,1477
Indiana,Apr 29 2021,1384
Indiana,Apr 28 2021,1258
Indiana,Apr 27 2021,838
Indiana,Apr 26 2021,682
Indiana,Apr 25 2021,827
Indiana,Apr 24 2021,1101
Indiana,Apr 23 2021,1071
Indiana,Apr 22 2021,1180
Indiana,Apr 21 2021,1143
Indiana,Apr 20 2021,676
Indiana,Apr 19 2021,712
Indiana,Apr 18 2021,956
Indiana,Apr 17 2021,1238
Indiana,Apr 16 2021,1287
Indiana,Apr 15 2021,1374
Indiana,Apr 14 2021,1196
Indiana,Apr 13 2021,952
Indiana,Apr 12 2021,846
Indiana,Apr 11 2021,1159
Indiana,Apr 10 2021,1358
Indiana,Apr  9 2021,1339
Indiana,Apr  8 2021,1411
Indiana,Apr  7 2021,1185
Indiana,Apr  6 2021,615
