Data Table for Daily Case Trends - Iowa
Date generated: Mon Nov 15 2021 11:59:09 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Iowa,Nov 12 2021,3090
Iowa,Nov 11 2021,0
Iowa,Nov 10 2021,1195
Iowa,Nov  9 2021,1631
Iowa,Nov  8 2021,3241
Iowa,Nov  7 2021,0
Iowa,Nov  6 2021,0
Iowa,Nov  5 2021,2944
Iowa,Nov  4 2021,0
Iowa,Nov  3 2021,411
Iowa,Nov  2 2021,2167
Iowa,Nov  1 2021,2753
Iowa,Oct 31 2021,0
Iowa,Oct 30 2021,0
Iowa,Oct 29 2021,2396
Iowa,Oct 28 2021,0
Iowa,Oct 27 2021,327
Iowa,Oct 26 2021,2202
Iowa,Oct 25 2021,2054
Iowa,Oct 24 2021,0
Iowa,Oct 23 2021,0
Iowa,Oct 22 2021,1221
Iowa,Oct 21 2021,1219
Iowa,Oct 20 2021,287
Iowa,Oct 19 2021,2210
Iowa,Oct 18 2021,631
Iowa,Oct 17 2021,627
Iowa,Oct 16 2021,627
Iowa,Oct 15 2021,1229
Iowa,Oct 14 2021,1227
Iowa,Oct 13 2021,356
Iowa,Oct 12 2021,2060
Iowa,Oct 11 2021,890
Iowa,Oct 10 2021,886
Iowa,Oct  9 2021,886
Iowa,Oct  8 2021,1535
Iowa,Oct  7 2021,1533
Iowa,Oct  6 2021,377
Iowa,Oct  5 2021,2444
Iowa,Oct  4 2021,1111
Iowa,Oct  3 2021,1109
Iowa,Oct  2 2021,1109
Iowa,Oct  1 2021,1761
Iowa,Sep 30 2021,1761
Iowa,Sep 29 2021,565
Iowa,Sep 28 2021,2454
Iowa,Sep 27 2021,1124
Iowa,Sep 26 2021,1123
Iowa,Sep 25 2021,1123
Iowa,Sep 24 2021,2243
Iowa,Sep 23 2021,2242
Iowa,Sep 22 2021,503
Iowa,Sep 21 2021,2808
Iowa,Sep 20 2021,1213
Iowa,Sep 19 2021,1210
Iowa,Sep 18 2021,1210
Iowa,Sep 17 2021,2581
Iowa,Sep 16 2021,2580
Iowa,Sep 15 2021,561
Iowa,Sep 14 2021,3323
Iowa,Sep 13 2021,1344
Iowa,Sep 12 2021,1341
Iowa,Sep 11 2021,1341
Iowa,Sep 10 2021,2008
Iowa,Sep  9 2021,2008
Iowa,Sep  8 2021,1185
Iowa,Sep  7 2021,1183
Iowa,Sep  6 2021,1071
Iowa,Sep  5 2021,1068
Iowa,Sep  4 2021,1068
Iowa,Sep  3 2021,1594
Iowa,Sep  2 2021,1593
Iowa,Sep  1 2021,1822
Iowa,Aug 31 2021,1821
Iowa,Aug 30 2021,676
Iowa,Aug 29 2021,673
Iowa,Aug 28 2021,673
Iowa,Aug 27 2021,1322
Iowa,Aug 26 2021,1321
Iowa,Aug 25 2021,1280
Iowa,Aug 24 2021,1280
Iowa,Aug 23 2021,787
Iowa,Aug 22 2021,784
Iowa,Aug 21 2021,784
Iowa,Aug 20 2021,1099
Iowa,Aug 19 2021,1098
Iowa,Aug 18 2021,996
Iowa,Aug 17 2021,996
Iowa,Aug 16 2021,587
Iowa,Aug 15 2021,584
Iowa,Aug 14 2021,584
Iowa,Aug 13 2021,975
Iowa,Aug 12 2021,975
Iowa,Aug 11 2021,859
Iowa,Aug 10 2021,858
Iowa,Aug  9 2021,521
Iowa,Aug  8 2021,519
Iowa,Aug  7 2021,519
Iowa,Aug  6 2021,799
Iowa,Aug  5 2021,797
Iowa,Aug  4 2021,646
Iowa,Aug  3 2021,645
Iowa,Aug  2 2021,439
Iowa,Aug  1 2021,437
Iowa,Jul 31 2021,437
Iowa,Jul 30 2021,441
Iowa,Jul 29 2021,440
Iowa,Jul 28 2021,515
Iowa,Jul 27 2021,515
Iowa,Jul 26 2021,196
Iowa,Jul 25 2021,195
Iowa,Jul 24 2021,195
Iowa,Jul 23 2021,287
Iowa,Jul 22 2021,287
Iowa,Jul 21 2021,265
Iowa,Jul 20 2021,263
Iowa,Jul 19 2021,158
Iowa,Jul 18 2021,157
Iowa,Jul 17 2021,157
Iowa,Jul 16 2021,203
Iowa,Jul 15 2021,202
Iowa,Jul 14 2021,187
Iowa,Jul 13 2021,186
Iowa,Jul 12 2021,93
Iowa,Jul 11 2021,92
Iowa,Jul 10 2021,92
Iowa,Jul  9 2021,146
Iowa,Jul  8 2021,144
Iowa,Jul  7 2021,41
Iowa,Jul  6 2021,133
Iowa,Jul  5 2021,20
Iowa,Jul  4 2021,25
Iowa,Jul  3 2021,108
Iowa,Jul  2 2021,45
Iowa,Jul  1 2021,148
Iowa,Jun 30 2021,59
Iowa,Jun 29 2021,161
Iowa,Jun 28 2021,41
Iowa,Jun 27 2021,32
Iowa,Jun 26 2021,127
Iowa,Jun 25 2021,13
Iowa,Jun 24 2021,108
Iowa,Jun 23 2021,23
Iowa,Jun 22 2021,157
Iowa,Jun 21 2021,17
Iowa,Jun 20 2021,77
Iowa,Jun 19 2021,75
Iowa,Jun 18 2021,75
Iowa,Jun 17 2021,59
Iowa,Jun 16 2021,85
Iowa,Jun 15 2021,103
Iowa,Jun 14 2021,72
Iowa,Jun 13 2021,52
Iowa,Jun 12 2021,127
Iowa,Jun 11 2021,89
Iowa,Jun 10 2021,69
Iowa,Jun  9 2021,87
Iowa,Jun  8 2021,89
Iowa,Jun  7 2021,35
Iowa,Jun  6 2021,73
Iowa,Jun  5 2021,93
Iowa,Jun  4 2021,102
Iowa,Jun  3 2021,126
Iowa,Jun  2 2021,162
Iowa,Jun  1 2021,49
Iowa,May 31 2021,40
Iowa,May 30 2021,53
Iowa,May 29 2021,105
Iowa,May 28 2021,88
Iowa,May 27 2021,102
Iowa,May 26 2021,161
Iowa,May 25 2021,160
Iowa,May 24 2021,90
Iowa,May 23 2021,108
Iowa,May 22 2021,154
Iowa,May 21 2021,168
Iowa,May 20 2021,208
Iowa,May 19 2021,297
Iowa,May 18 2021,201
Iowa,May 17 2021,121
Iowa,May 16 2021,138
Iowa,May 15 2021,170
Iowa,May 14 2021,237
Iowa,May 13 2021,257
Iowa,May 12 2021,376
Iowa,May 11 2021,281
Iowa,May 10 2021,194
Iowa,May  9 2021,154
Iowa,May  8 2021,264
Iowa,May  7 2021,351
Iowa,May  6 2021,380
Iowa,May  5 2021,440
Iowa,May  4 2021,506
Iowa,May  3 2021,101
Iowa,May  2 2021,291
Iowa,May  1 2021,386
Iowa,Apr 30 2021,366
Iowa,Apr 29 2021,443
Iowa,Apr 28 2021,503
Iowa,Apr 27 2021,372
Iowa,Apr 26 2021,235
Iowa,Apr 25 2021,191
Iowa,Apr 24 2021,398
Iowa,Apr 23 2021,440
Iowa,Apr 22 2021,470
Iowa,Apr 21 2021,642
Iowa,Apr 20 2021,609
Iowa,Apr 19 2021,160
Iowa,Apr 18 2021,249
Iowa,Apr 17 2021,504
Iowa,Apr 16 2021,387
Iowa,Apr 15 2021,478
Iowa,Apr 14 2021,656
Iowa,Apr 13 2021,561
Iowa,Apr 12 2021,232
Iowa,Apr 11 2021,437
Iowa,Apr 10 2021,441
Iowa,Apr  9 2021,615
Iowa,Apr  8 2021,631
Iowa,Apr  7 2021,750
Iowa,Apr  6 2021,524
Iowa,Apr  5 2021,268
