Data Table for Daily Case Trends - Kansas
Date generated: Mon Nov 15 2021 11:59:19 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Kansas,Nov 12 2021,2705
Kansas,Nov 11 2021,0
Kansas,Nov 10 2021,2857
Kansas,Nov  9 2021,590
Kansas,Nov  8 2021,1339
Kansas,Nov  7 2021,0
Kansas,Nov  6 2021,0
Kansas,Nov  5 2021,2107
Kansas,Nov  4 2021,0
Kansas,Nov  3 2021,2263
Kansas,Nov  2 2021,0
Kansas,Nov  1 2021,1287
Kansas,Oct 31 2021,0
Kansas,Oct 30 2021,0
Kansas,Oct 29 2021,1916
Kansas,Oct 28 2021,0
Kansas,Oct 27 2021,2437
Kansas,Oct 26 2021,0
Kansas,Oct 25 2021,1477
Kansas,Oct 24 2021,0
Kansas,Oct 23 2021,0
Kansas,Oct 22 2021,947
Kansas,Oct 21 2021,946
Kansas,Oct 20 2021,1061
Kansas,Oct 19 2021,1060
Kansas,Oct 18 2021,508
Kansas,Oct 17 2021,506
Kansas,Oct 16 2021,506
Kansas,Oct 15 2021,910
Kansas,Oct 14 2021,910
Kansas,Oct 13 2021,1061
Kansas,Oct 12 2021,1060
Kansas,Oct 11 2021,567
Kansas,Oct 10 2021,566
Kansas,Oct  9 2021,566
Kansas,Oct  8 2021,1106
Kansas,Oct  7 2021,1105
Kansas,Oct  6 2021,1156
Kansas,Oct  5 2021,1156
Kansas,Oct  4 2021,607
Kansas,Oct  3 2021,605
Kansas,Oct  2 2021,605
Kansas,Oct  1 2021,1184
Kansas,Sep 30 2021,1184
Kansas,Sep 29 2021,1241
Kansas,Sep 28 2021,1240
Kansas,Sep 27 2021,666
Kansas,Sep 26 2021,664
Kansas,Sep 25 2021,664
Kansas,Sep 24 2021,1265
Kansas,Sep 23 2021,1263
Kansas,Sep 22 2021,1281
Kansas,Sep 21 2021,1281
Kansas,Sep 20 2021,822
Kansas,Sep 19 2021,820
Kansas,Sep 18 2021,820
Kansas,Sep 17 2021,1606
Kansas,Sep 16 2021,1605
Kansas,Sep 15 2021,1833
Kansas,Sep 14 2021,1832
Kansas,Sep 13 2021,961
Kansas,Sep 12 2021,959
Kansas,Sep 11 2021,959
Kansas,Sep 10 2021,2151
Kansas,Sep  9 2021,2151
Kansas,Sep  8 2021,1147
Kansas,Sep  7 2021,1145
Kansas,Sep  6 2021,1145
Kansas,Sep  5 2021,1145
Kansas,Sep  4 2021,1145
Kansas,Sep  3 2021,1977
Kansas,Sep  2 2021,1975
Kansas,Sep  1 2021,2098
Kansas,Aug 31 2021,2097
Kansas,Aug 30 2021,1069
Kansas,Aug 29 2021,1067
Kansas,Aug 28 2021,1067
Kansas,Aug 27 2021,1726
Kansas,Aug 26 2021,1726
Kansas,Aug 25 2021,1740
Kansas,Aug 24 2021,1738
Kansas,Aug 23 2021,928
Kansas,Aug 22 2021,925
Kansas,Aug 21 2021,925
Kansas,Aug 20 2021,1338
Kansas,Aug 19 2021,1337
Kansas,Aug 18 2021,1504
Kansas,Aug 17 2021,1502
Kansas,Aug 16 2021,820
Kansas,Aug 15 2021,818
Kansas,Aug 14 2021,818
Kansas,Aug 13 2021,1496
Kansas,Aug 12 2021,1495
Kansas,Aug 11 2021,1371
Kansas,Aug 10 2021,1370
Kansas,Aug  9 2021,891
Kansas,Aug  8 2021,889
Kansas,Aug  7 2021,889
Kansas,Aug  6 2021,1089
Kansas,Aug  5 2021,1088
Kansas,Aug  4 2021,1357
Kansas,Aug  3 2021,1357
Kansas,Aug  2 2021,569
Kansas,Aug  1 2021,567
Kansas,Jul 31 2021,567
Kansas,Jul 30 2021,1001
Kansas,Jul 29 2021,1000
Kansas,Jul 28 2021,1089
Kansas,Jul 27 2021,1088
Kansas,Jul 26 2021,498
Kansas,Jul 25 2021,495
Kansas,Jul 24 2021,495
Kansas,Jul 23 2021,770
Kansas,Jul 22 2021,769
Kansas,Jul 21 2021,771
Kansas,Jul 20 2021,770
Kansas,Jul 19 2021,270
Kansas,Jul 18 2021,266
Kansas,Jul 17 2021,266
Kansas,Jul 16 2021,561
Kansas,Jul 15 2021,560
Kansas,Jul 14 2021,578
Kansas,Jul 13 2021,577
