Data Table for Daily Case Trends - Kentucky
Date generated: Mon Nov 15 2021 11:59:32 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Kentucky,Nov 12 2021,2919
Kentucky,Nov 11 2021,0
Kentucky,Nov 10 2021,1895
Kentucky,Nov  9 2021,1469
Kentucky,Nov  8 2021,477
Kentucky,Nov  7 2021,535
Kentucky,Nov  6 2021,1007
Kentucky,Nov  5 2021,1168
Kentucky,Nov  4 2021,1156
Kentucky,Nov  3 2021,1304
Kentucky,Nov  2 2021,1132
Kentucky,Nov  1 2021,509
Kentucky,Oct 31 2021,544
Kentucky,Oct 30 2021,923
Kentucky,Oct 29 2021,1305
Kentucky,Oct 28 2021,1403
Kentucky,Oct 27 2021,1441
Kentucky,Oct 26 2021,1064
Kentucky,Oct 25 2021,504
Kentucky,Oct 24 2021,826
Kentucky,Oct 23 2021,1087
Kentucky,Oct 22 2021,1274
Kentucky,Oct 21 2021,1405
Kentucky,Oct 20 2021,1518
Kentucky,Oct 19 2021,1341
Kentucky,Oct 18 2021,551
Kentucky,Oct 17 2021,715
Kentucky,Oct 16 2021,1395
Kentucky,Oct 15 2021,1598
Kentucky,Oct 14 2021,2028
Kentucky,Oct 13 2021,2047
Kentucky,Oct 12 2021,1888
Kentucky,Oct 11 2021,784
Kentucky,Oct 10 2021,1534
Kentucky,Oct  9 2021,1933
Kentucky,Oct  8 2021,1683
Kentucky,Oct  7 2021,2257
Kentucky,Oct  6 2021,2387
Kentucky,Oct  5 2021,2320
Kentucky,Oct  4 2021,1170
Kentucky,Oct  3 2021,1156
Kentucky,Oct  2 2021,2223
Kentucky,Oct  1 2021,3949
Kentucky,Sep 30 2021,2108
Kentucky,Sep 29 2021,3496
Kentucky,Sep 28 2021,4267
Kentucky,Sep 27 2021,1532
Kentucky,Sep 26 2021,1744
Kentucky,Sep 25 2021,3092
Kentucky,Sep 24 2021,3599
Kentucky,Sep 23 2021,3712
Kentucky,Sep 22 2021,4052
Kentucky,Sep 21 2021,3261
Kentucky,Sep 20 2021,1855
Kentucky,Sep 19 2021,2898
Kentucky,Sep 18 2021,3613
Kentucky,Sep 17 2021,4739
Kentucky,Sep 16 2021,4692
Kentucky,Sep 15 2021,4820
Kentucky,Sep 14 2021,4579
Kentucky,Sep 13 2021,2308
Kentucky,Sep 12 2021,3341
Kentucky,Sep 11 2021,4625
Kentucky,Sep 10 2021,5259
Kentucky,Sep  9 2021,5699
Kentucky,Sep  8 2021,4719
Kentucky,Sep  7 2021,2446
Kentucky,Sep  6 2021,2676
Kentucky,Sep  5 2021,3551
Kentucky,Sep  4 2021,4879
Kentucky,Sep  3 2021,5425
Kentucky,Sep  2 2021,6142
Kentucky,Sep  1 2021,5317
Kentucky,Aug 31 2021,4723
Kentucky,Aug 30 2021,2823
Kentucky,Aug 29 2021,3634
Kentucky,Aug 28 2021,4504
Kentucky,Aug 27 2021,5353
Kentucky,Aug 26 2021,5720
Kentucky,Aug 25 2021,5455
Kentucky,Aug 24 2021,4394
Kentucky,Aug 23 2021,2609
Kentucky,Aug 22 2021,3065
Kentucky,Aug 21 2021,3900
Kentucky,Aug 20 2021,4186
Kentucky,Aug 19 2021,5027
Kentucky,Aug 18 2021,4144
Kentucky,Aug 17 2021,3635
Kentucky,Aug 16 2021,2042
Kentucky,Aug 15 2021,2635
Kentucky,Aug 14 2021,2790
Kentucky,Aug 13 2021,3365
Kentucky,Aug 12 2021,3445
Kentucky,Aug 11 2021,3240
Kentucky,Aug 10 2021,2493
Kentucky,Aug  9 2021,1483
Kentucky,Aug  8 2021,1638
Kentucky,Aug  7 2021,2444
Kentucky,Aug  6 2021,2677
Kentucky,Aug  5 2021,2262
Kentucky,Aug  4 2021,2630
Kentucky,Aug  3 2021,1955
Kentucky,Aug  2 2021,1181
Kentucky,Aug  1 2021,1037
Kentucky,Jul 31 2021,1552
Kentucky,Jul 30 2021,1700
Kentucky,Jul 29 2021,1705
Kentucky,Jul 28 2021,1591
Kentucky,Jul 27 2021,1325
Kentucky,Jul 26 2021,730
Kentucky,Jul 25 2021,566
Kentucky,Jul 24 2021,1074
Kentucky,Jul 23 2021,941
Kentucky,Jul 22 2021,980
Kentucky,Jul 21 2021,1016
Kentucky,Jul 20 2021,842
Kentucky,Jul 19 2021,367
Kentucky,Jul 18 2021,361
Kentucky,Jul 17 2021,584
Kentucky,Jul 16 2021,570
Kentucky,Jul 15 2021,569
Kentucky,Jul 14 2021,615
Kentucky,Jul 13 2021,496
Kentucky,Jul 12 2021,197
Kentucky,Jul 11 2021,234
Kentucky,Jul 10 2021,355
Kentucky,Jul  9 2021,407
Kentucky,Jul  8 2021,315
Kentucky,Jul  7 2021,382
Kentucky,Jul  6 2021,139
Kentucky,Jul  5 2021,96
Kentucky,Jul  4 2021,118
Kentucky,Jul  3 2021,200
Kentucky,Jul  2 2021,186
Kentucky,Jul  1 2021,195
Kentucky,Jun 30 2021,236
Kentucky,Jun 29 2021,228
Kentucky,Jun 28 2021,87
Kentucky,Jun 27 2021,84
Kentucky,Jun 26 2021,155
Kentucky,Jun 25 2021,192
Kentucky,Jun 24 2021,197
Kentucky,Jun 23 2021,192
Kentucky,Jun 22 2021,201
Kentucky,Jun 21 2021,62
Kentucky,Jun 20 2021,98
Kentucky,Jun 19 2021,157
Kentucky,Jun 18 2021,188
Kentucky,Jun 17 2021,208
Kentucky,Jun 16 2021,221
Kentucky,Jun 15 2021,237
Kentucky,Jun 14 2021,92
Kentucky,Jun 13 2021,90
Kentucky,Jun 12 2021,226
Kentucky,Jun 11 2021,207
Kentucky,Jun 10 2021,232
Kentucky,Jun  9 2021,265
Kentucky,Jun  8 2021,487
Kentucky,Jun  7 2021,44
Kentucky,Jun  6 2021,28
Kentucky,Jun  5 2021,183
Kentucky,Jun  4 2021,269
Kentucky,Jun  3 2021,267
Kentucky,Jun  2 2021,274
Kentucky,Jun  1 2021,127
Kentucky,May 31 2021,120
Kentucky,May 30 2021,127
Kentucky,May 29 2021,276
Kentucky,May 28 2021,295
Kentucky,May 27 2021,339
Kentucky,May 26 2021,355
Kentucky,May 25 2021,377
Kentucky,May 24 2021,129
Kentucky,May 23 2021,230
Kentucky,May 22 2021,310
Kentucky,May 21 2021,396
Kentucky,May 20 2021,454
Kentucky,May 19 2021,489
Kentucky,May 18 2021,531
Kentucky,May 17 2021,182
Kentucky,May 16 2021,203
Kentucky,May 15 2021,387
Kentucky,May 14 2021,470
Kentucky,May 13 2021,566
Kentucky,May 12 2021,560
Kentucky,May 11 2021,506
Kentucky,May 10 2021,171
Kentucky,May  9 2021,233
Kentucky,May  8 2021,470
Kentucky,May  7 2021,604
Kentucky,May  6 2021,611
Kentucky,May  5 2021,675
Kentucky,May  4 2021,694
Kentucky,May  3 2021,220
Kentucky,May  2 2021,349
Kentucky,May  1 2021,552
Kentucky,Apr 30 2021,646
Kentucky,Apr 29 2021,649
Kentucky,Apr 28 2021,681
Kentucky,Apr 27 2021,721
Kentucky,Apr 26 2021,202
Kentucky,Apr 25 2021,348
Kentucky,Apr 24 2021,483
Kentucky,Apr 23 2021,557
Kentucky,Apr 22 2021,568
Kentucky,Apr 21 2021,726
Kentucky,Apr 20 2021,597
Kentucky,Apr 19 2021,248
Kentucky,Apr 18 2021,312
Kentucky,Apr 17 2021,626
Kentucky,Apr 16 2021,660
Kentucky,Apr 15 2021,764
Kentucky,Apr 14 2021,841
Kentucky,Apr 13 2021,746
Kentucky,Apr 12 2021,265
Kentucky,Apr 11 2021,387
Kentucky,Apr 10 2021,544
Kentucky,Apr  9 2021,697
Kentucky,Apr  8 2021,611
Kentucky,Apr  7 2021,661
Kentucky,Apr  6 2021,630
Kentucky,Apr  5 2021,187
Kentucky,Apr  4 2021,275
Kentucky,Apr  3 2021,457
Kentucky,Apr  2 2021,587
Kentucky,Apr  1 2021,665
Kentucky,Mar 31 2021,682
Kentucky,Mar 30 2021,632
Kentucky,Mar 29 2021,273
Kentucky,Mar 28 2021,350
Kentucky,Mar 27 2021,540
Kentucky,Mar 26 2021,600
Kentucky,Mar 25 2021,711
Kentucky,Mar 24 2021,671
Kentucky,Mar 23 2021,688
Kentucky,Mar 22 2021,256
Kentucky,Mar 21 2021,313
Kentucky,Mar 20 2021,650
Kentucky,Mar 19 2021,686
Kentucky,Mar 18 2021,639
Kentucky,Mar 17 2021,897
Kentucky,Mar 16 2021,647
Kentucky,Mar 15 2021,268
Kentucky,Mar 14 2021,337
Kentucky,Mar 13 2021,693
Kentucky,Mar 12 2021,648
Kentucky,Mar 11 2021,961
Kentucky,Mar 10 2021,937
Kentucky,Mar  9 2021,725
Kentucky,Mar  8 2021,270
Kentucky,Mar  7 2021,424
Kentucky,Mar  6 2021,744
Kentucky,Mar  5 2021,778
Kentucky,Mar  4 2021,964
Kentucky,Mar  3 2021,941
Kentucky,Mar  2 2021,977
Kentucky,Mar  1 2021,353
Kentucky,Feb 28 2021,693
Kentucky,Feb 27 2021,952
Kentucky,Feb 26 2021,978
Kentucky,Feb 25 2021,1352
Kentucky,Feb 24 2021,1212
Kentucky,Feb 23 2021,1319
Kentucky,Feb 22 2021,507
Kentucky,Feb 21 2021,934
Kentucky,Feb 20 2021,1334
Kentucky,Feb 19 2021,1513
Kentucky,Feb 18 2021,1361
Kentucky,Feb 17 2021,754
Kentucky,Feb 16 2021,1172
Kentucky,Feb 15 2021,708
Kentucky,Feb 14 2021,1096
Kentucky,Feb 13 2021,1270
Kentucky,Feb 12 2021,1376
Kentucky,Feb 11 2021,1752
Kentucky,Feb 10 2021,2131
Kentucky,Feb  9 2021,2139
Kentucky,Feb  8 2021,1001
Kentucky,Feb  7 2021,1941
Kentucky,Feb  6 2021,1785
Kentucky,Feb  5 2021,2224
Kentucky,Feb  4 2021,2296
Kentucky,Feb  3 2021,2484
Kentucky,Feb  2 2021,2301
Kentucky,Feb  1 2021,1633
Kentucky,Jan 31 2021,1731
Kentucky,Jan 30 2021,2592
Kentucky,Jan 29 2021,2765
Kentucky,Jan 28 2021,2371
Kentucky,Jan 27 2021,3061
Kentucky,Jan 26 2021,2829
Kentucky,Jan 25 2021,1391
Kentucky,Jan 24 2021,2168
Kentucky,Jan 23 2021,3105
Kentucky,Jan 22 2021,3610
Kentucky,Jan 21 2021,3955
Kentucky,Jan 20 2021,3613
Kentucky,Jan 19 2021,2324
Kentucky,Jan 18 2021,1920
Kentucky,Jan 17 2021,2421
Kentucky,Jan 16 2021,3233
