Data Table for Daily Case Trends - Louisiana
Date generated: Mon Nov 15 2021 11:59:40 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Louisiana,Nov 12 2021,726
Louisiana,Nov 11 2021,0
Louisiana,Nov 10 2021,495
Louisiana,Nov  9 2021,474
Louisiana,Nov  8 2021,810
Louisiana,Nov  7 2021,0
Louisiana,Nov  6 2021,0
Louisiana,Nov  5 2021,538
Louisiana,Nov  4 2021,620
Louisiana,Nov  3 2021,445
Louisiana,Nov  2 2021,246
Louisiana,Nov  1 2021,1529
Louisiana,Oct 31 2021,0
Louisiana,Oct 30 2021,0
Louisiana,Oct 29 2021,241
Louisiana,Oct 28 2021,491
Louisiana,Oct 27 2021,770
Louisiana,Oct 26 2021,460
Louisiana,Oct 25 2021,878
Louisiana,Oct 24 2021,0
Louisiana,Oct 23 2021,0
Louisiana,Oct 22 2021,681
Louisiana,Oct 21 2021,923
Louisiana,Oct 20 2021,495
Louisiana,Oct 19 2021,581
Louisiana,Oct 18 2021,361
Louisiana,Oct 17 2021,358
Louisiana,Oct 16 2021,358
Louisiana,Oct 15 2021,559
Louisiana,Oct 14 2021,842
Louisiana,Oct 13 2021,551
Louisiana,Oct 12 2021,1129
Louisiana,Oct 11 2021,490
Louisiana,Oct 10 2021,487
Louisiana,Oct  9 2021,487
Louisiana,Oct  8 2021,787
Louisiana,Oct  7 2021,971
Louisiana,Oct  6 2021,920
Louisiana,Oct  5 2021,1020
Louisiana,Oct  4 2021,575
Louisiana,Oct  3 2021,575
Louisiana,Oct  2 2021,575
Louisiana,Oct  1 2021,1373
Louisiana,Sep 30 2021,872
Louisiana,Sep 29 2021,1048
Louisiana,Sep 28 2021,1031
Louisiana,Sep 27 2021,1022
Louisiana,Sep 26 2021,1018
Louisiana,Sep 25 2021,1018
Louisiana,Sep 24 2021,1002
Louisiana,Sep 23 2021,1517
Louisiana,Sep 22 2021,1906
Louisiana,Sep 21 2021,1268
Louisiana,Sep 20 2021,1066
Louisiana,Sep 19 2021,1064
Louisiana,Sep 18 2021,1064
Louisiana,Sep 17 2021,2179
Louisiana,Sep 16 2021,1663
Louisiana,Sep 15 2021,2371
Louisiana,Sep 14 2021,2200
Louisiana,Sep 13 2021,1550
Louisiana,Sep 12 2021,1550
Louisiana,Sep 11 2021,1550
Louisiana,Sep 10 2021,2173
Louisiana,Sep  9 2021,4903
Louisiana,Sep  8 2021,3066
Louisiana,Sep  7 2021,1386
Louisiana,Sep  6 2021,1382
Louisiana,Sep  5 2021,1382
Louisiana,Sep  4 2021,1382
Louisiana,Sep  3 2021,2625
Louisiana,Sep  2 2021,2099
Louisiana,Sep  1 2021,2476
Louisiana,Aug 31 2021,2476
Louisiana,Aug 30 2021,2476
Louisiana,Aug 29 2021,2476
Louisiana,Aug 28 2021,2476
Louisiana,Aug 27 2021,3428
Louisiana,Aug 26 2021,5131
Louisiana,Aug 25 2021,6619
Louisiana,Aug 24 2021,3814
Louisiana,Aug 23 2021,3631
Louisiana,Aug 22 2021,3629
Louisiana,Aug 21 2021,3629
Louisiana,Aug 20 2021,5922
Louisiana,Aug 19 2021,5550
Louisiana,Aug 18 2021,6606
Louisiana,Aug 17 2021,3691
Louisiana,Aug 16 2021,4458
Louisiana,Aug 15 2021,4456
Louisiana,Aug 14 2021,4456
Louisiana,Aug 13 2021,7548
Louisiana,Aug 12 2021,5287
Louisiana,Aug 11 2021,5407
Louisiana,Aug 10 2021,6088
Louisiana,Aug  9 2021,5517
Louisiana,Aug  8 2021,5513
Louisiana,Aug  7 2021,5513
Louisiana,Aug  6 2021,6116
Louisiana,Aug  5 2021,5468
Louisiana,Aug  4 2021,4779
Louisiana,Aug  3 2021,4753
Louisiana,Aug  2 2021,3704
Louisiana,Aug  1 2021,3702
Louisiana,Jul 31 2021,3702
Louisiana,Jul 30 2021,5313
