Data Table for Daily Case Trends - Maryland
Date generated: Mon Nov 15 2021 11:59:56 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Maryland,Nov 12 2021,983
Maryland,Nov 11 2021,909
Maryland,Nov 10 2021,985
Maryland,Nov  9 2021,844
Maryland,Nov  8 2021,1003
Maryland,Nov  7 2021,727
Maryland,Nov  6 2021,0
Maryland,Nov  5 2021,791
Maryland,Nov  4 2021,868
Maryland,Nov  3 2021,1496
Maryland,Nov  2 2021,0
Maryland,Nov  1 2021,930
Maryland,Oct 31 2021,636
Maryland,Oct 30 2021,0
Maryland,Oct 29 2021,871
Maryland,Oct 28 2021,911
Maryland,Oct 27 2021,929
Maryland,Oct 26 2021,731
Maryland,Oct 25 2021,1109
Maryland,Oct 24 2021,717
Maryland,Oct 23 2021,0
Maryland,Oct 22 2021,910
Maryland,Oct 21 2021,863
Maryland,Oct 20 2021,1069
Maryland,Oct 19 2021,717
Maryland,Oct 18 2021,1257
Maryland,Oct 17 2021,436
Maryland,Oct 16 2021,435
Maryland,Oct 15 2021,936
Maryland,Oct 14 2021,1068
Maryland,Oct 13 2021,1123
Maryland,Oct 12 2021,1113
Maryland,Oct 11 2021,1220
Maryland,Oct 10 2021,667
Maryland,Oct  9 2021,666
Maryland,Oct  8 2021,1260
Maryland,Oct  7 2021,1175
Maryland,Oct  6 2021,1398
Maryland,Oct  5 2021,1077
Maryland,Oct  4 2021,1727
Maryland,Oct  3 2021,546
Maryland,Oct  2 2021,546
Maryland,Oct  1 2021,1287
Maryland,Sep 30 2021,1530
Maryland,Sep 29 2021,1479
Maryland,Sep 28 2021,1126
Maryland,Sep 27 2021,1931
Maryland,Sep 26 2021,557
Maryland,Sep 25 2021,557
Maryland,Sep 24 2021,1566
Maryland,Sep 23 2021,1364
Maryland,Sep 22 2021,1405
Maryland,Sep 21 2021,1145
Maryland,Sep 20 2021,2113
Maryland,Sep 19 2021,518
Maryland,Sep 18 2021,518
Maryland,Sep 17 2021,1277
Maryland,Sep 16 2021,1525
Maryland,Sep 15 2021,1330
Maryland,Sep 14 2021,1189
Maryland,Sep 13 2021,2197
Maryland,Sep 12 2021,575
Maryland,Sep 11 2021,575
Maryland,Sep 10 2021,376
Maryland,Sep  9 2021,2553
Maryland,Sep  8 2021,907
Maryland,Sep  7 2021,701
Maryland,Sep  6 2021,1822
Maryland,Sep  5 2021,403
Maryland,Sep  4 2021,402
Maryland,Sep  3 2021,1194
Maryland,Sep  2 2021,1387
Maryland,Sep  1 2021,1272
Maryland,Aug 31 2021,1374
Maryland,Aug 30 2021,2020
Maryland,Aug 29 2021,530
Maryland,Aug 28 2021,529
Maryland,Aug 27 2021,1375
Maryland,Aug 26 2021,1374
Maryland,Aug 25 2021,1217
Maryland,Aug 24 2021,1217
Maryland,Aug 23 2021,1772
Maryland,Aug 22 2021,495
Maryland,Aug 21 2021,495
Maryland,Aug 20 2021,1131
Maryland,Aug 19 2021,1206
Maryland,Aug 18 2021,1060
Maryland,Aug 17 2021,1012
Maryland,Aug 16 2021,1617
Maryland,Aug 15 2021,435
Maryland,Aug 14 2021,434
Maryland,Aug 13 2021,1016
Maryland,Aug 12 2021,950
Maryland,Aug 11 2021,1047
Maryland,Aug 10 2021,886
Maryland,Aug  9 2021,1215
Maryland,Aug  8 2021,427
Maryland,Aug  7 2021,426
Maryland,Aug  6 2021,892
Maryland,Aug  5 2021,890
Maryland,Aug  4 2021,729
Maryland,Aug  3 2021,695
Maryland,Aug  2 2021,815
Maryland,Aug  1 2021,274
Maryland,Jul 31 2021,273
Maryland,Jul 30 2021,587
Maryland,Jul 29 2021,526
Maryland,Jul 28 2021,505
Maryland,Jul 27 2021,416
Maryland,Jul 26 2021,565
Maryland,Jul 25 2021,153
Maryland,Jul 24 2021,153
Maryland,Jul 23 2021,317
Maryland,Jul 22 2021,288
Maryland,Jul 21 2021,303
Maryland,Jul 20 2021,244
Maryland,Jul 19 2021,294
Maryland,Jul 18 2021,83
Maryland,Jul 17 2021,83
Maryland,Jul 16 2021,183
Maryland,Jul 15 2021,183
Maryland,Jul 14 2021,178
Maryland,Jul 13 2021,104
Maryland,Jul 12 2021,197
Maryland,Jul 11 2021,40
Maryland,Jul 10 2021,39
Maryland,Jul  9 2021,136
Maryland,Jul  8 2021,136
Maryland,Jul  7 2021,99
Maryland,Jul  6 2021,55
Maryland,Jul  5 2021,85
Maryland,Jul  4 2021,31
Maryland,Jul  3 2021,30
Maryland,Jul  2 2021,96
Maryland,Jul  1 2021,85
Maryland,Jun 30 2021,75
Maryland,Jun 29 2021,62
Maryland,Jun 28 2021,73
Maryland,Jun 27 2021,33
Maryland,Jun 26 2021,33
Maryland,Jun 25 2021,61
Maryland,Jun 24 2021,64
Maryland,Jun 23 2021,66
Maryland,Jun 22 2021,59
Maryland,Jun 21 2021,31
Maryland,Jun 20 2021,29
Maryland,Jun 19 2021,29
Maryland,Jun 18 2021,104
Maryland,Jun 17 2021,86
Maryland,Jun 16 2021,79
Maryland,Jun 15 2021,78
Maryland,Jun 14 2021,67
Maryland,Jun 13 2021,60
Maryland,Jun 12 2021,82
Maryland,Jun 11 2021,86
Maryland,Jun 10 2021,113
Maryland,Jun  9 2021,121
Maryland,Jun  8 2021,126
Maryland,Jun  7 2021,78
Maryland,Jun  6 2021,84
Maryland,Jun  5 2021,103
Maryland,Jun  4 2021,133
Maryland,Jun  3 2021,279
Maryland,Jun  2 2021,65
Maryland,Jun  1 2021,51
Maryland,May 31 2021,50
Maryland,May 30 2021,183
Maryland,May 29 2021,182
Maryland,May 28 2021,186
Maryland,May 27 2021,248
Maryland,May 26 2021,208
Maryland,May 25 2021,207
Maryland,May 24 2021,160
Maryland,May 23 2021,228
Maryland,May 22 2021,765
Maryland,May 21 2021,222
Maryland,May 20 2021,221
Maryland,May 19 2021,328
Maryland,May 18 2021,328
Maryland,May 17 2021,212
Maryland,May 16 2021,212
Maryland,May 15 2021,369
Maryland,May 14 2021,378
Maryland,May 13 2021,512
Maryland,May 12 2021,474
Maryland,May 11 2021,471
Maryland,May 10 2021,399
Maryland,May  9 2021,276
Maryland,May  8 2021,434
Maryland,May  7 2021,656
Maryland,May  6 2021,768
Maryland,May  5 2021,578
Maryland,May  4 2021,679
Maryland,May  3 2021,501
Maryland,May  2 2021,520
Maryland,May  1 2021,649
Maryland,Apr 30 2021,939
Maryland,Apr 29 2021,942
Maryland,Apr 28 2021,966
Maryland,Apr 27 2021,1002
Maryland,Apr 26 2021,677
