Data Table for Daily Case Trends - Massachusetts
Date generated: Mon Nov 15 2021 12:00:06 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Massachusetts,Nov 12 2021,3988
Massachusetts,Nov 11 2021,0
Massachusetts,Nov 10 2021,1948
Massachusetts,Nov  9 2021,1539
Massachusetts,Nov  8 2021,4326
Massachusetts,Nov  7 2021,0
Massachusetts,Nov  6 2021,0
Massachusetts,Nov  5 2021,1767
Massachusetts,Nov  4 2021,1754
Massachusetts,Nov  3 2021,1465
Massachusetts,Nov  2 2021,1264
Massachusetts,Nov  1 2021,3308
Massachusetts,Oct 31 2021,0
Massachusetts,Oct 30 2021,0
Massachusetts,Oct 29 2021,1391
Massachusetts,Oct 28 2021,1584
Massachusetts,Oct 27 2021,1435
Massachusetts,Oct 26 2021,1468
Massachusetts,Oct 25 2021,3392
Massachusetts,Oct 24 2021,0
Massachusetts,Oct 23 2021,0
Massachusetts,Oct 22 2021,1454
Massachusetts,Oct 21 2021,1381
Massachusetts,Oct 20 2021,1470
Massachusetts,Oct 19 2021,2045
Massachusetts,Oct 18 2021,999
Massachusetts,Oct 17 2021,996
Massachusetts,Oct 16 2021,996
Massachusetts,Oct 15 2021,1649
Massachusetts,Oct 14 2021,1789
Massachusetts,Oct 13 2021,1763
Massachusetts,Oct 12 2021,1160
Massachusetts,Oct 11 2021,1155
Massachusetts,Oct 10 2021,1155
Massachusetts,Oct  9 2021,1155
Massachusetts,Oct  8 2021,1824
Massachusetts,Oct  7 2021,1722
Massachusetts,Oct  6 2021,1649
Massachusetts,Oct  5 2021,1340
Massachusetts,Oct  4 2021,1119
Massachusetts,Oct  3 2021,1116
Massachusetts,Oct  2 2021,1116
Massachusetts,Oct  1 2021,1648
Massachusetts,Sep 30 2021,1632
Massachusetts,Sep 29 2021,1646
Massachusetts,Sep 28 2021,1491
Massachusetts,Sep 27 2021,1451
Massachusetts,Sep 26 2021,1451
Massachusetts,Sep 25 2021,1451
Massachusetts,Sep 24 2021,1920
Massachusetts,Sep 23 2021,2004
Massachusetts,Sep 22 2021,1980
Massachusetts,Sep 21 2021,1382
Massachusetts,Sep 20 2021,1532
Massachusetts,Sep 19 2021,1529
Massachusetts,Sep 18 2021,1529
Massachusetts,Sep 17 2021,2178
Massachusetts,Sep 16 2021,2148
Massachusetts,Sep 15 2021,2877
Massachusetts,Sep 14 2021,1643
Massachusetts,Sep 13 2021,1695
Massachusetts,Sep 12 2021,1695
Massachusetts,Sep 11 2021,1695
Massachusetts,Sep 10 2021,1873
Massachusetts,Sep  9 2021,2407
Massachusetts,Sep  8 2021,1475
Massachusetts,Sep  7 2021,1423
Massachusetts,Sep  6 2021,1420
Massachusetts,Sep  5 2021,1420
Massachusetts,Sep  4 2021,1420
Massachusetts,Sep  3 2021,1911
Massachusetts,Sep  2 2021,1767
Massachusetts,Sep  1 2021,2037
Massachusetts,Aug 31 2021,1775
Massachusetts,Aug 30 2021,1435
Massachusetts,Aug 29 2021,1432
Massachusetts,Aug 28 2021,1432
Massachusetts,Aug 27 2021,1656
Massachusetts,Aug 26 2021,1891
Massachusetts,Aug 25 2021,1495
Massachusetts,Aug 24 2021,1600
Massachusetts,Aug 23 2021,1142
Massachusetts,Aug 22 2021,1138
Massachusetts,Aug 21 2021,1138
Massachusetts,Aug 20 2021,1533
Massachusetts,Aug 19 2021,1576
Massachusetts,Aug 18 2021,1579
Massachusetts,Aug 17 2021,1468
Massachusetts,Aug 16 2021,1033
Massachusetts,Aug 15 2021,1030
Massachusetts,Aug 14 2021,1030
Massachusetts,Aug 13 2021,1298
Massachusetts,Aug 12 2021,1367
Massachusetts,Aug 11 2021,1440
Massachusetts,Aug 10 2021,1334
Massachusetts,Aug  9 2021,886
Massachusetts,Aug  8 2021,883
Massachusetts,Aug  7 2021,883
Massachusetts,Aug  6 2021,1206
Massachusetts,Aug  5 2021,1171
Massachusetts,Aug  4 2021,1032
Massachusetts,Aug  3 2021,1101
Massachusetts,Aug  2 2021,703
Massachusetts,Aug  1 2021,701
Massachusetts,Jul 31 2021,701
Massachusetts,Jul 30 2021,931
Massachusetts,Jul 29 2021,905
Massachusetts,Jul 28 2021,660
Massachusetts,Jul 27 2021,832
Massachusetts,Jul 26 2021,426
Massachusetts,Jul 25 2021,423
Massachusetts,Jul 24 2021,423
Massachusetts,Jul 23 2021,624
Massachusetts,Jul 22 2021,542
Massachusetts,Jul 21 2021,525
Massachusetts,Jul 20 2021,452
Massachusetts,Jul 19 2021,255
Massachusetts,Jul 18 2021,255
Massachusetts,Jul 17 2021,255
Massachusetts,Jul 16 2021,329
Massachusetts,Jul 15 2021,267
Massachusetts,Jul 14 2021,230
Massachusetts,Jul 13 2021,284
Massachusetts,Jul 12 2021,112
Massachusetts,Jul 11 2021,110
Massachusetts,Jul 10 2021,110
Massachusetts,Jul  9 2021,201
Massachusetts,Jul  8 2021,110
Massachusetts,Jul  7 2021,91
Massachusetts,Jul  6 2021,74
Massachusetts,Jul  5 2021,72
Massachusetts,Jul  4 2021,72
Massachusetts,Jul  3 2021,72
Massachusetts,Jul  2 2021,89
Massachusetts,Jul  1 2021,83
Massachusetts,Jun 30 2021,93
Massachusetts,Jun 29 2021,63
Massachusetts,Jun 28 2021,41
Massachusetts,Jun 27 2021,31
Massachusetts,Jun 26 2021,56
Massachusetts,Jun 25 2021,60
Massachusetts,Jun 24 2021,78
Massachusetts,Jun 23 2021,68
Massachusetts,Jun 22 2021,33
Massachusetts,Jun 21 2021,48
Massachusetts,Jun 20 2021,72
Massachusetts,Jun 19 2021,68
Massachusetts,Jun 18 2021,68
Massachusetts,Jun 17 2021,107
Massachusetts,Jun 16 2021,68
Massachusetts,Jun 15 2021,79
Massachusetts,Jun 14 2021,58
Massachusetts,Jun 13 2021,39
Massachusetts,Jun 12 2021,126
Massachusetts,Jun 11 2021,131
Massachusetts,Jun 10 2021,120
Massachusetts,Jun  9 2021,143
Massachusetts,Jun  8 2021,121
Massachusetts,Jun  7 2021,112
Massachusetts,Jun  6 2021,143
Massachusetts,Jun  5 2021,217
Massachusetts,Jun  4 2021,200
Massachusetts,Jun  3 2021,258
Massachusetts,Jun  2 2021,134
Massachusetts,Jun  1 2021,94
Massachusetts,May 31 2021,92
Massachusetts,May 30 2021,162
Massachusetts,May 29 2021,224
Massachusetts,May 28 2021,287
Massachusetts,May 27 2021,245
Massachusetts,May 26 2021,429
Massachusetts,May 25 2021,228
Massachusetts,May 24 2021,228
Massachusetts,May 23 2021,346
Massachusetts,May 22 2021,451
Massachusetts,May 21 2021,448
Massachusetts,May 20 2021,605
Massachusetts,May 19 2021,516
Massachusetts,May 18 2021,438
Massachusetts,May 17 2021,299
Massachusetts,May 16 2021,549
Massachusetts,May 15 2021,1153
Massachusetts,May 14 2021,429
Massachusetts,May 13 2021,721
Massachusetts,May 12 2021,760
Massachusetts,May 11 2021,555
Massachusetts,May 10 2021,474
Massachusetts,May  9 2021,858
Massachusetts,May  8 2021,795
Massachusetts,May  7 2021,976
Massachusetts,May  6 2021,1161
Massachusetts,May  5 2021,1019
Massachusetts,May  4 2021,854
Massachusetts,May  3 2021,563
Massachusetts,May  2 2021,893
Massachusetts,May  1 2021,1306
Massachusetts,Apr 30 2021,1335
Massachusetts,Apr 29 2021,1395
Massachusetts,Apr 28 2021,1613
Massachusetts,Apr 27 2021,965
Massachusetts,Apr 26 2021,881
Massachusetts,Apr 25 2021,1214
Massachusetts,Apr 24 2021,1563
Massachusetts,Apr 23 2021,1621
Massachusetts,Apr 22 2021,1628
Massachusetts,Apr 21 2021,1596
Massachusetts,Apr 20 2021,1188
Massachusetts,Apr 19 2021,1317
Massachusetts,Apr 18 2021,1407
Massachusetts,Apr 17 2021,1968
Massachusetts,Apr 16 2021,2216
Massachusetts,Apr 15 2021,2123
Massachusetts,Apr 14 2021,2244
Massachusetts,Apr 13 2021,1598
Massachusetts,Apr 12 2021,1532
Massachusetts,Apr 11 2021,1991
Massachusetts,Apr 10 2021,2300
Massachusetts,Apr  9 2021,2312
Massachusetts,Apr  8 2021,2393
Massachusetts,Apr  7 2021,2550
Massachusetts,Apr  6 2021,1803
Massachusetts,Apr  5 2021,2988
Massachusetts,Apr  4 2021,0
Massachusetts,Apr  3 2021,2453
Massachusetts,Apr  2 2021,2440
Massachusetts,Apr  1 2021,2759
Massachusetts,Mar 31 2021,2499
Massachusetts,Mar 30 2021,2050
Massachusetts,Mar 29 2021,1500
Massachusetts,Mar 28 2021,1975
Massachusetts,Mar 27 2021,2570
Massachusetts,Mar 26 2021,2760
Massachusetts,Mar 25 2021,2410
Massachusetts,Mar 24 2021,2121
Massachusetts,Mar 23 2021,1821
Massachusetts,Mar 22 2021,1206
Massachusetts,Mar 21 2021,1811
Massachusetts,Mar 20 2021,2376
Massachusetts,Mar 19 2021,2163
Massachusetts,Mar 18 2021,1941
Massachusetts,Mar 17 2021,1711
Massachusetts,Mar 16 2021,1202
Massachusetts,Mar 15 2021,1156
Massachusetts,Mar 14 2021,1692
Massachusetts,Mar 13 2021,1757
Massachusetts,Mar 12 2021,1786
Massachusetts,Mar 11 2021,1809
