Data Table for Daily Case Trends - Michigan
Date generated: Mon Nov 15 2021 12:00:14 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Michigan,Nov 12 2021,17779
Michigan,Nov 11 2021,0
Michigan,Nov 10 2021,4068
Michigan,Nov  9 2021,5297
Michigan,Nov  8 2021,10069
Michigan,Nov  7 2021,0
Michigan,Nov  6 2021,0
Michigan,Nov  5 2021,6759
Michigan,Nov  4 2021,5400
Michigan,Nov  3 2021,6882
Michigan,Nov  2 2021,5096
Michigan,Nov  1 2021,10415
Michigan,Oct 31 2021,0
Michigan,Oct 30 2021,0
Michigan,Oct 29 2021,4710
Michigan,Oct 28 2021,5012
Michigan,Oct 27 2021,5323
Michigan,Oct 26 2021,4463
Michigan,Oct 25 2021,8572
Michigan,Oct 24 2021,0
Michigan,Oct 23 2021,0
Michigan,Oct 22 2021,4357
Michigan,Oct 21 2021,4821
Michigan,Oct 20 2021,3940
Michigan,Oct 19 2021,4849
Michigan,Oct 18 2021,3115
Michigan,Oct 17 2021,3113
Michigan,Oct 16 2021,3113
Michigan,Oct 15 2021,5469
Michigan,Oct 14 2021,4520
Michigan,Oct 13 2021,6043
Michigan,Oct 12 2021,4833
Michigan,Oct 11 2021,3276
Michigan,Oct 10 2021,3272
Michigan,Oct  9 2021,3272
Michigan,Oct  8 2021,4916
Michigan,Oct  7 2021,5206
Michigan,Oct  6 2021,5318
Michigan,Oct  5 2021,4352
Michigan,Oct  4 2021,3274
Michigan,Oct  3 2021,3271
Michigan,Oct  2 2021,3271
Michigan,Oct  1 2021,4774
Michigan,Sep 30 2021,4584
Michigan,Sep 29 2021,4736
Michigan,Sep 28 2021,3958
Michigan,Sep 27 2021,2909
Michigan,Sep 26 2021,2905
Michigan,Sep 25 2021,2905
Michigan,Sep 24 2021,3159
Michigan,Sep 23 2021,3928
Michigan,Sep 22 2021,4207
Michigan,Sep 21 2021,3511
Michigan,Sep 20 2021,2735
Michigan,Sep 19 2021,2734
Michigan,Sep 18 2021,2734
Michigan,Sep 17 2021,2973
Michigan,Sep 16 2021,3713
Michigan,Sep 15 2021,4437
Michigan,Sep 14 2021,3320
Michigan,Sep 13 2021,2333
Michigan,Sep 12 2021,2333
Michigan,Sep 11 2021,2333
Michigan,Sep 10 2021,3534
Michigan,Sep  9 2021,3488
Michigan,Sep  8 2021,3308
Michigan,Sep  7 2021,1730
Michigan,Sep  6 2021,1726
Michigan,Sep  5 2021,1726
Michigan,Sep  4 2021,1726
Michigan,Sep  3 2021,2656
Michigan,Sep  2 2021,2636
Michigan,Sep  1 2021,3007
Michigan,Aug 31 2021,2321
Michigan,Aug 30 2021,1880
Michigan,Aug 29 2021,1877
Michigan,Aug 28 2021,1877
Michigan,Aug 27 2021,2137
Michigan,Aug 26 2021,2419
Michigan,Aug 25 2021,2888
Michigan,Aug 24 2021,2307
Michigan,Aug 23 2021,1429
Michigan,Aug 22 2021,1428
Michigan,Aug 21 2021,1428
Michigan,Aug 20 2021,1975
Michigan,Aug 19 2021,2871
Michigan,Aug 18 2021,1464
Michigan,Aug 17 2021,1843
Michigan,Aug 16 2021,1298
Michigan,Aug 15 2021,1296
Michigan,Aug 14 2021,1296
Michigan,Aug 13 2021,1693
Michigan,Aug 12 2021,1934
Michigan,Aug 11 2021,1730
Michigan,Aug 10 2021,1592
Michigan,Aug  9 2021,94
Michigan,Aug  8 2021,282
Michigan,Aug  7 2021,462
Michigan,Aug  6 2021,702
Michigan,Aug  5 2021,814
Michigan,Aug  4 2021,758
Michigan,Aug  3 2021,894
Michigan,Aug  2 2021,981
Michigan,Aug  1 2021,592
Michigan,Jul 31 2021,628
Michigan,Jul 30 2021,789
Michigan,Jul 29 2021,797
Michigan,Jul 28 2021,855
Michigan,Jul 27 2021,789
Michigan,Jul 26 2021,756
Michigan,Jul 25 2021,517
Michigan,Jul 24 2021,508
Michigan,Jul 23 2021,571
Michigan,Jul 22 2021,582
Michigan,Jul 21 2021,587
Michigan,Jul 20 2021,530
Michigan,Jul 19 2021,533
Michigan,Jul 18 2021,317
Michigan,Jul 17 2021,313
Michigan,Jul 16 2021,367
Michigan,Jul 15 2021,336
Michigan,Jul 14 2021,325
Michigan,Jul 13 2021,327
Michigan,Jul 12 2021,346
Michigan,Jul 11 2021,208
Michigan,Jul 10 2021,191
Michigan,Jul  9 2021,240
Michigan,Jul  8 2021,224
Michigan,Jul  7 2021,245
Michigan,Jul  6 2021,282
Michigan,Jul  5 2021,227
Michigan,Jul  4 2021,144
Michigan,Jul  3 2021,141
