Data Table for Daily Case Trends - Minnesota
Date generated: Mon Nov 15 2021 12:00:22 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Minnesota,Nov 12 2021,4838
Minnesota,Nov 11 2021,5118
Minnesota,Nov 10 2021,5265
Minnesota,Nov  9 2021,7165
Minnesota,Nov  8 2021,4231
Minnesota,Nov  7 2021,0
Minnesota,Nov  6 2021,0
Minnesota,Nov  5 2021,3354
Minnesota,Nov  4 2021,3698
Minnesota,Nov  3 2021,2941
Minnesota,Nov  2 2021,7031
Minnesota,Nov  1 2021,2480
Minnesota,Oct 31 2021,0
Minnesota,Oct 30 2021,0
Minnesota,Oct 29 2021,3317
Minnesota,Oct 28 2021,2685
Minnesota,Oct 27 2021,1799
Minnesota,Oct 26 2021,6522
Minnesota,Oct 25 2021,2981
Minnesota,Oct 24 2021,0
Minnesota,Oct 23 2021,0
Minnesota,Oct 22 2021,2134
Minnesota,Oct 21 2021,2351
Minnesota,Oct 20 2021,1846
Minnesota,Oct 19 2021,5663
Minnesota,Oct 18 2021,951
Minnesota,Oct 17 2021,950
Minnesota,Oct 16 2021,950
Minnesota,Oct 15 2021,3341
Minnesota,Oct 14 2021,2916
Minnesota,Oct 13 2021,2376
Minnesota,Oct 12 2021,7925
Minnesota,Oct 11 2021,1067
Minnesota,Oct 10 2021,1065
Minnesota,Oct  9 2021,1065
Minnesota,Oct  8 2021,3645
Minnesota,Oct  7 2021,2667
Minnesota,Oct  6 2021,3883
Minnesota,Oct  5 2021,7124
Minnesota,Oct  4 2021,1181
Minnesota,Oct  3 2021,1178
Minnesota,Oct  2 2021,1178
Minnesota,Oct  1 2021,3696
Minnesota,Sep 30 2021,2874
Minnesota,Sep 29 2021,2062
Minnesota,Sep 28 2021,6192
Minnesota,Sep 27 2021,930
Minnesota,Sep 26 2021,927
Minnesota,Sep 25 2021,927
Minnesota,Sep 24 2021,2862
Minnesota,Sep 23 2021,2291
Minnesota,Sep 22 2021,1638
Minnesota,Sep 21 2021,6321
Minnesota,Sep 20 2021,821
Minnesota,Sep 19 2021,818
Minnesota,Sep 18 2021,818
Minnesota,Sep 17 2021,2635
Minnesota,Sep 16 2021,2473
Minnesota,Sep 15 2021,2731
Minnesota,Sep 14 2021,4598
Minnesota,Sep 13 2021,896
Minnesota,Sep 12 2021,892
Minnesota,Sep 11 2021,892
Minnesota,Sep 10 2021,2037
Minnesota,Sep  9 2021,1211
Minnesota,Sep  8 2021,5756
Minnesota,Sep  7 2021,520
Minnesota,Sep  6 2021,518
Minnesota,Sep  5 2021,518
Minnesota,Sep  4 2021,518
Minnesota,Sep  3 2021,2130
Minnesota,Sep  2 2021,1900
Minnesota,Sep  1 2021,1424
Minnesota,Aug 31 2021,3870
Minnesota,Aug 30 2021,636
Minnesota,Aug 29 2021,634
Minnesota,Aug 28 2021,634
Minnesota,Aug 27 2021,1902
Minnesota,Aug 26 2021,1829
Minnesota,Aug 25 2021,1400
Minnesota,Aug 24 2021,3837
Minnesota,Aug 23 2021,556
Minnesota,Aug 22 2021,555
Minnesota,Aug 21 2021,555
Minnesota,Aug 20 2021,1698
Minnesota,Aug 19 2021,1346
Minnesota,Aug 18 2021,1158
Minnesota,Aug 17 2021,3044
Minnesota,Aug 16 2021,487
Minnesota,Aug 15 2021,486
Minnesota,Aug 14 2021,486
Minnesota,Aug 13 2021,1324
Minnesota,Aug 12 2021,1311
Minnesota,Aug 11 2021,1625
Minnesota,Aug 10 2021,1685
Minnesota,Aug  9 2021,374
Minnesota,Aug  8 2021,372
Minnesota,Aug  7 2021,372
Minnesota,Aug  6 2021,1004
Minnesota,Aug  5 2021,861
Minnesota,Aug  4 2021,933
Minnesota,Aug  3 2021,1665
Minnesota,Aug  2 2021,210
Minnesota,Aug  1 2021,207
Minnesota,Jul 31 2021,207
Minnesota,Jul 30 2021,700
Minnesota,Jul 29 2021,543
Minnesota,Jul 28 2021,619
Minnesota,Jul 27 2021,1029
Minnesota,Jul 26 2021,143
Minnesota,Jul 25 2021,140
Minnesota,Jul 24 2021,140
Minnesota,Jul 23 2021,371
Minnesota,Jul 22 2021,338
Minnesota,Jul 21 2021,273
Minnesota,Jul 20 2021,621
Minnesota,Jul 19 2021,88
Minnesota,Jul 18 2021,86
Minnesota,Jul 17 2021,86
Minnesota,Jul 16 2021,246
Minnesota,Jul 15 2021,209
Minnesota,Jul 14 2021,199
Minnesota,Jul 13 2021,386
Minnesota,Jul 12 2021,63
Minnesota,Jul 11 2021,62
Minnesota,Jul 10 2021,62
Minnesota,Jul  9 2021,139
Minnesota,Jul  8 2021,124
Minnesota,Jul  7 2021,231
Minnesota,Jul  6 2021,49
Minnesota,Jul  5 2021,47
Minnesota,Jul  4 2021,47
Minnesota,Jul  3 2021,111
Minnesota,Jul  2 2021,101
