Data Table for Daily Case Trends - Mississippi
Date generated: Mon Nov 15 2021 12:00:29 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Mississippi,Nov 12 2021,694
Mississippi,Nov 11 2021,0
Mississippi,Nov 10 2021,299
Mississippi,Nov  9 2021,360
Mississippi,Nov  8 2021,560
Mississippi,Nov  7 2021,0
Mississippi,Nov  6 2021,0
Mississippi,Nov  5 2021,514
Mississippi,Nov  4 2021,381
Mississippi,Nov  3 2021,395
Mississippi,Nov  2 2021,455
Mississippi,Nov  1 2021,493
Mississippi,Oct 31 2021,0
Mississippi,Oct 30 2021,0
Mississippi,Oct 29 2021,309
Mississippi,Oct 28 2021,343
Mississippi,Oct 27 2021,344
Mississippi,Oct 26 2021,1670
Mississippi,Oct 25 2021,555
Mississippi,Oct 24 2021,0
Mississippi,Oct 23 2021,0
Mississippi,Oct 22 2021,389
Mississippi,Oct 21 2021,422
Mississippi,Oct 20 2021,0
Mississippi,Oct 19 2021,448
Mississippi,Oct 18 2021,1278
Mississippi,Oct 17 2021,258
Mississippi,Oct 16 2021,256
Mississippi,Oct 15 2021,256
Mississippi,Oct 14 2021,411
Mississippi,Oct 13 2021,528
Mississippi,Oct 12 2021,719
Mississippi,Oct 11 2021,820
Mississippi,Oct 10 2021,349
Mississippi,Oct  9 2021,346
Mississippi,Oct  8 2021,346
Mississippi,Oct  7 2021,601
Mississippi,Oct  6 2021,1112
Mississippi,Oct  5 2021,834
Mississippi,Oct  4 2021,947
Mississippi,Oct  3 2021,521
Mississippi,Oct  2 2021,520
Mississippi,Oct  1 2021,520
Mississippi,Sep 30 2021,822
Mississippi,Sep 29 2021,1101
Mississippi,Sep 28 2021,1098
Mississippi,Sep 27 2021,1520
Mississippi,Sep 26 2021,591
Mississippi,Sep 25 2021,591
Mississippi,Sep 24 2021,591
Mississippi,Sep 23 2021,1505
Mississippi,Sep 22 2021,2071
Mississippi,Sep 21 2021,1557
Mississippi,Sep 20 2021,1669
Mississippi,Sep 19 2021,897
Mississippi,Sep 18 2021,895
Mississippi,Sep 17 2021,895
Mississippi,Sep 16 2021,2321
Mississippi,Sep 15 2021,2594
Mississippi,Sep 14 2021,2353
Mississippi,Sep 13 2021,2070
Mississippi,Sep 12 2021,1255
Mississippi,Sep 11 2021,1254
Mississippi,Sep 10 2021,1254
Mississippi,Sep  9 2021,1892
Mississippi,Sep  8 2021,3138
Mississippi,Sep  7 2021,1934
Mississippi,Sep  6 2021,704
Mississippi,Sep  5 2021,1929
Mississippi,Sep  4 2021,1926
Mississippi,Sep  3 2021,1926
Mississippi,Sep  2 2021,3352
Mississippi,Sep  1 2021,3850
Mississippi,Aug 31 2021,2939
Mississippi,Aug 30 2021,1111
Mississippi,Aug 29 2021,2659
Mississippi,Aug 28 2021,2656
Mississippi,Aug 27 2021,2656
Mississippi,Aug 26 2021,4041
Mississippi,Aug 25 2021,3425
Mississippi,Aug 24 2021,3385
Mississippi,Aug 23 2021,3291
Mississippi,Aug 22 2021,2417
Mississippi,Aug 21 2021,2416
Mississippi,Aug 20 2021,2416
Mississippi,Aug 19 2021,5048
Mississippi,Aug 18 2021,4807
Mississippi,Aug 17 2021,4085
Mississippi,Aug 16 2021,3323
