Data Table for Daily Case Trends - Missouri
Date generated: Mon Nov 15 2021 12:00:36 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Missouri,Nov 12 2021,1744
Missouri,Nov 11 2021,3270
Missouri,Nov 10 2021,0
Missouri,Nov  9 2021,1661
Missouri,Nov  8 2021,1333
Missouri,Nov  7 2021,666
Missouri,Nov  6 2021,767
Missouri,Nov  5 2021,1479
Missouri,Nov  4 2021,1212
Missouri,Nov  3 2021,1181
Missouri,Nov  2 2021,1337
Missouri,Nov  1 2021,1121
Missouri,Oct 31 2021,504
Missouri,Oct 30 2021,684
Missouri,Oct 29 2021,1121
Missouri,Oct 28 2021,1092
Missouri,Oct 27 2021,2467
Missouri,Oct 26 2021,0
Missouri,Oct 25 2021,977
Missouri,Oct 24 2021,1118
Missouri,Oct 23 2021,0
Missouri,Oct 22 2021,1187
Missouri,Oct 21 2021,1142
Missouri,Oct 20 2021,1178
Missouri,Oct 19 2021,1201
Missouri,Oct 18 2021,983
Missouri,Oct 17 2021,411
Missouri,Oct 16 2021,717
Missouri,Oct 15 2021,1061
Missouri,Oct 14 2021,1469
Missouri,Oct 13 2021,1459
Missouri,Oct 12 2021,1330
Missouri,Oct 11 2021,988
Missouri,Oct 10 2021,730
Missouri,Oct  9 2021,770
Missouri,Oct  8 2021,1288
Missouri,Oct  7 2021,1595
Missouri,Oct  6 2021,1558
Missouri,Oct  5 2021,1932
Missouri,Oct  4 2021,1181
Missouri,Oct  3 2021,762
Missouri,Oct  2 2021,1010
Missouri,Oct  1 2021,1724
Missouri,Sep 30 2021,1889
Missouri,Sep 29 2021,1859
Missouri,Sep 28 2021,2140
Missouri,Sep 27 2021,1554
Missouri,Sep 26 2021,859
Missouri,Sep 25 2021,1110
Missouri,Sep 24 2021,2232
Missouri,Sep 23 2021,1987
Missouri,Sep 22 2021,2113
Missouri,Sep 21 2021,2129
Missouri,Sep 20 2021,1997
Missouri,Sep 19 2021,1004
Missouri,Sep 18 2021,1419
Missouri,Sep 17 2021,2333
Missouri,Sep 16 2021,2526
Missouri,Sep 15 2021,2639
Missouri,Sep 14 2021,2743
Missouri,Sep 13 2021,2143
Missouri,Sep 12 2021,1287
Missouri,Sep 11 2021,1773
Missouri,Sep 10 2021,2761
Missouri,Sep  9 2021,3289
Missouri,Sep  8 2021,2430
Missouri,Sep  7 2021,2510
Missouri,Sep  6 2021,1085
Missouri,Sep  5 2021,1283
Missouri,Sep  4 2021,1507
Missouri,Sep  3 2021,2521
Missouri,Sep  2 2021,2826
Missouri,Sep  1 2021,3111
Missouri,Aug 31 2021,2898
Missouri,Aug 30 2021,3325
Missouri,Aug 29 2021,286
Missouri,Aug 28 2021,1281
Missouri,Aug 27 2021,2593
Missouri,Aug 26 2021,2744
Missouri,Aug 25 2021,2932
Missouri,Aug 24 2021,2716
