Data Table for Daily Case Trends - Montana
Date generated: Mon Nov 15 2021 12:00:43 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Montana,Nov 12 2021,1181
Montana,Nov 11 2021,0
Montana,Nov 10 2021,745
Montana,Nov  9 2021,1118
Montana,Nov  8 2021,898
Montana,Nov  7 2021,0
Montana,Nov  6 2021,0
Montana,Nov  5 2021,682
Montana,Nov  4 2021,790
Montana,Nov  3 2021,866
Montana,Nov  2 2021,1138
Montana,Nov  1 2021,1129
Montana,Oct 31 2021,0
Montana,Oct 30 2021,0
Montana,Oct 29 2021,777
Montana,Oct 28 2021,983
Montana,Oct 27 2021,983
Montana,Oct 26 2021,1123
Montana,Oct 25 2021,1414
Montana,Oct 24 2021,0
Montana,Oct 23 2021,0
Montana,Oct 22 2021,1078
Montana,Oct 21 2021,976
Montana,Oct 20 2021,1245
Montana,Oct 19 2021,1327
Montana,Oct 18 2021,426
Montana,Oct 17 2021,423
Montana,Oct 16 2021,423
Montana,Oct 15 2021,1142
Montana,Oct 14 2021,1287
Montana,Oct 13 2021,1344
Montana,Oct 12 2021,554
Montana,Oct 11 2021,554
Montana,Oct 10 2021,554
Montana,Oct  9 2021,554
Montana,Oct  8 2021,1308
Montana,Oct  7 2021,1293
Montana,Oct  6 2021,1340
Montana,Oct  5 2021,1260
Montana,Oct  4 2021,494
Montana,Oct  3 2021,490
Montana,Oct  2 2021,490
Montana,Oct  1 2021,972
Montana,Sep 30 2021,1209
Montana,Sep 29 2021,1334
Montana,Sep 28 2021,1203
Montana,Sep 27 2021,418
Montana,Sep 26 2021,417
Montana,Sep 25 2021,417
Montana,Sep 24 2021,1035
Montana,Sep 23 2021,1174
Montana,Sep 22 2021,1313
Montana,Sep 21 2021,1174
Montana,Sep 20 2021,543
Montana,Sep 19 2021,542
Montana,Sep 18 2021,542
Montana,Sep 17 2021,1219
Montana,Sep 16 2021,1104
Montana,Sep 15 2021,1214
Montana,Sep 14 2021,1240
Montana,Sep 13 2021,408
Montana,Sep 12 2021,406
Montana,Sep 11 2021,406
Montana,Sep 10 2021,965
Montana,Sep  9 2021,998
Montana,Sep  8 2021,1047
Montana,Sep  7 2021,306
Montana,Sep  6 2021,304
Montana,Sep  5 2021,304
Montana,Sep  4 2021,304
Montana,Sep  3 2021,652
Montana,Sep  2 2021,737
Montana,Sep  1 2021,871
Montana,Aug 31 2021,889
Montana,Aug 30 2021,242
Montana,Aug 29 2021,240
Montana,Aug 28 2021,240
Montana,Aug 27 2021,706
Montana,Aug 26 2021,632
Montana,Aug 25 2021,604
Montana,Aug 24 2021,710
Montana,Aug 23 2021,216
Montana,Aug 22 2021,215
Montana,Aug 21 2021,215
Montana,Aug 20 2021,469
Montana,Aug 19 2021,467
Montana,Aug 18 2021,436
Montana,Aug 17 2021,621
Montana,Aug 16 2021,155
Montana,Aug 15 2021,153
Montana,Aug 14 2021,153
Montana,Aug 13 2021,345
Montana,Aug 12 2021,396
Montana,Aug 11 2021,369
Montana,Aug 10 2021,484
Montana,Aug  9 2021,130
Montana,Aug  8 2021,129
Montana,Aug  7 2021,129
Montana,Aug  6 2021,272
Montana,Aug  5 2021,282
Montana,Aug  4 2021,295
Montana,Aug  3 2021,399
Montana,Aug  2 2021,92
Montana,Aug  1 2021,88
Montana,Jul 31 2021,88
Montana,Jul 30 2021,223
Montana,Jul 29 2021,239
Montana,Jul 28 2021,239
Montana,Jul 27 2021,259
Montana,Jul 26 2021,51
Montana,Jul 25 2021,50
Montana,Jul 24 2021,50
Montana,Jul 23 2021,112
Montana,Jul 22 2021,141
Montana,Jul 21 2021,103
Montana,Jul 20 2021,157
Montana,Jul 19 2021,27
Montana,Jul 18 2021,26
Montana,Jul 17 2021,26
Montana,Jul 16 2021,87
Montana,Jul 15 2021,68
Montana,Jul 14 2021,93
Montana,Jul 13 2021,90
Montana,Jul 12 2021,29
Montana,Jul 11 2021,28
Montana,Jul 10 2021,28
Montana,Jul  9 2021,51
Montana,Jul  8 2021,87
Montana,Jul  7 2021,151
Montana,Jul  6 2021,24
Montana,Jul  5 2021,18
Montana,Jul  4 2021,18
Montana,Jul  3 2021,18
Montana,Jul  2 2021,52
Montana,Jul  1 2021,66
Montana,Jun 30 2021,65
Montana,Jun 29 2021,113
Montana,Jun 28 2021,18
Montana,Jun 27 2021,15
Montana,Jun 26 2021,15
Montana,Jun 25 2021,58
Montana,Jun 24 2021,68
Montana,Jun 23 2021,62
Montana,Jun 22 2021,116
Montana,Jun 21 2021,22
Montana,Jun 20 2021,18
Montana,Jun 19 2021,18
Montana,Jun 18 2021,75
Montana,Jun 17 2021,71
Montana,Jun 16 2021,72
Montana,Jun 15 2021,99
Montana,Jun 14 2021,31
Montana,Jun 13 2021,29
Montana,Jun 12 2021,29
Montana,Jun 11 2021,71
Montana,Jun 10 2021,99
Montana,Jun  9 2021,73
Montana,Jun  8 2021,137
Montana,Jun  7 2021,43
Montana,Jun  6 2021,39
Montana,Jun  5 2021,39
Montana,Jun  4 2021,131
Montana,Jun  3 2021,127
Montana,Jun  2 2021,158
Montana,Jun  1 2021,15
Montana,May 31 2021,20
Montana,May 30 2021,24
Montana,May 29 2021,67
Montana,May 28 2021,95
Montana,May 27 2021,169
Montana,May 26 2021,77
Montana,May 25 2021,153
Montana,May 24 2021,21
Montana,May 23 2021,35
Montana,May 22 2021,7
Montana,May 21 2021,136
Montana,May 20 2021,33
Montana,May 19 2021,131
Montana,May 18 2021,138
Montana,May 17 2021,38
Montana,May 16 2021,41
Montana,May 15 2021,84
Montana,May 14 2021,131
Montana,May 13 2021,112
Montana,May 12 2021,210
Montana,May 11 2021,172
Montana,May 10 2021,11
Montana,May  9 2021,35
Montana,May  8 2021,152
Montana,May  7 2021,149
Montana,May  6 2021,133
Montana,May  5 2021,140
Montana,May  4 2021,223
Montana,May  3 2021,62
Montana,May  2 2021,45
Montana,May  1 2021,168
Montana,Apr 30 2021,154
Montana,Apr 29 2021,174
Montana,Apr 28 2021,202
Montana,Apr 27 2021,176
Montana,Apr 26 2021,14
Montana,Apr 25 2021,49
Montana,Apr 24 2021,175
Montana,Apr 23 2021,155
Montana,Apr 22 2021,181
Montana,Apr 21 2021,158
Montana,Apr 20 2021,177
Montana,Apr 19 2021,57
Montana,Apr 18 2021,56
Montana,Apr 17 2021,148
Montana,Apr 16 2021,118
Montana,Apr 15 2021,192
Montana,Apr 14 2021,205
Montana,Apr 13 2021,173
Montana,Apr 12 2021,70
Montana,Apr 11 2021,41
Montana,Apr 10 2021,168
Montana,Apr  9 2021,152
Montana,Apr  8 2021,224
Montana,Apr  7 2021,193
Montana,Apr  6 2021,191
Montana,Apr  5 2021,0
Montana,Apr  4 2021,105
Montana,Apr  3 2021,184
Montana,Apr  2 2021,128
Montana,Apr  1 2021,173
Montana,Mar 31 2021,231
Montana,Mar 30 2021,158
Montana,Mar 29 2021,35
Montana,Mar 28 2021,31
Montana,Mar 27 2021,117
Montana,Mar 26 2021,150
Montana,Mar 25 2021,164
Montana,Mar 24 2021,214
Montana,Mar 23 2021,354
Montana,Mar 22 2021,38
Montana,Mar 21 2021,94
Montana,Mar 20 2021,198
Montana,Mar 19 2021,152
Montana,Mar 18 2021,132
Montana,Mar 17 2021,140
Montana,Mar 16 2021,411
Montana,Mar 15 2021,173
Montana,Mar 14 2021,34
Montana,Mar 13 2021,170
Montana,Mar 12 2021,132
Montana,Mar 11 2021,181
Montana,Mar 10 2021,150
Montana,Mar  9 2021,134
Montana,Mar  8 2021,45
Montana,Mar  7 2021,72
Montana,Mar  6 2021,186
Montana,Mar  5 2021,125
Montana,Mar  4 2021,180
Montana,Mar  3 2021,193
Montana,Mar  2 2021,155
Montana,Mar  1 2021,49
Montana,Feb 28 2021,117
Montana,Feb 27 2021,224
Montana,Feb 26 2021,168
Montana,Feb 25 2021,203
Montana,Feb 24 2021,202
Montana,Feb 23 2021,230
Montana,Feb 22 2021,31
Montana,Feb 21 2021,138
Montana,Feb 20 2021,264
Montana,Feb 19 2021,277
Montana,Feb 18 2021,200
Montana,Feb 17 2021,234
Montana,Feb 16 2021,127
Montana,Feb 15 2021,138
Montana,Feb 14 2021,104
Montana,Feb 13 2021,234
Montana,Feb 12 2021,221
Montana,Feb 11 2021,247
Montana,Feb 10 2021,307
Montana,Feb  9 2021,374
Montana,Feb  8 2021,124
Montana,Feb  7 2021,73
Montana,Feb  6 2021,259
Montana,Feb  5 2021,347
Montana,Feb  4 2021,301
Montana,Feb  3 2021,426
Montana,Feb  2 2021,314
Montana,Feb  1 2021,121
Montana,Jan 31 2021,187
Montana,Jan 30 2021,516
Montana,Jan 29 2021,312
Montana,Jan 28 2021,403
Montana,Jan 27 2021,371
Montana,Jan 26 2021,344
Montana,Jan 25 2021,164
Montana,Jan 24 2021,242
Montana,Jan 23 2021,361
Montana,Jan 22 2021,400
Montana,Jan 21 2021,394
Montana,Jan 20 2021,391
Montana,Jan 19 2021,288
Montana,Jan 18 2021,183
Montana,Jan 17 2021,337
