Data Table for Daily Case Trends - Nebraska
Date generated: Mon Nov 15 2021 12:00:53 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Nebraska,Nov 12 2021,862
Nebraska,Nov 11 2021,997
Nebraska,Nov 10 2021,1257
Nebraska,Nov  9 2021,958
Nebraska,Nov  8 2021,2750
Nebraska,Nov  7 2021,0
Nebraska,Nov  6 2021,0
Nebraska,Nov  5 2021,0
Nebraska,Nov  4 2021,1025
Nebraska,Nov  3 2021,912
Nebraska,Nov  2 2021,972
Nebraska,Nov  1 2021,1607
Nebraska,Oct 31 2021,0
Nebraska,Oct 30 2021,0
Nebraska,Oct 29 2021,1613
Nebraska,Oct 28 2021,0
Nebraska,Oct 27 2021,866
Nebraska,Oct 26 2021,598
Nebraska,Oct 25 2021,2239
Nebraska,Oct 24 2021,0
Nebraska,Oct 23 2021,0
Nebraska,Oct 22 2021,0
Nebraska,Oct 21 2021,474
Nebraska,Oct 20 2021,802
Nebraska,Oct 19 2021,1360
Nebraska,Oct 18 2021,155
Nebraska,Oct 17 2021,152
Nebraska,Oct 16 2021,152
Nebraska,Oct 15 2021,661
Nebraska,Oct 14 2021,701
Nebraska,Oct 13 2021,739
Nebraska,Oct 12 2021,838
Nebraska,Oct 11 2021,349
Nebraska,Oct 10 2021,346
Nebraska,Oct  9 2021,346
Nebraska,Oct  8 2021,825
Nebraska,Oct  7 2021,826
Nebraska,Oct  6 2021,862
Nebraska,Oct  5 2021,843
Nebraska,Oct  4 2021,394
Nebraska,Oct  3 2021,392
Nebraska,Oct  2 2021,392
Nebraska,Oct  1 2021,762
Nebraska,Sep 30 2021,630
Nebraska,Sep 29 2021,933
Nebraska,Sep 28 2021,676
Nebraska,Sep 27 2021,592
Nebraska,Sep 26 2021,591
Nebraska,Sep 25 2021,591
Nebraska,Sep 24 2021,591
Nebraska,Sep 23 2021,712
Nebraska,Sep 22 2021,683
Nebraska,Sep 21 2021,881
Nebraska,Sep 20 2021,603
Nebraska,Sep 19 2021,603
Nebraska,Sep 18 2021,603
Nebraska,Sep 17 2021,603
Nebraska,Sep 16 2021,881
Nebraska,Sep 15 2021,1295
Nebraska,Sep 14 2021,635
Nebraska,Sep 13 2021,632
Nebraska,Sep 12 2021,632
Nebraska,Sep 11 2021,632
Nebraska,Sep 10 2021,921
Nebraska,Sep  9 2021,940
Nebraska,Sep  8 2021,955
Nebraska,Sep  7 2021,1156
Nebraska,Sep  6 2021,447
Nebraska,Sep  5 2021,447
Nebraska,Sep  4 2021,447
Nebraska,Sep  3 2021,447
Nebraska,Sep  2 2021,1118
Nebraska,Sep  1 2021,1137
Nebraska,Aug 31 2021,890
Nebraska,Aug 30 2021,1119
Nebraska,Aug 29 2021,238
Nebraska,Aug 28 2021,380
Nebraska,Aug 27 2021,824
Nebraska,Aug 26 2021,855
Nebraska,Aug 25 2021,762
Nebraska,Aug 24 2021,933
Nebraska,Aug 23 2021,796
Nebraska,Aug 22 2021,278
Nebraska,Aug 21 2021,288
Nebraska,Aug 20 2021,953
Nebraska,Aug 19 2021,424
Nebraska,Aug 18 2021,646
Nebraska,Aug 17 2021,612
Nebraska,Aug 16 2021,669
Nebraska,Aug 15 2021,175
Nebraska,Aug 14 2021,203
Nebraska,Aug 13 2021,606
Nebraska,Aug 12 2021,487
Nebraska,Aug 11 2021,502
Nebraska,Aug 10 2021,489
Nebraska,Aug  9 2021,540
Nebraska,Aug  8 2021,148
Nebraska,Aug  7 2021,151
Nebraska,Aug  6 2021,439
Nebraska,Aug  5 2021,381
Nebraska,Aug  4 2021,413
Nebraska,Aug  3 2021,393
Nebraska,Aug  2 2021,441
Nebraska,Aug  1 2021,136
Nebraska,Jul 31 2021,94
Nebraska,Jul 30 2021,311
Nebraska,Jul 29 2021,351
Nebraska,Jul 28 2021,233
Nebraska,Jul 27 2021,275
Nebraska,Jul 26 2021,322
Nebraska,Jul 25 2021,68
Nebraska,Jul 24 2021,98
Nebraska,Jul 23 2021,206
Nebraska,Jul 22 2021,230
Nebraska,Jul 21 2021,170
Nebraska,Jul 20 2021,150
Nebraska,Jul 19 2021,140
Nebraska,Jul 18 2021,65
Nebraska,Jul 17 2021,74
Nebraska,Jul 16 2021,166
Nebraska,Jul 15 2021,127
Nebraska,Jul 14 2021,100
Nebraska,Jul 13 2021,129
Nebraska,Jul 12 2021,101
Nebraska,Jul 11 2021,30
Nebraska,Jul 10 2021,39
Nebraska,Jul  9 2021,108
Nebraska,Jul  8 2021,102
Nebraska,Jul  7 2021,85
Nebraska,Jul  6 2021,101
Nebraska,Jul  5 2021,28
Nebraska,Jul  4 2021,25
Nebraska,Jul  3 2021,28
Nebraska,Jul  2 2021,110
Nebraska,Jul  1 2021,137
Nebraska,Jun 30 2021,64
Nebraska,Jun 29 2021,80
Nebraska,Jun 28 2021,71
Nebraska,Jun 27 2021,17
Nebraska,Jun 26 2021,27
Nebraska,Jun 25 2021,57
Nebraska,Jun 24 2021,29
Nebraska,Jun 23 2021,51
Nebraska,Jun 22 2021,192
Nebraska,Jun 21 2021,39
Nebraska,Jun 20 2021,39
Nebraska,Jun 19 2021,39
Nebraska,Jun 18 2021,13
Nebraska,Jun 17 2021,0
Nebraska,Jun 16 2021,41
Nebraska,Jun 15 2021,39
Nebraska,Jun 14 2021,40
Nebraska,Jun 13 2021,12
Nebraska,Jun 12 2021,20
Nebraska,Jun 11 2021,27
Nebraska,Jun 10 2021,36
Nebraska,Jun  9 2021,35
Nebraska,Jun  8 2021,31
Nebraska,Jun  7 2021,38
Nebraska,Jun  6 2021,21
Nebraska,Jun  5 2021,28
Nebraska,Jun  4 2021,43
Nebraska,Jun  3 2021,47
Nebraska,Jun  2 2021,104
Nebraska,Jun  1 2021,47
Nebraska,May 31 2021,31
Nebraska,May 30 2021,13
Nebraska,May 29 2021,12
Nebraska,May 28 2021,45
Nebraska,May 27 2021,66
Nebraska,May 26 2021,46
Nebraska,May 25 2021,82
Nebraska,May 24 2021,85
Nebraska,May 23 2021,22
Nebraska,May 22 2021,40
Nebraska,May 21 2021,101
Nebraska,May 20 2021,97
Nebraska,May 19 2021,103
Nebraska,May 18 2021,73
Nebraska,May 17 2021,109
Nebraska,May 16 2021,24
Nebraska,May 15 2021,48
Nebraska,May 14 2021,98
Nebraska,May 13 2021,100
Nebraska,May 12 2021,157
Nebraska,May 11 2021,185
Nebraska,May 10 2021,254
Nebraska,May  9 2021,66
Nebraska,May  8 2021,82
Nebraska,May  7 2021,195
Nebraska,May  6 2021,217
Nebraska,May  5 2021,201
Nebraska,May  4 2021,251
Nebraska,May  3 2021,266
Nebraska,May  2 2021,97
Nebraska,May  1 2021,89
Nebraska,Apr 30 2021,193
Nebraska,Apr 29 2021,264
Nebraska,Apr 28 2021,245
Nebraska,Apr 27 2021,275
Nebraska,Apr 26 2021,272
Nebraska,Apr 25 2021,96
Nebraska,Apr 24 2021,150
Nebraska,Apr 23 2021,361
Nebraska,Apr 22 2021,277
Nebraska,Apr 21 2021,322
Nebraska,Apr 20 2021,491
Nebraska,Apr 19 2021,451
Nebraska,Apr 18 2021,137
Nebraska,Apr 17 2021,172
Nebraska,Apr 16 2021,481
Nebraska,Apr 15 2021,391
Nebraska,Apr 14 2021,368
Nebraska,Apr 13 2021,388
Nebraska,Apr 12 2021,344
Nebraska,Apr 11 2021,142
Nebraska,Apr 10 2021,195
Nebraska,Apr  9 2021,439
Nebraska,Apr  8 2021,405
Nebraska,Apr  7 2021,440
Nebraska,Apr  6 2021,539
Nebraska,Apr  5 2021,272
Nebraska,Apr  4 2021,144
Nebraska,Apr  3 2021,233
Nebraska,Apr  2 2021,345
Nebraska,Apr  1 2021,419
Nebraska,Mar 31 2021,467
Nebraska,Mar 30 2021,449
Nebraska,Mar 29 2021,375
Nebraska,Mar 28 2021,125
Nebraska,Mar 27 2021,167
Nebraska,Mar 26 2021,583
Nebraska,Mar 25 2021,305
Nebraska,Mar 24 2021,354
Nebraska,Mar 23 2021,299
Nebraska,Mar 22 2021,309
Nebraska,Mar 21 2021,170
Nebraska,Mar 20 2021,148
Nebraska,Mar 19 2021,284
Nebraska,Mar 18 2021,298
Nebraska,Mar 17 2021,326
Nebraska,Mar 16 2021,322
Nebraska,Mar 15 2021,289
Nebraska,Mar 14 2021,130
Nebraska,Mar 13 2021,170
Nebraska,Mar 12 2021,321
Nebraska,Mar 11 2021,374
Nebraska,Mar 10 2021,416
Nebraska,Mar  9 2021,356
Nebraska,Mar  8 2021,281
Nebraska,Mar  7 2021,155
Nebraska,Mar  6 2021,211
Nebraska,Mar  5 2021,364
Nebraska,Mar  4 2021,357
Nebraska,Mar  3 2021,389
Nebraska,Mar  2 2021,340
Nebraska,Mar  1 2021,426
Nebraska,Feb 28 2021,114
Nebraska,Feb 27 2021,187
Nebraska,Feb 26 2021,322
Nebraska,Feb 25 2021,331
Nebraska,Feb 24 2021,426
Nebraska,Feb 23 2021,454
Nebraska,Feb 22 2021,312
Nebraska,Feb 21 2021,158
Nebraska,Feb 20 2021,204
Nebraska,Feb 19 2021,370
Nebraska,Feb 18 2021,425
Nebraska,Feb 17 2021,312
Nebraska,Feb 16 2021,387
Nebraska,Feb 15 2021,147
Nebraska,Feb 14 2021,127
Nebraska,Feb 13 2021,211
Nebraska,Feb 12 2021,409
Nebraska,Feb 11 2021,464
Nebraska,Feb 10 2021,390
Nebraska,Feb  9 2021,545
Nebraska,Feb  8 2021,377
Nebraska,Feb  7 2021,160
Nebraska,Feb  6 2021,298
Nebraska,Feb  5 2021,409
Nebraska,Feb  4 2021,525
Nebraska,Feb  3 2021,520
Nebraska,Feb  2 2021,737
Nebraska,Feb  1 2021,480
Nebraska,Jan 31 2021,267
Nebraska,Jan 30 2021,359
Nebraska,Jan 29 2021,720
Nebraska,Jan 28 2021,852
Nebraska,Jan 27 2021,655
Nebraska,Jan 26 2021,393
Nebraska,Jan 25 2021,623
Nebraska,Jan 24 2021,276
Nebraska,Jan 23 2021,527
Nebraska,Jan 22 2021,858
Nebraska,Jan 21 2021,945
Nebraska,Jan 20 2021,1288
Nebraska,Jan 19 2021,1106
Nebraska,Jan 18 2021,395
Nebraska,Jan 17 2021,466
Nebraska,Jan 16 2021,376
Nebraska,Jan 15 2021,771
Nebraska,Jan 14 2021,931
Nebraska,Jan 13 2021,1075
Nebraska,Jan 12 2021,1122
Nebraska,Jan 11 2021,870
Nebraska,Jan 10 2021,403
Nebraska,Jan  9 2021,596
Nebraska,Jan  8 2021,1387
Nebraska,Jan  7 2021,1252
Nebraska,Jan  6 2021,1346
Nebraska,Jan  5 2021,1508
Nebraska,Jan  4 2021,1061
Nebraska,Jan  3 2021,583
Nebraska,Jan  2 2021,632
Nebraska,Jan  1 2021,778
Nebraska,Dec 31 2020,1473
Nebraska,Dec 30 2020,1135
Nebraska,Dec 29 2020,1658
Nebraska,Dec 28 2020,1005
Nebraska,Dec 27 2020,611
Nebraska,Dec 26 2020,173
Nebraska,Dec 25 2020,682
Nebraska,Dec 24 2020,709
Nebraska,Dec 23 2020,1322
Nebraska,Dec 22 2020,1380
Nebraska,Dec 21 2020,804
Nebraska,Dec 20 2020,711
Nebraska,Dec 19 2020,861
Nebraska,Dec 18 2020,1371
Nebraska,Dec 17 2020,1436
Nebraska,Dec 16 2020,1406
Nebraska,Dec 15 2020,1647
Nebraska,Dec 14 2020,756
Nebraska,Dec 13 2020,851
Nebraska,Dec 12 2020,980
Nebraska,Dec 11 2020,1350
Nebraska,Dec 10 2020,1647
Nebraska,Dec  9 2020,1588
Nebraska,Dec  8 2020,1571
Nebraska,Dec  7 2020,1348
Nebraska,Dec  6 2020,1264
Nebraska,Dec  5 2020,1526
Nebraska,Dec  4 2020,2098
Nebraska,Dec  3 2020,2134
Nebraska,Dec  2 2020,2488
Nebraska,Dec  1 2020,1906
Nebraska,Nov 30 2020,1805
Nebraska,Nov 29 2020,1206
Nebraska,Nov 28 2020,1261
Nebraska,Nov 27 2020,923
Nebraska,Nov 26 2020,1490
Nebraska,Nov 25 2020,2816
Nebraska,Nov 24 2020,2149
Nebraska,Nov 23 2020,1866
Nebraska,Nov 22 2020,1182
Nebraska,Nov 21 2020,1323
Nebraska,Nov 20 2020,2314
Nebraska,Nov 19 2020,2559
Nebraska,Nov 18 2020,2824
Nebraska,Nov 17 2020,2246
Nebraska,Nov 16 2020,2185
Nebraska,Nov 15 2020,1360
Nebraska,Nov 14 2020,1665
Nebraska,Nov 13 2020,2661
Nebraska,Nov 12 2020,2407
Nebraska,Nov 11 2020,2435
Nebraska,Nov 10 2020,2175
Nebraska,Nov  9 2020,1753
Nebraska,Nov  8 2020,1606
Nebraska,Nov  7 2020,1674
Nebraska,Nov  6 2020,2273
Nebraska,Nov  5 2020,2135
Nebraska,Nov  4 2020,1983
Nebraska,Nov  3 2020,1546
Nebraska,Nov  2 2020,939
Nebraska,Nov  1 2020,1000
Nebraska,Oct 31 2020,1109
Nebraska,Oct 30 2020,1591
Nebraska,Oct 29 2020,1617
Nebraska,Oct 28 2020,1282
Nebraska,Oct 27 2020,950
Nebraska,Oct 26 2020,772
Nebraska,Oct 25 2020,614
Nebraska,Oct 24 2020,715
Nebraska,Oct 23 2020,1303
Nebraska,Oct 22 2020,1053
