Data Table for Daily Case Trends - Nevada
Date generated: Mon Nov 15 2021 12:01:01 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Nevada,Nov 12 2021,1387
Nevada,Nov 11 2021,0
Nevada,Nov 10 2021,657
Nevada,Nov  9 2021,795
Nevada,Nov  8 2021,1876
Nevada,Nov  7 2021,0
Nevada,Nov  6 2021,0
Nevada,Nov  5 2021,844
Nevada,Nov  4 2021,1022
Nevada,Nov  3 2021,847
Nevada,Nov  2 2021,950
Nevada,Nov  1 2021,2178
Nevada,Oct 31 2021,0
Nevada,Oct 30 2021,0
Nevada,Oct 29 2021,0
Nevada,Oct 28 2021,686
Nevada,Oct 27 2021,739
Nevada,Oct 26 2021,724
Nevada,Oct 25 2021,1496
Nevada,Oct 24 2021,0
Nevada,Oct 23 2021,0
Nevada,Oct 22 2021,822
Nevada,Oct 21 2021,719
Nevada,Oct 20 2021,716
Nevada,Oct 19 2021,1000
Nevada,Oct 18 2021,469
Nevada,Oct 17 2021,465
Nevada,Oct 16 2021,465
Nevada,Oct 15 2021,521
Nevada,Oct 14 2021,707
Nevada,Oct 13 2021,728
Nevada,Oct 12 2021,972
Nevada,Oct 11 2021,617
Nevada,Oct 10 2021,616
Nevada,Oct  9 2021,616
Nevada,Oct  8 2021,745
Nevada,Oct  7 2021,745
Nevada,Oct  6 2021,738
Nevada,Oct  5 2021,126
Nevada,Oct  4 2021,625
Nevada,Oct  3 2021,623
Nevada,Oct  2 2021,623
Nevada,Oct  1 2021,1010
Nevada,Sep 30 2021,1140
Nevada,Sep 29 2021,800
Nevada,Sep 28 2021,902
Nevada,Sep 27 2021,661
Nevada,Sep 26 2021,660
Nevada,Sep 25 2021,660
Nevada,Sep 24 2021,1072
Nevada,Sep 23 2021,1053
Nevada,Sep 22 2021,824
Nevada,Sep 21 2021,1230
Nevada,Sep 20 2021,739
Nevada,Sep 19 2021,737
Nevada,Sep 18 2021,737
Nevada,Sep 17 2021,1371
Nevada,Sep 16 2021,1475
Nevada,Sep 15 2021,1046
Nevada,Sep 14 2021,1361
Nevada,Sep 13 2021,984
Nevada,Sep 12 2021,983
Nevada,Sep 11 2021,983
Nevada,Sep 10 2021,1552
Nevada,Sep  9 2021,1115
Nevada,Sep  8 2021,1446
Nevada,Sep  7 2021,799
Nevada,Sep  6 2021,798
Nevada,Sep  5 2021,798
Nevada,Sep  4 2021,798
Nevada,Sep  3 2021,1407
Nevada,Sep  2 2021,1136
Nevada,Sep  1 2021,1452
Nevada,Aug 31 2021,1242
Nevada,Aug 30 2021,933
Nevada,Aug 29 2021,933
Nevada,Aug 28 2021,933
Nevada,Aug 27 2021,1287
Nevada,Aug 26 2021,1137
Nevada,Aug 25 2021,1362
Nevada,Aug 24 2021,1007
Nevada,Aug 23 2021,1022
Nevada,Aug 22 2021,1022
Nevada,Aug 21 2021,1022
Nevada,Aug 20 2021,1207
