Data Table for Daily Case Trends - New Hampshire
Date generated: Mon Nov 15 2021 12:01:09 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
New Hampshire,Nov 12 2021,2157
New Hampshire,Nov 11 2021,0
New Hampshire,Nov 10 2021,762
New Hampshire,Nov  9 2021,390
New Hampshire,Nov  8 2021,1993
New Hampshire,Nov  7 2021,0
New Hampshire,Nov  6 2021,0
New Hampshire,Nov  5 2021,813
New Hampshire,Nov  4 2021,733
New Hampshire,Nov  3 2021,622
New Hampshire,Nov  2 2021,381
New Hampshire,Nov  1 2021,2258
New Hampshire,Oct 31 2021,0
New Hampshire,Oct 30 2021,0
New Hampshire,Oct 29 2021,2076
New Hampshire,Oct 28 2021,0
New Hampshire,Oct 27 2021,0
New Hampshire,Oct 26 2021,0
New Hampshire,Oct 25 2021,651
New Hampshire,Oct 24 2021,0
New Hampshire,Oct 23 2021,0
New Hampshire,Oct 22 2021,535
New Hampshire,Oct 21 2021,640
New Hampshire,Oct 20 2021,575
New Hampshire,Oct 19 2021,377
New Hampshire,Oct 18 2021,540
New Hampshire,Oct 17 2021,538
New Hampshire,Oct 16 2021,538
New Hampshire,Oct 15 2021,626
New Hampshire,Oct 14 2021,648
New Hampshire,Oct 13 2021,544
New Hampshire,Oct 12 2021,1384
New Hampshire,Oct 11 2021,213
New Hampshire,Oct 10 2021,212
New Hampshire,Oct  9 2021,212
New Hampshire,Oct  8 2021,646
New Hampshire,Oct  7 2021,628
New Hampshire,Oct  6 2021,484
New Hampshire,Oct  5 2021,396
New Hampshire,Oct  4 2021,431
New Hampshire,Oct  3 2021,430
New Hampshire,Oct  2 2021,430
New Hampshire,Oct  1 2021,495
New Hampshire,Sep 30 2021,548
New Hampshire,Sep 29 2021,652
New Hampshire,Sep 28 2021,362
New Hampshire,Sep 27 2021,418
New Hampshire,Sep 26 2021,417
New Hampshire,Sep 25 2021,417
New Hampshire,Sep 24 2021,744
New Hampshire,Sep 23 2021,753
New Hampshire,Sep 22 2021,345
New Hampshire,Sep 21 2021,211
New Hampshire,Sep 20 2021,361
New Hampshire,Sep 19 2021,359
New Hampshire,Sep 18 2021,359
New Hampshire,Sep 17 2021,419
New Hampshire,Sep 16 2021,612
New Hampshire,Sep 15 2021,544
New Hampshire,Sep 14 2021,421
New Hampshire,Sep 13 2021,405
New Hampshire,Sep 12 2021,405
New Hampshire,Sep 11 2021,405
New Hampshire,Sep 10 2021,332
New Hampshire,Sep  9 2021,523
New Hampshire,Sep  8 2021,540
New Hampshire,Sep  7 2021,253
New Hampshire,Sep  6 2021,250
New Hampshire,Sep  5 2021,250
New Hampshire,Sep  4 2021,250
New Hampshire,Sep  3 2021,394
New Hampshire,Sep  2 2021,298
New Hampshire,Sep  1 2021,332
New Hampshire,Aug 31 2021,215
New Hampshire,Aug 30 2021,317
