Data Table for Daily Case Trends - New Jersey
Date generated: Mon Nov 15 2021 12:01:17 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
New Jersey,Nov 12 2021,1821
New Jersey,Nov 11 2021,1823
New Jersey,Nov 10 2021,1338
New Jersey,Nov  9 2021,1764
New Jersey,Nov  8 2021,852
New Jersey,Nov  7 2021,926
New Jersey,Nov  6 2021,1403
New Jersey,Nov  5 2021,1385
New Jersey,Nov  4 2021,1504
New Jersey,Nov  3 2021,1298
New Jersey,Nov  2 2021,1215
New Jersey,Nov  1 2021,821
New Jersey,Oct 31 2021,1215
New Jersey,Oct 30 2021,1230
New Jersey,Oct 29 2021,1306
New Jersey,Oct 28 2021,1965
New Jersey,Oct 27 2021,1289
New Jersey,Oct 26 2021,1473
New Jersey,Oct 25 2021,943
New Jersey,Oct 24 2021,787
New Jersey,Oct 23 2021,1140
New Jersey,Oct 22 2021,1706
New Jersey,Oct 21 2021,1468
New Jersey,Oct 20 2021,1106
New Jersey,Oct 19 2021,1238
New Jersey,Oct 18 2021,767
New Jersey,Oct 17 2021,896
New Jersey,Oct 16 2021,1452
New Jersey,Oct 15 2021,1383
New Jersey,Oct 14 2021,1638
New Jersey,Oct 13 2021,1746
New Jersey,Oct 12 2021,1642
New Jersey,Oct 11 2021,954
New Jersey,Oct 10 2021,1433
New Jersey,Oct  9 2021,1828
New Jersey,Oct  8 2021,1869
New Jersey,Oct  7 2021,2065
New Jersey,Oct  6 2021,1852
New Jersey,Oct  5 2021,1648
New Jersey,Oct  4 2021,1246
New Jersey,Oct  3 2021,1454
New Jersey,Oct  2 2021,1935
New Jersey,Oct  1 2021,1673
New Jersey,Sep 30 2021,2327
New Jersey,Sep 29 2021,1997
New Jersey,Sep 28 2021,1888
New Jersey,Sep 27 2021,1159
New Jersey,Sep 26 2021,1110
New Jersey,Sep 25 2021,2234
New Jersey,Sep 24 2021,2236
New Jersey,Sep 23 2021,2252
New Jersey,Sep 22 2021,2351
New Jersey,Sep 21 2021,2165
New Jersey,Sep 20 2021,1623
New Jersey,Sep 19 2021,1909
New Jersey,Sep 18 2021,2623
New Jersey,Sep 17 2021,2374
New Jersey,Sep 16 2021,2958
New Jersey,Sep 15 2021,2275
New Jersey,Sep 14 2021,2038
New Jersey,Sep 13 2021,1545
New Jersey,Sep 12 2021,1847
New Jersey,Sep 11 2021,2494
New Jersey,Sep 10 2021,2664
New Jersey,Sep  9 2021,2210
New Jersey,Sep  8 2021,3498
New Jersey,Sep  7 2021,354
New Jersey,Sep  6 2021,1951
New Jersey,Sep  5 2021,1714
New Jersey,Sep  4 2021,2248
New Jersey,Sep  3 2021,1735
New Jersey,Sep  2 2021,2542
New Jersey,Sep  1 2021,2283
New Jersey,Aug 31 2021,2128
New Jersey,Aug 30 2021,1508
New Jersey,Aug 29 2021,1850
New Jersey,Aug 28 2021,1934
New Jersey,Aug 27 2021,2592
New Jersey,Aug 26 2021,2054
New Jersey,Aug 25 2021,2113
New Jersey,Aug 24 2021,1857
New Jersey,Aug 23 2021,1624
New Jersey,Aug 22 2021,1450
New Jersey,Aug 21 2021,2158
New Jersey,Aug 20 2021,2940
New Jersey,Aug 19 2021,2022
New Jersey,Aug 18 2021,1677
New Jersey,Aug 17 2021,1821
New Jersey,Aug 16 2021,1304
New Jersey,Aug 15 2021,1274
New Jersey,Aug 14 2021,2564
New Jersey,Aug 13 2021,1844
New Jersey,Aug 12 2021,1854
New Jersey,Aug 11 2021,1686
New Jersey,Aug 10 2021,1629
New Jersey,Aug  9 2021,861
New Jersey,Aug  8 2021,1169
New Jersey,Aug  7 2021,1539
New Jersey,Aug  6 2021,1346
New Jersey,Aug  5 2021,1466
New Jersey,Aug  4 2021,1230
New Jersey,Aug  3 2021,1313
New Jersey,Aug  2 2021,878
New Jersey,Aug  1 2021,928
New Jersey,Jul 31 2021,1182
New Jersey,Jul 30 2021,1119
New Jersey,Jul 29 2021,1077
New Jersey,Jul 28 2021,948
New Jersey,Jul 27 2021,794
New Jersey,Jul 26 2021,521
New Jersey,Jul 25 2021,596
New Jersey,Jul 24 2021,861
New Jersey,Jul 23 2021,909
New Jersey,Jul 22 2021,746
New Jersey,Jul 21 2021,699
New Jersey,Jul 20 2021,658
New Jersey,Jul 19 2021,312
New Jersey,Jul 18 2021,428
New Jersey,Jul 17 2021,549
New Jersey,Jul 16 2021,494
New Jersey,Jul 15 2021,446
New Jersey,Jul 14 2021,365
New Jersey,Jul 13 2021,363
New Jersey,Jul 12 2021,215
New Jersey,Jul 11 2021,283
New Jersey,Jul 10 2021,311
New Jersey,Jul  9 2021,398
New Jersey,Jul  8 2021,331
New Jersey,Jul  7 2021,283
New Jersey,Jul  6 2021,154
New Jersey,Jul  5 2021,86
New Jersey,Jul  4 2021,112
New Jersey,Jul  3 2021,190
New Jersey,Jul  2 2021,310
New Jersey,Jul  1 2021,218
New Jersey,Jun 30 2021,195
New Jersey,Jun 29 2021,222
New Jersey,Jun 28 2021,148
New Jersey,Jun 27 2021,150
New Jersey,Jun 26 2021,237
New Jersey,Jun 25 2021,349
New Jersey,Jun 24 2021,272
New Jersey,Jun 23 2021,268
New Jersey,Jun 22 2021,246
New Jersey,Jun 21 2021,126
New Jersey,Jun 20 2021,208
New Jersey,Jun 19 2021,205
New Jersey,Jun 18 2021,205
New Jersey,Jun 17 2021,238
New Jersey,Jun 16 2021,283
New Jersey,Jun 15 2021,249
New Jersey,Jun 14 2021,231
New Jersey,Jun 13 2021,207
New Jersey,Jun 12 2021,249
New Jersey,Jun 11 2021,274
New Jersey,Jun 10 2021,342
New Jersey,Jun  9 2021,184
New Jersey,Jun  8 2021,195
New Jersey,Jun  7 2021,208
New Jersey,Jun  6 2021,209
New Jersey,Jun  5 2021,358
New Jersey,Jun  4 2021,288
New Jersey,Jun  3 2021,286
New Jersey,Jun  2 2021,273
New Jersey,Jun  1 2021,158
New Jersey,May 31 2021,197
New Jersey,May 30 2021,246
New Jersey,May 29 2021,255
New Jersey,May 28 2021,266
New Jersey,May 27 2021,394
New Jersey,May 26 2021,395
New Jersey,May 25 2021,389
New Jersey,May 24 2021,102
New Jersey,May 23 2021,301
New Jersey,May 22 2021,378
New Jersey,May 21 2021,652
New Jersey,May 20 2021,561
New Jersey,May 19 2021,444
New Jersey,May 18 2021,646
New Jersey,May 17 2021,347
New Jersey,May 16 2021,269
New Jersey,May 15 2021,646
New Jersey,May 14 2021,323
New Jersey,May 13 2021,428
New Jersey,May 12 2021,486
New Jersey,May 11 2021,561
New Jersey,May 10 2021,152
New Jersey,May  9 2021,339
New Jersey,May  8 2021,650
New Jersey,May  7 2021,967
New Jersey,May  6 2021,1413
New Jersey,May  5 2021,2528
New Jersey,May  4 2021,1004
New Jersey,May  3 2021,983
New Jersey,May  2 2021,1198
New Jersey,May  1 2021,1589
New Jersey,Apr 30 2021,1741
New Jersey,Apr 29 2021,2359
New Jersey,Apr 28 2021,2113
New Jersey,Apr 27 2021,2124
New Jersey,Apr 26 2021,0
New Jersey,Apr 25 2021,1694
