Data Table for Daily Case Trends - New Mexico
Date generated: Mon Nov 15 2021 12:01:29 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
New Mexico,Nov 12 2021,3521
New Mexico,Nov 11 2021,0
New Mexico,Nov 10 2021,1336
New Mexico,Nov  9 2021,1135
New Mexico,Nov  8 2021,3344
New Mexico,Nov  7 2021,0
New Mexico,Nov  6 2021,0
New Mexico,Nov  5 2021,1460
New Mexico,Nov  4 2021,1612
New Mexico,Nov  3 2021,1161
New Mexico,Nov  2 2021,674
New Mexico,Nov  1 2021,2626
New Mexico,Oct 31 2021,0
New Mexico,Oct 30 2021,0
New Mexico,Oct 29 2021,1054
New Mexico,Oct 28 2021,1300
New Mexico,Oct 27 2021,957
New Mexico,Oct 26 2021,686
New Mexico,Oct 25 2021,2321
New Mexico,Oct 24 2021,0
New Mexico,Oct 23 2021,0
New Mexico,Oct 22 2021,982
New Mexico,Oct 21 2021,1132
New Mexico,Oct 20 2021,629
New Mexico,Oct 19 2021,516
New Mexico,Oct 18 2021,627
New Mexico,Oct 17 2021,625
New Mexico,Oct 16 2021,625
New Mexico,Oct 15 2021,801
New Mexico,Oct 14 2021,876
New Mexico,Oct 13 2021,708
New Mexico,Oct 12 2021,609
New Mexico,Oct 11 2021,606
New Mexico,Oct 10 2021,606
New Mexico,Oct  9 2021,606
New Mexico,Oct  8 2021,973
New Mexico,Oct  7 2021,1023
New Mexico,Oct  6 2021,832
New Mexico,Oct  5 2021,538
New Mexico,Oct  4 2021,588
New Mexico,Oct  3 2021,587
New Mexico,Oct  2 2021,587
New Mexico,Oct  1 2021,791
New Mexico,Sep 30 2021,1007
New Mexico,Sep 29 2021,633
New Mexico,Sep 28 2021,610
New Mexico,Sep 27 2021,662
New Mexico,Sep 26 2021,662
New Mexico,Sep 25 2021,662
New Mexico,Sep 24 2021,713
New Mexico,Sep 23 2021,722
New Mexico,Sep 22 2021,714
New Mexico,Sep 21 2021,410
New Mexico,Sep 20 2021,503
New Mexico,Sep 19 2021,503
New Mexico,Sep 18 2021,503
New Mexico,Sep 17 2021,758
New Mexico,Sep 16 2021,877
New Mexico,Sep 15 2021,686
New Mexico,Sep 14 2021,736
New Mexico,Sep 13 2021,593
New Mexico,Sep 12 2021,592
New Mexico,Sep 11 2021,592
New Mexico,Sep 10 2021,880
