Data Table for Daily Case Trends - New York City*
Date generated: Mon Nov 15 2021 12:01:46 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
New York City,Nov 12 2021,0
New York City,Nov 11 2021,1154
New York City,Nov 10 2021,1358
New York City,Nov  9 2021,1061
New York City,Nov  8 2021,1120
New York City,Nov  7 2021,1555
New York City,Nov  6 2021,0
New York City,Nov  5 2021,1341
New York City,Nov  4 2021,937
New York City,Nov  3 2021,1037
New York City,Nov  2 2021,894
New York City,Nov  1 2021,2107
New York City,Oct 31 2021,0
New York City,Oct 30 2021,0
New York City,Oct 29 2021,2297
New York City,Oct 28 2021,0
New York City,Oct 27 2021,1145
New York City,Oct 26 2021,750
New York City,Oct 25 2021,931
New York City,Oct 24 2021,2456
New York City,Oct 23 2021,0
New York City,Oct 22 2021,0
New York City,Oct 21 2021,914
New York City,Oct 20 2021,1136
New York City,Oct 19 2021,1461
New York City,Oct 18 2021,1754
New York City,Oct 17 2021,832
New York City,Oct 16 2021,831
New York City,Oct 15 2021,831
New York City,Oct 14 2021,2026
New York City,Oct 13 2021,1243
New York City,Oct 12 2021,1177
New York City,Oct 11 2021,945
New York City,Oct 10 2021,1298
New York City,Oct  9 2021,1298
New York City,Oct  8 2021,1298
New York City,Oct  7 2021,1324
New York City,Oct  6 2021,1929
New York City,Oct  5 2021,2107
New York City,Oct  4 2021,1386
New York City,Oct  3 2021,1444
New York City,Oct  2 2021,1443
New York City,Oct  1 2021,1443
New York City,Sep 30 2021,1921
New York City,Sep 29 2021,1337
New York City,Sep 28 2021,1330
New York City,Sep 27 2021,1477
New York City,Sep 26 2021,1546
New York City,Sep 25 2021,1544
New York City,Sep 24 2021,1544
New York City,Sep 23 2021,1755
New York City,Sep 22 2021,1588
New York City,Sep 21 2021,1782
New York City,Sep 20 2021,1809
New York City,Sep 19 2021,1737
New York City,Sep 18 2021,1736
New York City,Sep 17 2021,1736
New York City,Sep 16 2021,2128
New York City,Sep 15 2021,2101
New York City,Sep 14 2021,1986
New York City,Sep 13 2021,1550
New York City,Sep 12 2021,1692
New York City,Sep 11 2021,1691
New York City,Sep 10 2021,1691
New York City,Sep  9 2021,2221
New York City,Sep  8 2021,2173
New York City,Sep  7 2021,1100
New York City,Sep  6 2021,1098
New York City,Sep  5 2021,1500
New York City,Sep  4 2021,1499
New York City,Sep  3 2021,1499
New York City,Sep  2 2021,2155
New York City,Sep  1 2021,1785
New York City,Aug 31 2021,1756
New York City,Aug 30 2021,1524
New York City,Aug 29 2021,1738
New York City,Aug 28 2021,1738
New York City,Aug 27 2021,1738
New York City,Aug 26 2021,2133
New York City,Aug 25 2021,2077
New York City,Aug 24 2021,2025
New York City,Aug 23 2021,1612
New York City,Aug 22 2021,1636
New York City,Aug 21 2021,1634
New York City,Aug 20 2021,2460
New York City,Aug 19 2021,1803
New York City,Aug 18 2021,2373
New York City,Aug 17 2021,2226
New York City,Aug 16 2021,1580
New York City,Aug 15 2021,1956
New York City,Aug 14 2021,1953
New York City,Aug 13 2021,1953
New York City,Aug 12 2021,2032
New York City,Aug 11 2021,2158
New York City,Aug 10 2021,3075
New York City,Aug  9 2021,1248
New York City,Aug  8 2021,1703
New York City,Aug  7 2021,1701
New York City,Aug  6 2021,1701
New York City,Aug  5 2021,1885
New York City,Aug  4 2021,1975
New York City,Aug  3 2021,1663
New York City,Aug  2 2021,1590
New York City,Aug  1 2021,1328
New York City,Jul 31 2021,1328
New York City,Jul 30 2021,1328
New York City,Jul 29 2021,1426
New York City,Jul 28 2021,1467
New York City,Jul 27 2021,1194
New York City,Jul 26 2021,1008
New York City,Jul 25 2021,970
New York City,Jul 24 2021,968
New York City,Jul 23 2021,968
New York City,Jul 22 2021,1104
New York City,Jul 21 2021,894
New York City,Jul 20 2021,640
New York City,Jul 19 2021,851
New York City,Jul 18 2021,597
New York City,Jul 17 2021,593
New York City,Jul 16 2021,593
New York City,Jul 15 2021,633
New York City,Jul 14 2021,399
New York City,Jul 13 2021,530
New York City,Jul 12 2021,409
New York City,Jul 11 2021,438
New York City,Jul 10 2021,435
New York City,Jul  9 2021,435
New York City,Jul  8 2021,543
New York City,Jul  7 2021,559
New York City,Jul  6 2021,184
New York City,Jul  5 2021,164
New York City,Jul  4 2021,164
New York City,Jul  3 2021,164
New York City,Jul  2 2021,164
New York City,Jul  1 2021,193
New York City,Jun 30 2021,211
New York City,Jun 29 2021,218
New York City,Jun 28 2021,160
New York City,Jun 27 2021,177
New York City,Jun 26 2021,177
New York City,Jun 25 2021,177
New York City,Jun 24 2021,203
New York City,Jun 23 2021,237
New York City,Jun 22 2021,162
New York City,Jun 21 2021,143
New York City,Jun 20 2021,142
New York City,Jun 19 2021,142
New York City,Jun 18 2021,188
New York City,Jun 17 2021,250
New York City,Jun 16 2021,235
New York City,Jun 15 2021,166
New York City,Jun 14 2021,197
New York City,Jun 13 2021,171
New York City,Jun 12 2021,151
New York City,Jun 11 2021,151
New York City,Jun 10 2021,445
New York City,Jun  9 2021,91
New York City,Jun  8 2021,430
New York City,Jun  7 2021,260
New York City,Jun  6 2021,360
New York City,Jun  5 2021,184
New York City,Jun  4 2021,268
New York City,Jun  3 2021,334
New York City,Jun  2 2021,171
New York City,Jun  1 2021,156
New York City,May 31 2021,179
New York City,May 30 2021,262
New York City,May 29 2021,322
New York City,May 28 2021,312
New York City,May 27 2021,394
New York City,May 26 2021,471
New York City,May 25 2021,237
New York City,May 24 2021,314
New York City,May 23 2021,434
New York City,May 22 2021,472
New York City,May 21 2021,514
New York City,May 20 2021,537
New York City,May 19 2021,587
New York City,May 18 2021,400
New York City,May 17 2021,387
New York City,May 16 2021,655
New York City,May 15 2021,634
New York City,May 14 2021,748
New York City,May 13 2021,797
New York City,May 12 2021,849
New York City,May 11 2021,467
New York City,May 10 2021,523
New York City,May  9 2021,903
New York City,May  8 2021,994
New York City,May  7 2021,986
New York City,May  6 2021,1089
New York City,May  5 2021,1196
New York City,May  4 2021,768
New York City,May  3 2021,779
New York City,May  2 2021,1276
New York City,May  1 2021,1374
New York City,Apr 30 2021,1595
New York City,Apr 29 2021,1493
New York City,Apr 28 2021,1734
New York City,Apr 27 2021,1039
New York City,Apr 26 2021,1171
New York City,Apr 25 2021,1693
New York City,Apr 24 2021,1790
New York City,Apr 23 2021,1959
New York City,Apr 22 2021,2088
New York City,Apr 21 2021,2497
New York City,Apr 20 2021,1529
New York City,Apr 19 2021,1721
New York City,Apr 18 2021,2473
New York City,Apr 17 2021,2620
New York City,Apr 16 2021,2896
New York City,Apr 15 2021,3081
New York City,Apr 14 2021,3354
New York City,Apr 13 2021,1941
New York City,Apr 12 2021,2330
New York City,Apr 11 2021,3225
New York City,Apr 10 2021,3320
New York City,Apr  9 2021,3612
New York City,Apr  8 2021,3941
New York City,Apr  7 2021,4257
New York City,Apr  6 2021,2069
New York City,Apr  5 2021,2630
New York City,Apr  4 2021,3423
New York City,Apr  3 2021,3718
New York City,Apr  2 2021,4170
New York City,Apr  1 2021,4156
New York City,Mar 31 2021,4751
New York City,Mar 30 2021,2471
New York City,Mar 29 2021,3039
New York City,Mar 28 2021,4456
New York City,Mar 27 2021,5018
New York City,Mar 26 2021,4633
New York City,Mar 25 2021,4354
New York City,Mar 24 2021,5105
New York City,Mar 23 2021,2910
New York City,Mar 22 2021,3058
New York City,Mar 21 2021,4075
New York City,Mar 20 2021,3916
New York City,Mar 19 2021,4309
New York City,Mar 18 2021,4194
New York City,Mar 17 2021,4495
New York City,Mar 16 2021,2738
New York City,Mar 15 2021,3003
New York City,Mar 14 2021,4104
New York City,Mar 13 2021,4122
New York City,Mar 12 2021,4306
New York City,Mar 11 2021,4423
New York City,Mar 10 2021,4570
New York City,Mar  9 2021,2730
New York City,Mar  8 2021,2747
New York City,Mar  7 2021,3796
