Data Table for Daily Case Trends - North Carolina
Date generated: Mon Nov 15 2021 12:01:55 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
North Carolina,Nov 12 2021,4124
North Carolina,Nov 11 2021,0
North Carolina,Nov 10 2021,2156
North Carolina,Nov  9 2021,1243
North Carolina,Nov  8 2021,4625
North Carolina,Nov  7 2021,0
North Carolina,Nov  6 2021,0
North Carolina,Nov  5 2021,1997
North Carolina,Nov  4 2021,2201
North Carolina,Nov  3 2021,1777
North Carolina,Nov  2 2021,1214
North Carolina,Nov  1 2021,4950
North Carolina,Oct 31 2021,0
North Carolina,Oct 30 2021,0
North Carolina,Oct 29 2021,2366
North Carolina,Oct 28 2021,2493
North Carolina,Oct 27 2021,2160
North Carolina,Oct 26 2021,1340
North Carolina,Oct 25 2021,5745
North Carolina,Oct 24 2021,0
North Carolina,Oct 23 2021,0
North Carolina,Oct 22 2021,2609
North Carolina,Oct 21 2021,3003
North Carolina,Oct 20 2021,2610
North Carolina,Oct 19 2021,1374
North Carolina,Oct 18 2021,2311
North Carolina,Oct 17 2021,2311
North Carolina,Oct 16 2021,2311
North Carolina,Oct 15 2021,3182
North Carolina,Oct 14 2021,3761
North Carolina,Oct 13 2021,3239
North Carolina,Oct 12 2021,2148
North Carolina,Oct 11 2021,3165
North Carolina,Oct 10 2021,3162
North Carolina,Oct  9 2021,3162
North Carolina,Oct  8 2021,4078
North Carolina,Oct  7 2021,3781
North Carolina,Oct  6 2021,3598
North Carolina,Oct  5 2021,2703
North Carolina,Oct  4 2021,3563
North Carolina,Oct  3 2021,3561
North Carolina,Oct  2 2021,3561
North Carolina,Oct  1 2021,4963
North Carolina,Sep 30 2021,4765
North Carolina,Sep 29 2021,4789
North Carolina,Sep 28 2021,3469
North Carolina,Sep 27 2021,4496
North Carolina,Sep 26 2021,4496
North Carolina,Sep 25 2021,4496
North Carolina,Sep 24 2021,5805
North Carolina,Sep 23 2021,5953
North Carolina,Sep 22 2021,15
North Carolina,Sep 21 2021,2409
North Carolina,Sep 20 2021,1877
North Carolina,Sep 19 2021,2595
North Carolina,Sep 18 2021,5115
North Carolina,Sep 17 2021,5765
North Carolina,Sep 16 2021,6211
North Carolina,Sep 15 2021,6943
North Carolina,Sep 14 2021,8944
North Carolina,Sep 13 2021,3037
North Carolina,Sep 12 2021,3677
North Carolina,Sep 11 2021,6893
North Carolina,Sep 10 2021,7644
North Carolina,Sep  9 2021,9245
North Carolina,Sep  8 2021,11104
North Carolina,Sep  7 2021,3183
North Carolina,Sep  6 2021,3344
North Carolina,Sep  5 2021,3934
North Carolina,Sep  4 2021,7078
North Carolina,Sep  3 2021,7959
North Carolina,Sep  2 2021,7924
North Carolina,Sep  1 2021,8749
North Carolina,Aug 31 2021,9894
North Carolina,Aug 30 2021,3443
North Carolina,Aug 29 2021,4377
North Carolina,Aug 28 2021,7435
North Carolina,Aug 27 2021,7663
North Carolina,Aug 26 2021,8194
North Carolina,Aug 25 2021,8143
North Carolina,Aug 24 2021,9708
North Carolina,Aug 23 2021,3513
North Carolina,Aug 22 2021,3954
North Carolina,Aug 21 2021,6662
North Carolina,Aug 20 2021,6802
North Carolina,Aug 19 2021,6800
North Carolina,Aug 18 2021,6520
North Carolina,Aug 17 2021,7939
North Carolina,Aug 16 2021,3125
North Carolina,Aug 15 2021,3289
North Carolina,Aug 14 2021,5748
North Carolina,Aug 13 2021,6013
North Carolina,Aug 12 2021,6106
North Carolina,Aug 11 2021,6243
North Carolina,Aug 10 2021,6919
North Carolina,Aug  9 2021,2955
North Carolina,Aug  8 2021,2952
North Carolina,Aug  7 2021,4795
North Carolina,Aug  6 2021,5073
North Carolina,Aug  5 2021,4826
North Carolina,Aug  4 2021,4761
North Carolina,Aug  3 2021,5243
North Carolina,Aug  2 2021,2322
North Carolina,Aug  1 2021,2509
North Carolina,Jul 31 2021,3557
North Carolina,Jul 30 2021,3866
North Carolina,Jul 29 2021,3522
North Carolina,Jul 28 2021,3463
North Carolina,Jul 27 2021,3893
North Carolina,Jul 26 2021,1725
North Carolina,Jul 25 2021,1583
North Carolina,Jul 24 2021,2157
North Carolina,Jul 23 2021,2342
North Carolina,Jul 22 2021,2127
North Carolina,Jul 21 2021,1937
North Carolina,Jul 20 2021,2070
North Carolina,Jul 19 2021,933
North Carolina,Jul 18 2021,864
North Carolina,Jul 17 2021,1348
North Carolina,Jul 16 2021,1155
North Carolina,Jul 15 2021,1182
North Carolina,Jul 14 2021,1189
North Carolina,Jul 13 2021,1241
North Carolina,Jul 12 2021,635
North Carolina,Jul 11 2021,595
North Carolina,Jul 10 2021,847
North Carolina,Jul  9 2021,771
North Carolina,Jul  8 2021,734
North Carolina,Jul  7 2021,865
North Carolina,Jul  6 2021,627
North Carolina,Jul  5 2021,202
North Carolina,Jul  4 2021,390
North Carolina,Jul  3 2021,527
North Carolina,Jul  2 2021,549
North Carolina,Jul  1 2021,483
North Carolina,Jun 30 2021,504
North Carolina,Jun 29 2021,542
North Carolina,Jun 28 2021,247
North Carolina,Jun 27 2021,252
North Carolina,Jun 26 2021,425
North Carolina,Jun 25 2021,390
North Carolina,Jun 24 2021,429
North Carolina,Jun 23 2021,402
North Carolina,Jun 22 2021,491
North Carolina,Jun 21 2021,206
North Carolina,Jun 20 2021,233
North Carolina,Jun 19 2021,386
North Carolina,Jun 18 2021,390
North Carolina,Jun 17 2021,488
North Carolina,Jun 16 2021,437
North Carolina,Jun 15 2021,522
North Carolina,Jun 14 2021,244
North Carolina,Jun 13 2021,229
North Carolina,Jun 12 2021,362
North Carolina,Jun 11 2021,438
North Carolina,Jun 10 2021,446
North Carolina,Jun  9 2021,469
North Carolina,Jun  8 2021,508
North Carolina,Jun  7 2021,245
North Carolina,Jun  6 2021,305
North Carolina,Jun  5 2021,482
North Carolina,Jun  4 2021,524
North Carolina,Jun  3 2021,560
North Carolina,Jun  2 2021,833
North Carolina,Jun  1 2021,224
North Carolina,May 31 2021,291
North Carolina,May 30 2021,316
North Carolina,May 29 2021,586
North Carolina,May 28 2021,635
North Carolina,May 27 2021,682
North Carolina,May 26 2021,838
North Carolina,May 25 2021,979
North Carolina,May 24 2021,444
North Carolina,May 23 2021,455
North Carolina,May 22 2021,748
North Carolina,May 21 2021,936
North Carolina,May 20 2021,952
North Carolina,May 19 2021,1036
North Carolina,May 18 2021,1258
North Carolina,May 17 2021,518
North Carolina,May 16 2021,554
North Carolina,May 15 2021,999
North Carolina,May 14 2021,1041
North Carolina,May 13 2021,1115
North Carolina,May 12 2021,1245
North Carolina,May 11 2021,1566
North Carolina,May 10 2021,598
North Carolina,May  9 2021,712
North Carolina,May  8 2021,1250
North Carolina,May  7 2021,1470
North Carolina,May  6 2021,1617
North Carolina,May  5 2021,1630
North Carolina,May  4 2021,1962
North Carolina,May  3 2021,880
North Carolina,May  2 2021,912
North Carolina,May  1 2021,1582
North Carolina,Apr 30 2021,1746
North Carolina,Apr 29 2021,1820
North Carolina,Apr 28 2021,1987
North Carolina,Apr 27 2021,2346
North Carolina,Apr 26 2021,995
North Carolina,Apr 25 2021,1035
North Carolina,Apr 24 2021,1630
North Carolina,Apr 23 2021,1791
North Carolina,Apr 22 2021,2105
North Carolina,Apr 21 2021,2122
North Carolina,Apr 20 2021,2545
North Carolina,Apr 19 2021,1078
North Carolina,Apr 18 2021,1156
North Carolina,Apr 17 2021,1973
North Carolina,Apr 16 2021,2127
North Carolina,Apr 15 2021,2341
North Carolina,Apr 14 2021,2430
North Carolina,Apr 13 2021,2775
North Carolina,Apr 12 2021,1251
North Carolina,Apr 11 2021,1199
North Carolina,Apr 10 2021,2046
North Carolina,Apr  9 2021,2023
North Carolina,Apr  8 2021,2127
North Carolina,Apr  7 2021,2114
North Carolina,Apr  6 2021,2234
North Carolina,Apr  5 2021,688
North Carolina,Apr  4 2021,1032
North Carolina,Apr  3 2021,1375
North Carolina,Apr  2 2021,1814
North Carolina,Apr  1 2021,1947
North Carolina,Mar 31 2021,1942
North Carolina,Mar 30 2021,2284
North Carolina,Mar 29 2021,996
North Carolina,Mar 28 2021,1103
North Carolina,Mar 27 2021,1756
North Carolina,Mar 26 2021,1955
North Carolina,Mar 25 2021,2053
North Carolina,Mar 24 2021,2018
North Carolina,Mar 23 2021,2372
North Carolina,Mar 22 2021,976
North Carolina,Mar 21 2021,1043
North Carolina,Mar 20 2021,1680
North Carolina,Mar 19 2021,1598
North Carolina,Mar 18 2021,1996
North Carolina,Mar 17 2021,1812
North Carolina,Mar 16 2021,2245
North Carolina,Mar 15 2021,985
North Carolina,Mar 14 2021,1129
North Carolina,Mar 13 2021,1668
North Carolina,Mar 12 2021,1630
North Carolina,Mar 11 2021,1840
North Carolina,Mar 10 2021,1623
North Carolina,Mar  9 2021,2244
North Carolina,Mar  8 2021,881
North Carolina,Mar  7 2021,975
North Carolina,Mar  6 2021,1614
North Carolina,Mar  5 2021,1697
North Carolina,Mar  4 2021,1909
North Carolina,Mar  3 2021,2114
North Carolina,Mar  2 2021,2546
North Carolina,Mar  1 2021,983
North Carolina,Feb 28 2021,1195
North Carolina,Feb 27 2021,1900
North Carolina,Feb 26 2021,2110
North Carolina,Feb 25 2021,2267
North Carolina,Feb 24 2021,2510
North Carolina,Feb 23 2021,3239
North Carolina,Feb 22 2021,1322
North Carolina,Feb 21 2021,1568
North Carolina,Feb 20 2021,2686
North Carolina,Feb 19 2021,2145
North Carolina,Feb 18 2021,2925
North Carolina,Feb 17 2021,3196
North Carolina,Feb 16 2021,3716
North Carolina,Feb 15 2021,1493
North Carolina,Feb 14 2021,1683
North Carolina,Feb 13 2021,3098
North Carolina,Feb 12 2021,3338
North Carolina,Feb 11 2021,3622
North Carolina,Feb 10 2021,3826
North Carolina,Feb  9 2021,4902
North Carolina,Feb  8 2021,1858
North Carolina,Feb  7 2021,2335
North Carolina,Feb  6 2021,4045
North Carolina,Feb  5 2021,4238
North Carolina,Feb  4 2021,4499
North Carolina,Feb  3 2021,4777
North Carolina,Feb  2 2021,6117
North Carolina,Feb  1 2021,2159
North Carolina,Jan 31 2021,2739
North Carolina,Jan 30 2021,4927
North Carolina,Jan 29 2021,4894
North Carolina,Jan 28 2021,5521
North Carolina,Jan 27 2021,6150
North Carolina,Jan 26 2021,7453
North Carolina,Jan 25 2021,2830
North Carolina,Jan 24 2021,3521
North Carolina,Jan 23 2021,6093
North Carolina,Jan 22 2021,6375
North Carolina,Jan 21 2021,6670
North Carolina,Jan 20 2021,7622
North Carolina,Jan 19 2021,7455
North Carolina,Jan 18 2021,3219
North Carolina,Jan 17 2021,3938
North Carolina,Jan 16 2021,6810
North Carolina,Jan 15 2021,7617
North Carolina,Jan 14 2021,7900
North Carolina,Jan 13 2021,8529
North Carolina,Jan 12 2021,10875
North Carolina,Jan 11 2021,3934
North Carolina,Jan 10 2021,4731
North Carolina,Jan  9 2021,7447
North Carolina,Jan  8 2021,9474
North Carolina,Jan  7 2021,10251
North Carolina,Jan  6 2021,11743
North Carolina,Jan  5 2021,15181
North Carolina,Jan  4 2021,5141
North Carolina,Jan  3 2021,6808
North Carolina,Jan  2 2021,3418
North Carolina,Jan  1 2021,9048
North Carolina,Dec 31 2020,10659
North Carolina,Dec 30 2020,11145
North Carolina,Dec 29 2020,12244
North Carolina,Dec 28 2020,4226
North Carolina,Dec 27 2020,4921
North Carolina,Dec 26 2020,968
North Carolina,Dec 25 2020,4144
North Carolina,Dec 24 2020,7238
North Carolina,Dec 23 2020,6977
North Carolina,Dec 22 2020,9355
North Carolina,Dec 21 2020,2994
North Carolina,Dec 20 2020,3836
North Carolina,Dec 19 2020,6941
North Carolina,Dec 18 2020,7498
North Carolina,Dec 17 2020,6514
North Carolina,Dec 16 2020,7880
North Carolina,Dec 15 2020,9014
North Carolina,Dec 14 2020,3075
North Carolina,Dec 13 2020,3604
North Carolina,Dec 12 2020,6592
North Carolina,Dec 11 2020,6636
North Carolina,Dec 10 2020,6656
North Carolina,Dec  9 2020,6937
North Carolina,Dec  8 2020,8427
North Carolina,Dec  7 2020,2536
North Carolina,Dec  6 2020,3475
North Carolina,Dec  5 2020,6123
North Carolina,Dec  4 2020,6240
North Carolina,Dec  3 2020,6593
North Carolina,Dec  2 2020,7262
North Carolina,Dec  1 2020,8442
North Carolina,Nov 30 2020,2704
North Carolina,Nov 29 2020,3071
North Carolina,Nov 28 2020,3910
North Carolina,Nov 27 2020,767
North Carolina,Nov 26 2020,4594
North Carolina,Nov 25 2020,4810
North Carolina,Nov 24 2020,5917
North Carolina,Nov 23 2020,1716
North Carolina,Nov 22 2020,2062
North Carolina,Nov 21 2020,3793
North Carolina,Nov 20 2020,3945
North Carolina,Nov 19 2020,3992
North Carolina,Nov 18 2020,4589
North Carolina,Nov 17 2020,5344
North Carolina,Nov 16 2020,1726
North Carolina,Nov 15 2020,1995
North Carolina,Nov 14 2020,3904
North Carolina,Nov 13 2020,3706
North Carolina,Nov 12 2020,3459
North Carolina,Nov 11 2020,3814
North Carolina,Nov 10 2020,4598
