Data Table for Daily Case Trends - North Dakota
Date generated: Mon Nov 15 2021 12:02:06 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
North Dakota,Nov 12 2021,499
North Dakota,Nov 11 2021,402
North Dakota,Nov 10 2021,624
North Dakota,Nov  9 2021,643
North Dakota,Nov  8 2021,942
North Dakota,Nov  7 2021,196
North Dakota,Nov  6 2021,0
North Dakota,Nov  5 2021,603
North Dakota,Nov  4 2021,574
North Dakota,Nov  3 2021,611
North Dakota,Nov  2 2021,649
North Dakota,Nov  1 2021,813
North Dakota,Oct 31 2021,303
North Dakota,Oct 30 2021,0
North Dakota,Oct 29 2021,520
North Dakota,Oct 28 2021,518
North Dakota,Oct 27 2021,666
North Dakota,Oct 26 2021,643
North Dakota,Oct 25 2021,996
North Dakota,Oct 24 2021,189
North Dakota,Oct 23 2021,0
North Dakota,Oct 22 2021,471
North Dakota,Oct 21 2021,567
North Dakota,Oct 20 2021,536
North Dakota,Oct 19 2021,578
North Dakota,Oct 18 2021,923
North Dakota,Oct 17 2021,108
North Dakota,Oct 16 2021,108
North Dakota,Oct 15 2021,522
North Dakota,Oct 14 2021,560
North Dakota,Oct 13 2021,623
North Dakota,Oct 12 2021,661
North Dakota,Oct 11 2021,951
North Dakota,Oct 10 2021,137
North Dakota,Oct  9 2021,136
North Dakota,Oct  8 2021,552
North Dakota,Oct  7 2021,693
North Dakota,Oct  6 2021,705
North Dakota,Oct  5 2021,806
North Dakota,Oct  4 2021,1137
North Dakota,Oct  3 2021,133
North Dakota,Oct  2 2021,133
North Dakota,Oct  1 2021,711
North Dakota,Sep 30 2021,650
North Dakota,Sep 29 2021,759
North Dakota,Sep 28 2021,825
North Dakota,Sep 27 2021,1102
North Dakota,Sep 26 2021,142
North Dakota,Sep 25 2021,141
North Dakota,Sep 24 2021,637
North Dakota,Sep 23 2021,640
North Dakota,Sep 22 2021,629
North Dakota,Sep 21 2021,641
North Dakota,Sep 20 2021,845
North Dakota,Sep 19 2021,100
North Dakota,Sep 18 2021,99
North Dakota,Sep 17 2021,488
North Dakota,Sep 16 2021,490
North Dakota,Sep 15 2021,573
North Dakota,Sep 14 2021,943
North Dakota,Sep 13 2021,545
North Dakota,Sep 12 2021,105
North Dakota,Sep 11 2021,103
North Dakota,Sep 10 2021,502
North Dakota,Sep  9 2021,632
North Dakota,Sep  8 2021,615
North Dakota,Sep  7 2021,639
North Dakota,Sep  6 2021,407
North Dakota,Sep  5 2021,87
North Dakota,Sep  4 2021,86
North Dakota,Sep  3 2021,452
North Dakota,Sep  2 2021,440
North Dakota,Sep  1 2021,536
North Dakota,Aug 31 2021,458
North Dakota,Aug 30 2021,659
North Dakota,Aug 29 2021,87
North Dakota,Aug 28 2021,85
North Dakota,Aug 27 2021,361
North Dakota,Aug 26 2021,283
North Dakota,Aug 25 2021,356
North Dakota,Aug 24 2021,354
North Dakota,Aug 23 2021,506
North Dakota,Aug 22 2021,59
North Dakota,Aug 21 2021,57
North Dakota,Aug 20 2021,209
North Dakota,Aug 19 2021,302
North Dakota,Aug 18 2021,254
North Dakota,Aug 17 2021,252
North Dakota,Aug 16 2021,343
North Dakota,Aug 15 2021,53
North Dakota,Aug 14 2021,52
North Dakota,Aug 13 2021,162
North Dakota,Aug 12 2021,169
North Dakota,Aug 11 2021,150
North Dakota,Aug 10 2021,184
North Dakota,Aug  9 2021,224
North Dakota,Aug  8 2021,26
North Dakota,Aug  7 2021,25
North Dakota,Aug  6 2021,116
North Dakota,Aug  5 2021,119
North Dakota,Aug  4 2021,117
North Dakota,Aug  3 2021,96
North Dakota,Aug  2 2021,163
North Dakota,Aug  1 2021,16
North Dakota,Jul 31 2021,14
North Dakota,Jul 30 2021,74
North Dakota,Jul 29 2021,84
North Dakota,Jul 28 2021,75
North Dakota,Jul 27 2021,80
North Dakota,Jul 26 2021,104
North Dakota,Jul 25 2021,6
North Dakota,Jul 24 2021,6
North Dakota,Jul 23 2021,45
North Dakota,Jul 22 2021,43
North Dakota,Jul 21 2021,34
North Dakota,Jul 20 2021,26
North Dakota,Jul 19 2021,59
North Dakota,Jul 18 2021,5
North Dakota,Jul 17 2021,3
North Dakota,Jul 16 2021,25
North Dakota,Jul 15 2021,17
North Dakota,Jul 14 2021,32
North Dakota,Jul 13 2021,27
North Dakota,Jul 12 2021,42
North Dakota,Jul 11 2021,9
North Dakota,Jul 10 2021,14
North Dakota,Jul  9 2021,13
North Dakota,Jul  8 2021,13
North Dakota,Jul  7 2021,29
North Dakota,Jul  6 2021,28
North Dakota,Jul  5 2021,15
North Dakota,Jul  4 2021,1
North Dakota,Jul  3 2021,1
North Dakota,Jul  2 2021,5
North Dakota,Jul  1 2021,11
North Dakota,Jun 30 2021,11
North Dakota,Jun 29 2021,27
North Dakota,Jun 28 2021,17
North Dakota,Jun 27 2021,3
North Dakota,Jun 26 2021,3
North Dakota,Jun 25 2021,15
North Dakota,Jun 24 2021,15
North Dakota,Jun 23 2021,13
North Dakota,Jun 22 2021,16
North Dakota,Jun 21 2021,31
North Dakota,Jun 20 2021,9
North Dakota,Jun 19 2021,7
North Dakota,Jun 18 2021,7
North Dakota,Jun 17 2021,24
North Dakota,Jun 16 2021,28
North Dakota,Jun 15 2021,19
North Dakota,Jun 14 2021,33
North Dakota,Jun 13 2021,8
North Dakota,Jun 12 2021,6
North Dakota,Jun 11 2021,40
North Dakota,Jun 10 2021,35
North Dakota,Jun  9 2021,53
North Dakota,Jun  8 2021,44
North Dakota,Jun  7 2021,39
North Dakota,Jun  6 2021,16
North Dakota,Jun  5 2021,21
North Dakota,Jun  4 2021,27
North Dakota,Jun  3 2021,106
North Dakota,Jun  2 2021,42
North Dakota,Jun  1 2021,41
North Dakota,May 31 2021,18
North Dakota,May 30 2021,9
North Dakota,May 29 2021,20
North Dakota,May 28 2021,46
North Dakota,May 27 2021,49
North Dakota,May 26 2021,40
North Dakota,May 25 2021,67
North Dakota,May 24 2021,80
North Dakota,May 23 2021,30
North Dakota,May 22 2021,26
North Dakota,May 21 2021,68
North Dakota,May 20 2021,69
North Dakota,May 19 2021,78
North Dakota,May 18 2021,127
North Dakota,May 17 2021,100
North Dakota,May 16 2021,31
North Dakota,May 15 2021,47
North Dakota,May 14 2021,84
North Dakota,May 13 2021,96
North Dakota,May 12 2021,114
North Dakota,May 11 2021,111
North Dakota,May 10 2021,126
North Dakota,May  9 2021,44
North Dakota,May  8 2021,43
North Dakota,May  7 2021,98
North Dakota,May  6 2021,123
North Dakota,May  5 2021,137
North Dakota,May  4 2021,169
North Dakota,May  3 2021,149
North Dakota,May  2 2021,55
North Dakota,May  1 2021,69
North Dakota,Apr 30 2021,166
North Dakota,Apr 29 2021,175
North Dakota,Apr 28 2021,144
North Dakota,Apr 27 2021,156
North Dakota,Apr 26 2021,189
North Dakota,Apr 25 2021,121
North Dakota,Apr 24 2021,32
North Dakota,Apr 23 2021,119
North Dakota,Apr 22 2021,152
North Dakota,Apr 21 2021,167
North Dakota,Apr 20 2021,176
North Dakota,Apr 19 2021,237
North Dakota,Apr 18 2021,51
North Dakota,Apr 17 2021,58
North Dakota,Apr 16 2021,139
North Dakota,Apr 15 2021,177
North Dakota,Apr 14 2021,165
North Dakota,Apr 13 2021,176
North Dakota,Apr 12 2021,231
North Dakota,Apr 11 2021,63
North Dakota,Apr 10 2021,44
North Dakota,Apr  9 2021,213
North Dakota,Apr  8 2021,124
North Dakota,Apr  7 2021,197
North Dakota,Apr  6 2021,193
North Dakota,Apr  5 2021,260
North Dakota,Apr  4 2021,76
North Dakota,Apr  3 2021,61
North Dakota,Apr  2 2021,117
North Dakota,Apr  1 2021,161
North Dakota,Mar 31 2021,208
North Dakota,Mar 30 2021,211
North Dakota,Mar 29 2021,241
North Dakota,Mar 28 2021,56
North Dakota,Mar 27 2021,47
North Dakota,Mar 26 2021,154
North Dakota,Mar 25 2021,184
North Dakota,Mar 24 2021,197
North Dakota,Mar 23 2021,136
North Dakota,Mar 22 2021,164
North Dakota,Mar 21 2021,50
North Dakota,Mar 20 2021,49
North Dakota,Mar 19 2021,88
North Dakota,Mar 18 2021,111
North Dakota,Mar 17 2021,119
North Dakota,Mar 16 2021,134
North Dakota,Mar 15 2021,149
North Dakota,Mar 14 2021,25
North Dakota,Mar 13 2021,34
North Dakota,Mar 12 2021,95
North Dakota,Mar 11 2021,121
North Dakota,Mar 10 2021,111
North Dakota,Mar  9 2021,101
North Dakota,Mar  8 2021,95
North Dakota,Mar  7 2021,28
North Dakota,Mar  6 2021,113
North Dakota,Mar  5 2021,0
North Dakota,Mar  4 2021,211
North Dakota,Mar  3 2021,0
North Dakota,Mar  2 2021,110
North Dakota,Mar  1 2021,105
North Dakota,Feb 28 2021,43
North Dakota,Feb 27 2021,29
North Dakota,Feb 26 2021,69
North Dakota,Feb 25 2021,90
North Dakota,Feb 24 2021,90
North Dakota,Feb 23 2021,115
North Dakota,Feb 22 2021,104
North Dakota,Feb 21 2021,35
North Dakota,Feb 20 2021,49
North Dakota,Feb 19 2021,75
North Dakota,Feb 18 2021,119
North Dakota,Feb 17 2021,133
North Dakota,Feb 16 2021,120
North Dakota,Feb 15 2021,138
North Dakota,Feb 14 2021,46
North Dakota,Feb 13 2021,46
North Dakota,Feb 12 2021,85
North Dakota,Feb 11 2021,113
North Dakota,Feb 10 2021,139
North Dakota,Feb  9 2021,39
North Dakota,Feb  8 2021,0
North Dakota,Feb  7 2021,29
North Dakota,Feb  6 2021,49
North Dakota,Feb  5 2021,11
North Dakota,Feb  4 2021,61
North Dakota,Feb  3 2021,98
North Dakota,Feb  2 2021,138
North Dakota,Feb  1 2021,115
North Dakota,Jan 31 2021,53
North Dakota,Jan 30 2021,68
North Dakota,Jan 29 2021,104
North Dakota,Jan 28 2021,153
North Dakota,Jan 27 2021,145
North Dakota,Jan 26 2021,154
North Dakota,Jan 25 2021,132
North Dakota,Jan 24 2021,57
North Dakota,Jan 23 2021,97
North Dakota,Jan 22 2021,153
North Dakota,Jan 21 2021,197
North Dakota,Jan 20 2021,148
North Dakota,Jan 19 2021,151
North Dakota,Jan 18 2021,164
North Dakota,Jan 17 2021,43
North Dakota,Jan 16 2021,150
North Dakota,Jan 15 2021,115
North Dakota,Jan 14 2021,221
North Dakota,Jan 13 2021,243
North Dakota,Jan 12 2021,167
North Dakota,Jan 11 2021,138
North Dakota,Jan 10 2021,114
North Dakota,Jan  9 2021,158
North Dakota,Jan  8 2021,120
North Dakota,Jan  7 2021,282
North Dakota,Jan  6 2021,324
North Dakota,Jan  5 2021,592
North Dakota,Jan  4 2021,0
North Dakota,Jan  3 2021,199
North Dakota,Jan  2 2021,150
North Dakota,Jan  1 2021,121
North Dakota,Dec 31 2020,275
North Dakota,Dec 30 2020,294
North Dakota,Dec 29 2020,372
North Dakota,Dec 28 2020,271
North Dakota,Dec 27 2020,93
North Dakota,Dec 26 2020,110
North Dakota,Dec 25 2020,133
North Dakota,Dec 24 2020,274
North Dakota,Dec 23 2020,225
North Dakota,Dec 22 2020,270
North Dakota,Dec 21 2020,332
North Dakota,Dec 20 2020,82
North Dakota,Dec 19 2020,251
North Dakota,Dec 18 2020,231
North Dakota,Dec 17 2020,494
North Dakota,Dec 16 2020,668
North Dakota,Dec 15 2020,2
North Dakota,Dec 14 2020,326
North Dakota,Dec 13 2020,196
