Data Table for Daily Case Trends - Ohio
Date generated: Mon Nov 15 2021 12:02:12 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Ohio,Nov 12 2021,5379
Ohio,Nov 11 2021,4994
Ohio,Nov 10 2021,5527
Ohio,Nov  9 2021,4952
Ohio,Nov  8 2021,3122
Ohio,Nov  7 2021,4363
Ohio,Nov  6 2021,2791
Ohio,Nov  5 2021,4348
Ohio,Nov  4 2021,4487
Ohio,Nov  3 2021,4503
Ohio,Nov  2 2021,3917
Ohio,Nov  1 2021,2461
Ohio,Oct 31 2021,2416
Ohio,Oct 30 2021,3421
Ohio,Oct 29 2021,3485
Ohio,Oct 28 2021,4190
Ohio,Oct 27 2021,3839
Ohio,Oct 26 2021,3807
Ohio,Oct 25 2021,2325
Ohio,Oct 24 2021,2540
Ohio,Oct 23 2021,3466
Ohio,Oct 22 2021,4078
Ohio,Oct 21 2021,4084
Ohio,Oct 20 2021,4574
Ohio,Oct 19 2021,3617
Ohio,Oct 18 2021,2810
Ohio,Oct 17 2021,2515
Ohio,Oct 16 2021,3709
Ohio,Oct 15 2021,4937
Ohio,Oct 14 2021,5143
Ohio,Oct 13 2021,5648
Ohio,Oct 12 2021,4456
Ohio,Oct 11 2021,2936
Ohio,Oct 10 2021,5399
Ohio,Oct  9 2021,3185
Ohio,Oct  8 2021,6651
Ohio,Oct  7 2021,6310
Ohio,Oct  6 2021,6296
Ohio,Oct  5 2021,5533
Ohio,Oct  4 2021,4212
Ohio,Oct  3 2021,3445
Ohio,Oct  2 2021,6094
Ohio,Oct  1 2021,6234
Ohio,Sep 30 2021,6530
Ohio,Sep 29 2021,6463
Ohio,Sep 28 2021,7283
Ohio,Sep 27 2021,3681
Ohio,Sep 26 2021,4266
Ohio,Sep 25 2021,5379
Ohio,Sep 24 2021,7095
Ohio,Sep 23 2021,7475
Ohio,Sep 22 2021,6882
Ohio,Sep 21 2021,6814
Ohio,Sep 20 2021,4899
Ohio,Sep 19 2021,4428
Ohio,Sep 18 2021,6716
Ohio,Sep 17 2021,8447
Ohio,Sep 16 2021,8349
Ohio,Sep 15 2021,7747
Ohio,Sep 14 2021,7325
Ohio,Sep 13 2021,5568
Ohio,Sep 12 2021,4463
Ohio,Sep 11 2021,8405
Ohio,Sep 10 2021,9019
Ohio,Sep  9 2021,7897
Ohio,Sep  8 2021,6823
Ohio,Sep  7 2021,4876
Ohio,Sep  6 2021,3944
Ohio,Sep  5 2021,5561
Ohio,Sep  4 2021,6369
Ohio,Sep  3 2021,6179
Ohio,Sep  2 2021,7087
Ohio,Sep  1 2021,7102
Ohio,Aug 31 2021,5914
Ohio,Aug 30 2021,3091
Ohio,Aug 29 2021,3963
Ohio,Aug 28 2021,5204
Ohio,Aug 27 2021,4855
Ohio,Aug 26 2021,5395
Ohio,Aug 25 2021,4600
Ohio,Aug 24 2021,4117
Ohio,Aug 23 2021,2775
Ohio,Aug 22 2021,2194
Ohio,Aug 21 2021,3452
Ohio,Aug 20 2021,3783
Ohio,Aug 19 2021,3446
Ohio,Aug 18 2021,3303
Ohio,Aug 17 2021,3235
Ohio,Aug 16 2021,1814
Ohio,Aug 15 2021,1977
Ohio,Aug 14 2021,2460
Ohio,Aug 13 2021,2732
Ohio,Aug 12 2021,3272
Ohio,Aug 11 2021,3393
Ohio,Aug 10 2021,2326
Ohio,Aug  9 2021,1269
Ohio,Aug  8 2021,1413
Ohio,Aug  7 2021,2317
Ohio,Aug  6 2021,1666
Ohio,Aug  5 2021,1969
Ohio,Aug  4 2021,2167
Ohio,Aug  3 2021,1769
Ohio,Aug  2 2021,895
Ohio,Aug  1 2021,857
Ohio,Jul 31 2021,1469
Ohio,Jul 30 2021,1183
Ohio,Jul 29 2021,1205
Ohio,Jul 28 2021,1456
Ohio,Jul 27 2021,1317
Ohio,Jul 26 2021,543
Ohio,Jul 25 2021,495
Ohio,Jul 24 2021,687
Ohio,Jul 23 2021,802
Ohio,Jul 22 2021,822
Ohio,Jul 21 2021,785
Ohio,Jul 20 2021,744
Ohio,Jul 19 2021,418
Ohio,Jul 18 2021,301
Ohio,Jul 17 2021,486
Ohio,Jul 16 2021,533
Ohio,Jul 15 2021,547
Ohio,Jul 14 2021,407
Ohio,Jul 13 2021,344
Ohio,Jul 12 2021,224
Ohio,Jul 11 2021,231
Ohio,Jul 10 2021,299
Ohio,Jul  9 2021,354
Ohio,Jul  8 2021,377
Ohio,Jul  7 2021,317
Ohio,Jul  6 2021,190
Ohio,Jul  5 2021,105
Ohio,Jul  4 2021,105
Ohio,Jul  3 2021,201
Ohio,Jul  2 2021,185
Ohio,Jul  1 2021,579
Ohio,Jun 30 2021,200
Ohio,Jun 29 2021,277
Ohio,Jun 28 2021,147
Ohio,Jun 27 2021,154
Ohio,Jun 26 2021,254
Ohio,Jun 25 2021,292
Ohio,Jun 24 2021,303
Ohio,Jun 23 2021,323
Ohio,Jun 22 2021,349
Ohio,Jun 21 2021,123
Ohio,Jun 20 2021,252
Ohio,Jun 19 2021,252
Ohio,Jun 18 2021,252
Ohio,Jun 17 2021,244
Ohio,Jun 16 2021,381
Ohio,Jun 15 2021,296
Ohio,Jun 14 2021,178
Ohio,Jun 13 2021,251
Ohio,Jun 12 2021,385
Ohio,Jun 11 2021,347
Ohio,Jun 10 2021,344
Ohio,Jun  9 2021,391
Ohio,Jun  8 2021,426
Ohio,Jun  7 2021,255
Ohio,Jun  6 2021,268
Ohio,Jun  5 2021,379
Ohio,Jun  4 2021,621
Ohio,Jun  3 2021,490
Ohio,Jun  2 2021,334
Ohio,Jun  1 2021,312
Ohio,May 31 2021,310
Ohio,May 30 2021,377
Ohio,May 29 2021,585
Ohio,May 28 2021,660
Ohio,May 27 2021,732
Ohio,May 26 2021,987
Ohio,May 25 2021,727
Ohio,May 24 2021,566
Ohio,May 23 2021,683
Ohio,May 22 2021,871
Ohio,May 21 2021,1004
Ohio,May 20 2021,1208
Ohio,May 19 2021,918
Ohio,May 18 2021,993
Ohio,May 17 2021,729
Ohio,May 16 2021,618
Ohio,May 15 2021,919
Ohio,May 14 2021,1014
Ohio,May 13 2021,1161
Ohio,May 12 2021,1449
Ohio,May 11 2021,1411
Ohio,May 10 2021,713
Ohio,May  9 2021,794
Ohio,May  8 2021,1297
Ohio,May  7 2021,1397
Ohio,May  6 2021,1387
Ohio,May  5 2021,1450
Ohio,May  4 2021,1285
Ohio,May  3 2021,995
Ohio,May  2 2021,985
Ohio,May  1 2021,1707
Ohio,Apr 30 2021,1541
Ohio,Apr 29 2021,1786
Ohio,Apr 28 2021,1723
Ohio,Apr 27 2021,1560
Ohio,Apr 26 2021,1396
Ohio,Apr 25 2021,873
Ohio,Apr 24 2021,1526
Ohio,Apr 23 2021,1788
Ohio,Apr 22 2021,1724
Ohio,Apr 21 2021,1789
Ohio,Apr 20 2021,1799
Ohio,Apr 19 2021,1632
Ohio,Apr 18 2021,1076
Ohio,Apr 17 2021,1987
Ohio,Apr 16 2021,2003
Ohio,Apr 15 2021,2164
Ohio,Apr 14 2021,2216
Ohio,Apr 13 2021,2340
Ohio,Apr 12 2021,1934
Ohio,Apr 11 2021,1855
Ohio,Apr 10 2021,2048
Ohio,Apr  9 2021,1946
Ohio,Apr  8 2021,2742
Ohio,Apr  7 2021,2064
Ohio,Apr  6 2021,1871
Ohio,Apr  5 2021,2918
Ohio,Apr  4 2021,0
Ohio,Apr  3 2021,2293
Ohio,Apr  2 2021,1677
Ohio,Apr  1 2021,2475
Ohio,Mar 31 2021,1989
Ohio,Mar 30 2021,2458
Ohio,Mar 29 2021,1497
Ohio,Mar 28 2021,1019
Ohio,Mar 27 2021,1690
Ohio,Mar 26 2021,2742
Ohio,Mar 25 2021,1501
Ohio,Mar 24 2021,1848
Ohio,Mar 23 2021,1628
Ohio,Mar 22 2021,1444
Ohio,Mar 21 2021,931
Ohio,Mar 20 2021,1483
Ohio,Mar 19 2021,1551
Ohio,Mar 18 2021,2104
Ohio,Mar 17 2021,1458
Ohio,Mar 16 2021,1883
Ohio,Mar 15 2021,1149
Ohio,Mar 14 2021,893
Ohio,Mar 13 2021,1558
Ohio,Mar 12 2021,1806
Ohio,Mar 11 2021,1448
Ohio,Mar 10 2021,1868
Ohio,Mar  9 2021,1893
Ohio,Mar  8 2021,1254
Ohio,Mar  7 2021,735
Ohio,Mar  6 2021,1506
Ohio,Mar  5 2021,1750
Ohio,Mar  4 2021,1875
Ohio,Mar  3 2021,2022
Ohio,Mar  2 2021,1709
Ohio,Mar  1 2021,1452
Ohio,Feb 28 2021,1268
Ohio,Feb 27 2021,1774
Ohio,Feb 26 2021,1976
Ohio,Feb 25 2021,2409
Ohio,Feb 24 2021,1842
Ohio,Feb 23 2021,2775
Ohio,Feb 22 2021,1611
Ohio,Feb 21 2021,1461
Ohio,Feb 20 2021,2611
Ohio,Feb 19 2021,2306
Ohio,Feb 18 2021,2282
Ohio,Feb 17 2021,1816
Ohio,Feb 16 2021,2026
Ohio,Feb 15 2021,1915
Ohio,Feb 14 2021,1809
Ohio,Feb 13 2021,2799
Ohio,Feb 12 2021,3305
Ohio,Feb 11 2021,2806
Ohio,Feb 10 2021,3281
Ohio,Feb  9 2021,3207
Ohio,Feb  8 2021,1926
Ohio,Feb  7 2021,2138
Ohio,Feb  6 2021,3549
Ohio,Feb  5 2021,3683
Ohio,Feb  4 2021,4120
Ohio,Feb  3 2021,3991
Ohio,Feb  2 2021,3657
Ohio,Feb  1 2021,3287
Ohio,Jan 31 2021,3011
Ohio,Jan 30 2021,4191
Ohio,Jan 29 2021,4874
Ohio,Jan 28 2021,5432
Ohio,Jan 27 2021,5366
Ohio,Jan 26 2021,4262
Ohio,Jan 25 2021,4334
Ohio,Jan 24 2021,4481
Ohio,Jan 23 2021,5859
Ohio,Jan 22 2021,4278
Ohio,Jan 21 2021,7271
Ohio,Jan 20 2021,6378
Ohio,Jan 19 2021,4989
Ohio,Jan 18 2021,4312
Ohio,Jan 17 2021,5247
Ohio,Jan 16 2021,7065
Ohio,Jan 15 2021,7149
Ohio,Jan 14 2021,7654
Ohio,Jan 13 2021,6701
Ohio,Jan 12 2021,7981
Ohio,Jan 11 2021,7892
Ohio,Jan 10 2021,6088
Ohio,Jan  9 2021,8374
Ohio,Jan  8 2021,9535
Ohio,Jan  7 2021,10251
Ohio,Jan  6 2021,7814
Ohio,Jan  5 2021,7580
Ohio,Jan  4 2021,5942
Ohio,Jan  3 2021,6808
Ohio,Jan  2 2021,14293
Ohio,Jan  1 2021,0
Ohio,Dec 31 2020,9632
Ohio,Dec 30 2020,8178
Ohio,Dec 29 2020,7526
Ohio,Dec 28 2020,4519
Ohio,Dec 27 2020,5857
Ohio,Dec 26 2020,11018
Ohio,Dec 25 2020,0
Ohio,Dec 24 2020,8828
Ohio,Dec 23 2020,7790
Ohio,Dec 22 2020,7678
Ohio,Dec 21 2020,6548
Ohio,Dec 20 2020,8377
Ohio,Dec 19 2020,8567
Ohio,Dec 18 2020,9684
Ohio,Dec 17 2020,11412
Ohio,Dec 16 2020,5409
Ohio,Dec 15 2020,8755
Ohio,Dec 14 2020,7875
Ohio,Dec 13 2020,9266
Ohio,Dec 12 2020,11252
Ohio,Dec 11 2020,22097
Ohio,Dec 10 2020,0
Ohio,Dec  9 2020,10094
Ohio,Dec  8 2020,25721
Ohio,Dec  7 2020,9273
Ohio,Dec  6 2020,7592
Ohio,Dec  5 2020,10469
Ohio,Dec  4 2020,10114
Ohio,Dec  3 2020,8921
Ohio,Dec  2 2020,7835
Ohio,Dec  1 2020,9030
Ohio,Nov 30 2020,6631
Ohio,Nov 29 2020,7729
Ohio,Nov 28 2020,6895
Ohio,Nov 27 2020,17065
Ohio,Nov 26 2020,0
Ohio,Nov 25 2020,10835
Ohio,Nov 24 2020,8604
Ohio,Nov 23 2020,11885
Ohio,Nov 22 2020,8133
Ohio,Nov 21 2020,7863
Ohio,Nov 20 2020,8808
Ohio,Nov 19 2020,7787
Ohio,Nov 18 2020,6385
Ohio,Nov 17 2020,7079
Ohio,Nov 16 2020,7268
Ohio,Nov 15 2020,7853
Ohio,Nov 14 2020,7715
Ohio,Nov 13 2020,8071
Ohio,Nov 12 2020,7101
Ohio,Nov 11 2020,5874
Ohio,Nov 10 2020,6508
Ohio,Nov  9 2020,4706
Ohio,Nov  8 2020,4541
Ohio,Nov  7 2020,5549
Ohio,Nov  6 2020,5008
Ohio,Nov  5 2020,4961
Ohio,Nov  4 2020,4071
Ohio,Nov  3 2020,4229
Ohio,Nov  2 2020,2909
Ohio,Nov  1 2020,3303
Ohio,Oct 31 2020,2915
Ohio,Oct 30 2020,3845
Ohio,Oct 29 2020,3590
Ohio,Oct 28 2020,2607
Ohio,Oct 27 2020,2509
Ohio,Oct 26 2020,2116
Ohio,Oct 25 2020,2309
Ohio,Oct 24 2020,2858
Ohio,Oct 23 2020,2518
Ohio,Oct 22 2020,2425
Ohio,Oct 21 2020,2366
Ohio,Oct 20 2020,2015
Ohio,Oct 19 2020,1837
Ohio,Oct 18 2020,1562
Ohio,Oct 17 2020,2234
Ohio,Oct 16 2020,2148
Ohio,Oct 15 2020,2178
Ohio,Oct 14 2020,2039
Ohio,Oct 13 2020,1447
Ohio,Oct 12 2020,1430
Ohio,Oct 11 2020,1291
Ohio,Oct 10 2020,1356
Ohio,Oct  9 2020,1840
Ohio,Oct  8 2020,1539
Ohio,Oct  7 2020,1424
Ohio,Oct  6 2020,1335
Ohio,Oct  5 2020,1057
Ohio,Oct  4 2020,941
Ohio,Oct  3 2020,1157
Ohio,Oct  2 2020,1495
Ohio,Oct  1 2020,1327
Ohio,Sep 30 2020,1080
Ohio,Sep 29 2020,1105
Ohio,Sep 28 2020,993
Ohio,Sep 27 2020,800
Ohio,Sep 26 2020,1115
Ohio,Sep 25 2020,1150
Ohio,Sep 24 2020,991
Ohio,Sep 23 2020,903
Ohio,Sep 22 2020,685
Ohio,Sep 21 2020,856
Ohio,Sep 20 2020,762
Ohio,Sep 19 2020,951
Ohio,Sep 18 2020,1011
Ohio,Sep 17 2020,1067
Ohio,Sep 16 2020,1033
Ohio,Sep 15 2020,1001
Ohio,Sep 14 2020,1079
Ohio,Sep 13 2020,837
Ohio,Sep 12 2020,1242
Ohio,Sep 11 2020,1240
Ohio,Sep 10 2020,1121
Ohio,Sep  9 2020,973
Ohio,Sep  8 2020,1434
Ohio,Sep  7 2020,0
Ohio,Sep  6 2020,773
Ohio,Sep  5 2020,1341
Ohio,Sep  4 2020,1332
Ohio,Sep  3 2020,1345
Ohio,Sep  2 2020,1157
Ohio,Sep  1 2020,1453
Ohio,Aug 31 2020,895
Ohio,Aug 30 2020,922
Ohio,Aug 29 2020,1216
Ohio,Aug 28 2020,1296
Ohio,Aug 27 2020,1244
Ohio,Aug 26 2020,1089
Ohio,Aug 25 2020,844
Ohio,Aug 24 2020,849
Ohio,Aug 23 2020,637
Ohio,Aug 22 2020,1119
Ohio,Aug 21 2020,1043
Ohio,Aug 20 2020,1122
Ohio,Aug 19 2020,958
Ohio,Aug 18 2020,861
Ohio,Aug 17 2020,775
Ohio,Aug 16 2020,613
Ohio,Aug 15 2020,1117
Ohio,Aug 14 2020,1131
Ohio,Aug 13 2020,1178
Ohio,Aug 12 2020,1422
Ohio,Aug 11 2020,1095
