Data Table for Daily Case Trends - Oklahoma
Date generated: Mon Nov 15 2021 12:02:18 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Oklahoma,Nov 12 2021,889
Oklahoma,Nov 11 2021,1043
Oklahoma,Nov 10 2021,999
Oklahoma,Nov  9 2021,420
Oklahoma,Nov  8 2021,1482
Oklahoma,Nov  7 2021,0
Oklahoma,Nov  6 2021,0
Oklahoma,Nov  5 2021,578
Oklahoma,Nov  4 2021,576
Oklahoma,Nov  3 2021,1501
Oklahoma,Nov  2 2021,0
Oklahoma,Nov  1 2021,1452
Oklahoma,Oct 31 2021,0
Oklahoma,Oct 30 2021,0
Oklahoma,Oct 29 2021,706
Oklahoma,Oct 28 2021,1616
Oklahoma,Oct 27 2021,0
Oklahoma,Oct 26 2021,2642
Oklahoma,Oct 25 2021,0
Oklahoma,Oct 24 2021,0
Oklahoma,Oct 23 2021,0
Oklahoma,Oct 22 2021,763
Oklahoma,Oct 21 2021,1049
Oklahoma,Oct 20 2021,1148
Oklahoma,Oct 19 2021,895
Oklahoma,Oct 18 2021,951
Oklahoma,Oct 17 2021,947
Oklahoma,Oct 16 2021,947
Oklahoma,Oct 15 2021,1146
Oklahoma,Oct 14 2021,1180
Oklahoma,Oct 13 2021,1182
Oklahoma,Oct 12 2021,1214
Oklahoma,Oct 11 2021,824
Oklahoma,Oct 10 2021,820
Oklahoma,Oct  9 2021,820
Oklahoma,Oct  8 2021,1721
Oklahoma,Oct  7 2021,1720
Oklahoma,Oct  6 2021,1559
Oklahoma,Oct  5 2021,1096
Oklahoma,Oct  4 2021,996
Oklahoma,Oct  3 2021,994
Oklahoma,Oct  2 2021,994
Oklahoma,Oct  1 2021,1537
Oklahoma,Sep 30 2021,1452
Oklahoma,Sep 29 2021,1880
Oklahoma,Sep 28 2021,1500
Oklahoma,Sep 27 2021,1614
Oklahoma,Sep 26 2021,1613
Oklahoma,Sep 25 2021,1613
Oklahoma,Sep 24 2021,1154
Oklahoma,Sep 23 2021,1230
Oklahoma,Sep 22 2021,2361
Oklahoma,Sep 21 2021,2243
Oklahoma,Sep 20 2021,1449
Oklahoma,Sep 19 2021,1449
Oklahoma,Sep 18 2021,1449
Oklahoma,Sep 17 2021,2136
Oklahoma,Sep 16 2021,2124
Oklahoma,Sep 15 2021,2263
Oklahoma,Sep 14 2021,1966
Oklahoma,Sep 13 2021,1838
Oklahoma,Sep 12 2021,1834
Oklahoma,Sep 11 2021,1834
Oklahoma,Sep 10 2021,2903
Oklahoma,Sep  9 2021,2627
Oklahoma,Sep  8 2021,2462
Oklahoma,Sep  7 2021,1300
Oklahoma,Sep  6 2021,2519
Oklahoma,Sep  5 2021,2518
Oklahoma,Sep  4 2021,2518
Oklahoma,Sep  3 2021,2518
Oklahoma,Sep  2 2021,3080
Oklahoma,Sep  1 2021,3274
Oklahoma,Aug 31 2021,2538
Oklahoma,Aug 30 2021,1903
Oklahoma,Aug 29 2021,1899
Oklahoma,Aug 28 2021,1899
Oklahoma,Aug 27 2021,3845
Oklahoma,Aug 26 2021,3338
Oklahoma,Aug 25 2021,4152
Oklahoma,Aug 24 2021,2534
Oklahoma,Aug 23 2021,1676
Oklahoma,Aug 22 2021,1674
Oklahoma,Aug 21 2021,1674
Oklahoma,Aug 20 2021,2988
Oklahoma,Aug 19 2021,2851
Oklahoma,Aug 18 2021,2502
Oklahoma,Aug 17 2021,2360
Oklahoma,Aug 16 2021,1958
Oklahoma,Aug 15 2021,1957
Oklahoma,Aug 14 2021,1957
Oklahoma,Aug 13 2021,1957
Oklahoma,Aug 12 2021,2814
Oklahoma,Aug 11 2021,2468
Oklahoma,Aug 10 2021,2199
Oklahoma,Aug  9 2021,1670
Oklahoma,Aug  8 2021,1668
Oklahoma,Aug  7 2021,1668
Oklahoma,Aug  6 2021,2364
Oklahoma,Aug  5 2021,2303
Oklahoma,Aug  4 2021,2342
Oklahoma,Aug  3 2021,2160
Oklahoma,Aug  2 2021,1407
Oklahoma,Aug  1 2021,1404
Oklahoma,Jul 31 2021,1404
Oklahoma,Jul 30 2021,2328
Oklahoma,Jul 29 2021,1777
Oklahoma,Jul 28 2021,1806
Oklahoma,Jul 27 2021,1474
Oklahoma,Jul 26 2021,1028
Oklahoma,Jul 25 2021,1026
Oklahoma,Jul 24 2021,1026
Oklahoma,Jul 23 2021,1322
Oklahoma,Jul 22 2021,1194
Oklahoma,Jul 21 2021,1581
Oklahoma,Jul 20 2021,1203
Oklahoma,Jul 19 2021,600
Oklahoma,Jul 18 2021,600
Oklahoma,Jul 17 2021,600
Oklahoma,Jul 16 2021,791
Oklahoma,Jul 15 2021,750
Oklahoma,Jul 14 2021,705
Oklahoma,Jul 13 2021,1082
Oklahoma,Jul 12 2021,259
Oklahoma,Jul 11 2021,259
Oklahoma,Jul 10 2021,259
Oklahoma,Jul  9 2021,611
Oklahoma,Jul  8 2021,551
Oklahoma,Jul  7 2021,456
Oklahoma,Jul  6 2021,151
Oklahoma,Jul  5 2021,226
Oklahoma,Jul  4 2021,224
Oklahoma,Jul  3 2021,224
Oklahoma,Jul  2 2021,367
Oklahoma,Jul  1 2021,303
Oklahoma,Jun 30 2021,329
Oklahoma,Jun 29 2021,276
Oklahoma,Jun 28 2021,156
Oklahoma,Jun 27 2021,156
Oklahoma,Jun 26 2021,156
Oklahoma,Jun 25 2021,197
Oklahoma,Jun 24 2021,224
Oklahoma,Jun 23 2021,273
Oklahoma,Jun 22 2021,265
Oklahoma,Jun 21 2021,154
Oklahoma,Jun 20 2021,153
Oklahoma,Jun 19 2021,153
Oklahoma,Jun 18 2021,153
Oklahoma,Jun 17 2021,181
Oklahoma,Jun 16 2021,209
Oklahoma,Jun 15 2021,216
Oklahoma,Jun 14 2021,45
Oklahoma,Jun 13 2021,99
Oklahoma,Jun 12 2021,187
Oklahoma,Jun 11 2021,204
Oklahoma,Jun 10 2021,178
Oklahoma,Jun  9 2021,122
Oklahoma,Jun  8 2021,124
Oklahoma,Jun  7 2021,80
Oklahoma,Jun  6 2021,94
Oklahoma,Jun  5 2021,134
Oklahoma,Jun  4 2021,110
Oklahoma,Jun  3 2021,153
Oklahoma,Jun  2 2021,115
Oklahoma,Jun  1 2021,42
Oklahoma,May 31 2021,70
Oklahoma,May 30 2021,78
Oklahoma,May 29 2021,139
Oklahoma,May 28 2021,178
Oklahoma,May 27 2021,144
Oklahoma,May 26 2021,137
Oklahoma,May 25 2021,15
Oklahoma,May 24 2021,39
Oklahoma,May 23 2021,52
Oklahoma,May 22 2021,107
Oklahoma,May 21 2021,118
Oklahoma,May 20 2021,106
Oklahoma,May 19 2021,147
Oklahoma,May 18 2021,149
Oklahoma,May 17 2021,108
Oklahoma,May 16 2021,95
Oklahoma,May 15 2021,112
Oklahoma,May 14 2021,117
Oklahoma,May 13 2021,140
Oklahoma,May 12 2021,127
Oklahoma,May 11 2021,178
Oklahoma,May 10 2021,107
Oklahoma,May  9 2021,120
Oklahoma,May  8 2021,149
Oklahoma,May  7 2021,166
Oklahoma,May  6 2021,207
Oklahoma,May  5 2021,223
Oklahoma,May  4 2021,222
Oklahoma,May  3 2021,172
Oklahoma,May  2 2021,149
Oklahoma,May  1 2021,201
Oklahoma,Apr 30 2021,203
Oklahoma,Apr 29 2021,243
Oklahoma,Apr 28 2021,249
Oklahoma,Apr 27 2021,297
Oklahoma,Apr 26 2021,200
Oklahoma,Apr 25 2021,130
Oklahoma,Apr 24 2021,229
Oklahoma,Apr 23 2021,211
Oklahoma,Apr 22 2021,232
Oklahoma,Apr 21 2021,220
Oklahoma,Apr 20 2021,321
Oklahoma,Apr 19 2021,160
Oklahoma,Apr 18 2021,181
Oklahoma,Apr 17 2021,223
Oklahoma,Apr 16 2021,241
Oklahoma,Apr 15 2021,276
Oklahoma,Apr 14 2021,222
Oklahoma,Apr 13 2021,306
Oklahoma,Apr 12 2021,197
Oklahoma,Apr 11 2021,170
Oklahoma,Apr 10 2021,227
Oklahoma,Apr  9 2021,210
Oklahoma,Apr  8 2021,238
Oklahoma,Apr  7 2021,251
Oklahoma,Apr  6 2021,289
Oklahoma,Apr  5 2021,160
Oklahoma,Apr  4 2021,215
Oklahoma,Apr  3 2021,209
Oklahoma,Apr  2 2021,249
Oklahoma,Apr  1 2021,230
Oklahoma,Mar 31 2021,262
Oklahoma,Mar 30 2021,245
Oklahoma,Mar 29 2021,213
Oklahoma,Mar 28 2021,196
Oklahoma,Mar 27 2021,204
Oklahoma,Mar 26 2021,245
Oklahoma,Mar 25 2021,263
Oklahoma,Mar 24 2021,281
Oklahoma,Mar 23 2021,294
Oklahoma,Mar 22 2021,221
