Data Table for Daily Case Trends - Oregon
Date generated: Mon Nov 15 2021 12:02:26 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Oregon,Nov 12 2021,1802
Oregon,Nov 11 2021,0
Oregon,Nov 10 2021,1015
Oregon,Nov  9 2021,1104
Oregon,Nov  8 2021,2116
Oregon,Nov  7 2021,0
Oregon,Nov  6 2021,0
Oregon,Nov  5 2021,1136
Oregon,Nov  4 2021,1186
Oregon,Nov  3 2021,1121
Oregon,Nov  2 2021,1084
Oregon,Nov  1 2021,2557
Oregon,Oct 31 2021,0
Oregon,Oct 30 2021,0
Oregon,Oct 29 2021,1380
Oregon,Oct 28 2021,1112
Oregon,Oct 27 2021,1321
Oregon,Oct 26 2021,1507
Oregon,Oct 25 2021,2207
Oregon,Oct 24 2021,0
Oregon,Oct 23 2021,0
Oregon,Oct 22 2021,1465
Oregon,Oct 21 2021,1380
Oregon,Oct 20 2021,1313
Oregon,Oct 19 2021,1342
Oregon,Oct 18 2021,1088
Oregon,Oct 17 2021,1086
Oregon,Oct 16 2021,1086
Oregon,Oct 15 2021,1150
Oregon,Oct 14 2021,1136
Oregon,Oct 13 2021,1136
Oregon,Oct 12 2021,1351
Oregon,Oct 11 2021,960
Oregon,Oct 10 2021,960
Oregon,Oct  9 2021,960
Oregon,Oct  8 2021,1557
Oregon,Oct  7 2021,1426
Oregon,Oct  6 2021,1532
Oregon,Oct  5 2021,1627
Oregon,Oct  4 2021,1088
Oregon,Oct  3 2021,1087
Oregon,Oct  2 2021,1087
Oregon,Oct  1 2021,1655
Oregon,Sep 30 2021,1870
Oregon,Sep 29 2021,1993
Oregon,Sep 28 2021,1620
Oregon,Sep 27 2021,1195
Oregon,Sep 26 2021,1193
Oregon,Sep 25 2021,1193
Oregon,Sep 24 2021,2075
Oregon,Sep 23 2021,1808
Oregon,Sep 22 2021,2266
Oregon,Sep 21 2021,1680
Oregon,Sep 20 2021,1108
Oregon,Sep 19 2021,1106
Oregon,Sep 18 2021,1106
Oregon,Sep 17 2021,2073
Oregon,Sep 16 2021,2208
Oregon,Sep 15 2021,2028
Oregon,Sep 14 2021,2028
Oregon,Sep 13 2021,1561
Oregon,Sep 12 2021,1559
Oregon,Sep 11 2021,1559
Oregon,Sep 10 2021,2433
Oregon,Sep  9 2021,2414
Oregon,Sep  8 2021,2329
Oregon,Sep  7 2021,1444
Oregon,Sep  6 2021,1444
Oregon,Sep  5 2021,1444
Oregon,Sep  4 2021,1444
Oregon,Sep  3 2021,2360
Oregon,Sep  2 2021,2426
Oregon,Sep  1 2021,2800
Oregon,Aug 31 2021,2391
Oregon,Aug 30 2021,1833
Oregon,Aug 29 2021,1831
Oregon,Aug 28 2021,1831
Oregon,Aug 27 2021,3191
Oregon,Aug 26 2021,2046
Oregon,Aug 25 2021,2739
Oregon,Aug 24 2021,2781
Oregon,Aug 23 2021,1557
Oregon,Aug 22 2021,1555
Oregon,Aug 21 2021,1555
Oregon,Aug 20 2021,2142
Oregon,Aug 19 2021,2969
Oregon,Aug 18 2021,2108
Oregon,Aug 17 2021,2915
Oregon,Aug 16 2021,1460
Oregon,Aug 15 2021,1460
Oregon,Aug 14 2021,1460
Oregon,Aug 13 2021,1765
Oregon,Aug 12 2021,2305
Oregon,Aug 11 2021,1957
Oregon,Aug 10 2021,2333
Oregon,Aug  9 2021,1068
Oregon,Aug  8 2021,1068
Oregon,Aug  7 2021,1068
Oregon,Aug  6 2021,980
Oregon,Aug  5 2021,1372
Oregon,Aug  4 2021,1183
Oregon,Aug  3 2021,1565
Oregon,Aug  2 2021,682
Oregon,Aug  1 2021,681
Oregon,Jul 31 2021,681
Oregon,Jul 30 2021,1066
Oregon,Jul 29 2021,999
Oregon,Jul 28 2021,815
Oregon,Jul 27 2021,1022
Oregon,Jul 26 2021,328
Oregon,Jul 25 2021,328
Oregon,Jul 24 2021,328
Oregon,Jul 23 2021,606
Oregon,Jul 22 2021,533
Oregon,Jul 21 2021,391
Oregon,Jul 20 2021,584
Oregon,Jul 19 2021,253
Oregon,Jul 18 2021,252
Oregon,Jul 17 2021,252
Oregon,Jul 16 2021,367
Oregon,Jul 15 2021,316
Oregon,Jul 14 2021,250
Oregon,Jul 13 2021,336
Oregon,Jul 12 2021,168
Oregon,Jul 11 2021,166
Oregon,Jul 10 2021,166
Oregon,Jul  9 2021,256
Oregon,Jul  8 2021,209
Oregon,Jul  7 2021,270
Oregon,Jul  6 2021,117
Oregon,Jul  5 2021,114
Oregon,Jul  4 2021,114
Oregon,Jul  3 2021,114
Oregon,Jul  2 2021,201
Oregon,Jul  1 2021,197
Oregon,Jun 30 2021,191
Oregon,Jun 29 2021,224
Oregon,Jun 28 2021,86
Oregon,Jun 27 2021,138
Oregon,Jun 26 2021,211
Oregon,Jun 25 2021,229
Oregon,Jun 24 2021,225
Oregon,Jun 23 2021,228
Oregon,Jun 22 2021,255
Oregon,Jun 21 2021,76
Oregon,Jun 20 2021,262
Oregon,Jun 19 2021,262
Oregon,Jun 18 2021,262
Oregon,Jun 17 2021,290
Oregon,Jun 16 2021,239
Oregon,Jun 15 2021,305
Oregon,Jun 14 2021,125
Oregon,Jun 13 2021,164
Oregon,Jun 12 2021,278
Oregon,Jun 11 2021,296
Oregon,Jun 10 2021,358
Oregon,Jun  9 2021,262
Oregon,Jun  8 2021,297
Oregon,Jun  7 2021,122
Oregon,Jun  6 2021,257
Oregon,Jun  5 2021,320
Oregon,Jun  4 2021,428
Oregon,Jun  3 2021,251
Oregon,Jun  2 2021,347
Oregon,Jun  1 2021,174
Oregon,May 31 2021,215
Oregon,May 30 2021,256
Oregon,May 29 2021,372
Oregon,May 28 2021,422
Oregon,May 27 2021,426
Oregon,May 26 2021,393
Oregon,May 25 2021,419
Oregon,May 24 2021,283
Oregon,May 23 2021,333
Oregon,May 22 2021,505
Oregon,May 21 2021,495
Oregon,May 20 2021,569
Oregon,May 19 2021,397
Oregon,May 18 2021,508
Oregon,May 17 2021,198
Oregon,May 16 2021,505
Oregon,May 15 2021,637
Oregon,May 14 2021,810
Oregon,May 13 2021,718
Oregon,May 12 2021,598
Oregon,May 11 2021,642
Oregon,May 10 2021,369
Oregon,May  9 2021,601
Oregon,May  8 2021,818
Oregon,May  7 2021,824
Oregon,May  6 2021,745
Oregon,May  5 2021,806
Oregon,May  4 2021,734
Oregon,May  3 2021,533
Oregon,May  2 2021,747
Oregon,May  1 2021,785
Oregon,Apr 30 2021,982
Oregon,Apr 29 2021,914
Oregon,Apr 28 2021,876
Oregon,Apr 27 2021,719
Oregon,Apr 26 2021,621
Oregon,Apr 25 2021,770
Oregon,Apr 24 2021,810
Oregon,Apr 23 2021,1010
Oregon,Apr 22 2021,976
Oregon,Apr 21 2021,977
Oregon,Apr 20 2021,565
Oregon,Apr 19 2021,471
Oregon,Apr 18 2021,620
Oregon,Apr 17 2021,875
Oregon,Apr 16 2021,695
Oregon,Apr 15 2021,725
Oregon,Apr 14 2021,808
Oregon,Apr 13 2021,548
Oregon,Apr 12 2021,282
Oregon,Apr 11 2021,483
Oregon,Apr 10 2021,747
Oregon,Apr  9 2021,543
Oregon,Apr  8 2021,667
Oregon,Apr  7 2021,470
Oregon,Apr  6 2021,530
Oregon,Apr  5 2021,246
Oregon,Apr  4 2021,402
Oregon,Apr  3 2021,467
Oregon,Apr  2 2021,489
Oregon,Apr  1 2021,512
Oregon,Mar 31 2021,442
Oregon,Mar 30 2021,406
Oregon,Mar 29 2021,212
Oregon,Mar 28 2021,250
Oregon,Mar 27 2021,407
Oregon,Mar 26 2021,489
Oregon,Mar 25 2021,421
Oregon,Mar 24 2021,369
Oregon,Mar 23 2021,310
Oregon,Mar 22 2021,175
Oregon,Mar 21 2021,211
Oregon,Mar 20 2021,326
Oregon,Mar 19 2021,372
Oregon,Mar 18 2021,336
Oregon,Mar 17 2021,236
Oregon,Mar 16 2021,262
Oregon,Mar 15 2021,171
Oregon,Mar 14 2021,225
Oregon,Mar 13 2021,355
Oregon,Mar 12 2021,393
Oregon,Mar 11 2021,353
Oregon,Mar 10 2021,284
Oregon,Mar  9 2021,492
Oregon,Mar  8 2021,230
Oregon,Mar  7 2021,206
Oregon,Mar  6 2021,195
Oregon,Mar  5 2021,211
Oregon,Mar  4 2021,386
Oregon,Mar  3 2021,250
Oregon,Mar  2 2021,250
Oregon,Mar  1 2021,190
Oregon,Feb 28 2021,282
Oregon,Feb 27 2021,437
Oregon,Feb 26 2021,324
Oregon,Feb 25 2021,492
Oregon,Feb 24 2021,417
Oregon,Feb 23 2021,511
Oregon,Feb 22 2021,316
Oregon,Feb 21 2021,107
Oregon,Feb 20 2021,521
Oregon,Feb 19 2021,477
Oregon,Feb 18 2021,456
Oregon,Feb 17 2021,382
Oregon,Feb 16 2021,411
Oregon,Feb 15 2021,183
Oregon,Feb 14 2021,247
Oregon,Feb 13 2021,458
Oregon,Feb 12 2021,494
Oregon,Feb 11 2021,607
Oregon,Feb 10 2021,543
Oregon,Feb  9 2021,513
Oregon,Feb  8 2021,297
Oregon,Feb  7 2021,381
Oregon,Feb  6 2021,604
Oregon,Feb  5 2021,817
Oregon,Feb  4 2021,715
Oregon,Feb  3 2021,627
Oregon,Feb  2 2021,605
Oregon,Feb  1 2021,957
Oregon,Jan 31 2021,0
Oregon,Jan 30 2021,687
Oregon,Jan 29 2021,946
Oregon,Jan 28 2021,720
Oregon,Jan 27 2021,708
Oregon,Jan 26 2021,768
Oregon,Jan 25 2021,419
Oregon,Jan 24 2021,568
Oregon,Jan 23 2021,761
Oregon,Jan 22 2021,866
Oregon,Jan 21 2021,831
Oregon,Jan 20 2021,674
Oregon,Jan 19 2021,617
Oregon,Jan 18 2021,646
Oregon,Jan 17 2021,793
Oregon,Jan 16 2021,1154
Oregon,Jan 15 2021,1012
Oregon,Jan 14 2021,1137
Oregon,Jan 13 2021,1329
Oregon,Jan 12 2021,1173
Oregon,Jan 11 2021,924
Oregon,Jan 10 2021,1207
Oregon,Jan  9 2021,1629
Oregon,Jan  8 2021,1762
Oregon,Jan  7 2021,862
Oregon,Jan  6 2021,735
Oregon,Jan  5 2021,1035
Oregon,Jan  4 2021,708
Oregon,Jan  3 2021,1397
Oregon,Jan  2 2021,2439
Oregon,Jan  1 2021,0
Oregon,Dec 31 2020,1649
Oregon,Dec 30 2020,1033
Oregon,Dec 29 2020,682
Oregon,Dec 28 2020,820
Oregon,Dec 27 2020,1399
Oregon,Dec 26 2020,608
Oregon,Dec 25 2020,897
Oregon,Dec 24 2020,851
Oregon,Dec 23 2020,897
Oregon,Dec 22 2020,1318
Oregon,Dec 21 2020,825
Oregon,Dec 20 2020,1116
Oregon,Dec 19 2020,1506
Oregon,Dec 18 2020,1372
Oregon,Dec 17 2020,1314
Oregon,Dec 16 2020,1530
Oregon,Dec 15 2020,1082
Oregon,Dec 14 2020,1157
Oregon,Dec 13 2020,1014
Oregon,Dec 12 2020,1419
Oregon,Dec 11 2020,1582
Oregon,Dec 10 2020,1551
Oregon,Dec  9 2020,1205
Oregon,Dec  8 2020,1294
Oregon,Dec  7 2020,1292
Oregon,Dec  6 2020,1253
Oregon,Dec  5 2020,1806
Oregon,Dec  4 2020,2144
Oregon,Dec  3 2020,1133
Oregon,Dec  2 2020,1506
Oregon,Dec  1 2020,1223
Oregon,Nov 30 2020,1311
Oregon,Nov 29 2020,1614
Oregon,Nov 28 2020,1674
Oregon,Nov 27 2020,826
Oregon,Nov 26 2020,1503
Oregon,Nov 25 2020,1170
Oregon,Nov 24 2020,1000
Oregon,Nov 23 2020,1163
Oregon,Nov 22 2020,1502
Oregon,Nov 21 2020,1493
Oregon,Nov 20 2020,1302
Oregon,Nov 19 2020,1204
Oregon,Nov 18 2020,1099
Oregon,Nov 17 2020,924
Oregon,Nov 16 2020,766
Oregon,Nov 15 2020,862
Oregon,Nov 14 2020,1081
Oregon,Nov 13 2020,1058
Oregon,Nov 12 2020,1109
Oregon,Nov 11 2020,861
Oregon,Nov 10 2020,754
Oregon,Nov  9 2020,707
Oregon,Nov  8 2020,861
Oregon,Nov  7 2020,979
Oregon,Nov  6 2020,769
Oregon,Nov  5 2020,790
Oregon,Nov  4 2020,589
Oregon,Nov  3 2020,482
Oregon,Nov  2 2020,549
Oregon,Nov  1 2020,508
Oregon,Oct 31 2020,533
Oregon,Oct 30 2020,595
Oregon,Oct 29 2020,565
Oregon,Oct 28 2020,420
Oregon,Oct 27 2020,372
Oregon,Oct 26 2020,335
Oregon,Oct 25 2020,753
Oregon,Oct 24 2020,0
Oregon,Oct 23 2020,538
Oregon,Oct 22 2020,367
Oregon,Oct 21 2020,307
Oregon,Oct 20 2020,342
Oregon,Oct 19 2020,262
Oregon,Oct 18 2020,216
Oregon,Oct 17 2020,381
Oregon,Oct 16 2020,410
Oregon,Oct 15 2020,365
Oregon,Oct 14 2020,380
Oregon,Oct 13 2020,313
Oregon,Oct 12 2020,212
Oregon,Oct 11 2020,729
Oregon,Oct 10 2020,0
Oregon,Oct  9 2020,410
Oregon,Oct  8 2020,482
Oregon,Oct  7 2020,294
Oregon,Oct  6 2020,291
Oregon,Oct  5 2020,279
Oregon,Oct  4 2020,259
Oregon,Oct  3 2020,348
Oregon,Oct  2 2020,301
Oregon,Oct  1 2020,353
Oregon,Sep 30 2020,218
Oregon,Sep 29 2020,297
Oregon,Sep 28 2020,174
Oregon,Sep 27 2020,239
Oregon,Sep 26 2020,267
Oregon,Sep 25 2020,449
Oregon,Sep 24 2020,362
Oregon,Sep 23 2020,190
Oregon,Sep 22 2020,318
Oregon,Sep 21 2020,194
Oregon,Sep 20 2020,202
Oregon,Sep 19 2020,257
Oregon,Sep 18 2020,282
Oregon,Sep 17 2020,210
Oregon,Sep 16 2020,188
Oregon,Sep 15 2020,178
Oregon,Sep 14 2020,147
Oregon,Sep 13 2020,181
Oregon,Sep 12 2020,291
Oregon,Sep 11 2020,211
Oregon,Sep 10 2020,183
Oregon,Sep  9 2020,116
Oregon,Sep  8 2020,165
Oregon,Sep  7 2020,146
Oregon,Sep  6 2020,188
Oregon,Sep  5 2020,255
Oregon,Sep  4 2020,265
Oregon,Sep  3 2020,261
Oregon,Sep  2 2020,129
Oregon,Sep  1 2020,233
Oregon,Aug 31 2020,159
Oregon,Aug 30 2020,261
Oregon,Aug 29 2020,239
Oregon,Aug 28 2020,293
Oregon,Aug 27 2020,190
Oregon,Aug 26 2020,180
Oregon,Aug 25 2020,236
Oregon,Aug 24 2020,218
Oregon,Aug 23 2020,227
Oregon,Aug 22 2020,289
Oregon,Aug 21 2020,256
Oregon,Aug 20 2020,295
Oregon,Aug 19 2020,194
Oregon,Aug 18 2020,225
Oregon,Aug 17 2020,0
Oregon,Aug 16 2020,726
Oregon,Aug 15 2020,405
Oregon,Aug 14 2020,313
Oregon,Aug 13 2020,278
Oregon,Aug 12 2020,248
Oregon,Aug 11 2020,286
Oregon,Aug 10 2020,216
Oregon,Aug  9 2020,262
Oregon,Aug  8 2020,374
Oregon,Aug  7 2020,411
Oregon,Aug  6 2020,247
Oregon,Aug  5 2020,279
Oregon,Aug  4 2020,333
Oregon,Aug  3 2020,269
Oregon,Aug  2 2020,280
Oregon,Aug  1 2020,324
Oregon,Jul 31 2020,362
Oregon,Jul 30 2020,410
Oregon,Jul 29 2020,305
Oregon,Jul 28 2020,328
Oregon,Jul 27 2020,330
Oregon,Jul 26 2020,266
Oregon,Jul 25 2020,388
Oregon,Jul 24 2020,391
Oregon,Jul 23 2020,319
Oregon,Jul 22 2020,255
Oregon,Jul 21 2020,292
Oregon,Jul 20 2020,268
Oregon,Jul 19 2020,430
Oregon,Jul 18 2020,347
Oregon,Jul 17 2020,293
Oregon,Jul 16 2020,428
Oregon,Jul 15 2020,276
Oregon,Jul 14 2020,367
Oregon,Jul 13 2020,268
Oregon,Jul 12 2020,319
Oregon,Jul 11 2020,397
Oregon,Jul 10 2020,266
Oregon,Jul  9 2020,369
Oregon,Jul  8 2020,214
Oregon,Jul  7 2020,210
Oregon,Jul  6 2020,165
Oregon,Jul  5 2020,300
Oregon,Jul  4 2020,294
Oregon,Jul  3 2020,342
Oregon,Jul  2 2020,363
Oregon,Jul  1 2020,275
Oregon,Jun 30 2020,171
Oregon,Jun 29 2020,144
Oregon,Jun 28 2020,247
Oregon,Jun 27 2020,276
Oregon,Jun 26 2020,250
Oregon,Jun 25 2020,124
Oregon,Jun 24 2020,170
Oregon,Jun 23 2020,191
Oregon,Jun 22 2020,146
Oregon,Jun 21 2020,187
