Data Table for Daily Case Trends - Pennsylvania
Date generated: Mon Nov 15 2021 12:02:40 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Pennsylvania,Nov 12 2021,5555
Pennsylvania,Nov 11 2021,5293
Pennsylvania,Nov 10 2021,6936
Pennsylvania,Nov  9 2021,4021
Pennsylvania,Nov  8 2021,3254
Pennsylvania,Nov  7 2021,3672
Pennsylvania,Nov  6 2021,4663
Pennsylvania,Nov  5 2021,5130
Pennsylvania,Nov  4 2021,5162
Pennsylvania,Nov  3 2021,3819
Pennsylvania,Nov  2 2021,3662
Pennsylvania,Nov  1 2021,2764
Pennsylvania,Oct 31 2021,3114
Pennsylvania,Oct 30 2021,4366
Pennsylvania,Oct 29 2021,4506
Pennsylvania,Oct 28 2021,4312
Pennsylvania,Oct 27 2021,4178
Pennsylvania,Oct 26 2021,3742
Pennsylvania,Oct 25 2021,2425
Pennsylvania,Oct 24 2021,3414
Pennsylvania,Oct 23 2021,4573
Pennsylvania,Oct 22 2021,4496
Pennsylvania,Oct 21 2021,4998
Pennsylvania,Oct 20 2021,3584
Pennsylvania,Oct 19 2021,3899
Pennsylvania,Oct 18 2021,2902
Pennsylvania,Oct 17 2021,3821
Pennsylvania,Oct 16 2021,4485
Pennsylvania,Oct 15 2021,5725
Pennsylvania,Oct 14 2021,5253
Pennsylvania,Oct 13 2021,5012
Pennsylvania,Oct 12 2021,3898
Pennsylvania,Oct 11 2021,2872
Pennsylvania,Oct 10 2021,3907
Pennsylvania,Oct  9 2021,5610
Pennsylvania,Oct  8 2021,5583
Pennsylvania,Oct  7 2021,5819
Pennsylvania,Oct  6 2021,5058
Pennsylvania,Oct  5 2021,4019
Pennsylvania,Oct  4 2021,4395
Pennsylvania,Oct  3 2021,6289
Pennsylvania,Oct  2 2021,3392
Pennsylvania,Oct  1 2021,5352
Pennsylvania,Sep 30 2021,4892
Pennsylvania,Sep 29 2021,4570
Pennsylvania,Sep 28 2021,5429
Pennsylvania,Sep 27 2021,3010
Pennsylvania,Sep 26 2021,4247
Pennsylvania,Sep 25 2021,4966
Pennsylvania,Sep 24 2021,5071
Pennsylvania,Sep 23 2021,5489
Pennsylvania,Sep 22 2021,4394
Pennsylvania,Sep 21 2021,4939
Pennsylvania,Sep 20 2021,2569
Pennsylvania,Sep 19 2021,4500
Pennsylvania,Sep 18 2021,5617
Pennsylvania,Sep 17 2021,5198
Pennsylvania,Sep 16 2021,5786
Pennsylvania,Sep 15 2021,4812
Pennsylvania,Sep 14 2021,3732
Pennsylvania,Sep 13 2021,3150
Pennsylvania,Sep 12 2021,4125
Pennsylvania,Sep 11 2021,5131
Pennsylvania,Sep 10 2021,5005
Pennsylvania,Sep  9 2021,4197
Pennsylvania,Sep  8 2021,4391
Pennsylvania,Sep  7 2021,2536
Pennsylvania,Sep  6 2021,2503
Pennsylvania,Sep  5 2021,3176
Pennsylvania,Sep  4 2021,4783
Pennsylvania,Sep  3 2021,3438
Pennsylvania,Sep  2 2021,4816
Pennsylvania,Sep  1 2021,3100
Pennsylvania,Aug 31 2021,3249
Pennsylvania,Aug 30 2021,2240
Pennsylvania,Aug 29 2021,2442
Pennsylvania,Aug 28 2021,3842
Pennsylvania,Aug 27 2021,3845
Pennsylvania,Aug 26 2021,3162
Pennsylvania,Aug 25 2021,3612
Pennsylvania,Aug 24 2021,3026
Pennsylvania,Aug 23 2021,1787
Pennsylvania,Aug 22 2021,2125
Pennsylvania,Aug 21 2021,2727
Pennsylvania,Aug 20 2021,2446
Pennsylvania,Aug 19 2021,3889
Pennsylvania,Aug 18 2021,2186
Pennsylvania,Aug 17 2021,2544
Pennsylvania,Aug 16 2021,1279
Pennsylvania,Aug 15 2021,2098
Pennsylvania,Aug 14 2021,2223
Pennsylvania,Aug 13 2021,2020
Pennsylvania,Aug 12 2021,2311
Pennsylvania,Aug 11 2021,1848
Pennsylvania,Aug 10 2021,2099
Pennsylvania,Aug  9 2021,1097
Pennsylvania,Aug  8 2021,1240
Pennsylvania,Aug  7 2021,1661
Pennsylvania,Aug  6 2021,1711
Pennsylvania,Aug  5 2021,1800
Pennsylvania,Aug  4 2021,1397
Pennsylvania,Aug  3 2021,1562
Pennsylvania,Aug  2 2021,866
Pennsylvania,Aug  1 2021,978
Pennsylvania,Jul 31 2021,1142
Pennsylvania,Jul 30 2021,992
Pennsylvania,Jul 29 2021,1064
Pennsylvania,Jul 28 2021,760
Pennsylvania,Jul 27 2021,1021
Pennsylvania,Jul 26 2021,413
Pennsylvania,Jul 25 2021,573
Pennsylvania,Jul 24 2021,646
Pennsylvania,Jul 23 2021,635
Pennsylvania,Jul 22 2021,559
Pennsylvania,Jul 21 2021,541
Pennsylvania,Jul 20 2021,597
Pennsylvania,Jul 19 2021,220
Pennsylvania,Jul 18 2021,337
Pennsylvania,Jul 17 2021,414
Pennsylvania,Jul 16 2021,418
Pennsylvania,Jul 15 2021,418
Pennsylvania,Jul 14 2021,304
Pennsylvania,Jul 13 2021,336
Pennsylvania,Jul 12 2021,130
Pennsylvania,Jul 11 2021,191
Pennsylvania,Jul 10 2021,252
Pennsylvania,Jul  9 2021,228
Pennsylvania,Jul  8 2021,237
Pennsylvania,Jul  7 2021,184
Pennsylvania,Jul  6 2021,96
Pennsylvania,Jul  5 2021,120
Pennsylvania,Jul  4 2021,136
Pennsylvania,Jul  3 2021,217
Pennsylvania,Jul  2 2021,165
Pennsylvania,Jul  1 2021,176
Pennsylvania,Jun 30 2021,173
Pennsylvania,Jun 29 2021,189
Pennsylvania,Jun 28 2021,82
Pennsylvania,Jun 27 2021,133
Pennsylvania,Jun 26 2021,190
