Data Table for Daily Case Trends - Puerto Rico
Date generated: Mon Nov 15 2021 12:02:46 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Puerto Rico,Nov 12 2021,259
Puerto Rico,Nov 11 2021,168
Puerto Rico,Nov 10 2021,138
Puerto Rico,Nov  9 2021,117
Puerto Rico,Nov  8 2021,94
Puerto Rico,Nov  7 2021,68
Puerto Rico,Nov  6 2021,186
Puerto Rico,Nov  5 2021,148
Puerto Rico,Nov  4 2021,117
Puerto Rico,Nov  3 2021,154
Puerto Rico,Nov  2 2021,120
Puerto Rico,Nov  1 2021,15
Puerto Rico,Oct 31 2021,54
Puerto Rico,Oct 30 2021,90
Puerto Rico,Oct 29 2021,120
Puerto Rico,Oct 28 2021,158
Puerto Rico,Oct 27 2021,131
Puerto Rico,Oct 26 2021,91
Puerto Rico,Oct 25 2021,19
Puerto Rico,Oct 24 2021,56
Puerto Rico,Oct 23 2021,139
Puerto Rico,Oct 22 2021,130
Puerto Rico,Oct 21 2021,131
Puerto Rico,Oct 20 2021,119
Puerto Rico,Oct 19 2021,127
Puerto Rico,Oct 18 2021,3
Puerto Rico,Oct 17 2021,33
Puerto Rico,Oct 16 2021,85
Puerto Rico,Oct 15 2021,88
Puerto Rico,Oct 14 2021,104
Puerto Rico,Oct 13 2021,150
Puerto Rico,Oct 12 2021,112
Puerto Rico,Oct 11 2021,16
Puerto Rico,Oct 10 2021,57
Puerto Rico,Oct  9 2021,167
Puerto Rico,Oct  8 2021,174
Puerto Rico,Oct  7 2021,145
Puerto Rico,Oct  6 2021,155
Puerto Rico,Oct  5 2021,219
Puerto Rico,Oct  4 2021,28
Puerto Rico,Oct  3 2021,77
Puerto Rico,Oct  2 2021,161
Puerto Rico,Oct  1 2021,128
Puerto Rico,Sep 30 2021,199
Puerto Rico,Sep 29 2021,178
Puerto Rico,Sep 28 2021,231
Puerto Rico,Sep 27 2021,26
Puerto Rico,Sep 26 2021,111
Puerto Rico,Sep 25 2021,242
Puerto Rico,Sep 24 2021,234
Puerto Rico,Sep 23 2021,278
Puerto Rico,Sep 22 2021,246
Puerto Rico,Sep 21 2021,299
Puerto Rico,Sep 20 2021,44
Puerto Rico,Sep 19 2021,134
Puerto Rico,Sep 18 2021,301
Puerto Rico,Sep 17 2021,290
Puerto Rico,Sep 16 2021,305
Puerto Rico,Sep 15 2021,432
Puerto Rico,Sep 14 2021,484
Puerto Rico,Sep 13 2021,53
Puerto Rico,Sep 12 2021,194
Puerto Rico,Sep 11 2021,488
Puerto Rico,Sep 10 2021,485
Puerto Rico,Sep  9 2021,584
Puerto Rico,Sep  8 2021,778
Puerto Rico,Sep  7 2021,251
Puerto Rico,Sep  6 2021,94
Puerto Rico,Sep  5 2021,263
Puerto Rico,Sep  4 2021,634
Puerto Rico,Sep  3 2021,557
Puerto Rico,Sep  2 2021,700
Puerto Rico,Sep  1 2021,782
Puerto Rico,Aug 31 2021,999
Puerto Rico,Aug 30 2021,122
Puerto Rico,Aug 29 2021,394
Puerto Rico,Aug 28 2021,786
Puerto Rico,Aug 27 2021,838
Puerto Rico,Aug 26 2021,891
Puerto Rico,Aug 25 2021,959
Puerto Rico,Aug 24 2021,1249
Puerto Rico,Aug 23 2021,155
Puerto Rico,Aug 22 2021,487
Puerto Rico,Aug 21 2021,1009
Puerto Rico,Aug 20 2021,949
Puerto Rico,Aug 19 2021,947
Puerto Rico,Aug 18 2021,1039
Puerto Rico,Aug 17 2021,1307
Puerto Rico,Aug 16 2021,120
Puerto Rico,Aug 15 2021,555
Puerto Rico,Aug 14 2021,1112
Puerto Rico,Aug 13 2021,1188
Puerto Rico,Aug 12 2021,1166
Puerto Rico,Aug 11 2021,1030
Puerto Rico,Aug 10 2021,1438
Puerto Rico,Aug  9 2021,189
Puerto Rico,Aug  8 2021,521
Puerto Rico,Aug  7 2021,968
Puerto Rico,Aug  6 2021,828
Puerto Rico,Aug  5 2021,579
Puerto Rico,Aug  4 2021,859
Puerto Rico,Aug  3 2021,981
Puerto Rico,Aug  2 2021,168
Puerto Rico,Aug  1 2021,353
Puerto Rico,Jul 31 2021,724
Puerto Rico,Jul 30 2021,760
Puerto Rico,Jul 29 2021,694
Puerto Rico,Jul 28 2021,603
Puerto Rico,Jul 27 2021,324
Puerto Rico,Jul 26 2021,67
Puerto Rico,Jul 25 2021,174
Puerto Rico,Jul 24 2021,444
Puerto Rico,Jul 23 2021,382
Puerto Rico,Jul 22 2021,361
Puerto Rico,Jul 21 2021,373
Puerto Rico,Jul 20 2021,337
Puerto Rico,Jul 19 2021,60
Puerto Rico,Jul 18 2021,114
Puerto Rico,Jul 17 2021,225
Puerto Rico,Jul 16 2021,231
Puerto Rico,Jul 15 2021,200
Puerto Rico,Jul 14 2021,217
Puerto Rico,Jul 13 2021,198
Puerto Rico,Jul 12 2021,35
Puerto Rico,Jul 11 2021,67
Puerto Rico,Jul 10 2021,116
Puerto Rico,Jul  9 2021,93
Puerto Rico,Jul  8 2021,123
Puerto Rico,Jul  7 2021,138
Puerto Rico,Jul  6 2021,53
Puerto Rico,Jul  5 2021,14
Puerto Rico,Jul  4 2021,28
Puerto Rico,Jul  3 2021,68
Puerto Rico,Jul  2 2021,80
Puerto Rico,Jul  1 2021,94
Puerto Rico,Jun 30 2021,73
Puerto Rico,Jun 29 2021,70
Puerto Rico,Jun 28 2021,10
Puerto Rico,Jun 27 2021,20
