Data Table for Daily Case Trends - Rhode Island
Date generated: Mon Nov 15 2021 12:03:01 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Rhode Island,Nov 12 2021,771
Rhode Island,Nov 11 2021,0
Rhode Island,Nov 10 2021,311
Rhode Island,Nov  9 2021,340
Rhode Island,Nov  8 2021,756
Rhode Island,Nov  7 2021,0
Rhode Island,Nov  6 2021,0
Rhode Island,Nov  5 2021,270
Rhode Island,Nov  4 2021,294
Rhode Island,Nov  3 2021,289
Rhode Island,Nov  2 2021,251
Rhode Island,Nov  1 2021,126
Rhode Island,Oct 31 2021,179
Rhode Island,Oct 30 2021,244
Rhode Island,Oct 29 2021,240
Rhode Island,Oct 28 2021,219
Rhode Island,Oct 27 2021,285
Rhode Island,Oct 26 2021,210
Rhode Island,Oct 25 2021,102
Rhode Island,Oct 24 2021,134
Rhode Island,Oct 23 2021,218
Rhode Island,Oct 22 2021,212
Rhode Island,Oct 21 2021,233
Rhode Island,Oct 20 2021,254
Rhode Island,Oct 19 2021,219
Rhode Island,Oct 18 2021,52
Rhode Island,Oct 17 2021,242
Rhode Island,Oct 16 2021,356
Rhode Island,Oct 15 2021,306
Rhode Island,Oct 14 2021,309
Rhode Island,Oct 13 2021,294
Rhode Island,Oct 12 2021,62
Rhode Island,Oct 11 2021,261
Rhode Island,Oct 10 2021,291
Rhode Island,Oct  9 2021,391
Rhode Island,Oct  8 2021,249
Rhode Island,Oct  7 2021,316
Rhode Island,Oct  6 2021,330
Rhode Island,Oct  5 2021,259
Rhode Island,Oct  4 2021,160
Rhode Island,Oct  3 2021,221
Rhode Island,Oct  2 2021,272
Rhode Island,Oct  1 2021,324
Rhode Island,Sep 30 2021,364
Rhode Island,Sep 29 2021,288
Rhode Island,Sep 28 2021,326
Rhode Island,Sep 27 2021,209
Rhode Island,Sep 26 2021,231
Rhode Island,Sep 25 2021,326
Rhode Island,Sep 24 2021,360
Rhode Island,Sep 23 2021,345
Rhode Island,Sep 22 2021,324
Rhode Island,Sep 21 2021,367
Rhode Island,Sep 20 2021,256
Rhode Island,Sep 19 2021,299
Rhode Island,Sep 18 2021,353
Rhode Island,Sep 17 2021,362
Rhode Island,Sep 16 2021,366
Rhode Island,Sep 15 2021,352
Rhode Island,Sep 14 2021,464
Rhode Island,Sep 13 2021,238
Rhode Island,Sep 12 2021,322
Rhode Island,Sep 11 2021,374
Rhode Island,Sep 10 2021,419
Rhode Island,Sep  9 2021,375
Rhode Island,Sep  8 2021,433
Rhode Island,Sep  7 2021,142
Rhode Island,Sep  6 2021,213
Rhode Island,Sep  5 2021,217
Rhode Island,Sep  4 2021,359
Rhode Island,Sep  3 2021,360
Rhode Island,Sep  2 2021,371
Rhode Island,Sep  1 2021,348
Rhode Island,Aug 31 2021,346
Rhode Island,Aug 30 2021,185
Rhode Island,Aug 29 2021,236
Rhode Island,Aug 28 2021,375
Rhode Island,Aug 27 2021,388
Rhode Island,Aug 26 2021,393
Rhode Island,Aug 25 2021,363
Rhode Island,Aug 24 2021,250
Rhode Island,Aug 23 2021,134
Rhode Island,Aug 22 2021,215
Rhode Island,Aug 21 2021,308
Rhode Island,Aug 20 2021,336
Rhode Island,Aug 19 2021,355
Rhode Island,Aug 18 2021,342
Rhode Island,Aug 17 2021,372
Rhode Island,Aug 16 2021,164
Rhode Island,Aug 15 2021,233
Rhode Island,Aug 14 2021,317
Rhode Island,Aug 13 2021,367
Rhode Island,Aug 12 2021,309
Rhode Island,Aug 11 2021,314
Rhode Island,Aug 10 2021,213
Rhode Island,Aug  9 2021,136
Rhode Island,Aug  8 2021,196
Rhode Island,Aug  7 2021,234
Rhode Island,Aug  6 2021,289
Rhode Island,Aug  5 2021,236
Rhode Island,Aug  4 2021,298
Rhode Island,Aug  3 2021,208
Rhode Island,Aug  2 2021,91
Rhode Island,Aug  1 2021,159
Rhode Island,Jul 31 2021,200
Rhode Island,Jul 30 2021,210
Rhode Island,Jul 29 2021,195
Rhode Island,Jul 28 2021,183
Rhode Island,Jul 27 2021,116
Rhode Island,Jul 26 2021,64
Rhode Island,Jul 25 2021,90
Rhode Island,Jul 24 2021,106
Rhode Island,Jul 23 2021,90
Rhode Island,Jul 22 2021,93
Rhode Island,Jul 21 2021,103
Rhode Island,Jul 20 2021,78
Rhode Island,Jul 19 2021,27
Rhode Island,Jul 18 2021,47
Rhode Island,Jul 17 2021,56
Rhode Island,Jul 16 2021,51
Rhode Island,Jul 15 2021,50
Rhode Island,Jul 14 2021,46
Rhode Island,Jul 13 2021,41
Rhode Island,Jul 12 2021,22
Rhode Island,Jul 11 2021,31
Rhode Island,Jul 10 2021,20
Rhode Island,Jul  9 2021,29
Rhode Island,Jul  8 2021,27
Rhode Island,Jul  7 2021,34
Rhode Island,Jul  6 2021,12
Rhode Island,Jul  5 2021,5
Rhode Island,Jul  4 2021,17
Rhode Island,Jul  3 2021,31
Rhode Island,Jul  2 2021,24
Rhode Island,Jul  1 2021,14
Rhode Island,Jun 30 2021,21
Rhode Island,Jun 29 2021,11
Rhode Island,Jun 28 2021,8
Rhode Island,Jun 27 2021,18
Rhode Island,Jun 26 2021,20
Rhode Island,Jun 25 2021,18
Rhode Island,Jun 24 2021,15
Rhode Island,Jun 23 2021,30
Rhode Island,Jun 22 2021,16
Rhode Island,Jun 21 2021,12
Rhode Island,Jun 20 2021,20
Rhode Island,Jun 19 2021,14
Rhode Island,Jun 18 2021,27
Rhode Island,Jun 17 2021,24
Rhode Island,Jun 16 2021,25
Rhode Island,Jun 15 2021,24
Rhode Island,Jun 14 2021,6
Rhode Island,Jun 13 2021,29
Rhode Island,Jun 12 2021,24
Rhode Island,Jun 11 2021,20
Rhode Island,Jun 10 2021,40
Rhode Island,Jun  9 2021,37
Rhode Island,Jun  8 2021,22
Rhode Island,Jun  7 2021,9
Rhode Island,Jun  6 2021,23
Rhode Island,Jun  5 2021,34
Rhode Island,Jun  4 2021,54
Rhode Island,Jun  3 2021,31
Rhode Island,Jun  2 2021,41
Rhode Island,Jun  1 2021,8
Rhode Island,May 31 2021,18
Rhode Island,May 30 2021,31
Rhode Island,May 29 2021,46
Rhode Island,May 28 2021,38
Rhode Island,May 27 2021,82
Rhode Island,May 26 2021,73
Rhode Island,May 25 2021,69
Rhode Island,May 24 2021,39
Rhode Island,May 23 2021,43
Rhode Island,May 22 2021,87
Rhode Island,May 21 2021,103
Rhode Island,May 20 2021,86
Rhode Island,May 19 2021,127
Rhode Island,May 18 2021,97
Rhode Island,May 17 2021,62
Rhode Island,May 16 2021,102
Rhode Island,May 15 2021,105
Rhode Island,May 14 2021,143
