Data Table for Daily Case Trends - South Carolina
Date generated: Mon Nov 15 2021 12:03:10 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
South Carolina,Nov 12 2021,875
South Carolina,Nov 11 2021,0
South Carolina,Nov 10 2021,352
South Carolina,Nov  9 2021,380
South Carolina,Nov  8 2021,484
South Carolina,Nov  7 2021,611
South Carolina,Nov  6 2021,823
South Carolina,Nov  5 2021,852
South Carolina,Nov  4 2021,784
South Carolina,Nov  3 2021,540
South Carolina,Nov  2 2021,426
South Carolina,Nov  1 2021,512
South Carolina,Oct 31 2021,754
South Carolina,Oct 30 2021,889
South Carolina,Oct 29 2021,999
South Carolina,Oct 28 2021,768
South Carolina,Oct 27 2021,715
South Carolina,Oct 26 2021,596
South Carolina,Oct 25 2021,728
South Carolina,Oct 24 2021,878
South Carolina,Oct 23 2021,886
South Carolina,Oct 22 2021,1126
South Carolina,Oct 21 2021,954
South Carolina,Oct 20 2021,942
South Carolina,Oct 19 2021,641
South Carolina,Oct 18 2021,970
South Carolina,Oct 17 2021,1198
South Carolina,Oct 16 2021,1311
South Carolina,Oct 15 2021,1408
South Carolina,Oct 14 2021,1388
South Carolina,Oct 13 2021,960
South Carolina,Oct 12 2021,982
South Carolina,Oct 11 2021,1270
South Carolina,Oct 10 2021,1461
South Carolina,Oct  9 2021,1828
South Carolina,Oct  8 2021,1840
South Carolina,Oct  7 2021,1906
South Carolina,Oct  6 2021,1486
South Carolina,Oct  5 2021,1353
South Carolina,Oct  4 2021,1584
South Carolina,Oct  3 2021,2418
South Carolina,Oct  2 2021,2840
South Carolina,Oct  1 2021,2855
South Carolina,Sep 30 2021,2179
South Carolina,Sep 29 2021,2043
South Carolina,Sep 28 2021,1825
South Carolina,Sep 27 2021,2274
South Carolina,Sep 26 2021,2957
South Carolina,Sep 25 2021,3184
South Carolina,Sep 24 2021,3587
South Carolina,Sep 23 2021,3257
South Carolina,Sep 22 2021,2462
South Carolina,Sep 21 2021,2207
South Carolina,Sep 20 2021,2958
South Carolina,Sep 19 2021,4494
South Carolina,Sep 18 2021,3865
