Data Table for Daily Case Trends - South Dakota
Date generated: Mon Nov 15 2021 12:03:19 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
South Dakota,Nov 12 2021,521
South Dakota,Nov 11 2021,0
South Dakota,Nov 10 2021,555
South Dakota,Nov  9 2021,871
South Dakota,Nov  8 2021,401
South Dakota,Nov  7 2021,0
South Dakota,Nov  6 2021,0
South Dakota,Nov  5 2021,431
South Dakota,Nov  4 2021,441
South Dakota,Nov  3 2021,520
South Dakota,Nov  2 2021,718
South Dakota,Nov  1 2021,403
South Dakota,Oct 31 2021,0
South Dakota,Oct 30 2021,0
South Dakota,Oct 29 2021,396
South Dakota,Oct 28 2021,312
South Dakota,Oct 27 2021,453
South Dakota,Oct 26 2021,718
South Dakota,Oct 25 2021,295
South Dakota,Oct 24 2021,0
South Dakota,Oct 23 2021,0
South Dakota,Oct 22 2021,337
South Dakota,Oct 21 2021,417
South Dakota,Oct 20 2021,466
South Dakota,Oct 19 2021,738
South Dakota,Oct 18 2021,120
South Dakota,Oct 17 2021,117
South Dakota,Oct 16 2021,117
South Dakota,Oct 15 2021,318
South Dakota,Oct 14 2021,341
South Dakota,Oct 13 2021,1088
South Dakota,Oct 12 2021,108
South Dakota,Oct 11 2021,107
South Dakota,Oct 10 2021,107
South Dakota,Oct  9 2021,107
South Dakota,Oct  8 2021,351
South Dakota,Oct  7 2021,474
South Dakota,Oct  6 2021,401
South Dakota,Oct  5 2021,755
South Dakota,Oct  4 2021,123
South Dakota,Oct  3 2021,121
South Dakota,Oct  2 2021,121
South Dakota,Oct  1 2021,456
South Dakota,Sep 30 2021,472
South Dakota,Sep 29 2021,551
South Dakota,Sep 28 2021,812
South Dakota,Sep 27 2021,129
South Dakota,Sep 26 2021,127
South Dakota,Sep 25 2021,127
South Dakota,Sep 24 2021,470
South Dakota,Sep 23 2021,585
South Dakota,Sep 22 2021,604
South Dakota,Sep 21 2021,739
South Dakota,Sep 20 2021,150
South Dakota,Sep 19 2021,148
South Dakota,Sep 18 2021,148
South Dakota,Sep 17 2021,544
South Dakota,Sep 16 2021,552
South Dakota,Sep 15 2021,568
South Dakota,Sep 14 2021,992
South Dakota,Sep 13 2021,178
South Dakota,Sep 12 2021,175
South Dakota,Sep 11 2021,175
South Dakota,Sep 10 2021,615
South Dakota,Sep  9 2021,619
South Dakota,Sep  8 2021,309
South Dakota,Sep  7 2021,307
South Dakota,Sep  6 2021,307
South Dakota,Sep  5 2021,307
South Dakota,Sep  4 2021,453
South Dakota,Sep  3 2021,483
South Dakota,Sep  2 2021,535
South Dakota,Sep  1 2021,578
South Dakota,Aug 31 2021,1020
South Dakota,Aug 30 2021,157
South Dakota,Aug 29 2021,153
South Dakota,Aug 28 2021,153
South Dakota,Aug 27 2021,439
South Dakota,Aug 26 2021,471
South Dakota,Aug 25 2021,455
South Dakota,Aug 24 2021,785
South Dakota,Aug 23 2021,111
South Dakota,Aug 22 2021,110
South Dakota,Aug 21 2021,110
South Dakota,Aug 20 2021,304
South Dakota,Aug 19 2021,295
South Dakota,Aug 18 2021,376
South Dakota,Aug 17 2021,395
South Dakota,Aug 16 2021,61
South Dakota,Aug 15 2021,59
South Dakota,Aug 14 2021,59
South Dakota,Aug 13 2021,139
South Dakota,Aug 12 2021,153
South Dakota,Aug 11 2021,124
South Dakota,Aug 10 2021,123
South Dakota,Aug  9 2021,123
South Dakota,Aug  8 2021,123
South Dakota,Aug  7 2021,123
South Dakota,Aug  6 2021,123
South Dakota,Aug  5 2021,123
South Dakota,Aug  4 2021,58
South Dakota,Aug  3 2021,53
South Dakota,Aug  2 2021,53
South Dakota,Aug  1 2021,53
South Dakota,Jul 31 2021,53
South Dakota,Jul 30 2021,53
South Dakota,Jul 29 2021,53
South Dakota,Jul 28 2021,40
South Dakota,Jul 27 2021,38
South Dakota,Jul 26 2021,38
South Dakota,Jul 25 2021,38
South Dakota,Jul 24 2021,38
South Dakota,Jul 23 2021,38
South Dakota,Jul 22 2021,38
South Dakota,Jul 21 2021,30
South Dakota,Jul 20 2021,24
South Dakota,Jul 19 2021,24
South Dakota,Jul 18 2021,24
South Dakota,Jul 17 2021,24
South Dakota,Jul 16 2021,24
South Dakota,Jul 15 2021,24
South Dakota,Jul 14 2021,43
South Dakota,Jul 13 2021,15
South Dakota,Jul 12 2021,15
South Dakota,Jul 11 2021,15
South Dakota,Jul 10 2021,15
South Dakota,Jul  9 2021,15
South Dakota,Jul  8 2021,15
South Dakota,Jul  7 2021,15
South Dakota,Jul  6 2021,11
South Dakota,Jul  5 2021,11
South Dakota,Jul  4 2021,11
South Dakota,Jul  3 2021,11
South Dakota,Jul  2 2021,21
South Dakota,Jul  1 2021,25
South Dakota,Jun 30 2021,15
South Dakota,Jun 29 2021,9
South Dakota,Jun 28 2021,8
South Dakota,Jun 27 2021,6
South Dakota,Jun 26 2021,6
South Dakota,Jun 25 2021,14
South Dakota,Jun 24 2021,10
South Dakota,Jun 23 2021,22
South Dakota,Jun 22 2021,35
South Dakota,Jun 21 2021,6
South Dakota,Jun 20 2021,4
South Dakota,Jun 19 2021,4
South Dakota,Jun 18 2021,4
South Dakota,Jun 17 2021,11
South Dakota,Jun 16 2021,5
South Dakota,Jun 15 2021,11
South Dakota,Jun 14 2021,10
South Dakota,Jun 13 2021,13
South Dakota,Jun 12 2021,4
South Dakota,Jun 11 2021,4
South Dakota,Jun 10 2021,21
South Dakota,Jun  9 2021,12
South Dakota,Jun  8 2021,29
South Dakota,Jun  7 2021,6
South Dakota,Jun  6 2021,3
South Dakota,Jun  5 2021,3
South Dakota,Jun  4 2021,19
South Dakota,Jun  3 2021,15
South Dakota,Jun  2 2021,18
South Dakota,Jun  1 2021,18
South Dakota,May 31 2021,11
South Dakota,May 30 2021,9
South Dakota,May 29 2021,9
South Dakota,May 28 2021,57
South Dakota,May 27 2021,34
South Dakota,May 26 2021,48
South Dakota,May 25 2021,81
South Dakota,May 24 2021,11
South Dakota,May 23 2021,10
South Dakota,May 22 2021,10
South Dakota,May 21 2021,34
South Dakota,May 20 2021,55
South Dakota,May 19 2021,38
South Dakota,May 18 2021,98
South Dakota,May 17 2021,16
South Dakota,May 16 2021,13
South Dakota,May 15 2021,13
South Dakota,May 14 2021,45
South Dakota,May 13 2021,81
South Dakota,May 12 2021,83
South Dakota,May 11 2021,125
South Dakota,May 10 2021,27
South Dakota,May  9 2021,25
South Dakota,May  8 2021,25
South Dakota,May  7 2021,76
South Dakota,May  6 2021,84
South Dakota,May  5 2021,99
South Dakota,May  4 2021,229
South Dakota,May  3 2021,29
South Dakota,May  2 2021,28
South Dakota,May  1 2021,28
South Dakota,Apr 30 2021,128
South Dakota,Apr 29 2021,134
South Dakota,Apr 28 2021,170
South Dakota,Apr 27 2021,148
South Dakota,Apr 26 2021,47
South Dakota,Apr 25 2021,47
South Dakota,Apr 24 2021,136
South Dakota,Apr 23 2021,199
South Dakota,Apr 22 2021,134
South Dakota,Apr 21 2021,157
South Dakota,Apr 20 2021,171
South Dakota,Apr 19 2021,66
South Dakota,Apr 18 2021,67
South Dakota,Apr 17 2021,200
South Dakota,Apr 16 2021,243
South Dakota,Apr 15 2021,234
South Dakota,Apr 14 2021,225
South Dakota,Apr 13 2021,262
South Dakota,Apr 12 2021,187
South Dakota,Apr 11 2021,0
South Dakota,Apr 10 2021,238
South Dakota,Apr  9 2021,270
South Dakota,Apr  8 2021,222
South Dakota,Apr  7 2021,295
South Dakota,Apr  6 2021,163
South Dakota,Apr  5 2021,156
South Dakota,Apr  4 2021,0
South Dakota,Apr  3 2021,175
South Dakota,Apr  2 2021,197
South Dakota,Apr  1 2021,230
South Dakota,Mar 31 2021,264
South Dakota,Mar 30 2021,159
South Dakota,Mar 29 2021,92
South Dakota,Mar 28 2021,163
South Dakota,Mar 27 2021,248
South Dakota,Mar 26 2021,209
South Dakota,Mar 25 2021,254
South Dakota,Mar 24 2021,270
South Dakota,Mar 23 2021,128
South Dakota,Mar 22 2021,105
South Dakota,Mar 21 2021,144
South Dakota,Mar 20 2021,205
South Dakota,Mar 19 2021,315
South Dakota,Mar 18 2021,237
South Dakota,Mar 17 2021,175
South Dakota,Mar 16 2021,142
South Dakota,Mar 15 2021,26
South Dakota,Mar 14 2021,130
South Dakota,Mar 13 2021,146
South Dakota,Mar 12 2021,184
South Dakota,Mar 11 2021,201
South Dakota,Mar 10 2021,209
South Dakota,Mar  9 2021,157
South Dakota,Mar  8 2021,7
South Dakota,Mar  7 2021,211
South Dakota,Mar  6 2021,149
South Dakota,Mar  5 2021,164
South Dakota,Mar  4 2021,232
South Dakota,Mar  3 2021,181
South Dakota,Mar  2 2021,182
South Dakota,Mar  1 2021,43
South Dakota,Feb 28 2021,134
South Dakota,Feb 27 2021,186
South Dakota,Feb 26 2021,143
South Dakota,Feb 25 2021,156
South Dakota,Feb 24 2021,262
South Dakota,Feb 23 2021,212
South Dakota,Feb 22 2021,30
South Dakota,Feb 21 2021,139
South Dakota,Feb 20 2021,147
South Dakota,Feb 19 2021,147
South Dakota,Feb 18 2021,186
South Dakota,Feb 17 2021,92
South Dakota,Feb 16 2021,217
South Dakota,Feb 15 2021,61
South Dakota,Feb 14 2021,110
South Dakota,Feb 13 2021,137
South Dakota,Feb 12 2021,209
South Dakota,Feb 11 2021,279
South Dakota,Feb 10 2021,175
South Dakota,Feb  9 2021,122
South Dakota,Feb  8 2021,54
South Dakota,Feb  7 2021,97
South Dakota,Feb  6 2021,188
South Dakota,Feb  5 2021,131
South Dakota,Feb  4 2021,174
South Dakota,Feb  3 2021,208
South Dakota,Feb  2 2021,116
South Dakota,Feb  1 2021,65
South Dakota,Jan 31 2021,180
South Dakota,Jan 30 2021,115
South Dakota,Jan 29 2021,160
South Dakota,Jan 28 2021,187
South Dakota,Jan 27 2021,228
South Dakota,Jan 26 2021,200
South Dakota,Jan 25 2021,32
South Dakota,Jan 24 2021,185
South Dakota,Jan 23 2021,247
South Dakota,Jan 22 2021,316
South Dakota,Jan 21 2021,337
South Dakota,Jan 20 2021,277
South Dakota,Jan 19 2021,127
South Dakota,Jan 18 2021,115
South Dakota,Jan 17 2021,266
South Dakota,Jan 16 2021,341
South Dakota,Jan 15 2021,425
South Dakota,Jan 14 2021,317
South Dakota,Jan 13 2021,452
South Dakota,Jan 12 2021,244
South Dakota,Jan 11 2021,181
South Dakota,Jan 10 2021,417
South Dakota,Jan  9 2021,321
South Dakota,Jan  8 2021,448
South Dakota,Jan  7 2021,448
South Dakota,Jan  6 2021,608
South Dakota,Jan  5 2021,433
South Dakota,Jan  4 2021,111
South Dakota,Jan  3 2021,703
South Dakota,Jan  2 2021,665
South Dakota,Jan  1 2021,0
South Dakota,Dec 31 2020,444
South Dakota,Dec 30 2020,562
South Dakota,Dec 29 2020,501
South Dakota,Dec 28 2020,267
South Dakota,Dec 27 2020,427
South Dakota,Dec 26 2020,417
South Dakota,Dec 25 2020,0
South Dakota,Dec 24 2020,506
South Dakota,Dec 23 2020,531
South Dakota,Dec 22 2020,435
South Dakota,Dec 21 2020,347
South Dakota,Dec 20 2020,391
South Dakota,Dec 19 2020,564
South Dakota,Dec 18 2020,575
South Dakota,Dec 17 2020,594
South Dakota,Dec 16 2020,904
South Dakota,Dec 15 2020,345
South Dakota,Dec 14 2020,316
South Dakota,Dec 13 2020,631
South Dakota,Dec 12 2020,735
South Dakota,Dec 11 2020,945
South Dakota,Dec 10 2020,704
South Dakota,Dec  9 2020,985
South Dakota,Dec  8 2020,538
South Dakota,Dec  7 2020,509
South Dakota,Dec  6 2020,687
South Dakota,Dec  5 2020,906
South Dakota,Dec  4 2020,1050
South Dakota,Dec  3 2020,1145
South Dakota,Dec  2 2020,1291
South Dakota,Dec  1 2020,448
South Dakota,Nov 30 2020,564
South Dakota,Nov 29 2020,801
South Dakota,Nov 28 2020,819
South Dakota,Nov 27 2020,2138
South Dakota,Nov 26 2020,0
South Dakota,Nov 25 2020,1284
South Dakota,Nov 24 2020,1010
South Dakota,Nov 23 2020,783
South Dakota,Nov 22 2020,851
South Dakota,Nov 21 2020,1144
South Dakota,Nov 20 2020,1328
South Dakota,Nov 19 2020,1071
South Dakota,Nov 18 2020,1387
South Dakota,Nov 17 2020,1006
South Dakota,Nov 16 2020,897
South Dakota,Nov 15 2020,1199
South Dakota,Nov 14 2020,1855
South Dakota,Nov 13 2020,1611
South Dakota,Nov 12 2020,2020
South Dakota,Nov 11 2020,1362
South Dakota,Nov 10 2020,1023
South Dakota,Nov  9 2020,907
South Dakota,Nov  8 2020,1428
South Dakota,Nov  7 2020,1337
South Dakota,Nov  6 2020,1488
South Dakota,Nov  5 2020,1360
South Dakota,Nov  4 2020,937
South Dakota,Nov  3 2020,1004
South Dakota,Nov  2 2020,526
South Dakota,Nov  1 2020,1332
South Dakota,Oct 31 2020,1433
South Dakota,Oct 30 2020,1559
South Dakota,Oct 29 2020,1000
South Dakota,Oct 28 2020,1270
South Dakota,Oct 27 2020,989
South Dakota,Oct 26 2020,538
South Dakota,Oct 25 2020,1062
South Dakota,Oct 24 2020,939
South Dakota,Oct 23 2020,1185
South Dakota,Oct 22 2020,973
South Dakota,Oct 21 2020,587
South Dakota,Oct 20 2020,621
South Dakota,Oct 19 2020,567
South Dakota,Oct 18 2020,658
South Dakota,Oct 17 2020,806
South Dakota,Oct 16 2020,793
South Dakota,Oct 15 2020,797
South Dakota,Oct 14 2020,876
South Dakota,Oct 13 2020,414
South Dakota,Oct 12 2020,361
South Dakota,Oct 11 2020,617
South Dakota,Oct 10 2020,732
South Dakota,Oct  9 2020,774
South Dakota,Oct  8 2020,535
South Dakota,Oct  7 2020,1030
South Dakota,Oct  6 2020,278
South Dakota,Oct  5 2020,180
South Dakota,Oct  4 2020,432
South Dakota,Oct  3 2020,464
South Dakota,Oct  2 2020,386
South Dakota,Oct  1 2020,747
South Dakota,Sep 30 2020,392
South Dakota,Sep 29 2020,259
South Dakota,Sep 28 2020,197
South Dakota,Sep 27 2020,408
South Dakota,Sep 26 2020,579
South Dakota,Sep 25 2020,457
South Dakota,Sep 24 2020,463
South Dakota,Sep 23 2020,445
South Dakota,Sep 22 2020,320
South Dakota,Sep 21 2020,173
South Dakota,Sep 20 2020,252
South Dakota,Sep 19 2020,369
South Dakota,Sep 18 2020,389
South Dakota,Sep 17 2020,395
South Dakota,Sep 16 2020,297
South Dakota,Sep 15 2020,193
South Dakota,Sep 14 2020,163
South Dakota,Sep 13 2020,201
South Dakota,Sep 12 2020,320
South Dakota,Sep 11 2020,283
South Dakota,Sep 10 2020,263
South Dakota,Sep  9 2020,168
South Dakota,Sep  8 2020,103
South Dakota,Sep  7 2020,191
South Dakota,Sep  6 2020,220
South Dakota,Sep  5 2020,293
South Dakota,Sep  4 2020,259
South Dakota,Sep  3 2020,334
South Dakota,Sep  2 2020,254
South Dakota,Sep  1 2020,240
South Dakota,Aug 31 2020,187
South Dakota,Aug 30 2020,380
South Dakota,Aug 29 2020,425
South Dakota,Aug 28 2020,323
