Data Table for Daily Case Trends - Tennessee
Date generated: Mon Nov 15 2021 12:03:25 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Tennessee,Nov 12 2021,2606
Tennessee,Nov 11 2021,0
Tennessee,Nov 10 2021,2073
Tennessee,Nov  9 2021,1114
Tennessee,Nov  8 2021,556
Tennessee,Nov  7 2021,664
Tennessee,Nov  6 2021,1117
Tennessee,Nov  5 2021,980
Tennessee,Nov  4 2021,1279
Tennessee,Nov  3 2021,1125
Tennessee,Nov  2 2021,1267
Tennessee,Nov  1 2021,439
Tennessee,Oct 31 2021,637
Tennessee,Oct 30 2021,1127
Tennessee,Oct 29 2021,1089
Tennessee,Oct 28 2021,1425
Tennessee,Oct 27 2021,1245
Tennessee,Oct 26 2021,1036
Tennessee,Oct 25 2021,587
Tennessee,Oct 24 2021,793
Tennessee,Oct 23 2021,1338
Tennessee,Oct 22 2021,1694
Tennessee,Oct 21 2021,1633
Tennessee,Oct 20 2021,1897
Tennessee,Oct 19 2021,828
Tennessee,Oct 18 2021,1349
Tennessee,Oct 17 2021,840
Tennessee,Oct 16 2021,1782
Tennessee,Oct 15 2021,2063
Tennessee,Oct 14 2021,2089
Tennessee,Oct 13 2021,2260
Tennessee,Oct 12 2021,2615
Tennessee,Oct 11 2021,801
Tennessee,Oct 10 2021,1387
Tennessee,Oct  9 2021,2380
Tennessee,Oct  8 2021,2520
Tennessee,Oct  7 2021,2450
Tennessee,Oct  6 2021,3095
Tennessee,Oct  5 2021,3122
Tennessee,Oct  4 2021,1167
Tennessee,Oct  3 2021,1644
Tennessee,Oct  2 2021,3453
Tennessee,Oct  1 2021,3305
Tennessee,Sep 30 2021,4140
Tennessee,Sep 29 2021,3590
Tennessee,Sep 28 2021,3342
Tennessee,Sep 27 2021,2124
Tennessee,Sep 26 2021,1873
Tennessee,Sep 25 2021,3892
Tennessee,Sep 24 2021,5576
Tennessee,Sep 23 2021,4086
Tennessee,Sep 22 2021,4711
Tennessee,Sep 21 2021,0
Tennessee,Sep 20 2021,9682
Tennessee,Sep 19 2021,3990
Tennessee,Sep 18 2021,6768
Tennessee,Sep 17 2021,6342
Tennessee,Sep 16 2021,4544
Tennessee,Sep 15 2021,7383
Tennessee,Sep 14 2021,5609
Tennessee,Sep 13 2021,3446
Tennessee,Sep 12 2021,11314
Tennessee,Sep 11 2021,15084
Tennessee,Sep 10 2021,5169
Tennessee,Sep  9 2021,4486
Tennessee,Sep  8 2021,5345
Tennessee,Sep  7 2021,13053
Tennessee,Sep  6 2021,11385
Tennessee,Sep  5 2021,9064
Tennessee,Sep  4 2021,4789
Tennessee,Sep  3 2021,6562
Tennessee,Sep  2 2021,3287
Tennessee,Sep  1 2021,9436
Tennessee,Aug 31 2021,9871
Tennessee,Aug 30 2021,6419
Tennessee,Aug 29 2021,6187
Tennessee,Aug 28 2021,7850
Tennessee,Aug 27 2021,7476
Tennessee,Aug 26 2021,6580
Tennessee,Aug 25 2021,4583
Tennessee,Aug 24 2021,5154
Tennessee,Aug 23 2021,4057
Tennessee,Aug 22 2021,9808
Tennessee,Aug 21 2021,6390
Tennessee,Aug 20 2021,7142
Tennessee,Aug 19 2021,6516
Tennessee,Aug 18 2021,5404
Tennessee,Aug 17 2021,3707
Tennessee,Aug 16 2021,2777
Tennessee,Aug 15 2021,4869
Tennessee,Aug 14 2021,5548
Tennessee,Aug 13 2021,4597
Tennessee,Aug 12 2021,5601
Tennessee,Aug 11 2021,4093
Tennessee,Aug 10 2021,3638
Tennessee,Aug  9 2021,2158
Tennessee,Aug  8 2021,2591
Tennessee,Aug  7 2021,4532
Tennessee,Aug  6 2021,3922
Tennessee,Aug  5 2021,3243
Tennessee,Aug  4 2021,3750
Tennessee,Aug  3 2021,2695
Tennessee,Aug  2 2021,1693
Tennessee,Aug  1 2021,2033
Tennessee,Jul 31 2021,3100
Tennessee,Jul 30 2021,2308
Tennessee,Jul 29 2021,2667
Tennessee,Jul 28 2021,2272
Tennessee,Jul 27 2021,2137
Tennessee,Jul 26 2021,864
Tennessee,Jul 25 2021,1269
Tennessee,Jul 24 2021,1560
Tennessee,Jul 23 2021,1544
Tennessee,Jul 22 2021,1448
Tennessee,Jul 21 2021,1280
Tennessee,Jul 20 2021,973
Tennessee,Jul 19 2021,477
Tennessee,Jul 18 2021,623
Tennessee,Jul 17 2021,784
Tennessee,Jul 16 2021,791
Tennessee,Jul 15 2021,710
Tennessee,Jul 14 2021,805
Tennessee,Jul 13 2021,583
Tennessee,Jul 12 2021,229
Tennessee,Jul 11 2021,410
Tennessee,Jul 10 2021,564
Tennessee,Jul  9 2021,559
Tennessee,Jul  8 2021,501
Tennessee,Jul  7 2021,426
Tennessee,Jul  6 2021,191
Tennessee,Jul  5 2021,179
Tennessee,Jul  4 2021,265
Tennessee,Jul  3 2021,318
Tennessee,Jul  2 2021,303
Tennessee,Jul  1 2021,302
Tennessee,Jun 30 2021,413
Tennessee,Jun 29 2021,110
Tennessee,Jun 28 2021,96
Tennessee,Jun 27 2021,128
Tennessee,Jun 26 2021,216
Tennessee,Jun 25 2021,220
Tennessee,Jun 24 2021,231
Tennessee,Jun 23 2021,234
Tennessee,Jun 22 2021,155
Tennessee,Jun 21 2021,84
Tennessee,Jun 20 2021,127
Tennessee,Jun 19 2021,183
Tennessee,Jun 18 2021,169
Tennessee,Jun 17 2021,266
Tennessee,Jun 16 2021,307
Tennessee,Jun 15 2021,214
Tennessee,Jun 14 2021,83
Tennessee,Jun 13 2021,149
Tennessee,Jun 12 2021,288
Tennessee,Jun 11 2021,235
Tennessee,Jun 10 2021,214
Tennessee,Jun  9 2021,270
Tennessee,Jun  8 2021,261
Tennessee,Jun  7 2021,101
Tennessee,Jun  6 2021,165
Tennessee,Jun  5 2021,292
Tennessee,Jun  4 2021,318
Tennessee,Jun  3 2021,361
Tennessee,Jun  2 2021,420
Tennessee,Jun  1 2021,187
Tennessee,May 31 2021,180
Tennessee,May 30 2021,189
Tennessee,May 29 2021,317
Tennessee,May 28 2021,395
Tennessee,May 27 2021,498
Tennessee,May 26 2021,419
Tennessee,May 25 2021,452
Tennessee,May 24 2021,252
Tennessee,May 23 2021,309
Tennessee,May 22 2021,516
Tennessee,May 21 2021,546
Tennessee,May 20 2021,630
Tennessee,May 19 2021,572
Tennessee,May 18 2021,659
Tennessee,May 17 2021,275
Tennessee,May 16 2021,402
Tennessee,May 15 2021,802
Tennessee,May 14 2021,709
Tennessee,May 13 2021,897
Tennessee,May 12 2021,844
Tennessee,May 11 2021,626
Tennessee,May 10 2021,376
Tennessee,May  9 2021,559
Tennessee,May  8 2021,1030
Tennessee,May  7 2021,789
Tennessee,May  6 2021,1206
Tennessee,May  5 2021,852
Tennessee,May  4 2021,655
Tennessee,May  3 2021,499
Tennessee,May  2 2021,609
Tennessee,May  1 2021,1070
Tennessee,Apr 30 2021,1029
Tennessee,Apr 29 2021,1193
Tennessee,Apr 28 2021,1157
Tennessee,Apr 27 2021,1091
Tennessee,Apr 26 2021,554
Tennessee,Apr 25 2021,752
Tennessee,Apr 24 2021,952
Tennessee,Apr 23 2021,1851
Tennessee,Apr 22 2021,1377
Tennessee,Apr 21 2021,1092
Tennessee,Apr 20 2021,841
Tennessee,Apr 19 2021,560
Tennessee,Apr 18 2021,704
Tennessee,Apr 17 2021,4209
Tennessee,Apr 16 2021,1375
Tennessee,Apr 15 2021,1801
Tennessee,Apr 14 2021,1131
Tennessee,Apr 13 2021,1231
Tennessee,Apr 12 2021,651
Tennessee,Apr 11 2021,872
Tennessee,Apr 10 2021,1338
Tennessee,Apr  9 2021,1146
Tennessee,Apr  8 2021,1579
Tennessee,Apr  7 2021,1335
Tennessee,Apr  6 2021,892
