Data Table for Daily Case Trends - Utah
Date generated: Mon Nov 15 2021 12:03:46 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Utah,Nov 12 2021,3842
Utah,Nov 11 2021,0
Utah,Nov 10 2021,1531
Utah,Nov  9 2021,1558
Utah,Nov  8 2021,3972
Utah,Nov  7 2021,0
Utah,Nov  6 2021,0
Utah,Nov  5 2021,1874
Utah,Nov  4 2021,2267
Utah,Nov  3 2021,2152
Utah,Nov  2 2021,1250
Utah,Nov  1 2021,3179
Utah,Oct 31 2021,0
Utah,Oct 30 2021,0
Utah,Oct 29 2021,1810
Utah,Oct 28 2021,1859
Utah,Oct 27 2021,2068
Utah,Oct 26 2021,1614
Utah,Oct 25 2021,3636
Utah,Oct 24 2021,0
Utah,Oct 23 2021,0
Utah,Oct 22 2021,1619
Utah,Oct 21 2021,2340
Utah,Oct 20 2021,1410
Utah,Oct 19 2021,1343
Utah,Oct 18 2021,1012
Utah,Oct 17 2021,1012
Utah,Oct 16 2021,1012
Utah,Oct 15 2021,1493
Utah,Oct 14 2021,1253
Utah,Oct 13 2021,1845
Utah,Oct 12 2021,1093
Utah,Oct 11 2021,1091
Utah,Oct 10 2021,1091
Utah,Oct  9 2021,1091
Utah,Oct  8 2021,1637
Utah,Oct  7 2021,1805
Utah,Oct  6 2021,1975
Utah,Oct  5 2021,1264
Utah,Oct  4 2021,1100
Utah,Oct  3 2021,1100
Utah,Oct  2 2021,1100
Utah,Oct  1 2021,1715
Utah,Sep 30 2021,1704
Utah,Sep 29 2021,1786
Utah,Sep 28 2021,1130
Utah,Sep 27 2021,1060
Utah,Sep 26 2021,1058
Utah,Sep 25 2021,1058
Utah,Sep 24 2021,1672
Utah,Sep 23 2021,1598
Utah,Sep 22 2021,1724
Utah,Sep 21 2021,1326
Utah,Sep 20 2021,1131
Utah,Sep 19 2021,1131
Utah,Sep 18 2021,1131
Utah,Sep 17 2021,1749
Utah,Sep 16 2021,1885
Utah,Sep 15 2021,1885
Utah,Sep 14 2021,1274
Utah,Sep 13 2021,1405
Utah,Sep 12 2021,1404
Utah,Sep 11 2021,1404
Utah,Sep 10 2021,2189
Utah,Sep  9 2021,2165
Utah,Sep  8 2021,1539
Utah,Sep  7 2021,1165
Utah,Sep  6 2021,1164
Utah,Sep  5 2021,1164
Utah,Sep  4 2021,1164
Utah,Sep  3 2021,1635
Utah,Sep  2 2021,1687
Utah,Sep  1 2021,1685
Utah,Aug 31 2021,1218
Utah,Aug 30 2021,1111
Utah,Aug 29 2021,1109
Utah,Aug 28 2021,1109
Utah,Aug 27 2021,1286
Utah,Aug 26 2021,1491
Utah,Aug 25 2021,1585
Utah,Aug 24 2021,1140
Utah,Aug 23 2021,906
Utah,Aug 22 2021,906
Utah,Aug 21 2021,906
Utah,Aug 20 2021,1116
Utah,Aug 19 2021,1280
Utah,Aug 18 2021,1488
Utah,Aug 17 2021,963
Utah,Aug 16 2021,809
Utah,Aug 15 2021,807
Utah,Aug 14 2021,807
Utah,Aug 13 2021,897
Utah,Aug 12 2021,1243
Utah,Aug 11 2021,1114
Utah,Aug 10 2021,634
Utah,Aug  9 2021,674
Utah,Aug  8 2021,672
Utah,Aug  7 2021,672
Utah,Aug  6 2021,894
Utah,Aug  5 2021,1096
Utah,Aug  4 2021,1050
Utah,Aug  3 2021,728
Utah,Aug  2 2021,748
Utah,Aug  1 2021,748
Utah,Jul 31 2021,748
Utah,Jul 30 2021,1211
Utah,Jul 29 2021,1113
Utah,Jul 28 2021,843
Utah,Jul 27 2021,613
Utah,Jul 26 2021,568
Utah,Jul 25 2021,567
Utah,Jul 24 2021,567
Utah,Jul 23 2021,567
Utah,Jul 22 2021,815
Utah,Jul 21 2021,873
Utah,Jul 20 2021,559
Utah,Jul 19 2021,518
Utah,Jul 18 2021,517
Utah,Jul 17 2021,517
Utah,Jul 16 2021,669
Utah,Jul 15 2021,693
Utah,Jul 14 2021,572
Utah,Jul 13 2021,471
Utah,Jul 12 2021,414
Utah,Jul 11 2021,412
Utah,Jul 10 2021,412
Utah,Jul  9 2021,655
Utah,Jul  8 2021,668
Utah,Jul  7 2021,394
Utah,Jul  6 2021,288
Utah,Jul  5 2021,287
Utah,Jul  4 2021,287
Utah,Jul  3 2021,287
Utah,Jul  2 2021,431
Utah,Jul  1 2021,540
Utah,Jun 30 2021,574
Utah,Jun 29 2021,361
Utah,Jun 28 2021,254
Utah,Jun 27 2021,282
Utah,Jun 26 2021,351
Utah,Jun 25 2021,309
Utah,Jun 24 2021,462
Utah,Jun 23 2021,527
Utah,Jun 22 2021,249
Utah,Jun 21 2021,160
Utah,Jun 20 2021,288
Utah,Jun 19 2021,288
Utah,Jun 18 2021,288
Utah,Jun 17 2021,369
Utah,Jun 16 2021,413
Utah,Jun 15 2021,237
Utah,Jun 14 2021,169
Utah,Jun 13 2021,194
Utah,Jun 12 2021,357
Utah,Jun 11 2021,266
Utah,Jun 10 2021,313
Utah,Jun  9 2021,360
Utah,Jun  8 2021,252
Utah,Jun  7 2021,174
Utah,Jun  6 2021,223
Utah,Jun  5 2021,306
Utah,Jun  4 2021,288
Utah,Jun  3 2021,343
Utah,Jun  2 2021,200
Utah,Jun  1 2021,112
Utah,May 31 2021,143
Utah,May 30 2021,176
Utah,May 29 2021,192
Utah,May 28 2021,272
Utah,May 27 2021,309
Utah,May 26 2021,268
Utah,May 25 2021,185
Utah,May 24 2021,148
Utah,May 23 2021,231
Utah,May 22 2021,262
Utah,May 21 2021,300
Utah,May 20 2021,266
Utah,May 19 2021,430
Utah,May 18 2021,257
Utah,May 17 2021,164
Utah,May 16 2021,242
Utah,May 15 2021,320
Utah,May 14 2021,336
Utah,May 13 2021,418
Utah,May 12 2021,468
Utah,May 11 2021,224
Utah,May 10 2021,207
Utah,May  9 2021,232
Utah,May  8 2021,360
Utah,May  7 2021,386
Utah,May  6 2021,395
Utah,May  5 2021,480
Utah,May  4 2021,259
Utah,May  3 2021,228
Utah,May  2 2021,279
Utah,May  1 2021,410
Utah,Apr 30 2021,338
Utah,Apr 29 2021,463
Utah,Apr 28 2021,518
Utah,Apr 27 2021,327
Utah,Apr 26 2021,246
Utah,Apr 25 2021,281
Utah,Apr 24 2021,472
Utah,Apr 23 2021,344
Utah,Apr 22 2021,472
