Data Table for Daily Case Trends - Vermont
Date generated: Mon Nov 15 2021 12:03:55 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Vermont,Nov 12 2021,477
Vermont,Nov 11 2021,741
Vermont,Nov 10 2021,0
Vermont,Nov  9 2021,0
Vermont,Nov  8 2021,1001
Vermont,Nov  7 2021,0
Vermont,Nov  6 2021,0
Vermont,Nov  5 2021,803
Vermont,Nov  4 2021,0
Vermont,Nov  3 2021,164
Vermont,Nov  2 2021,145
Vermont,Nov  1 2021,819
Vermont,Oct 31 2021,0
Vermont,Oct 30 2021,0
Vermont,Oct 29 2021,0
Vermont,Oct 28 2021,307
Vermont,Oct 27 2021,140
Vermont,Oct 26 2021,85
Vermont,Oct 25 2021,839
Vermont,Oct 24 2021,0
Vermont,Oct 23 2021,0
Vermont,Oct 22 2021,0
Vermont,Oct 21 2021,299
Vermont,Oct 20 2021,94
Vermont,Oct 19 2021,139
Vermont,Oct 18 2021,238
Vermont,Oct 17 2021,234
Vermont,Oct 16 2021,234
Vermont,Oct 15 2021,234
Vermont,Oct 14 2021,131
Vermont,Oct 13 2021,297
Vermont,Oct 12 2021,111
Vermont,Oct 11 2021,211
Vermont,Oct 10 2021,209
Vermont,Oct  9 2021,209
Vermont,Oct  8 2021,245
Vermont,Oct  7 2021,193
Vermont,Oct  6 2021,192
Vermont,Oct  5 2021,75
Vermont,Oct  4 2021,173
Vermont,Oct  3 2021,172
Vermont,Oct  2 2021,172
Vermont,Oct  1 2021,169
Vermont,Sep 30 2021,211
Vermont,Sep 29 2021,89
Vermont,Sep 28 2021,160
Vermont,Sep 27 2021,156
Vermont,Sep 26 2021,156
Vermont,Sep 25 2021,156
Vermont,Sep 24 2021,211
Vermont,Sep 23 2021,132
Vermont,Sep 22 2021,131
Vermont,Sep 21 2021,283
Vermont,Sep 20 2021,192
Vermont,Sep 19 2021,190
Vermont,Sep 18 2021,190
Vermont,Sep 17 2021,515
Vermont,Sep 16 2021,26
Vermont,Sep 15 2021,95
Vermont,Sep 14 2021,93
Vermont,Sep 13 2021,184
Vermont,Sep 12 2021,181
Vermont,Sep 11 2021,181
Vermont,Sep 10 2021,181
Vermont,Sep  9 2021,126
Vermont,Sep  8 2021,49
Vermont,Sep  7 2021,48
Vermont,Sep  6 2021,190
Vermont,Sep  5 2021,186
Vermont,Sep  4 2021,186
Vermont,Sep  3 2021,91
Vermont,Sep  2 2021,104
Vermont,Sep  1 2021,103
Vermont,Aug 31 2021,189
Vermont,Aug 30 2021,130
Vermont,Aug 29 2021,129
Vermont,Aug 28 2021,129
Vermont,Aug 27 2021,129
Vermont,Aug 26 2021,133
Vermont,Aug 25 2021,122
Vermont,Aug 24 2021,120
Vermont,Aug 23 2021,109
Vermont,Aug 22 2021,104
Vermont,Aug 21 2021,104
Vermont,Aug 20 2021,104
Vermont,Aug 19 2021,118
Vermont,Aug 18 2021,116
Vermont,Aug 17 2021,116
Vermont,Aug 16 2021,82
Vermont,Aug 15 2021,81
Vermont,Aug 14 2021,81
Vermont,Aug 13 2021,81
Vermont,Aug 12 2021,128
Vermont,Aug 11 2021,128
Vermont,Aug 10 2021,83
Vermont,Aug  9 2021,76
Vermont,Aug  8 2021,75
Vermont,Aug  7 2021,75
Vermont,Aug  6 2021,75
Vermont,Aug  5 2021,182
Vermont,Aug  4 2021,23
Vermont,Aug  3 2021,22
Vermont,Aug  2 2021,56
Vermont,Aug  1 2021,52
Vermont,Jul 31 2021,52
Vermont,Jul 30 2021,52
Vermont,Jul 29 2021,13
Vermont,Jul 28 2021,12
Vermont,Jul 27 2021,32
Vermont,Jul 26 2021,24
Vermont,Jul 25 2021,17
Vermont,Jul 24 2021,17
Vermont,Jul 23 2021,17
Vermont,Jul 22 2021,17
Vermont,Jul 21 2021,51
Vermont,Jul 20 2021,16
Vermont,Jul 19 2021,16
Vermont,Jul 18 2021,10
Vermont,Jul 17 2021,10
Vermont,Jul 16 2021,10
Vermont,Jul 15 2021,10
Vermont,Jul 14 2021,13
Vermont,Jul 13 2021,26
Vermont,Jul 12 2021,9
Vermont,Jul 11 2021,5
Vermont,Jul 10 2021,5
Vermont,Jul  9 2021,5
Vermont,Jul  8 2021,10
Vermont,Jul  7 2021,8
Vermont,Jul  6 2021,7
Vermont,Jul  5 2021,4
Vermont,Jul  4 2021,2
Vermont,Jul  3 2021,2
Vermont,Jul  2 2021,2
Vermont,Jul  1 2021,7
Vermont,Jun 30 2021,2
Vermont,Jun 29 2021,7
Vermont,Jun 28 2021,3
Vermont,Jun 27 2021,4
Vermont,Jun 26 2021,3
Vermont,Jun 25 2021,4
Vermont,Jun 24 2021,7
Vermont,Jun 23 2021,6
Vermont,Jun 22 2021,1
Vermont,Jun 21 2021,2
Vermont,Jun 20 2021,0
Vermont,Jun 19 2021,2
Vermont,Jun 18 2021,3
Vermont,Jun 17 2021,8
Vermont,Jun 16 2021,8
Vermont,Jun 15 2021,7
Vermont,Jun 14 2021,1
Vermont,Jun 13 2021,6
Vermont,Jun 12 2021,1
Vermont,Jun 11 2021,7
Vermont,Jun 10 2021,10
Vermont,Jun  9 2021,4
Vermont,Jun  8 2021,13
Vermont,Jun  7 2021,4
Vermont,Jun  6 2021,10
Vermont,Jun  5 2021,14
Vermont,Jun  4 2021,14
Vermont,Jun  3 2021,6
Vermont,Jun  2 2021,8
Vermont,Jun  1 2021,2
Vermont,May 31 2021,13
Vermont,May 30 2021,10
Vermont,May 29 2021,10
Vermont,May 28 2021,7
Vermont,May 27 2021,19
Vermont,May 26 2021,19
Vermont,May 25 2021,8
Vermont,May 24 2021,20
Vermont,May 23 2021,22
Vermont,May 22 2021,20
Vermont,May 21 2021,34
Vermont,May 20 2021,34
Vermont,May 19 2021,48
Vermont,May 18 2021,32
Vermont,May 17 2021,28
Vermont,May 16 2021,25
Vermont,May 15 2021,58
Vermont,May 14 2021,54
Vermont,May 13 2021,78
Vermont,May 12 2021,27
Vermont,May 11 2021,65
Vermont,May 10 2021,37
Vermont,May  9 2021,24
Vermont,May  8 2021,62
Vermont,May  7 2021,94
