Data Table for Daily Case Trends - Virgin Islands
Date generated: Mon Nov 15 2021 12:04:02 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Virgin Islands,Nov 12 2021,15
Virgin Islands,Nov 11 2021,0
Virgin Islands,Nov 10 2021,23
Virgin Islands,Nov  9 2021,3
Virgin Islands,Nov  8 2021,13
Virgin Islands,Nov  7 2021,0
Virgin Islands,Nov  6 2021,15
Virgin Islands,Nov  5 2021,15
Virgin Islands,Nov  4 2021,9
Virgin Islands,Nov  3 2021,18
Virgin Islands,Nov  2 2021,27
Virgin Islands,Nov  1 2021,0
Virgin Islands,Oct 31 2021,2
Virgin Islands,Oct 30 2021,0
Virgin Islands,Oct 29 2021,18
Virgin Islands,Oct 28 2021,14
Virgin Islands,Oct 27 2021,18
Virgin Islands,Oct 26 2021,9
Virgin Islands,Oct 25 2021,11
Virgin Islands,Oct 24 2021,0
Virgin Islands,Oct 23 2021,8
Virgin Islands,Oct 22 2021,8
Virgin Islands,Oct 21 2021,19
Virgin Islands,Oct 20 2021,14
Virgin Islands,Oct 19 2021,6
Virgin Islands,Oct 18 2021,3
Virgin Islands,Oct 17 2021,2
Virgin Islands,Oct 16 2021,29
Virgin Islands,Oct 15 2021,25
Virgin Islands,Oct 14 2021,42
Virgin Islands,Oct 13 2021,13
Virgin Islands,Oct 12 2021,5
Virgin Islands,Oct 11 2021,5
Virgin Islands,Oct 10 2021,5
Virgin Islands,Oct  9 2021,25
Virgin Islands,Oct  8 2021,9
Virgin Islands,Oct  7 2021,31
Virgin Islands,Oct  6 2021,12
Virgin Islands,Oct  5 2021,32
Virgin Islands,Oct  4 2021,15
Virgin Islands,Oct  3 2021,15
Virgin Islands,Oct  2 2021,25
Virgin Islands,Oct  1 2021,28
Virgin Islands,Sep 30 2021,37
Virgin Islands,Sep 29 2021,22
Virgin Islands,Sep 28 2021,20
Virgin Islands,Sep 27 2021,24
Virgin Islands,Sep 26 2021,24
Virgin Islands,Sep 25 2021,11
Virgin Islands,Sep 24 2021,31
Virgin Islands,Sep 23 2021,32
Virgin Islands,Sep 22 2021,41
Virgin Islands,Sep 21 2021,27
Virgin Islands,Sep 20 2021,16
Virgin Islands,Sep 19 2021,15
Virgin Islands,Sep 18 2021,19
Virgin Islands,Sep 17 2021,65
Virgin Islands,Sep 16 2021,23
Virgin Islands,Sep 15 2021,53
Virgin Islands,Sep 14 2021,9
Virgin Islands,Sep 13 2021,20
Virgin Islands,Sep 12 2021,19
Virgin Islands,Sep 11 2021,36
Virgin Islands,Sep 10 2021,32
Virgin Islands,Sep  9 2021,80
Virgin Islands,Sep  8 2021,31
Virgin Islands,Sep  7 2021,15
Virgin Islands,Sep  6 2021,15
Virgin Islands,Sep  5 2021,15
Virgin Islands,Sep  4 2021,53
Virgin Islands,Sep  3 2021,12
Virgin Islands,Sep  2 2021,27
Virgin Islands,Sep  1 2021,10
Virgin Islands,Aug 31 2021,60
Virgin Islands,Aug 30 2021,30
Virgin Islands,Aug 29 2021,30
Virgin Islands,Aug 28 2021,30
Virgin Islands,Aug 27 2021,14
Virgin Islands,Aug 26 2021,53
Virgin Islands,Aug 25 2021,23
Virgin Islands,Aug 24 2021,46
Virgin Islands,Aug 23 2021,17
Virgin Islands,Aug 22 2021,16
Virgin Islands,Aug 21 2021,11
Virgin Islands,Aug 20 2021,162
Virgin Islands,Aug 19 2021,19
Virgin Islands,Aug 18 2021,44
Virgin Islands,Aug 17 2021,43
Virgin Islands,Aug 16 2021,16
Virgin Islands,Aug 15 2021,15
Virgin Islands,Aug 14 2021,53
Virgin Islands,Aug 13 2021,73
Virgin Islands,Aug 12 2021,76
Virgin Islands,Aug 11 2021,27
Virgin Islands,Aug 10 2021,33
Virgin Islands,Aug  9 2021,37
Virgin Islands,Aug  8 2021,36
Virgin Islands,Aug  7 2021,53
Virgin Islands,Aug  6 2021,53
Virgin Islands,Aug  5 2021,77
Virgin Islands,Aug  4 2021,86
Virgin Islands,Aug  3 2021,28
Virgin Islands,Aug  2 2021,17
Virgin Islands,Aug  1 2021,17
Virgin Islands,Jul 31 2021,23
Virgin Islands,Jul 30 2021,92
Virgin Islands,Jul 29 2021,17
Virgin Islands,Jul 28 2021,47
Virgin Islands,Jul 27 2021,47
Virgin Islands,Jul 26 2021,14
Virgin Islands,Jul 25 2021,14
Virgin Islands,Jul 24 2021,39
Virgin Islands,Jul 23 2021,35
Virgin Islands,Jul 22 2021,15
Virgin Islands,Jul 21 2021,37
Virgin Islands,Jul 20 2021,34
Virgin Islands,Jul 19 2021,15
Virgin Islands,Jul 18 2021,14
Virgin Islands,Jul 17 2021,26
Virgin Islands,Jul 16 2021,41
Virgin Islands,Jul 15 2021,15
Virgin Islands,Jul 14 2021,33
Virgin Islands,Jul 13 2021,28
Virgin Islands,Jul 12 2021,5
Virgin Islands,Jul 11 2021,5
Virgin Islands,Jul 10 2021,28
Virgin Islands,Jul  9 2021,20
Virgin Islands,Jul  8 2021,15
Virgin Islands,Jul  7 2021,28
Virgin Islands,Jul  6 2021,10
Virgin Islands,Jul  5 2021,8
Virgin Islands,Jul  4 2021,8
Virgin Islands,Jul  3 2021,14
Virgin Islands,Jul  2 2021,7
Virgin Islands,Jul  1 2021,16
Virgin Islands,Jun 30 2021,21
Virgin Islands,Jun 29 2021,8
Virgin Islands,Jun 28 2021,3
Virgin Islands,Jun 27 2021,3
Virgin Islands,Jun 26 2021,5
Virgin Islands,Jun 25 2021,4
Virgin Islands,Jun 24 2021,16
Virgin Islands,Jun 23 2021,9
Virgin Islands,Jun 22 2021,36
Virgin Islands,Jun 21 2021,2
Virgin Islands,Jun 20 2021,2
Virgin Islands,Jun 19 2021,2
Virgin Islands,Jun 18 2021,16
Virgin Islands,Jun 17 2021,5
Virgin Islands,Jun 16 2021,18
Virgin Islands,Jun 15 2021,12
Virgin Islands,Jun 14 2021,9
Virgin Islands,Jun 13 2021,9
Virgin Islands,Jun 12 2021,9
Virgin Islands,Jun 11 2021,19
Virgin Islands,Jun 10 2021,19
Virgin Islands,Jun  9 2021,44
Virgin Islands,Jun  8 2021,7
Virgin Islands,Jun  7 2021,5
Virgin Islands,Jun  6 2021,5
Virgin Islands,Jun  5 2021,16
Virgin Islands,Jun  4 2021,15
Virgin Islands,Jun  3 2021,21
Virgin Islands,Jun  2 2021,74
Virgin Islands,Jun  1 2021,7
Virgin Islands,May 31 2021,4
Virgin Islands,May 30 2021,4
Virgin Islands,May 29 2021,4
Virgin Islands,May 28 2021,4
Virgin Islands,May 27 2021,22
Virgin Islands,May 26 2021,21
Virgin Islands,May 25 2021,16
Virgin Islands,May 24 2021,30
Virgin Islands,May 23 2021,12
Virgin Islands,May 22 2021,11
Virgin Islands,May 21 2021,11
Virgin Islands,May 20 2021,11
Virgin Islands,May 19 2021,20
Virgin Islands,May 18 2021,9
Virgin Islands,May 17 2021,9
