Data Table for Daily Case Trends - Washington
Date generated: Mon Nov 15 2021 12:04:17 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Virginia,Nov 12 2021,1301
Virginia,Nov 11 2021,1466
Virginia,Nov 10 2021,1588
Virginia,Nov  9 2021,1407
Virginia,Nov  8 2021,3448
Virginia,Nov  7 2021,0
Virginia,Nov  6 2021,0
Virginia,Nov  5 2021,1386
Virginia,Nov  4 2021,1369
Virginia,Nov  3 2021,1494
Virginia,Nov  2 2021,1435
Virginia,Nov  1 2021,3065
Virginia,Oct 31 2021,0
Virginia,Oct 30 2021,0
Virginia,Oct 29 2021,1408
Virginia,Oct 28 2021,1646
Virginia,Oct 27 2021,1495
Virginia,Oct 26 2021,1631
Virginia,Oct 25 2021,3495
Virginia,Oct 24 2021,0
Virginia,Oct 23 2021,0
Virginia,Oct 22 2021,1749
Virginia,Oct 21 2021,1655
Virginia,Oct 20 2021,1779
Virginia,Oct 19 2021,1822
Virginia,Oct 18 2021,1736
Virginia,Oct 17 2021,1733
Virginia,Oct 16 2021,1733
Virginia,Oct 15 2021,1359
Virginia,Oct 14 2021,2357
Virginia,Oct 13 2021,2602
Virginia,Oct 12 2021,2360
Virginia,Oct 11 2021,1644
Virginia,Oct 10 2021,1642
Virginia,Oct  9 2021,1642
Virginia,Oct  8 2021,2532
Virginia,Oct  7 2021,2836
Virginia,Oct  6 2021,2886
Virginia,Oct  5 2021,3919
Virginia,Oct  4 2021,1897
Virginia,Oct  3 2021,1894
Virginia,Oct  2 2021,1894
Virginia,Oct  1 2021,3505
Virginia,Sep 30 2021,2552
Virginia,Sep 29 2021,3131
Virginia,Sep 28 2021,3151
Virginia,Sep 27 2021,2403
Virginia,Sep 26 2021,2402
Virginia,Sep 25 2021,2402
Virginia,Sep 24 2021,3422
Virginia,Sep 23 2021,2886
Virginia,Sep 22 2021,3767
Virginia,Sep 21 2021,3737
Virginia,Sep 20 2021,2876
Virginia,Sep 19 2021,2876
Virginia,Sep 18 2021,2876
Virginia,Sep 17 2021,3650
Virginia,Sep 16 2021,4212
Virginia,Sep 15 2021,4181
Virginia,Sep 14 2021,4066
Virginia,Sep 13 2021,2963
Virginia,Sep 12 2021,2961
Virginia,Sep 11 2021,2961
Virginia,Sep 10 2021,4026
