Data Table for Daily Case Trends - West Virginia
Date generated: Mon Nov 15 2021 12:04:24 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
West Virginia,Nov 12 2021,1138
West Virginia,Nov 11 2021,1033
West Virginia,Nov 10 2021,857
West Virginia,Nov  9 2021,259
West Virginia,Nov  8 2021,407
West Virginia,Nov  7 2021,1038
West Virginia,Nov  6 2021,866
West Virginia,Nov  5 2021,871
West Virginia,Nov  4 2021,888
West Virginia,Nov  3 2021,849
West Virginia,Nov  2 2021,629
West Virginia,Nov  1 2021,498
West Virginia,Oct 31 2021,661
West Virginia,Oct 30 2021,887
West Virginia,Oct 29 2021,902
West Virginia,Oct 28 2021,951
West Virginia,Oct 27 2021,1019
West Virginia,Oct 26 2021,714
West Virginia,Oct 25 2021,877
West Virginia,Oct 24 2021,642
West Virginia,Oct 23 2021,873
West Virginia,Oct 22 2021,1004
West Virginia,Oct 21 2021,1100
West Virginia,Oct 20 2021,1012
West Virginia,Oct 19 2021,757
West Virginia,Oct 18 2021,689
West Virginia,Oct 17 2021,859
West Virginia,Oct 16 2021,1172
West Virginia,Oct 15 2021,1371
West Virginia,Oct 14 2021,1264
West Virginia,Oct 13 2021,1130
West Virginia,Oct 12 2021,753
West Virginia,Oct 11 2021,757
West Virginia,Oct 10 2021,1071
West Virginia,Oct  9 2021,1267
West Virginia,Oct  8 2021,1469
West Virginia,Oct  7 2021,1525
West Virginia,Oct  6 2021,1398
West Virginia,Oct  5 2021,864
West Virginia,Oct  4 2021,846
West Virginia,Oct  3 2021,1027
West Virginia,Oct  2 2021,1567
West Virginia,Oct  1 2021,1645
West Virginia,Sep 30 2021,1961
West Virginia,Sep 29 2021,1496
West Virginia,Sep 28 2021,340
West Virginia,Sep 27 2021,1860
West Virginia,Sep 26 2021,1376
West Virginia,Sep 25 2021,1758
West Virginia,Sep 24 2021,2685
West Virginia,Sep 23 2021,1477
West Virginia,Sep 22 2021,1734
West Virginia,Sep 21 2021,1337
West Virginia,Sep 20 2021,1318
West Virginia,Sep 19 2021,1604
West Virginia,Sep 18 2021,2074
West Virginia,Sep 17 2021,2320
West Virginia,Sep 16 2021,2135
West Virginia,Sep 15 2021,1805
West Virginia,Sep 14 2021,1473
West Virginia,Sep 13 2021,1417
West Virginia,Sep 12 2021,2244
West Virginia,Sep 11 2021,2262
West Virginia,Sep 10 2021,2379
West Virginia,Sep  9 2021,1744
West Virginia,Sep  8 2021,1352
West Virginia,Sep  7 2021,1008
West Virginia,Sep  6 2021,1316
West Virginia,Sep  5 2021,1500
West Virginia,Sep  4 2021,1979
West Virginia,Sep  3 2021,1717
West Virginia,Sep  2 2021,1632
West Virginia,Sep  1 2021,1466
West Virginia,Aug 31 2021,1030
West Virginia,Aug 30 2021,1141
West Virginia,Aug 29 2021,1226
West Virginia,Aug 28 2021,1611
West Virginia,Aug 27 2021,1328
West Virginia,Aug 26 2021,1448
West Virginia,Aug 25 2021,1102
West Virginia,Aug 24 2021,785
West Virginia,Aug 23 2021,830
West Virginia,Aug 22 2021,828
West Virginia,Aug 21 2021,828
West Virginia,Aug 20 2021,925
West Virginia,Aug 19 2021,970
West Virginia,Aug 18 2021,820
West Virginia,Aug 17 2021,639
West Virginia,Aug 16 2021,636
West Virginia,Aug 15 2021,633
West Virginia,Aug 14 2021,633
West Virginia,Aug 13 2021,430
West Virginia,Aug 12 2021,645
West Virginia,Aug 11 2021,546
West Virginia,Aug 10 2021,457
West Virginia,Aug  9 2021,347
West Virginia,Aug  8 2021,345
West Virginia,Aug  7 2021,345
West Virginia,Aug  6 2021,429
West Virginia,Aug  5 2021,403
West Virginia,Aug  4 2021,382
West Virginia,Aug  3 2021,267
West Virginia,Aug  2 2021,223
West Virginia,Aug  1 2021,221
West Virginia,Jul 31 2021,221
West Virginia,Jul 30 2021,268
West Virginia,Jul 29 2021,255
West Virginia,Jul 28 2021,196
West Virginia,Jul 27 2021,189
West Virginia,Jul 26 2021,138
West Virginia,Jul 25 2021,134
West Virginia,Jul 24 2021,134
West Virginia,Jul 23 2021,178
West Virginia,Jul 22 2021,126
West Virginia,Jul 21 2021,139
West Virginia,Jul 20 2021,82
West Virginia,Jul 19 2021,84
West Virginia,Jul 18 2021,80
West Virginia,Jul 17 2021,80
West Virginia,Jul 16 2021,90
West Virginia,Jul 15 2021,80
West Virginia,Jul 14 2021,78
West Virginia,Jul 13 2021,60
West Virginia,Jul 12 2021,56
West Virginia,Jul 11 2021,52
West Virginia,Jul 10 2021,52
West Virginia,Jul  9 2021,66
West Virginia,Jul  8 2021,53
West Virginia,Jul  7 2021,67
West Virginia,Jul  6 2021,37
West Virginia,Jul  5 2021,31
West Virginia,Jul  4 2021,31
West Virginia,Jul  3 2021,31
West Virginia,Jul  2 2021,52
West Virginia,Jul  1 2021,56
West Virginia,Jun 30 2021,49
West Virginia,Jun 29 2021,25
West Virginia,Jun 28 2021,55
West Virginia,Jun 27 2021,54
West Virginia,Jun 26 2021,54
West Virginia,Jun 25 2021,60
West Virginia,Jun 24 2021,55
West Virginia,Jun 23 2021,62
