Data Table for Daily Case Trends - Wisconsin
Date generated: Mon Nov 15 2021 12:04:31 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Wisconsin,Nov 12 2021,3752
Wisconsin,Nov 11 2021,4232
Wisconsin,Nov 10 2021,4078
Wisconsin,Nov  9 2021,3914
Wisconsin,Nov  8 2021,5598
Wisconsin,Nov  7 2021,0
Wisconsin,Nov  6 2021,0
Wisconsin,Nov  5 2021,3281
Wisconsin,Nov  4 2021,3338
Wisconsin,Nov  3 2021,2421
Wisconsin,Nov  2 2021,3365
Wisconsin,Nov  1 2021,4785
Wisconsin,Oct 31 2021,0
Wisconsin,Oct 30 2021,0
Wisconsin,Oct 29 2021,2672
Wisconsin,Oct 28 2021,2565
Wisconsin,Oct 27 2021,2278
Wisconsin,Oct 26 2021,2917
Wisconsin,Oct 25 2021,4513
Wisconsin,Oct 24 2021,0
Wisconsin,Oct 23 2021,0
Wisconsin,Oct 22 2021,2412
Wisconsin,Oct 21 2021,2597
Wisconsin,Oct 20 2021,2510
Wisconsin,Oct 19 2021,1943
Wisconsin,Oct 18 2021,1422
Wisconsin,Oct 17 2021,1421
Wisconsin,Oct 16 2021,2545
Wisconsin,Oct 15 2021,2740
Wisconsin,Oct 14 2021,2916
Wisconsin,Oct 13 2021,2904
Wisconsin,Oct 12 2021,3292
Wisconsin,Oct 11 2021,1919
Wisconsin,Oct 10 2021,1917
Wisconsin,Oct  9 2021,1917
Wisconsin,Oct  8 2021,3564
Wisconsin,Oct  7 2021,3213
Wisconsin,Oct  6 2021,2742
Wisconsin,Oct  5 2021,4799
Wisconsin,Oct  4 2021,2184
Wisconsin,Oct  3 2021,2184
Wisconsin,Oct  2 2021,2184
Wisconsin,Oct  1 2021,4023
Wisconsin,Sep 30 2021,2709
Wisconsin,Sep 29 2021,3373
Wisconsin,Sep 28 2021,3575
Wisconsin,Sep 27 2021,2233
Wisconsin,Sep 26 2021,2232
Wisconsin,Sep 25 2021,2232
Wisconsin,Sep 24 2021,3241
Wisconsin,Sep 23 2021,3472
Wisconsin,Sep 22 2021,3266
Wisconsin,Sep 21 2021,4064
Wisconsin,Sep 20 2021,2633
Wisconsin,Sep 19 2021,2631
Wisconsin,Sep 18 2021,2631
Wisconsin,Sep 17 2021,3554
Wisconsin,Sep 16 2021,3980
Wisconsin,Sep 15 2021,3937
Wisconsin,Sep 14 2021,2488
Wisconsin,Sep 13 2021,1315
Wisconsin,Sep 12 2021,1313
Wisconsin,Sep 11 2021,1313
Wisconsin,Sep 10 2021,2777
Wisconsin,Sep  9 2021,2095
Wisconsin,Sep  8 2021,2534
Wisconsin,Sep  7 2021,859
Wisconsin,Sep  6 2021,1492
Wisconsin,Sep  5 2021,1490
Wisconsin,Sep  4 2021,1490
Wisconsin,Sep  3 2021,2300
Wisconsin,Sep  2 2021,2672
Wisconsin,Sep  1 2021,2323
Wisconsin,Aug 31 2021,2531
Wisconsin,Aug 30 2021,1354
Wisconsin,Aug 29 2021,1351
Wisconsin,Aug 28 2021,1351
Wisconsin,Aug 27 2021,2636
Wisconsin,Aug 26 2021,2264
Wisconsin,Aug 25 2021,1993
Wisconsin,Aug 24 2021,2549
Wisconsin,Aug 23 2021,1105
