Data Table for Daily Case Trends - Wyoming
Date generated: Mon Nov 15 2021 12:04:38 GMT-0500 (Eastern Standard Time)
State,Date,New Cases
Wyoming,Nov 12 2021,785
Wyoming,Nov 11 2021,0
Wyoming,Nov 10 2021,411
Wyoming,Nov  9 2021,297
Wyoming,Nov  8 2021,672
Wyoming,Nov  7 2021,0
Wyoming,Nov  6 2021,0
Wyoming,Nov  5 2021,378
Wyoming,Nov  4 2021,537
Wyoming,Nov  3 2021,414
Wyoming,Nov  2 2021,367
Wyoming,Nov  1 2021,696
Wyoming,Oct 31 2021,0
Wyoming,Oct 30 2021,0
Wyoming,Oct 29 2021,523
Wyoming,Oct 28 2021,491
Wyoming,Oct 27 2021,488
Wyoming,Oct 26 2021,341
Wyoming,Oct 25 2021,909
Wyoming,Oct 24 2021,0
Wyoming,Oct 23 2021,0
Wyoming,Oct 22 2021,512
Wyoming,Oct 21 2021,655
Wyoming,Oct 20 2021,440
Wyoming,Oct 19 2021,402
Wyoming,Oct 18 2021,344
Wyoming,Oct 17 2021,342
Wyoming,Oct 16 2021,342
Wyoming,Oct 15 2021,473
Wyoming,Oct 14 2021,605
Wyoming,Oct 13 2021,439
Wyoming,Oct 12 2021,483
Wyoming,Oct 11 2021,280
Wyoming,Oct 10 2021,277
Wyoming,Oct  9 2021,277
Wyoming,Oct  8 2021,539
Wyoming,Oct  7 2021,681
Wyoming,Oct  6 2021,566
Wyoming,Oct  5 2021,538
Wyoming,Oct  4 2021,270
Wyoming,Oct  3 2021,270
Wyoming,Oct  2 2021,270
Wyoming,Oct  1 2021,567
Wyoming,Sep 30 2021,637
Wyoming,Sep 29 2021,535
Wyoming,Sep 28 2021,495
Wyoming,Sep 27 2021,359
Wyoming,Sep 26 2021,355
Wyoming,Sep 25 2021,355
Wyoming,Sep 24 2021,515
Wyoming,Sep 23 2021,757
Wyoming,Sep 22 2021,542
Wyoming,Sep 21 2021,553
Wyoming,Sep 20 2021,515
Wyoming,Sep 19 2021,513
Wyoming,Sep 18 2021,513
Wyoming,Sep 17 2021,315
Wyoming,Sep 16 2021,746
Wyoming,Sep 15 2021,434
Wyoming,Sep 14 2021,638
Wyoming,Sep 13 2021,396
Wyoming,Sep 12 2021,393
Wyoming,Sep 11 2021,393
Wyoming,Sep 10 2021,813
Wyoming,Sep  9 2021,533
Wyoming,Sep  8 2021,802
Wyoming,Sep  7 2021,326
Wyoming,Sep  6 2021,321
Wyoming,Sep  5 2021,321
Wyoming,Sep  4 2021,321
Wyoming,Sep  3 2021,604
Wyoming,Sep  2 2021,595
Wyoming,Sep  1 2021,871
Wyoming,Aug 31 2021,380
Wyoming,Aug 30 2021,431
Wyoming,Aug 29 2021,429
Wyoming,Aug 28 2021,429
Wyoming,Aug 27 2021,472
Wyoming,Aug 26 2021,467
Wyoming,Aug 25 2021,459
Wyoming,Aug 24 2021,507
Wyoming,Aug 23 2021,299
Wyoming,Aug 22 2021,296
Wyoming,Aug 21 2021,296
Wyoming,Aug 20 2021,521
Wyoming,Aug 19 2021,306
Wyoming,Aug 18 2021,488
Wyoming,Aug 17 2021,412
Wyoming,Aug 16 2021,226
Wyoming,Aug 15 2021,223
Wyoming,Aug 14 2021,223
Wyoming,Aug 13 2021,315
Wyoming,Aug 12 2021,375
Wyoming,Aug 11 2021,256
Wyoming,Aug 10 2021,300
Wyoming,Aug  9 2021,191
Wyoming,Aug  8 2021,191
Wyoming,Aug  7 2021,191
Wyoming,Aug  6 2021,253
Wyoming,Aug  5 2021,247
Wyoming,Aug  4 2021,249
Wyoming,Aug  3 2021,237
Wyoming,Aug  2 2021,116
Wyoming,Aug  1 2021,112
Wyoming,Jul 31 2021,112
Wyoming,Jul 30 2021,172
Wyoming,Jul 29 2021,166
Wyoming,Jul 28 2021,166
Wyoming,Jul 27 2021,172
Wyoming,Jul 26 2021,68
Wyoming,Jul 25 2021,66
Wyoming,Jul 24 2021,66
Wyoming,Jul 23 2021,110
Wyoming,Jul 22 2021,153
Wyoming,Jul 21 2021,148
Wyoming,Jul 20 2021,131
Wyoming,Jul 19 2021,64
Wyoming,Jul 18 2021,61
Wyoming,Jul 17 2021,61
Wyoming,Jul 16 2021,68
Wyoming,Jul 15 2021,124
Wyoming,Jul 14 2021,96
Wyoming,Jul 13 2021,97
Wyoming,Jul 12 2021,58
Wyoming,Jul 11 2021,57
Wyoming,Jul 10 2021,57
Wyoming,Jul  9 2021,101
Wyoming,Jul  8 2021,128
Wyoming,Jul  7 2021,95
Wyoming,Jul  6 2021,50
Wyoming,Jul  5 2021,49
Wyoming,Jul  4 2021,49
Wyoming,Jul  3 2021,49
Wyoming,Jul  2 2021,92
Wyoming,Jul  1 2021,63
Wyoming,Jun 30 2021,95
Wyoming,Jun 29 2021,96
Wyoming,Jun 28 2021,50
Wyoming,Jun 27 2021,49
Wyoming,Jun 26 2021,49
Wyoming,Jun 25 2021,104
Wyoming,Jun 24 2021,71
Wyoming,Jun 23 2021,72
Wyoming,Jun 22 2021,74
Wyoming,Jun 21 2021,48
Wyoming,Jun 20 2021,46
Wyoming,Jun 19 2021,46
Wyoming,Jun 18 2021,65
Wyoming,Jun 17 2021,66
Wyoming,Jun 16 2021,56
Wyoming,Jun 15 2021,69
Wyoming,Jun 14 2021,40
Wyoming,Jun 13 2021,40
Wyoming,Jun 12 2021,40
Wyoming,Jun 11 2021,102
Wyoming,Jun 10 2021,71
Wyoming,Jun  9 2021,92
Wyoming,Jun  8 2021,76
Wyoming,Jun  7 2021,51
Wyoming,Jun  6 2021,47
Wyoming,Jun  5 2021,47
Wyoming,Jun  4 2021,79
Wyoming,Jun  3 2021,102
Wyoming,Jun  2 2021,83
Wyoming,Jun  1 2021,58
Wyoming,May 31 2021,54
Wyoming,May 30 2021,54
Wyoming,May 29 2021,54
Wyoming,May 28 2021,96
Wyoming,May 27 2021,87
Wyoming,May 26 2021,91
Wyoming,May 25 2021,73
Wyoming,May 24 2021,47
Wyoming,May 23 2021,45
Wyoming,May 22 2021,45
Wyoming,May 21 2021,70
Wyoming,May 20 2021,214
Wyoming,May 19 2021,55
Wyoming,May 18 2021,99
Wyoming,May 17 2021,49
Wyoming,May 16 2021,47
Wyoming,May 15 2021,47
Wyoming,May 14 2021,83
Wyoming,May 13 2021,103
