Data Table for Daily Death Trends - Alabama
Date generated: Mon Nov 15 2021 12:06:57 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Alabama,Nov 12 2021,47
Alabama,Nov 11 2021,0
Alabama,Nov 10 2021,17
Alabama,Nov  9 2021,38
Alabama,Nov  8 2021,48
Alabama,Nov  7 2021,0
Alabama,Nov  6 2021,0
Alabama,Nov  5 2021,48
Alabama,Nov  4 2021,52
Alabama,Nov  3 2021,58
Alabama,Nov  2 2021,47
Alabama,Nov  1 2021,56
Alabama,Oct 31 2021,0
Alabama,Oct 30 2021,0
Alabama,Oct 29 2021,41
Alabama,Oct 28 2021,48
Alabama,Oct 27 2021,52
Alabama,Oct 26 2021,8
Alabama,Oct 25 2021,17
Alabama,Oct 24 2021,0
Alabama,Oct 23 2021,0
Alabama,Oct 22 2021,1
Alabama,Oct 21 2021,0
Alabama,Oct 20 2021,2
Alabama,Oct 19 2021,1
Alabama,Oct 18 2021,1
Alabama,Oct 17 2021,0
Alabama,Oct 16 2021,2
Alabama,Oct 15 2021,3
Alabama,Oct 14 2021,10
Alabama,Oct 13 2021,14
Alabama,Oct 12 2021,11
Alabama,Oct 11 2021,14
Alabama,Oct 10 2021,17
Alabama,Oct  9 2021,24
Alabama,Oct  8 2021,14
Alabama,Oct  7 2021,22
Alabama,Oct  6 2021,19
Alabama,Oct  5 2021,36
Alabama,Oct  4 2021,28
Alabama,Oct  3 2021,31
Alabama,Oct  2 2021,38
Alabama,Oct  1 2021,45
Alabama,Sep 30 2021,28
Alabama,Sep 29 2021,40
Alabama,Sep 28 2021,52
Alabama,Sep 27 2021,45
Alabama,Sep 26 2021,45
Alabama,Sep 25 2021,44
Alabama,Sep 24 2021,54
Alabama,Sep 23 2021,43
Alabama,Sep 22 2021,53
Alabama,Sep 21 2021,53
Alabama,Sep 20 2021,54
Alabama,Sep 19 2021,70
Alabama,Sep 18 2021,60
Alabama,Sep 17 2021,58
Alabama,Sep 16 2021,65
Alabama,Sep 15 2021,71
Alabama,Sep 14 2021,61
Alabama,Sep 13 2021,64
Alabama,Sep 12 2021,53
Alabama,Sep 11 2021,70
Alabama,Sep 10 2021,76
Alabama,Sep  9 2021,67
Alabama,Sep  8 2021,69
Alabama,Sep  7 2021,68
Alabama,Sep  6 2021,86
Alabama,Sep  5 2021,71
Alabama,Sep  4 2021,73
Alabama,Sep  3 2021,67
Alabama,Sep  2 2021,60
Alabama,Sep  1 2021,70
Alabama,Aug 31 2021,71
Alabama,Aug 30 2021,55
Alabama,Aug 29 2021,72
Alabama,Aug 28 2021,68
Alabama,Aug 27 2021,58
Alabama,Aug 26 2021,69
Alabama,Aug 25 2021,58
Alabama,Aug 24 2021,77
Alabama,Aug 23 2021,56
Alabama,Aug 22 2021,55
Alabama,Aug 21 2021,54
Alabama,Aug 20 2021,62
Alabama,Aug 19 2021,49
Alabama,Aug 18 2021,73
Alabama,Aug 17 2021,50
Alabama,Aug 16 2021,55
Alabama,Aug 15 2021,41
Alabama,Aug 14 2021,61
