Data Table for Daily Death Trends - Arkansas
Date generated: Mon Nov 15 2021 12:07:28 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Arkansas,Nov 12 2021,13
Arkansas,Nov 11 2021,22
Arkansas,Nov 10 2021,3
Arkansas,Nov  9 2021,14
Arkansas,Nov  8 2021,11
Arkansas,Nov  7 2021,14
Arkansas,Nov  6 2021,11
Arkansas,Nov  5 2021,20
Arkansas,Nov  4 2021,18
Arkansas,Nov  3 2021,22
Arkansas,Nov  2 2021,28
Arkansas,Nov  1 2021,8
Arkansas,Oct 31 2021,6
Arkansas,Oct 30 2021,17
Arkansas,Oct 29 2021,9
Arkansas,Oct 28 2021,19
Arkansas,Oct 27 2021,19
Arkansas,Oct 26 2021,14
Arkansas,Oct 25 2021,11
Arkansas,Oct 24 2021,14
Arkansas,Oct 23 2021,12
Arkansas,Oct 22 2021,18
Arkansas,Oct 21 2021,7
Arkansas,Oct 20 2021,9
Arkansas,Oct 19 2021,19
Arkansas,Oct 18 2021,2
Arkansas,Oct 17 2021,5
Arkansas,Oct 16 2021,3
Arkansas,Oct 15 2021,16
Arkansas,Oct 14 2021,10
Arkansas,Oct 13 2021,19
Arkansas,Oct 12 2021,15
Arkansas,Oct 11 2021,12
Arkansas,Oct 10 2021,9
Arkansas,Oct  9 2021,21
Arkansas,Oct  8 2021,8
Arkansas,Oct  7 2021,21
Arkansas,Oct  6 2021,6
Arkansas,Oct  5 2021,23
Arkansas,Oct  4 2021,12
Arkansas,Oct  3 2021,16
Arkansas,Oct  2 2021,6
Arkansas,Oct  1 2021,27
Arkansas,Sep 30 2021,21
Arkansas,Sep 29 2021,19
Arkansas,Sep 28 2021,21
Arkansas,Sep 27 2021,40
Arkansas,Sep 26 2021,15
Arkansas,Sep 25 2021,14
Arkansas,Sep 24 2021,13
Arkansas,Sep 23 2021,20
Arkansas,Sep 22 2021,29
Arkansas,Sep 21 2021,17
Arkansas,Sep 20 2021,24
Arkansas,Sep 19 2021,24
Arkansas,Sep 18 2021,22
Arkansas,Sep 17 2021,17
Arkansas,Sep 16 2021,33
Arkansas,Sep 15 2021,28
Arkansas,Sep 14 2021,36
Arkansas,Sep 13 2021,31
Arkansas,Sep 12 2021,35
Arkansas,Sep 11 2021,33
Arkansas,Sep 10 2021,30
Arkansas,Sep  9 2021,27
Arkansas,Sep  8 2021,34
Arkansas,Sep  7 2021,38
Arkansas,Sep  6 2021,13
Arkansas,Sep  5 2021,19
Arkansas,Sep  4 2021,16
Arkansas,Sep  3 2021,19
Arkansas,Sep  2 2021,34
Arkansas,Sep  1 2021,35
Arkansas,Aug 31 2021,22
Arkansas,Aug 30 2021,33
Arkansas,Aug 29 2021,25
Arkansas,Aug 28 2021,18
Arkansas,Aug 27 2021,30
Arkansas,Aug 26 2021,32
Arkansas,Aug 25 2021,25
Arkansas,Aug 24 2021,45
Arkansas,Aug 23 2021,30
Arkansas,Aug 22 2021,29
Arkansas,Aug 21 2021,31
Arkansas,Aug 20 2021,33
Arkansas,Aug 19 2021,16
Arkansas,Aug 18 2021,26
Arkansas,Aug 17 2021,41
Arkansas,Aug 16 2021,31
Arkansas,Aug 15 2021,22
Arkansas,Aug 14 2021,13
Arkansas,Aug 13 2021,36
Arkansas,Aug 12 2021,30
Arkansas,Aug 11 2021,20
Arkansas,Aug 10 2021,24
Arkansas,Aug  9 2021,21
Arkansas,Aug  8 2021,11
Arkansas,Aug  7 2021,21
Arkansas,Aug  6 2021,22
Arkansas,Aug  5 2021,17
Arkansas,Aug  4 2021,15
Arkansas,Aug  3 2021,16
Arkansas,Aug  2 2021,42
Arkansas,Aug  1 2021,16
Arkansas,Jul 31 2021,18
Arkansas,Jul 30 2021,13
Arkansas,Jul 29 2021,11
Arkansas,Jul 28 2021,12
Arkansas,Jul 27 2021,10
Arkansas,Jul 26 2021,23
Arkansas,Jul 25 2021,6
Arkansas,Jul 24 2021,7
Arkansas,Jul 23 2021,6
Arkansas,Jul 22 2021,15
Arkansas,Jul 21 2021,13
Arkansas,Jul 20 2021,0
Arkansas,Jul 19 2021,5
Arkansas,Jul 18 2021,5
Arkansas,Jul 17 2021,5
Arkansas,Jul 16 2021,11
Arkansas,Jul 15 2021,4
Arkansas,Jul 14 2021,7
Arkansas,Jul 13 2021,15
Arkansas,Jul 12 2021,3
Arkansas,Jul 11 2021,2
Arkansas,Jul 10 2021,2
Arkansas,Jul  9 2021,4
Arkansas,Jul  8 2021,11
Arkansas,Jul  7 2021,7
Arkansas,Jul  6 2021,6
Arkansas,Jul  5 2021,3
Arkansas,Jul  4 2021,2
Arkansas,Jul  3 2021,2
Arkansas,Jul  2 2021,4
Arkansas,Jul  1 2021,0
Arkansas,Jun 30 2021,4
Arkansas,Jun 29 2021,8
Arkansas,Jun 28 2021,2
Arkansas,Jun 27 2021,1
Arkansas,Jun 26 2021,1
Arkansas,Jun 25 2021,3
Arkansas,Jun 24 2021,3
Arkansas,Jun 23 2021,3
Arkansas,Jun 22 2021,8
Arkansas,Jun 21 2021,2
Arkansas,Jun 20 2021,3
Arkansas,Jun 19 2021,1
Arkansas,Jun 18 2021,1
Arkansas,Jun 17 2021,2
Arkansas,Jun 16 2021,0
Arkansas,Jun 15 2021,6
Arkansas,Jun 14 2021,2
Arkansas,Jun 13 2021,1
Arkansas,Jun 12 2021,1
Arkansas,Jun 11 2021,3
Arkansas,Jun 10 2021,2
Arkansas,Jun  9 2021,2
Arkansas,Jun  8 2021,3
Arkansas,Jun  7 2021,3
Arkansas,Jun  6 2021,0
Arkansas,Jun  5 2021,1
Arkansas,Jun  4 2021,3
Arkansas,Jun  3 2021,7
Arkansas,Jun  2 2021,1
Arkansas,Jun  1 2021,1
Arkansas,May 31 2021,1
Arkansas,May 30 2021,2
Arkansas,May 29 2021,0
Arkansas,May 28 2021,1
Arkansas,May 27 2021,2
Arkansas,May 26 2021,3
Arkansas,May 25 2021,4
Arkansas,May 24 2021,3
Arkansas,May 23 2021,1
Arkansas,May 22 2021,5
Arkansas,May 21 2021,3
Arkansas,May 20 2021,3
Arkansas,May 19 2021,0
Arkansas,May 18 2021,9
Arkansas,May 17 2021,2
Arkansas,May 16 2021,1
Arkansas,May 15 2021,3
Arkansas,May 14 2021,7
Arkansas,May 13 2021,6
Arkansas,May 12 2021,7
Arkansas,May 11 2021,6
Arkansas,May 10 2021,3
Arkansas,May  9 2021,1
Arkansas,May  8 2021,1
Arkansas,May  7 2021,2
Arkansas,May  6 2021,3
Arkansas,May  5 2021,2
Arkansas,May  4 2021,5
Arkansas,May  3 2021,4
Arkansas,May  2 2021,2
