Data Table for Daily Death Trends - California
Date generated: Mon Nov 15 2021 12:07:36 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
California,Nov 12 2021,0
California,Nov 11 2021,156
California,Nov 10 2021,134
California,Nov  9 2021,19
California,Nov  8 2021,127
California,Nov  7 2021,0
California,Nov  6 2021,0
California,Nov  5 2021,93
California,Nov  4 2021,113
California,Nov  3 2021,76
California,Nov  2 2021,38
California,Nov  1 2021,13
California,Oct 31 2021,0
California,Oct 30 2021,0
California,Oct 29 2021,111
California,Oct 28 2021,113
California,Oct 27 2021,113
California,Oct 26 2021,298
California,Oct 25 2021,0
California,Oct 24 2021,0
California,Oct 23 2021,0
California,Oct 22 2021,143
California,Oct 21 2021,148
California,Oct 20 2021,156
California,Oct 19 2021,21
California,Oct 18 2021,266
California,Oct 17 2021,0
California,Oct 16 2021,0
California,Oct 15 2021,140
California,Oct 14 2021,148
California,Oct 13 2021,106
California,Oct 12 2021,15
California,Oct 11 2021,234
California,Oct 10 2021,0
California,Oct  9 2021,0
California,Oct  8 2021,156
California,Oct  7 2021,167
California,Oct  6 2021,157
California,Oct  5 2021,0
California,Oct  4 2021,243
California,Oct  3 2021,0
California,Oct  2 2021,0
California,Oct  1 2021,126
California,Sep 30 2021,153
California,Sep 29 2021,130
California,Sep 28 2021,25
California,Sep 27 2021,275
California,Sep 26 2021,0
California,Sep 25 2021,0
California,Sep 24 2021,159
California,Sep 23 2021,154
California,Sep 22 2021,146
California,Sep 21 2021,16
California,Sep 20 2021,4
California,Sep 19 2021,125
California,Sep 18 2021,125
California,Sep 17 2021,171
California,Sep 16 2021,186
California,Sep 15 2021,188
California,Sep 14 2021,97
California,Sep 13 2021,15
California,Sep 12 2021,76
California,Sep 11 2021,203
California,Sep 10 2021,165
California,Sep  9 2021,201
California,Sep  8 2021,26
California,Sep  7 2021,40
California,Sep  6 2021,25
California,Sep  5 2021,158
California,Sep  4 2021,103
California,Sep  3 2021,119
California,Sep  2 2021,155
California,Sep  1 2021,143
California,Aug 31 2021,16
California,Aug 30 2021,28
California,Aug 29 2021,104
California,Aug 28 2021,106
California,Aug 27 2021,102
California,Aug 26 2021,129
California,Aug 25 2021,108
California,Aug 24 2021,17
California,Aug 23 2021,3
California,Aug 22 2021,89
California,Aug 21 2021,82
California,Aug 20 2021,120
California,Aug 19 2021,92
California,Aug 18 2021,90
California,Aug 17 2021,7
California,Aug 16 2021,11
California,Aug 15 2021,45
California,Aug 14 2021,40
California,Aug 13 2021,61
California,Aug 12 2021,61
California,Aug 11 2021,0
California,Aug 10 2021,10
California,Aug  9 2021,6
California,Aug  8 2021,36
California,Aug  7 2021,33
California,Aug  6 2021,37
California,Aug  5 2021,56
California,Aug  4 2021,54
California,Aug  3 2021,11
California,Aug  2 2021,150
California,Aug  1 2021,0
California,Jul 31 2021,0
California,Jul 30 2021,44
California,Jul 29 2021,42
California,Jul 28 2021,38
California,Jul 27 2021,5
California,Jul 26 2021,65
California,Jul 25 2021,0
California,Jul 24 2021,0
California,Jul 23 2021,46
California,Jul 22 2021,31
California,Jul 21 2021,11
California,Jul 20 2021,4
California,Jul 19 2021,51
California,Jul 18 2021,0
California,Jul 17 2021,0
California,Jul 16 2021,65
California,Jul 15 2021,25
California,Jul 14 2021,30
California,Jul 13 2021,6
California,Jul 12 2021,96
California,Jul 11 2021,0
California,Jul 10 2021,0
California,Jul  9 2021,59
California,Jul  8 2021,58
California,Jul  7 2021,21
California,Jul  6 2021,97
California,Jul  5 2021,0
California,Jul  4 2021,0
California,Jul  3 2021,0
California,Jul  2 2021,45
California,Jul  1 2021,73
California,Jun 30 2021,24
California,Jun 29 2021,5
California,Jun 28 2021,4
California,Jun 27 2021,45
California,Jun 26 2021,55
California,Jun 25 2021,68
California,Jun 24 2021,81
California,Jun 23 2021,40
California,Jun 22 2021,8
California,Jun 21 2021,4
California,Jun 20 2021,35
California,Jun 19 2021,32
California,Jun 18 2021,57
California,Jun 17 2021,31
California,Jun 16 2021,19
California,Jun 15 2021,10
California,Jun 14 2021,0
California,Jun 13 2021,4
California,Jun 12 2021,0
California,Jun 11 2021,55
California,Jun 10 2021,39
California,Jun  9 2021,20
California,Jun  8 2021,6
California,Jun  7 2021,3
California,Jun  6 2021,228
California,Jun  5 2021,63
California,Jun  4 2021,87
California,Jun  3 2021,48
California,Jun  2 2021,23
California,Jun  1 2021,10
California,May 31 2021,5
California,May 30 2021,7
California,May 29 2021,0
California,May 28 2021,170
California,May 27 2021,31
California,May 26 2021,54
California,May 25 2021,8
California,May 24 2021,7
California,May 23 2021,33
California,May 22 2021,50
California,May 21 2021,69
California,May 20 2021,48
California,May 19 2021,42
California,May 18 2021,3
California,May 17 2021,11
California,May 16 2021,55
California,May 15 2021,27
California,May 14 2021,66
California,May 13 2021,46
California,May 12 2021,59
California,May 11 2021,5
California,May 10 2021,13
California,May  9 2021,61
California,May  8 2021,140
California,May  7 2021,100
California,May  6 2021,65
California,May  5 2021,97
California,May  4 2021,2
California,May  3 2021,15
California,May  2 2021,123
California,May  1 2021,158
California,Apr 30 2021,105
California,Apr 29 2021,89
California,Apr 28 2021,65
California,Apr 27 2021,5
California,Apr 26 2021,15
California,Apr 25 2021,53
California,Apr 24 2021,49
California,Apr 23 2021,94
California,Apr 22 2021,102
California,Apr 21 2021,86
California,Apr 20 2021,32
California,Apr 19 2021,4
California,Apr 18 2021,78
California,Apr 17 2021,103
California,Apr 16 2021,79
California,Apr 15 2021,136
California,Apr 14 2021,114
California,Apr 13 2021,9
California,Apr 12 2021,31
California,Apr 11 2021,105
California,Apr 10 2021,170
California,Apr  9 2021,155
California,Apr  8 2021,129
California,Apr  7 2021,118
California,Apr  6 2021,7
California,Apr  5 2021,21
California,Apr  4 2021,109
California,Apr  3 2021,135
California,Apr  2 2021,179
California,Apr  1 2021,154
California,Mar 31 2021,148
California,Mar 30 2021,10
California,Mar 29 2021,32
California,Mar 28 2021,195
California,Mar 27 2021,215
California,Mar 26 2021,245
California,Mar 25 2021,241
