Data Table for Daily Death Trends - Colorado
Date generated: Mon Nov 15 2021 12:07:45 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Colorado,Nov 12 2021,36
Colorado,Nov 11 2021,33
Colorado,Nov 10 2021,31
Colorado,Nov  9 2021,21
Colorado,Nov  8 2021,92
Colorado,Nov  7 2021,0
Colorado,Nov  6 2021,0
Colorado,Nov  5 2021,48
Colorado,Nov  4 2021,51
Colorado,Nov  3 2021,16
Colorado,Nov  2 2021,34
Colorado,Nov  1 2021,72
Colorado,Oct 31 2021,0
Colorado,Oct 30 2021,0
Colorado,Oct 29 2021,23
Colorado,Oct 28 2021,32
Colorado,Oct 27 2021,23
Colorado,Oct 26 2021,22
Colorado,Oct 25 2021,57
Colorado,Oct 24 2021,0
Colorado,Oct 23 2021,0
Colorado,Oct 22 2021,35
Colorado,Oct 21 2021,23
Colorado,Oct 20 2021,22
Colorado,Oct 19 2021,32
Colorado,Oct 18 2021,19
Colorado,Oct 17 2021,17
Colorado,Oct 16 2021,17
Colorado,Oct 15 2021,24
Colorado,Oct 14 2021,12
Colorado,Oct 13 2021,38
Colorado,Oct 12 2021,23
Colorado,Oct 11 2021,12
Colorado,Oct 10 2021,11
Colorado,Oct  9 2021,11
Colorado,Oct  8 2021,40
Colorado,Oct  7 2021,28
Colorado,Oct  6 2021,22
Colorado,Oct  5 2021,17
Colorado,Oct  4 2021,12
Colorado,Oct  3 2021,10
Colorado,Oct  2 2021,10
Colorado,Oct  1 2021,51
Colorado,Sep 30 2021,2
Colorado,Sep 29 2021,19
Colorado,Sep 28 2021,19
Colorado,Sep 27 2021,31
Colorado,Sep 26 2021,0
Colorado,Sep 25 2021,0
Colorado,Sep 24 2021,17
Colorado,Sep 23 2021,14
Colorado,Sep 22 2021,13
Colorado,Sep 21 2021,23
Colorado,Sep 20 2021,13
Colorado,Sep 19 2021,9
Colorado,Sep 18 2021,9
Colorado,Sep 17 2021,25
Colorado,Sep 16 2021,3
Colorado,Sep 15 2021,26
Colorado,Sep 14 2021,18
Colorado,Sep 13 2021,10
Colorado,Sep 12 2021,9
Colorado,Sep 11 2021,9
Colorado,Sep 10 2021,20
Colorado,Sep  9 2021,12
Colorado,Sep  8 2021,16
Colorado,Sep  7 2021,1
Colorado,Sep  6 2021,13
Colorado,Sep  5 2021,9
Colorado,Sep  4 2021,9
Colorado,Sep  3 2021,24
Colorado,Sep  2 2021,19
Colorado,Sep  1 2021,9
Colorado,Aug 31 2021,13
Colorado,Aug 30 2021,8
Colorado,Aug 29 2021,5
Colorado,Aug 28 2021,5
Colorado,Aug 27 2021,16
Colorado,Aug 26 2021,7
Colorado,Aug 25 2021,4
Colorado,Aug 24 2021,6
Colorado,Aug 23 2021,5
Colorado,Aug 22 2021,3
Colorado,Aug 21 2021,3
Colorado,Aug 20 2021,11
Colorado,Aug 19 2021,1
Colorado,Aug 18 2021,8
Colorado,Aug 17 2021,6
Colorado,Aug 16 2021,5
Colorado,Aug 15 2021,2
Colorado,Aug 14 2021,2
Colorado,Aug 13 2021,9
Colorado,Aug 12 2021,10
Colorado,Aug 11 2021,3
Colorado,Aug 10 2021,12
Colorado,Aug  9 2021,8
Colorado,Aug  8 2021,6
Colorado,Aug  7 2021,6
Colorado,Aug  6 2021,8
Colorado,Aug  5 2021,7
Colorado,Aug  4 2021,6
Colorado,Aug  3 2021,1
Colorado,Aug  2 2021,5
Colorado,Aug  1 2021,3
Colorado,Jul 31 2021,3
Colorado,Jul 30 2021,10
Colorado,Jul 29 2021,11
Colorado,Jul 28 2021,2
Colorado,Jul 27 2021,0
Colorado,Jul 26 2021,6
Colorado,Jul 25 2021,4
Colorado,Jul 24 2021,4
Colorado,Jul 23 2021,9
Colorado,Jul 22 2021,6
Colorado,Jul 21 2021,7
Colorado,Jul 20 2021,2
Colorado,Jul 19 2021,6
Colorado,Jul 18 2021,2
Colorado,Jul 17 2021,2
Colorado,Jul 16 2021,4
Colorado,Jul 15 2021,3
Colorado,Jul 14 2021,8
Colorado,Jul 13 2021,8
Colorado,Jul 12 2021,0
Colorado,Jul 11 2021,9
Colorado,Jul 10 2021,7
Colorado,Jul  9 2021,10
Colorado,Jul  8 2021,3
