Data Table for Daily Death Trends - Connecticut
Date generated: Mon Nov 15 2021 12:08:00 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Connecticut,Nov 12 2021,0
Connecticut,Nov 11 2021,0
Connecticut,Nov 10 2021,3
Connecticut,Nov  9 2021,16
Connecticut,Nov  8 2021,0
Connecticut,Nov  7 2021,0
Connecticut,Nov  6 2021,0
Connecticut,Nov  5 2021,14
Connecticut,Nov  4 2021,0
Connecticut,Nov  3 2021,0
Connecticut,Nov  2 2021,10
Connecticut,Nov  1 2021,2
Connecticut,Oct 31 2021,0
Connecticut,Oct 30 2021,0
Connecticut,Oct 29 2021,13
Connecticut,Oct 28 2021,0
Connecticut,Oct 27 2021,0
Connecticut,Oct 26 2021,13
Connecticut,Oct 25 2021,0
Connecticut,Oct 24 2021,0
Connecticut,Oct 23 2021,0
Connecticut,Oct 22 2021,18
Connecticut,Oct 21 2021,0
Connecticut,Oct 20 2021,0
Connecticut,Oct 19 2021,3
Connecticut,Oct 18 2021,0
Connecticut,Oct 17 2021,0
Connecticut,Oct 16 2021,0
Connecticut,Oct 15 2021,11
Connecticut,Oct 14 2021,2
Connecticut,Oct 13 2021,38
Connecticut,Oct 12 2021,0
Connecticut,Oct 11 2021,0
Connecticut,Oct 10 2021,0
Connecticut,Oct  9 2021,0
Connecticut,Oct  8 2021,0
Connecticut,Oct  7 2021,0
Connecticut,Oct  6 2021,1
Connecticut,Oct  5 2021,16
Connecticut,Oct  4 2021,0
Connecticut,Oct  3 2021,0
Connecticut,Oct  2 2021,0
Connecticut,Oct  1 2021,21
Connecticut,Sep 30 2021,0
Connecticut,Sep 29 2021,3
Connecticut,Sep 28 2021,33
Connecticut,Sep 27 2021,32
Connecticut,Sep 26 2021,30
Connecticut,Sep 25 2021,30
Connecticut,Sep 24 2021,18
Connecticut,Sep 23 2021,0
Connecticut,Sep 22 2021,7
Connecticut,Sep 21 2021,15
Connecticut,Sep 20 2021,0
Connecticut,Sep 19 2021,0
Connecticut,Sep 18 2021,0
Connecticut,Sep 17 2021,16
Connecticut,Sep 16 2021,0
Connecticut,Sep 15 2021,1
Connecticut,Sep 14 2021,22
Connecticut,Sep 13 2021,0
Connecticut,Sep 12 2021,0
Connecticut,Sep 11 2021,0
Connecticut,Sep 10 2021,8
Connecticut,Sep  9 2021,1
Connecticut,Sep  8 2021,20
Connecticut,Sep  7 2021,1
Connecticut,Sep  6 2021,0
Connecticut,Sep  5 2021,0
Connecticut,Sep  4 2021,0
Connecticut,Sep  3 2021,0
Connecticut,Sep  2 2021,36
Connecticut,Sep  1 2021,0
Connecticut,Aug 31 2021,0
Connecticut,Aug 30 2021,0
Connecticut,Aug 29 2021,0
Connecticut,Aug 28 2021,0
Connecticut,Aug 27 2021,3
Connecticut,Aug 26 2021,20
Connecticut,Aug 25 2021,0
Connecticut,Aug 24 2021,0
Connecticut,Aug 23 2021,0
Connecticut,Aug 22 2021,0
Connecticut,Aug 21 2021,0
Connecticut,Aug 20 2021,7
Connecticut,Aug 19 2021,23
Connecticut,Aug 18 2021,3
Connecticut,Aug 17 2021,0
Connecticut,Aug 16 2021,0
Connecticut,Aug 15 2021,0
Connecticut,Aug 14 2021,0
Connecticut,Aug 13 2021,0
Connecticut,Aug 12 2021,10
Connecticut,Aug 11 2021,0
Connecticut,Aug 10 2021,1
Connecticut,Aug  9 2021,0
Connecticut,Aug  8 2021,0
Connecticut,Aug  7 2021,0
Connecticut,Aug  6 2021,0
Connecticut,Aug  5 2021,4
Connecticut,Aug  4 2021,0
Connecticut,Aug  3 2021,0
Connecticut,Aug  2 2021,0
Connecticut,Aug  1 2021,0
Connecticut,Jul 31 2021,0
Connecticut,Jul 30 2021,0
Connecticut,Jul 29 2021,5
Connecticut,Jul 28 2021,0
Connecticut,Jul 27 2021,0
Connecticut,Jul 26 2021,2
Connecticut,Jul 25 2021,0
Connecticut,Jul 24 2021,0
Connecticut,Jul 23 2021,0
Connecticut,Jul 22 2021,4
Connecticut,Jul 21 2021,0
Connecticut,Jul 20 2021,0
Connecticut,Jul 19 2021,0
Connecticut,Jul 18 2021,0
Connecticut,Jul 17 2021,0
Connecticut,Jul 16 2021,0
Connecticut,Jul 15 2021,3
Connecticut,Jul 14 2021,0
Connecticut,Jul 13 2021,0
Connecticut,Jul 12 2021,0
Connecticut,Jul 11 2021,0
Connecticut,Jul 10 2021,0
Connecticut,Jul  9 2021,0
Connecticut,Jul  8 2021,1
Connecticut,Jul  7 2021,0
Connecticut,Jul  6 2021,0
Connecticut,Jul  5 2021,0
Connecticut,Jul  4 2021,0
Connecticut,Jul  3 2021,0
Connecticut,Jul  2 2021,0
Connecticut,Jul  1 2021,1
Connecticut,Jun 30 2021,2
Connecticut,Jun 29 2021,0
Connecticut,Jun 28 2021,1
Connecticut,Jun 27 2021,0
Connecticut,Jun 26 2021,0
Connecticut,Jun 25 2021,1
Connecticut,Jun 24 2021,3
Connecticut,Jun 23 2021,0
Connecticut,Jun 22 2021,3
Connecticut,Jun 21 2021,0
Connecticut,Jun 20 2021,0
Connecticut,Jun 19 2021,0
Connecticut,Jun 18 2021,4
Connecticut,Jun 17 2021,1
Connecticut,Jun 16 2021,2
Connecticut,Jun 15 2021,0
Connecticut,Jun 14 2021,2
Connecticut,Jun 13 2021,0
Connecticut,Jun 12 2021,0
Connecticut,Jun 11 2021,1
Connecticut,Jun 10 2021,3
Connecticut,Jun  9 2021,2
Connecticut,Jun  8 2021,2
Connecticut,Jun  7 2021,7
Connecticut,Jun  6 2021,0
Connecticut,Jun  5 2021,0
Connecticut,Jun  4 2021,1
Connecticut,Jun  3 2021,0
Connecticut,Jun  2 2021,3
Connecticut,Jun  1 2021,6
Connecticut,May 31 2021,0
Connecticut,May 30 2021,0
Connecticut,May 29 2021,0
Connecticut,May 28 2021,8
Connecticut,May 27 2021,3
Connecticut,May 26 2021,6
Connecticut,May 25 2021,2
Connecticut,May 24 2021,7
Connecticut,May 23 2021,0
Connecticut,May 22 2021,0
Connecticut,May 21 2021,4
Connecticut,May 20 2021,4
Connecticut,May 19 2021,6
Connecticut,May 18 2021,4
Connecticut,May 17 2021,21
Connecticut,May 16 2021,0
Connecticut,May 15 2021,0
Connecticut,May 14 2021,5
Connecticut,May 13 2021,7
Connecticut,May 12 2021,5
Connecticut,May 11 2021,2
Connecticut,May 10 2021,17
Connecticut,May  9 2021,0
Connecticut,May  8 2021,0
Connecticut,May  7 2021,6
Connecticut,May  6 2021,7
Connecticut,May  5 2021,7
Connecticut,May  4 2021,5
