Data Table for Daily Death Trends - Florida
Date generated: Mon Nov 15 2021 12:08:31 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Florida,Nov 12 2021,1
Florida,Nov 11 2021,0
Florida,Nov 10 2021,2
Florida,Nov  9 2021,4
Florida,Nov  8 2021,4
Florida,Nov  7 2021,7
Florida,Nov  6 2021,3
Florida,Nov  5 2021,13
Florida,Nov  4 2021,17
Florida,Nov  3 2021,12
Florida,Nov  2 2021,20
Florida,Nov  1 2021,32
Florida,Oct 31 2021,28
Florida,Oct 30 2021,30
Florida,Oct 29 2021,21
Florida,Oct 28 2021,34
Florida,Oct 27 2021,34
Florida,Oct 26 2021,38
Florida,Oct 25 2021,42
Florida,Oct 24 2021,52
Florida,Oct 23 2021,53
Florida,Oct 22 2021,58
Florida,Oct 21 2021,55
Florida,Oct 20 2021,66
Florida,Oct 19 2021,75
Florida,Oct 18 2021,65
Florida,Oct 17 2021,67
Florida,Oct 16 2021,77
Florida,Oct 15 2021,83
Florida,Oct 14 2021,66
Florida,Oct 13 2021,79
Florida,Oct 12 2021,102
Florida,Oct 11 2021,105
Florida,Oct 10 2021,109
Florida,Oct  9 2021,106
Florida,Oct  8 2021,110
Florida,Oct  7 2021,122
Florida,Oct  6 2021,117
Florida,Oct  5 2021,126
Florida,Oct  4 2021,103
Florida,Oct  3 2021,137
Florida,Oct  2 2021,126
Florida,Oct  1 2021,142
Florida,Sep 30 2021,141
Florida,Sep 29 2021,175
Florida,Sep 28 2021,185
Florida,Sep 27 2021,187
Florida,Sep 26 2021,152
Florida,Sep 25 2021,203
Florida,Sep 24 2021,218
Florida,Sep 23 2021,192
Florida,Sep 22 2021,223
Florida,Sep 21 2021,221
Florida,Sep 20 2021,221
Florida,Sep 19 2021,224
Florida,Sep 18 2021,240
Florida,Sep 17 2021,279
Florida,Sep 16 2021,276
Florida,Sep 15 2021,238
Florida,Sep 14 2021,243
Florida,Sep 13 2021,275
Florida,Sep 12 2021,268
Florida,Sep 11 2021,306
Florida,Sep 10 2021,333
Florida,Sep  9 2021,316
