Data Table for Daily Death Trends - Georgia
Date generated: Mon Nov 15 2021 12:08:38 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Georgia,Nov 12 2021,112
Georgia,Nov 11 2021,0
Georgia,Nov 10 2021,102
Georgia,Nov  9 2021,164
Georgia,Nov  8 2021,0
Georgia,Nov  7 2021,0
Georgia,Nov  6 2021,0
Georgia,Nov  5 2021,90
Georgia,Nov  4 2021,83
Georgia,Nov  3 2021,70
Georgia,Nov  2 2021,66
Georgia,Nov  1 2021,109
Georgia,Oct 31 2021,0
Georgia,Oct 30 2021,0
Georgia,Oct 29 2021,126
Georgia,Oct 28 2021,89
Georgia,Oct 27 2021,113
Georgia,Oct 26 2021,98
Georgia,Oct 25 2021,120
Georgia,Oct 24 2021,0
Georgia,Oct 23 2021,0
Georgia,Oct 22 2021,175
Georgia,Oct 21 2021,110
Georgia,Oct 20 2021,158
Georgia,Oct 19 2021,136
Georgia,Oct 18 2021,58
Georgia,Oct 17 2021,54
Georgia,Oct 16 2021,54
Georgia,Oct 15 2021,209
Georgia,Oct 14 2021,138
Georgia,Oct 13 2021,92
Georgia,Oct 12 2021,52
Georgia,Oct 11 2021,47
Georgia,Oct 10 2021,47
Georgia,Oct  9 2021,47
Georgia,Oct  8 2021,131
Georgia,Oct  7 2021,191
Georgia,Oct  6 2021,195
Georgia,Oct  5 2021,180
Georgia,Oct  4 2021,69
Georgia,Oct  3 2021,67
Georgia,Oct  2 2021,67
Georgia,Oct  1 2021,158
Georgia,Sep 30 2021,151
Georgia,Sep 29 2021,176
Georgia,Sep 28 2021,137
Georgia,Sep 27 2021,50
Georgia,Sep 26 2021,46
Georgia,Sep 25 2021,46
Georgia,Sep 24 2021,140
Georgia,Sep 23 2021,205
Georgia,Sep 22 2021,182
Georgia,Sep 21 2021,179
Georgia,Sep 20 2021,67
Georgia,Sep 19 2021,64
Georgia,Sep 18 2021,64
Georgia,Sep 17 2021,117
Georgia,Sep 16 2021,197
Georgia,Sep 15 2021,235
Georgia,Sep 14 2021,128
Georgia,Sep 13 2021,55
Georgia,Sep 12 2021,52
Georgia,Sep 11 2021,52
Georgia,Sep 10 2021,156
Georgia,Sep  9 2021,193
Georgia,Sep  8 2021,50
Georgia,Sep  7 2021,57
Georgia,Sep  6 2021,55
Georgia,Sep  5 2021,55
Georgia,Sep  4 2021,55
Georgia,Sep  3 2021,114
Georgia,Sep  2 2021,136
Georgia,Sep  1 2021,130
Georgia,Aug 31 2021,99
Georgia,Aug 30 2021,30
Georgia,Aug 29 2021,29
Georgia,Aug 28 2021,29
Georgia,Aug 27 2021,61
Georgia,Aug 26 2021,92
Georgia,Aug 25 2021,91
Georgia,Aug 24 2021,46
Georgia,Aug 23 2021,22
Georgia,Aug 22 2021,21
Georgia,Aug 21 2021,21
Georgia,Aug 20 2021,48
Georgia,Aug 19 2021,48
Georgia,Aug 18 2021,43
Georgia,Aug 17 2021,46
Georgia,Aug 16 2021,12
Georgia,Aug 15 2021,12
Georgia,Aug 14 2021,12
Georgia,Aug 13 2021,49
Georgia,Aug 12 2021,35
Georgia,Aug 11 2021,32
Georgia,Aug 10 2021,31
Georgia,Aug  9 2021,11
Georgia,Aug  8 2021,9
Georgia,Aug  7 2021,9
Georgia,Aug  6 2021,35
Georgia,Aug  5 2021,32
Georgia,Aug  4 2021,12
Georgia,Aug  3 2021,25
Georgia,Aug  2 2021,8
Georgia,Aug  1 2021,7
Georgia,Jul 31 2021,7
Georgia,Jul 30 2021,11
Georgia,Jul 29 2021,11
Georgia,Jul 28 2021,10
Georgia,Jul 27 2021,16
Georgia,Jul 26 2021,6
Georgia,Jul 25 2021,4
Georgia,Jul 24 2021,4
Georgia,Jul 23 2021,9
Georgia,Jul 22 2021,12
Georgia,Jul 21 2021,22
Georgia,Jul 20 2021,7
Georgia,Jul 19 2021,4
Georgia,Jul 18 2021,1
Georgia,Jul 17 2021,1
Georgia,Jul 16 2021,12
Georgia,Jul 15 2021,19
Georgia,Jul 14 2021,2
Georgia,Jul 13 2021,26
Georgia,Jul 12 2021,5
Georgia,Jul 11 2021,4
Georgia,Jul 10 2021,4
Georgia,Jul  9 2021,16
Georgia,Jul  8 2021,3
Georgia,Jul  7 2021,10
Georgia,Jul  6 2021,5
Georgia,Jul  5 2021,3
Georgia,Jul  4 2021,3
Georgia,Jul  3 2021,3
Georgia,Jul  2 2021,15
Georgia,Jul  1 2021,5
Georgia,Jun 30 2021,11
Georgia,Jun 29 2021,19
Georgia,Jun 28 2021,0
Georgia,Jun 27 2021,0
Georgia,Jun 26 2021,24
Georgia,Jun 25 2021,2
Georgia,Jun 24 2021,17
Georgia,Jun 23 2021,21
Georgia,Jun 22 2021,11
Georgia,Jun 21 2021,0
Georgia,Jun 20 2021,22
Georgia,Jun 19 2021,19
