Data Table for Daily Death Trends - Guam
Date generated: Mon Nov 15 2021 12:08:46 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Guam,Nov 12 2021,0
Guam,Nov 11 2021,0
Guam,Nov 10 2021,0
Guam,Nov  9 2021,3
Guam,Nov  8 2021,6
Guam,Nov  7 2021,1
Guam,Nov  6 2021,0
Guam,Nov  5 2021,0
Guam,Nov  4 2021,0
Guam,Nov  3 2021,3
Guam,Nov  2 2021,3
Guam,Nov  1 2021,0
Guam,Oct 31 2021,4
Guam,Oct 30 2021,0
Guam,Oct 29 2021,0
Guam,Oct 28 2021,3
Guam,Oct 27 2021,3
Guam,Oct 26 2021,2
Guam,Oct 25 2021,3
Guam,Oct 24 2021,0
Guam,Oct 23 2021,0
Guam,Oct 22 2021,0
Guam,Oct 21 2021,1
Guam,Oct 20 2021,0
Guam,Oct 19 2021,0
Guam,Oct 18 2021,3
Guam,Oct 17 2021,1
Guam,Oct 16 2021,0
Guam,Oct 15 2021,0
Guam,Oct 14 2021,0
Guam,Oct 13 2021,3
Guam,Oct 12 2021,2
Guam,Oct 11 2021,3
Guam,Oct 10 2021,2
Guam,Oct  9 2021,0
Guam,Oct  8 2021,0
Guam,Oct  7 2021,2
Guam,Oct  6 2021,0
Guam,Oct  5 2021,2
Guam,Oct  4 2021,2
Guam,Oct  3 2021,8
Guam,Oct  2 2021,0
Guam,Oct  1 2021,0
Guam,Sep 30 2021,1
Guam,Sep 29 2021,1
Guam,Sep 28 2021,1
Guam,Sep 27 2021,3
Guam,Sep 26 2021,8
Guam,Sep 25 2021,0
Guam,Sep 24 2021,0
Guam,Sep 23 2021,0
Guam,Sep 22 2021,2
Guam,Sep 21 2021,1
Guam,Sep 20 2021,0
Guam,Sep 19 2021,2
Guam,Sep 18 2021,0
Guam,Sep 17 2021,0
Guam,Sep 16 2021,5
Guam,Sep 15 2021,3
Guam,Sep 14 2021,1
Guam,Sep 13 2021,2
Guam,Sep 12 2021,8
Guam,Sep 11 2021,0
Guam,Sep 10 2021,4
Guam,Sep  9 2021,0
Guam,Sep  8 2021,1
Guam,Sep  7 2021,1
Guam,Sep  6 2021,2
Guam,Sep  5 2021,0
Guam,Sep  4 2021,0
Guam,Sep  3 2021,0
Guam,Sep  2 2021,1
Guam,Sep  1 2021,0
Guam,Aug 31 2021,1
Guam,Aug 30 2021,2
Guam,Aug 29 2021,0
Guam,Aug 28 2021,0
Guam,Aug 27 2021,0
Guam,Aug 26 2021,0
Guam,Aug 25 2021,0
Guam,Aug 24 2021,0
Guam,Aug 23 2021,1
Guam,Aug 22 2021,0
Guam,Aug 21 2021,0
Guam,Aug 20 2021,0
Guam,Aug 19 2021,0
Guam,Aug 18 2021,0
Guam,Aug 17 2021,0
Guam,Aug 16 2021,1
Guam,Aug 15 2021,0
Guam,Aug 14 2021,0
Guam,Aug 13 2021,0
Guam,Aug 12 2021,0
Guam,Aug 11 2021,0
Guam,Aug 10 2021,0
Guam,Aug  9 2021,0
Guam,Aug  8 2021,0
Guam,Aug  7 2021,0
Guam,Aug  6 2021,0
Guam,Aug  5 2021,0
Guam,Aug  4 2021,0
Guam,Aug  3 2021,0
Guam,Aug  2 2021,0
Guam,Aug  1 2021,0
Guam,Jul 31 2021,0
Guam,Jul 30 2021,0
Guam,Jul 29 2021,0
Guam,Jul 28 2021,0
Guam,Jul 27 2021,0
Guam,Jul 26 2021,0
Guam,Jul 25 2021,0
Guam,Jul 24 2021,0
Guam,Jul 23 2021,0
Guam,Jul 22 2021,0
Guam,Jul 21 2021,0
Guam,Jul 20 2021,0
Guam,Jul 19 2021,0
Guam,Jul 18 2021,1
Guam,Jul 17 2021,0
Guam,Jul 16 2021,0
Guam,Jul 15 2021,0
Guam,Jul 14 2021,0
Guam,Jul 13 2021,0
Guam,Jul 12 2021,1
Guam,Jul 11 2021,0
Guam,Jul 10 2021,0
Guam,Jul  9 2021,0
Guam,Jul  8 2021,1
Guam,Jul  7 2021,0
Guam,Jul  6 2021,0
Guam,Jul  5 2021,0
Guam,Jul  4 2021,0
Guam,Jul  3 2021,0
Guam,Jul  2 2021,0
Guam,Jul  1 2021,0
Guam,Jun 30 2021,0
Guam,Jun 29 2021,0
Guam,Jun 28 2021,0
Guam,Jun 27 2021,1
Guam,Jun 26 2021,0
Guam,Jun 25 2021,0
Guam,Jun 24 2021,0
Guam,Jun 23 2021,0
Guam,Jun 22 2021,0
Guam,Jun 21 2021,0
Guam,Jun 20 2021,0
Guam,Jun 19 2021,0
Guam,Jun 18 2021,0
Guam,Jun 17 2021,0
Guam,Jun 16 2021,0
Guam,Jun 15 2021,0
Guam,Jun 14 2021,0
Guam,Jun 13 2021,0
Guam,Jun 12 2021,0
Guam,Jun 11 2021,0
Guam,Jun 10 2021,0
Guam,Jun  9 2021,0
Guam,Jun  8 2021,0
Guam,Jun  7 2021,0
Guam,Jun  6 2021,0
Guam,Jun  5 2021,0
Guam,Jun  4 2021,0
Guam,Jun  3 2021,0
Guam,Jun  2 2021,0
Guam,Jun  1 2021,0
Guam,May 31 2021,0
Guam,May 30 2021,0
Guam,May 29 2021,0
Guam,May 28 2021,0
Guam,May 27 2021,0
Guam,May 26 2021,0
Guam,May 25 2021,0
Guam,May 24 2021,0
Guam,May 23 2021,0
Guam,May 22 2021,0
Guam,May 21 2021,0
Guam,May 20 2021,0
Guam,May 19 2021,0
Guam,May 18 2021,0
Guam,May 17 2021,0
Guam,May 16 2021,0
Guam,May 15 2021,0
Guam,May 14 2021,0
Guam,May 13 2021,0
Guam,May 12 2021,0
Guam,May 11 2021,0
Guam,May 10 2021,0
Guam,May  9 2021,0
