Data Table for Daily Death Trends - Hawaii
Date generated: Mon Nov 15 2021 12:08:53 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Hawaii,Nov 12 2021,5
Hawaii,Nov 11 2021,3
Hawaii,Nov 10 2021,6
Hawaii,Nov  9 2021,0
Hawaii,Nov  8 2021,0
Hawaii,Nov  7 2021,11
Hawaii,Nov  6 2021,5
Hawaii,Nov  5 2021,12
Hawaii,Nov  4 2021,13
Hawaii,Nov  3 2021,3
Hawaii,Nov  2 2021,0
Hawaii,Nov  1 2021,0
Hawaii,Oct 31 2021,9
Hawaii,Oct 30 2021,9
Hawaii,Oct 29 2021,4
Hawaii,Oct 28 2021,2
Hawaii,Oct 27 2021,1
Hawaii,Oct 26 2021,0
Hawaii,Oct 25 2021,0
Hawaii,Oct 24 2021,3
Hawaii,Oct 23 2021,2
Hawaii,Oct 22 2021,3
Hawaii,Oct 21 2021,4
Hawaii,Oct 20 2021,0
Hawaii,Oct 19 2021,0
Hawaii,Oct 18 2021,4
Hawaii,Oct 17 2021,6
Hawaii,Oct 16 2021,4
Hawaii,Oct 15 2021,5
Hawaii,Oct 14 2021,6
Hawaii,Oct 13 2021,6
Hawaii,Oct 12 2021,0
Hawaii,Oct 11 2021,4
Hawaii,Oct 10 2021,4
Hawaii,Oct  9 2021,4
Hawaii,Oct  8 2021,7
Hawaii,Oct  7 2021,8
Hawaii,Oct  6 2021,7
Hawaii,Oct  5 2021,0
Hawaii,Oct  4 2021,3
Hawaii,Oct  3 2021,7
Hawaii,Oct  2 2021,12
Hawaii,Oct  1 2021,7
Hawaii,Sep 30 2021,12
Hawaii,Sep 29 2021,13
Hawaii,Sep 28 2021,0
Hawaii,Sep 27 2021,0
Hawaii,Sep 26 2021,10
Hawaii,Sep 25 2021,0
Hawaii,Sep 24 2021,9
Hawaii,Sep 23 2021,12
Hawaii,Sep 22 2021,12
Hawaii,Sep 21 2021,0
Hawaii,Sep 20 2021,0
Hawaii,Sep 19 2021,12
Hawaii,Sep 18 2021,8
Hawaii,Sep 17 2021,15
Hawaii,Sep 16 2021,8
Hawaii,Sep 15 2021,11
Hawaii,Sep 14 2021,0
Hawaii,Sep 13 2021,0
Hawaii,Sep 12 2021,7
Hawaii,Sep 11 2021,12
Hawaii,Sep 10 2021,7
Hawaii,Sep  9 2021,7
Hawaii,Sep  8 2021,0
Hawaii,Sep  7 2021,0
Hawaii,Sep  6 2021,2
Hawaii,Sep  5 2021,10
Hawaii,Sep  4 2021,1
Hawaii,Sep  3 2021,7
Hawaii,Sep  2 2021,4
Hawaii,Sep  1 2021,12
Hawaii,Aug 31 2021,0
Hawaii,Aug 30 2021,0
Hawaii,Aug 29 2021,2
Hawaii,Aug 28 2021,5
Hawaii,Aug 27 2021,9
Hawaii,Aug 26 2021,0
Hawaii,Aug 25 2021,8
Hawaii,Aug 24 2021,1
Hawaii,Aug 23 2021,0
Hawaii,Aug 22 2021,1
Hawaii,Aug 21 2021,1
Hawaii,Aug 20 2021,4
Hawaii,Aug 19 2021,4
Hawaii,Aug 18 2021,2
Hawaii,Aug 17 2021,0
Hawaii,Aug 16 2021,0
Hawaii,Aug 15 2021,4
Hawaii,Aug 14 2021,1
Hawaii,Aug 13 2021,1
Hawaii,Aug 12 2021,1
Hawaii,Aug 11 2021,2
Hawaii,Aug 10 2021,0
Hawaii,Aug  9 2021,1
Hawaii,Aug  8 2021,0
Hawaii,Aug  7 2021,2
Hawaii,Aug  6 2021,2
Hawaii,Aug  5 2021,0
Hawaii,Aug  4 2021,0
Hawaii,Aug  3 2021,1
Hawaii,Aug  2 2021,0
Hawaii,Aug  1 2021,0
Hawaii,Jul 31 2021,0
Hawaii,Jul 30 2021,3
Hawaii,Jul 29 2021,2
Hawaii,Jul 28 2021,3
Hawaii,Jul 27 2021,0
Hawaii,Jul 26 2021,0
Hawaii,Jul 25 2021,2
Hawaii,Jul 24 2021,0
Hawaii,Jul 23 2021,0
Hawaii,Jul 22 2021,3
Hawaii,Jul 21 2021,1
Hawaii,Jul 20 2021,0
Hawaii,Jul 19 2021,0
Hawaii,Jul 18 2021,0
Hawaii,Jul 17 2021,0
Hawaii,Jul 16 2021,1
Hawaii,Jul 15 2021,1
Hawaii,Jul 14 2021,0
Hawaii,Jul 13 2021,0
Hawaii,Jul 12 2021,0
Hawaii,Jul 11 2021,0
Hawaii,Jul 10 2021,2
Hawaii,Jul  9 2021,0
Hawaii,Jul  8 2021,1
Hawaii,Jul  7 2021,0
Hawaii,Jul  6 2021,0
Hawaii,Jul  5 2021,0
Hawaii,Jul  4 2021,0
Hawaii,Jul  3 2021,0
Hawaii,Jul  2 2021,0
Hawaii,Jul  1 2021,1
Hawaii,Jun 30 2021,1
Hawaii,Jun 29 2021,0
Hawaii,Jun 28 2021,0
Hawaii,Jun 27 2021,0
Hawaii,Jun 26 2021,2
Hawaii,Jun 25 2021,1
Hawaii,Jun 24 2021,0
Hawaii,Jun 23 2021,0
Hawaii,Jun 22 2021,0
Hawaii,Jun 21 2021,0
Hawaii,Jun 20 2021,2
Hawaii,Jun 19 2021,2
Hawaii,Jun 18 2021,2
Hawaii,Jun 17 2021,0
Hawaii,Jun 16 2021,1
Hawaii,Jun 15 2021,0
Hawaii,Jun 14 2021,0
Hawaii,Jun 13 2021,0
Hawaii,Jun 12 2021,0
Hawaii,Jun 11 2021,1
Hawaii,Jun 10 2021,0
Hawaii,Jun  9 2021,0
Hawaii,Jun  8 2021,0
Hawaii,Jun  7 2021,0
Hawaii,Jun  6 2021,3
Hawaii,Jun  5 2021,1
Hawaii,Jun  4 2021,0
Hawaii,Jun  3 2021,1
Hawaii,Jun  2 2021,0
Hawaii,Jun  1 2021,0
Hawaii,May 31 2021,0
Hawaii,May 30 2021,1
Hawaii,May 29 2021,1
Hawaii,May 28 2021,0
Hawaii,May 27 2021,2
Hawaii,May 26 2021,0
Hawaii,May 25 2021,0
Hawaii,May 24 2021,0
Hawaii,May 23 2021,2
Hawaii,May 22 2021,0
Hawaii,May 21 2021,2
Hawaii,May 20 2021,0
Hawaii,May 19 2021,0
Hawaii,May 18 2021,0
Hawaii,May 17 2021,0
Hawaii,May 16 2021,1
Hawaii,May 15 2021,1
Hawaii,May 14 2021,1
Hawaii,May 13 2021,0
Hawaii,May 12 2021,1
Hawaii,May 11 2021,0
Hawaii,May 10 2021,0
Hawaii,May  9 2021,1
Hawaii,May  8 2021,1
Hawaii,May  7 2021,0
Hawaii,May  6 2021,1
Hawaii,May  5 2021,1
Hawaii,May  4 2021,0
Hawaii,May  3 2021,1
Hawaii,May  2 2021,0
Hawaii,May  1 2021,0
Hawaii,Apr 30 2021,0
Hawaii,Apr 29 2021,1
Hawaii,Apr 28 2021,3
Hawaii,Apr 27 2021,1
Hawaii,Apr 26 2021,0
Hawaii,Apr 25 2021,0
Hawaii,Apr 24 2021,1
Hawaii,Apr 23 2021,1
Hawaii,Apr 22 2021,2
Hawaii,Apr 21 2021,0
Hawaii,Apr 20 2021,0
Hawaii,Apr 19 2021,0
Hawaii,Apr 18 2021,0
Hawaii,Apr 17 2021,0
Hawaii,Apr 16 2021,1
Hawaii,Apr 15 2021,0
Hawaii,Apr 14 2021,2
Hawaii,Apr 13 2021,0
Hawaii,Apr 12 2021,0
Hawaii,Apr 11 2021,0
Hawaii,Apr 10 2021,1
Hawaii,Apr  9 2021,0
Hawaii,Apr  8 2021,3
Hawaii,Apr  7 2021,0
Hawaii,Apr  6 2021,0
Hawaii,Apr  5 2021,0
Hawaii,Apr  4 2021,0
Hawaii,Apr  3 2021,4
Hawaii,Apr  2 2021,0
Hawaii,Apr  1 2021,0
Hawaii,Mar 31 2021,1
Hawaii,Mar 30 2021,0
Hawaii,Mar 29 2021,0
Hawaii,Mar 28 2021,0
Hawaii,Mar 27 2021,3
Hawaii,Mar 26 2021,1
Hawaii,Mar 25 2021,1
Hawaii,Mar 24 2021,3
Hawaii,Mar 23 2021,0
Hawaii,Mar 22 2021,0
Hawaii,Mar 21 2021,1
Hawaii,Mar 20 2021,1
Hawaii,Mar 19 2021,1
Hawaii,Mar 18 2021,0
Hawaii,Mar 17 2021,0
Hawaii,Mar 16 2021,0
Hawaii,Mar 15 2021,0
Hawaii,Mar 14 2021,1
Hawaii,Mar 13 2021,1
Hawaii,Mar 12 2021,1
Hawaii,Mar 11 2021,0
Hawaii,Mar 10 2021,3
Hawaii,Mar  9 2021,0
Hawaii,Mar  8 2021,0
Hawaii,Mar  7 2021,1
Hawaii,Mar  6 2021,1
Hawaii,Mar  5 2021,2
Hawaii,Mar  4 2021,0
Hawaii,Mar  3 2021,2
Hawaii,Mar  2 2021,0
Hawaii,Mar  1 2021,0
Hawaii,Feb 28 2021,0
Hawaii,Feb 27 2021,2
Hawaii,Feb 26 2021,2
Hawaii,Feb 25 2021,0
Hawaii,Feb 24 2021,4
Hawaii,Feb 23 2021,0
Hawaii,Feb 22 2021,0
Hawaii,Feb 21 2021,1
Hawaii,Feb 20 2021,0
Hawaii,Feb 19 2021,2
Hawaii,Feb 18 2021,1
Hawaii,Feb 17 2021,1
Hawaii,Feb 16 2021,0
Hawaii,Feb 15 2021,0
Hawaii,Feb 14 2021,1
Hawaii,Feb 13 2021,0
Hawaii,Feb 12 2021,1
Hawaii,Feb 11 2021,1
Hawaii,Feb 10 2021,5
Hawaii,Feb  9 2021,0
Hawaii,Feb  8 2021,0
Hawaii,Feb  7 2021,2
Hawaii,Feb  6 2021,0
Hawaii,Feb  5 2021,0
Hawaii,Feb  4 2021,2
Hawaii,Feb  3 2021,4
Hawaii,Feb  2 2021,0
Hawaii,Feb  1 2021,0
Hawaii,Jan 31 2021,3
Hawaii,Jan 30 2021,0
Hawaii,Jan 29 2021,1
Hawaii,Jan 28 2021,2
Hawaii,Jan 27 2021,3
Hawaii,Jan 26 2021,59
Hawaii,Jan 25 2021,0
Hawaii,Jan 24 2021,6
Hawaii,Jan 23 2021,4
Hawaii,Jan 22 2021,4
