Data Table for Daily Death Trends - Illinois
Date generated: Mon Nov 15 2021 12:09:08 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Illinois,Nov 12 2021,57
Illinois,Nov 11 2021,0
Illinois,Nov 10 2021,28
Illinois,Nov  9 2021,24
Illinois,Nov  8 2021,45
Illinois,Nov  7 2021,0
Illinois,Nov  6 2021,0
Illinois,Nov  5 2021,29
Illinois,Nov  4 2021,31
Illinois,Nov  3 2021,53
Illinois,Nov  2 2021,24
Illinois,Nov  1 2021,75
Illinois,Oct 31 2021,0
Illinois,Oct 30 2021,0
Illinois,Oct 29 2021,29
Illinois,Oct 28 2021,41
Illinois,Oct 27 2021,33
Illinois,Oct 26 2021,40
Illinois,Oct 25 2021,63
Illinois,Oct 24 2021,0
Illinois,Oct 23 2021,0
Illinois,Oct 22 2021,32
Illinois,Oct 21 2021,38
Illinois,Oct 20 2021,52
Illinois,Oct 19 2021,24
Illinois,Oct 18 2021,25
Illinois,Oct 17 2021,23
Illinois,Oct 16 2021,23
Illinois,Oct 15 2021,45
Illinois,Oct 14 2021,63
Illinois,Oct 13 2021,48
Illinois,Oct 12 2021,19
Illinois,Oct 11 2021,19
Illinois,Oct 10 2021,19
Illinois,Oct  9 2021,19
Illinois,Oct  8 2021,41
Illinois,Oct  7 2021,46
Illinois,Oct  6 2021,67
Illinois,Oct  5 2021,26
Illinois,Oct  4 2021,25
Illinois,Oct  3 2021,23
Illinois,Oct  2 2021,23
Illinois,Oct  1 2021,49
Illinois,Sep 30 2021,46
Illinois,Sep 29 2021,51
Illinois,Sep 28 2021,39
Illinois,Sep 27 2021,31
Illinois,Sep 26 2021,29
Illinois,Sep 25 2021,29
Illinois,Sep 24 2021,42
Illinois,Sep 23 2021,47
Illinois,Sep 22 2021,52
Illinois,Sep 21 2021,24
Illinois,Sep 20 2021,34
Illinois,Sep 19 2021,33
Illinois,Sep 18 2021,33
Illinois,Sep 17 2021,62
Illinois,Sep 16 2021,52
Illinois,Sep 15 2021,53
Illinois,Sep 14 2021,39
Illinois,Sep 13 2021,42
Illinois,Sep 12 2021,41
Illinois,Sep 11 2021,41
Illinois,Sep 10 2021,52
Illinois,Sep  9 2021,24
Illinois,Sep  8 2021,72
Illinois,Sep  7 2021,23
Illinois,Sep  6 2021,20
Illinois,Sep  5 2021,20
Illinois,Sep  4 2021,20
Illinois,Sep  3 2021,42
Illinois,Sep  2 2021,37
Illinois,Sep  1 2021,35
Illinois,Aug 31 2021,28
Illinois,Aug 30 2021,20
Illinois,Aug 29 2021,16
Illinois,Aug 28 2021,16
Illinois,Aug 27 2021,19
Illinois,Aug 26 2021,66
Illinois,Aug 25 2021,44
Illinois,Aug 24 2021,16
Illinois,Aug 23 2021,20
Illinois,Aug 22 2021,16
Illinois,Aug 21 2021,16
Illinois,Aug 20 2021,26
Illinois,Aug 19 2021,15
Illinois,Aug 18 2021,38
Illinois,Aug 17 2021,21
Illinois,Aug 16 2021,11
Illinois,Aug 15 2021,10
Illinois,Aug 14 2021,10
Illinois,Aug 13 2021,17
Illinois,Aug 12 2021,27
Illinois,Aug 11 2021,14
Illinois,Aug 10 2021,11
Illinois,Aug  9 2021,13
Illinois,Aug  8 2021,9
Illinois,Aug  7 2021,9
Illinois,Aug  6 2021,18
Illinois,Aug  5 2021,14
Illinois,Aug  4 2021,20
Illinois,Aug  3 2021,10
Illinois,Aug  2 2021,6
Illinois,Aug  1 2021,4
Illinois,Jul 31 2021,4
Illinois,Jul 30 2021,8
Illinois,Jul 29 2021,15
Illinois,Jul 28 2021,7
Illinois,Jul 27 2021,5
Illinois,Jul 26 2021,6
Illinois,Jul 25 2021,4
Illinois,Jul 24 2021,4
Illinois,Jul 23 2021,7
Illinois,Jul 22 2021,6
Illinois,Jul 21 2021,9
Illinois,Jul 20 2021,4
Illinois,Jul 19 2021,9
Illinois,Jul 18 2021,6
Illinois,Jul 17 2021,6
Illinois,Jul 16 2021,9
Illinois,Jul 15 2021,8
Illinois,Jul 14 2021,10
Illinois,Jul 13 2021,12
Illinois,Jul 12 2021,10
Illinois,Jul 11 2021,8
Illinois,Jul 10 2021,8
Illinois,Jul  9 2021,7
Illinois,Jul  8 2021,15
Illinois,Jul  7 2021,6
Illinois,Jul  6 2021,10
Illinois,Jul  5 2021,7
Illinois,Jul  4 2021,7
Illinois,Jul  3 2021,7
Illinois,Jul  2 2021,9
Illinois,Jul  1 2021,13
Illinois,Jun 30 2021,7
Illinois,Jun 29 2021,2
Illinois,Jun 28 2021,12
Illinois,Jun 27 2021,8
Illinois,Jun 26 2021,8
Illinois,Jun 25 2021,7
Illinois,Jun 24 2021,22
Illinois,Jun 23 2021,8
Illinois,Jun 22 2021,8
Illinois,Jun 21 2021,26
Illinois,Jun 20 2021,0
Illinois,Jun 19 2021,0
Illinois,Jun 18 2021,14
Illinois,Jun 17 2021,21
Illinois,Jun 16 2021,26
Illinois,Jun 15 2021,15
Illinois,Jun 14 2021,9
Illinois,Jun 13 2021,12
Illinois,Jun 12 2021,17
Illinois,Jun 11 2021,22
Illinois,Jun 10 2021,17
Illinois,Jun  9 2021,27
Illinois,Jun  8 2021,14
Illinois,Jun  7 2021,20
Illinois,Jun  6 2021,38
Illinois,Jun  5 2021,32
Illinois,Jun  4 2021,17
Illinois,Jun  3 2021,24
Illinois,Jun  2 2021,8
Illinois,Jun  1 2021,10
Illinois,May 31 2021,38
Illinois,May 30 2021,19
Illinois,May 29 2021,39
Illinois,May 28 2021,26
Illinois,May 27 2021,44
Illinois,May 26 2021,28
Illinois,May 25 2021,18
Illinois,May 24 2021,10
Illinois,May 23 2021,25
Illinois,May 22 2021,41
Illinois,May 21 2021,22
Illinois,May 20 2021,49
Illinois,May 19 2021,34
Illinois,May 18 2021,29
Illinois,May 17 2021,6
Illinois,May 16 2021,25
Illinois,May 15 2021,45
Illinois,May 14 2021,54
Illinois,May 13 2021,31
Illinois,May 12 2021,23
Illinois,May 11 2021,27
Illinois,May 10 2021,13
Illinois,May  9 2021,31
Illinois,May  8 2021,22
Illinois,May  7 2021,41
Illinois,May  6 2021,40
Illinois,May  5 2021,33
Illinois,May  4 2021,21
Illinois,May  3 2021,31
Illinois,May  2 2021,28
Illinois,May  1 2021,39
Illinois,Apr 30 2021,39
Illinois,Apr 29 2021,41
Illinois,Apr 28 2021,37
Illinois,Apr 27 2021,24
Illinois,Apr 26 2021,11
Illinois,Apr 25 2021,25
Illinois,Apr 24 2021,31
Illinois,Apr 23 2021,27
Illinois,Apr 22 2021,38
Illinois,Apr 21 2021,29
Illinois,Apr 20 2021,13
Illinois,Apr 19 2021,21
Illinois,Apr 18 2021,10
Illinois,Apr 17 2021,25
Illinois,Apr 16 2021,24
Illinois,Apr 15 2021,31
Illinois,Apr 14 2021,39
Illinois,Apr 13 2021,17
Illinois,Apr 12 2021,16
Illinois,Apr 11 2021,16
Illinois,Apr 10 2021,15
Illinois,Apr  9 2021,22
Illinois,Apr  8 2021,38
Illinois,Apr  7 2021,29
Illinois,Apr  6 2021,8
Illinois,Apr  5 2021,11
Illinois,Apr  4 2021,19
Illinois,Apr  3 2021,9
Illinois,Apr  2 2021,25
Illinois,Apr  1 2021,22
Illinois,Mar 31 2021,37
Illinois,Mar 30 2021,15
Illinois,Mar 29 2021,6
Illinois,Mar 28 2021,23
Illinois,Mar 27 2021,26
Illinois,Mar 26 2021,30
Illinois,Mar 25 2021,34
Illinois,Mar 24 2021,17
Illinois,Mar 23 2021,12
Illinois,Mar 22 2021,22
Illinois,Mar 21 2021,28
Illinois,Mar 20 2021,25
Illinois,Mar 19 2021,17
Illinois,Mar 18 2021,32
Illinois,Mar 17 2021,20
Illinois,Mar 16 2021,19
Illinois,Mar 15 2021,10
Illinois,Mar 14 2021,18
Illinois,Mar 13 2021,25
Illinois,Mar 12 2021,41
Illinois,Mar 11 2021,55
Illinois,Mar 10 2021,28
Illinois,Mar  9 2021,19
Illinois,Mar  8 2021,6
Illinois,Mar  7 2021,12
Illinois,Mar  6 2021,56
Illinois,Mar  5 2021,44
Illinois,Mar  4 2021,49
Illinois,Mar  3 2021,50
Illinois,Mar  2 2021,44
Illinois,Mar  1 2021,24
Illinois,Feb 28 2021,25
Illinois,Feb 27 2021,35
Illinois,Feb 26 2021,68
Illinois,Feb 25 2021,32
Illinois,Feb 24 2021,47
Illinois,Feb 23 2021,22
Illinois,Feb 22 2021,40
Illinois,Feb 21 2021,40
Illinois,Feb 20 2021,58
Illinois,Feb 19 2021,71
Illinois,Feb 18 2021,73
Illinois,Feb 17 2021,25
Illinois,Feb 16 2021,33
Illinois,Feb 15 2021,45
Illinois,Feb 14 2021,34
Illinois,Feb 13 2021,60
Illinois,Feb 12 2021,42
Illinois,Feb 11 2021,116
Illinois,Feb 10 2021,67
Illinois,Feb  9 2021,23
Illinois,Feb  8 2021,41
Illinois,Feb  7 2021,62
Illinois,Feb  6 2021,73
Illinois,Feb  5 2021,106
Illinois,Feb  4 2021,77
Illinois,Feb  3 2021,84
Illinois,Feb  2 2021,63
Illinois,Feb  1 2021,20
Illinois,Jan 31 2021,40
Illinois,Jan 30 2021,67
Illinois,Jan 29 2021,72
Illinois,Jan 28 2021,125
Illinois,Jan 27 2021,96
Illinois,Jan 26 2021,109
Illinois,Jan 25 2021,64
Illinois,Jan 24 2021,35
Illinois,Jan 23 2021,111
Illinois,Jan 22 2021,111
Illinois,Jan 21 2021,138
Illinois,Jan 20 2021,132
Illinois,Jan 19 2021,35
Illinois,Jan 18 2021,68
Illinois,Jan 17 2021,30
Illinois,Jan 16 2021,147
Illinois,Jan 15 2021,149
Illinois,Jan 14 2021,107
Illinois,Jan 13 2021,120
Illinois,Jan 12 2021,134
Illinois,Jan 11 2021,70
Illinois,Jan 10 2021,83
Illinois,Jan  9 2021,102
Illinois,Jan  8 2021,167
Illinois,Jan  7 2021,206
Illinois,Jan  6 2021,173
Illinois,Jan  5 2021,150
Illinois,Jan  4 2021,90
Illinois,Jan  3 2021,105
Illinois,Jan  2 2021,44
Illinois,Jan  1 2021,195
Illinois,Dec 31 2020,167
Illinois,Dec 30 2020,215
Illinois,Dec 29 2020,126
Illinois,Dec 28 2020,134
Illinois,Dec 27 2020,112
Illinois,Dec 26 2020,70
Illinois,Dec 25 2020,194
Illinois,Dec 24 2020,118
Illinois,Dec 23 2020,171
Illinois,Dec 22 2020,144
Illinois,Dec 21 2020,120
Illinois,Dec 20 2020,81
Illinois,Dec 19 2020,120
Illinois,Dec 18 2020,221
Illinois,Dec 17 2020,208
Illinois,Dec 16 2020,190
Illinois,Dec 15 2020,132
Illinois,Dec 14 2020,116
Illinois,Dec 13 2020,107
Illinois,Dec 12 2020,165
Illinois,Dec 11 2020,222
Illinois,Dec 10 2020,232
Illinois,Dec  9 2020,229
Illinois,Dec  8 2020,168
Illinois,Dec  7 2020,100
Illinois,Dec  6 2020,99
Illinois,Dec  5 2020,235
Illinois,Dec  4 2020,157
Illinois,Dec  3 2020,228
Illinois,Dec  2 2020,266
Illinois,Dec  1 2020,146
Illinois,Nov 30 2020,103
Illinois,Nov 29 2020,44
Illinois,Nov 28 2020,152
Illinois,Nov 27 2020,90
Illinois,Nov 26 2020,156
Illinois,Nov 25 2020,178
Illinois,Nov 24 2020,150
Illinois,Nov 23 2020,61
Illinois,Nov 22 2020,99
Illinois,Nov 21 2020,157
Illinois,Nov 20 2020,147
Illinois,Nov 19 2020,180
Illinois,Nov 18 2020,151
Illinois,Nov 17 2020,113
Illinois,Nov 16 2020,42
Illinois,Nov 15 2020,74
Illinois,Nov 14 2020,197
Illinois,Nov 13 2020,45
Illinois,Nov 12 2020,48
Illinois,Nov 11 2020,153
Illinois,Nov 10 2020,82
Illinois,Nov  9 2020,25
Illinois,Nov  8 2020,50
Illinois,Nov  7 2020,91
Illinois,Nov  6 2020,84
Illinois,Nov  5 2020,97
Illinois,Nov  4 2020,55
Illinois,Nov  3 2020,68
Illinois,Nov  2 2020,18
Illinois,Nov  1 2020,35
Illinois,Oct 31 2020,46
Illinois,Oct 30 2020,49
Illinois,Oct 29 2020,56
Illinois,Oct 28 2020,51
Illinois,Oct 27 2020,46
Illinois,Oct 26 2020,17
Illinois,Oct 25 2020,24
Illinois,Oct 24 2020,63
Illinois,Oct 23 2020,41
Illinois,Oct 22 2020,42
Illinois,Oct 21 2020,68
Illinois,Oct 20 2020,41
Illinois,Oct 19 2020,22
Illinois,Oct 18 2020,22
Illinois,Oct 17 2020,27
Illinois,Oct 16 2020,52
Illinois,Oct 15 2020,53
Illinois,Oct 14 2020,48
Illinois,Oct 13 2020,29
Illinois,Oct 12 2020,13
Illinois,Oct 11 2020,9
Illinois,Oct 10 2020,30
Illinois,Oct  9 2020,32
Illinois,Oct  8 2020,32
Illinois,Oct  7 2020,42
Illinois,Oct  6 2020,31
Illinois,Oct  5 2020,14
Illinois,Oct  4 2020,17
Illinois,Oct  3 2020,31
Illinois,Oct  2 2020,52
Illinois,Oct  1 2020,24
Illinois,Sep 30 2020,35
Illinois,Sep 29 2020,23
Illinois,Sep 28 2020,13
Illinois,Sep 27 2020,13
Illinois,Sep 26 2020,25
Illinois,Sep 25 2020,33
Illinois,Sep 24 2020,30
Illinois,Sep 23 2020,22
Illinois,Sep 22 2020,29
Illinois,Sep 21 2020,7
Illinois,Sep 20 2020,14
Illinois,Sep 19 2020,25
Illinois,Sep 18 2020,23
Illinois,Sep 17 2020,25
Illinois,Sep 16 2020,35
