Data Table for Daily Death Trends - Indiana
Date generated: Mon Nov 15 2021 12:09:14 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Indiana,Nov 12 2021,75
Indiana,Nov 11 2021,18
Indiana,Nov 10 2021,19
Indiana,Nov  9 2021,60
Indiana,Nov  8 2021,18
Indiana,Nov  7 2021,0
Indiana,Nov  6 2021,0
Indiana,Nov  5 2021,39
Indiana,Nov  4 2021,18
Indiana,Nov  3 2021,58
Indiana,Nov  2 2021,46
Indiana,Nov  1 2021,54
Indiana,Oct 31 2021,0
Indiana,Oct 30 2021,0
Indiana,Oct 29 2021,17
Indiana,Oct 28 2021,20
Indiana,Oct 27 2021,0
Indiana,Oct 26 2021,7
Indiana,Oct 25 2021,15
Indiana,Oct 24 2021,16
Indiana,Oct 23 2021,20
Indiana,Oct 22 2021,24
Indiana,Oct 21 2021,20
Indiana,Oct 20 2021,30
Indiana,Oct 19 2021,27
Indiana,Oct 18 2021,24
Indiana,Oct 17 2021,26
Indiana,Oct 16 2021,30
Indiana,Oct 15 2021,27
Indiana,Oct 14 2021,37
Indiana,Oct 13 2021,23
Indiana,Oct 12 2021,38
Indiana,Oct 11 2021,32
Indiana,Oct 10 2021,32
Indiana,Oct  9 2021,28
Indiana,Oct  8 2021,28
Indiana,Oct  7 2021,33
Indiana,Oct  6 2021,36
Indiana,Oct  5 2021,34
Indiana,Oct  4 2021,46
Indiana,Oct  3 2021,52
Indiana,Oct  2 2021,28
Indiana,Oct  1 2021,40
Indiana,Sep 30 2021,37
Indiana,Sep 29 2021,30
Indiana,Sep 28 2021,47
Indiana,Sep 27 2021,43
Indiana,Sep 26 2021,42
Indiana,Sep 25 2021,45
Indiana,Sep 24 2021,51
Indiana,Sep 23 2021,48
Indiana,Sep 22 2021,45
Indiana,Sep 21 2021,41
Indiana,Sep 20 2021,40
Indiana,Sep 19 2021,39
Indiana,Sep 18 2021,34
Indiana,Sep 17 2021,47
Indiana,Sep 16 2021,36
Indiana,Sep 15 2021,52
Indiana,Sep 14 2021,51
Indiana,Sep 13 2021,46
Indiana,Sep 12 2021,43
Indiana,Sep 11 2021,39
Indiana,Sep 10 2021,50
Indiana,Sep  9 2021,42
Indiana,Sep  8 2021,33
Indiana,Sep  7 2021,39
Indiana,Sep  6 2021,44
Indiana,Sep  5 2021,39
Indiana,Sep  4 2021,25
Indiana,Sep  3 2021,32
Indiana,Sep  2 2021,25
Indiana,Sep  1 2021,40
Indiana,Aug 31 2021,25
Indiana,Aug 30 2021,28
Indiana,Aug 29 2021,39
Indiana,Aug 28 2021,26
Indiana,Aug 27 2021,34
Indiana,Aug 26 2021,28
