Data Table for Daily Death Trends - Iowa
Date generated: Mon Nov 15 2021 12:09:21 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Iowa,Nov 12 2021,0
Iowa,Nov 11 2021,0
Iowa,Nov 10 2021,0
Iowa,Nov  9 2021,97
Iowa,Nov  8 2021,0
Iowa,Nov  7 2021,0
Iowa,Nov  6 2021,0
Iowa,Nov  5 2021,0
Iowa,Nov  4 2021,0
Iowa,Nov  3 2021,0
Iowa,Nov  2 2021,104
Iowa,Nov  1 2021,0
Iowa,Oct 31 2021,0
Iowa,Oct 30 2021,0
Iowa,Oct 29 2021,0
Iowa,Oct 28 2021,0
Iowa,Oct 27 2021,117
Iowa,Oct 26 2021,0
Iowa,Oct 25 2021,0
Iowa,Oct 24 2021,0
Iowa,Oct 23 2021,0
Iowa,Oct 22 2021,0
Iowa,Oct 21 2021,0
Iowa,Oct 20 2021,0
Iowa,Oct 19 2021,100
Iowa,Oct 18 2021,0
Iowa,Oct 17 2021,0
Iowa,Oct 16 2021,0
Iowa,Oct 15 2021,0
Iowa,Oct 14 2021,0
Iowa,Oct 13 2021,94
Iowa,Oct 12 2021,0
Iowa,Oct 11 2021,0
Iowa,Oct 10 2021,0
Iowa,Oct  9 2021,0
Iowa,Oct  8 2021,0
Iowa,Oct  7 2021,0
Iowa,Oct  6 2021,3
Iowa,Oct  5 2021,88
Iowa,Oct  4 2021,0
Iowa,Oct  3 2021,0
Iowa,Oct  2 2021,0
Iowa,Oct  1 2021,0
Iowa,Sep 30 2021,0
Iowa,Sep 29 2021,81
Iowa,Sep 28 2021,0
Iowa,Sep 27 2021,0
Iowa,Sep 26 2021,0
Iowa,Sep 25 2021,0
Iowa,Sep 24 2021,0
Iowa,Sep 23 2021,0
Iowa,Sep 22 2021,0
Iowa,Sep 21 2021,82
Iowa,Sep 20 2021,0
Iowa,Sep 19 2021,0
Iowa,Sep 18 2021,0
Iowa,Sep 17 2021,0
Iowa,Sep 16 2021,0
Iowa,Sep 15 2021,0
Iowa,Sep 14 2021,64
Iowa,Sep 13 2021,0
Iowa,Sep 12 2021,0
Iowa,Sep 11 2021,0
Iowa,Sep 10 2021,0
Iowa,Sep  9 2021,0
Iowa,Sep  8 2021,30
Iowa,Sep  7 2021,0
Iowa,Sep  6 2021,0
Iowa,Sep  5 2021,0
Iowa,Sep  4 2021,0
Iowa,Sep  3 2021,0
Iowa,Sep  2 2021,0
Iowa,Sep  1 2021,39
Iowa,Aug 31 2021,0
Iowa,Aug 30 2021,0
Iowa,Aug 29 2021,0
Iowa,Aug 28 2021,0
Iowa,Aug 27 2021,0
Iowa,Aug 26 2021,0
Iowa,Aug 25 2021,42
Iowa,Aug 24 2021,0
Iowa,Aug 23 2021,0
Iowa,Aug 22 2021,0
Iowa,Aug 21 2021,0
Iowa,Aug 20 2021,0
Iowa,Aug 19 2021,0
Iowa,Aug 18 2021,16
Iowa,Aug 17 2021,0
Iowa,Aug 16 2021,0
Iowa,Aug 15 2021,0
Iowa,Aug 14 2021,0
Iowa,Aug 13 2021,0
Iowa,Aug 12 2021,0
Iowa,Aug 11 2021,17
Iowa,Aug 10 2021,0
Iowa,Aug  9 2021,0
Iowa,Aug  8 2021,0
Iowa,Aug  7 2021,0
Iowa,Aug  6 2021,0
Iowa,Aug  5 2021,0
Iowa,Aug  4 2021,10
Iowa,Aug  3 2021,0
Iowa,Aug  2 2021,0
Iowa,Aug  1 2021,0
Iowa,Jul 31 2021,0
Iowa,Jul 30 2021,0
Iowa,Jul 29 2021,0
Iowa,Jul 28 2021,13
Iowa,Jul 27 2021,0
Iowa,Jul 26 2021,0
Iowa,Jul 25 2021,0
Iowa,Jul 24 2021,0
Iowa,Jul 23 2021,0
Iowa,Jul 22 2021,0
Iowa,Jul 21 2021,12
Iowa,Jul 20 2021,0
Iowa,Jul 19 2021,0
Iowa,Jul 18 2021,0
Iowa,Jul 17 2021,0
Iowa,Jul 16 2021,0
Iowa,Jul 15 2021,0
Iowa,Jul 14 2021,9
Iowa,Jul 13 2021,0
Iowa,Jul 12 2021,0
Iowa,Jul 11 2021,0
Iowa,Jul 10 2021,0
Iowa,Jul  9 2021,0
Iowa,Jul  8 2021,0
Iowa,Jul  7 2021,1
Iowa,Jul  6 2021,2
Iowa,Jul  5 2021,0
Iowa,Jul  4 2021,0
Iowa,Jul  3 2021,4
Iowa,Jul  2 2021,2
Iowa,Jul  1 2021,2
Iowa,Jun 30 2021,4
Iowa,Jun 29 2021,1
Iowa,Jun 28 2021,0
Iowa,Jun 27 2021,2
Iowa,Jun 26 2021,6
Iowa,Jun 25 2021,1
Iowa,Jun 24 2021,4
Iowa,Jun 23 2021,3
Iowa,Jun 22 2021,3
Iowa,Jun 21 2021,0
Iowa,Jun 20 2021,3
Iowa,Jun 19 2021,1
Iowa,Jun 18 2021,1
Iowa,Jun 17 2021,0
Iowa,Jun 16 2021,6
Iowa,Jun 15 2021,1
Iowa,Jun 14 2021,0
Iowa,Jun 13 2021,3
Iowa,Jun 12 2021,2
Iowa,Jun 11 2021,2
Iowa,Jun 10 2021,11
Iowa,Jun  9 2021,6
Iowa,Jun  8 2021,5
Iowa,Jun  7 2021,1
Iowa,Jun  6 2021,4
Iowa,Jun  5 2021,1
Iowa,Jun  4 2021,2
Iowa,Jun  3 2021,4
Iowa,Jun  2 2021,4
Iowa,Jun  1 2021,2
Iowa,May 31 2021,0
Iowa,May 30 2021,0
Iowa,May 29 2021,2
Iowa,May 28 2021,6
Iowa,May 27 2021,3
Iowa,May 26 2021,5
Iowa,May 25 2021,4
Iowa,May 24 2021,0
Iowa,May 23 2021,0
Iowa,May 22 2021,0
Iowa,May 21 2021,10
Iowa,May 20 2021,7
Iowa,May 19 2021,5
Iowa,May 18 2021,7
Iowa,May 17 2021,0
Iowa,May 16 2021,6
Iowa,May 15 2021,2
Iowa,May 14 2021,1
Iowa,May 13 2021,3
Iowa,May 12 2021,5
Iowa,May 11 2021,4
Iowa,May 10 2021,0
Iowa,May  9 2021,1
Iowa,May  8 2021,1
Iowa,May  7 2021,3
Iowa,May  6 2021,18
Iowa,May  5 2021,2
Iowa,May  4 2021,1
Iowa,May  3 2021,0
Iowa,May  2 2021,7
Iowa,May  1 2021,2
Iowa,Apr 30 2021,19
Iowa,Apr 29 2021,0
Iowa,Apr 28 2021,1
Iowa,Apr 27 2021,3
Iowa,Apr 26 2021,0
Iowa,Apr 25 2021,0
Iowa,Apr 24 2021,20
Iowa,Apr 23 2021,3
Iowa,Apr 22 2021,5
Iowa,Apr 21 2021,6
Iowa,Apr 20 2021,7
Iowa,Apr 19 2021,5
Iowa,Apr 18 2021,0
Iowa,Apr 17 2021,3
Iowa,Apr 16 2021,8
Iowa,Apr 15 2021,13
Iowa,Apr 14 2021,0
Iowa,Apr 13 2021,0
Iowa,Apr 12 2021,0
Iowa,Apr 11 2021,0
Iowa,Apr 10 2021,8
Iowa,Apr  9 2021,6
Iowa,Apr  8 2021,7
Iowa,Apr  7 2021,1
Iowa,Apr  6 2021,13
Iowa,Apr  5 2021,0
Iowa,Apr  4 2021,0
Iowa,Apr  3 2021,68
Iowa,Apr  2 2021,3
Iowa,Apr  1 2021,8
Iowa,Mar 31 2021,14
Iowa,Mar 30 2021,0
Iowa,Mar 29 2021,4
Iowa,Mar 28 2021,7
Iowa,Mar 27 2021,2
Iowa,Mar 26 2021,8
Iowa,Mar 25 2021,19
Iowa,Mar 24 2021,6
Iowa,Mar 23 2021,8
Iowa,Mar 22 2021,0
Iowa,Mar 21 2021,1
Iowa,Mar 20 2021,2
Iowa,Mar 19 2021,0
Iowa,Mar 18 2021,6
Iowa,Mar 17 2021,9
Iowa,Mar 16 2021,15
Iowa,Mar 15 2021,1
Iowa,Mar 14 2021,8
Iowa,Mar 13 2021,3
Iowa,Mar 12 2021,9
Iowa,Mar 11 2021,20
Iowa,Mar 10 2021,27
Iowa,Mar  9 2021,15
Iowa,Mar  8 2021,1
Iowa,Mar  7 2021,6
Iowa,Mar  6 2021,3
Iowa,Mar  5 2021,13
Iowa,Mar  4 2021,35
Iowa,Mar  3 2021,3
Iowa,Mar  2 2021,26
Iowa,Mar  1 2021,1
Iowa,Feb 28 2021,1
Iowa,Feb 27 2021,7
Iowa,Feb 26 2021,25
Iowa,Feb 25 2021,23
Iowa,Feb 24 2021,15
Iowa,Feb 23 2021,26
Iowa,Feb 22 2021,38
