Data Table for Daily Death Trends - Kansas
Date generated: Mon Nov 15 2021 12:09:30 GMT-0500 (Eastern Standard Time)
State,Date,New Deaths
Kansas,Nov 12 2021,5
Kansas,Nov 11 2021,0
Kansas,Nov 10 2021,79
Kansas,Nov  9 2021,0
Kansas,Nov  8 2021,39
Kansas,Nov  7 2021,0
Kansas,Nov  6 2021,0
Kansas,Nov  5 2021,47
Kansas,Nov  4 2021,0
Kansas,Nov  3 2021,26
Kansas,Nov  2 2021,0
Kansas,Nov  1 2021,7
Kansas,Oct 31 2021,0
Kansas,Oct 30 2021,0
Kansas,Oct 29 2021,70
Kansas,Oct 28 2021,0
Kansas,Oct 27 2021,103
Kansas,Oct 26 2021,0
Kansas,Oct 25 2021,31
Kansas,Oct 24 2021,0
Kansas,Oct 23 2021,0
Kansas,Oct 22 2021,26
Kansas,Oct 21 2021,0
Kansas,Oct 20 2021,15
Kansas,Oct 19 2021,0
Kansas,Oct 18 2021,3
Kansas,Oct 17 2021,1
Kansas,Oct 16 2021,1
Kansas,Oct 15 2021,14
Kansas,Oct 14 2021,0
Kansas,Oct 13 2021,9
Kansas,Oct 12 2021,0
Kansas,Oct 11 2021,7
Kansas,Oct 10 2021,4
Kansas,Oct  9 2021,4
Kansas,Oct  8 2021,21
Kansas,Oct  7 2021,0
Kansas,Oct  6 2021,35
Kansas,Oct  5 2021,0
Kansas,Oct  4 2021,1
Kansas,Oct  3 2021,1
Kansas,Oct  2 2021,1
Kansas,Oct  1 2021,17
Kansas,Sep 30 2021,0
Kansas,Sep 29 2021,27
Kansas,Sep 28 2021,0
Kansas,Sep 27 2021,15
Kansas,Sep 26 2021,14
Kansas,Sep 25 2021,14
Kansas,Sep 24 2021,62
Kansas,Sep 23 2021,0
Kansas,Sep 22 2021,3
Kansas,Sep 21 2021,0
Kansas,Sep 20 2021,19
Kansas,Sep 19 2021,16
Kansas,Sep 18 2021,16
Kansas,Sep 17 2021,64
Kansas,Sep 16 2021,0
Kansas,Sep 15 2021,28
Kansas,Sep 14 2021,0
Kansas,Sep 13 2021,3
Kansas,Sep 12 2021,2
Kansas,Sep 11 2021,2
Kansas,Sep 10 2021,73
Kansas,Sep  9 2021,0
Kansas,Sep  8 2021,15
Kansas,Sep  7 2021,12
Kansas,Sep  6 2021,12
Kansas,Sep  5 2021,12
Kansas,Sep  4 2021,12
Kansas,Sep  3 2021,49
Kansas,Sep  2 2021,0
Kansas,Sep  1 2021,24
Kansas,Aug 31 2021,0
Kansas,Aug 30 2021,4
Kansas,Aug 29 2021,3
Kansas,Aug 28 2021,3
Kansas,Aug 27 2021,12
Kansas,Aug 26 2021,0
Kansas,Aug 25 2021,37
Kansas,Aug 24 2021,0
Kansas,Aug 23 2021,4
Kansas,Aug 22 2021,0
Kansas,Aug 21 2021,0
Kansas,Aug 20 2021,38
Kansas,Aug 19 2021,0
Kansas,Aug 18 2021,62
Kansas,Aug 17 2021,0
Kansas,Aug 16 2021,3
Kansas,Aug 15 2021,3
Kansas,Aug 14 2021,3
Kansas,Aug 13 2021,28
Kansas,Aug 12 2021,0
Kansas,Aug 11 2021,35
Kansas,Aug 10 2021,0
Kansas,Aug  9 2021,9
Kansas,Aug  8 2021,7
Kansas,Aug  7 2021,7
Kansas,Aug  6 2021,13
Kansas,Aug  5 2021,0
Kansas,Aug  4 2021,20
Kansas,Aug  3 2021,0
Kansas,Aug  2 2021,5
Kansas,Aug  1 2021,3
Kansas,Jul 31 2021,3
Kansas,Jul 30 2021,8
Kansas,Jul 29 2021,0
Kansas,Jul 28 2021,4
Kansas,Jul 27 2021,0
Kansas,Jul 26 2021,2
Kansas,Jul 25 2021,1
Kansas,Jul 24 2021,1
Kansas,Jul 23 2021,21
Kansas,Jul 22 2021,0
Kansas,Jul 21 2021,20
Kansas,Jul 20 2021,0
Kansas,Jul 19 2021,1
Kansas,Jul 18 2021,0
Kansas,Jul 17 2021,0
Kansas,Jul 16 2021,1
Kansas,Jul 15 2021,0
Kansas,Jul 14 2021,8
Kansas,Jul 13 2021,0
Kansas,Jul 12 2021,6
Kansas,Jul 11 2021,3
Kansas,Jul 10 2021,3
Kansas,Jul  9 2021,5
Kansas,Jul  8 2021,5
Kansas,Jul  7 2021,3
Kansas,Jul  6 2021,1
Kansas,Jul  5 2021,1
Kansas,Jul  4 2021,1
Kansas,Jul  3 2021,1
Kansas,Jul  2 2021,3
Kansas,Jul  1 2021,0
Kansas,Jun 30 2021,6
Kansas,Jun 29 2021,0
Kansas,Jun 28 2021,3
Kansas,Jun 27 2021,0
Kansas,Jun 26 2021,0
Kansas,Jun 25 2021,8
Kansas,Jun 24 2021,0
Kansas,Jun 23 2021,10
Kansas,Jun 22 2021,0
Kansas,Jun 21 2021,0
Kansas,Jun 20 2021,0
Kansas,Jun 19 2021,0
Kansas,Jun 18 2021,1
Kansas,Jun 17 2021,0
Kansas,Jun 16 2021,3
Kansas,Jun 15 2021,0
Kansas,Jun 14 2021,19
Kansas,Jun 13 2021,0
Kansas,Jun 12 2021,0
Kansas,Jun 11 2021,3
Kansas,Jun 10 2021,0
Kansas,Jun  9 2021,3
Kansas,Jun  8 2021,0
Kansas,Jun  7 2021,16
Kansas,Jun  6 2021,0
Kansas,Jun  5 2021,0
Kansas,Jun  4 2021,4
Kansas,Jun  3 2021,0
Kansas,Jun  2 2021,4
Kansas,Jun  1 2021,0
Kansas,May 31 2021,0
Kansas,May 30 2021,0
Kansas,May 29 2021,0
Kansas,May 28 2021,9
Kansas,May 27 2021,0
Kansas,May 26 2021,9
Kansas,May 25 2021,0
Kansas,May 24 2021,1
Kansas,May 23 2021,0
Kansas,May 22 2021,0
Kansas,May 21 2021,4
Kansas,May 20 2021,0
Kansas,May 19 2021,13
Kansas,May 18 2021,0
Kansas,May 17 2021,2
Kansas,May 16 2021,0
Kansas,May 15 2021,0
Kansas,May 14 2021,9
Kansas,May 13 2021,0
Kansas,May 12 2021,13
Kansas,May 11 2021,0
Kansas,May 10 2021,0
Kansas,May  9 2021,0
Kansas,May  8 2021,0
Kansas,May  7 2021,17
Kansas,May  6 2021,0
Kansas,May  5 2021,14
Kansas,May  4 2021,0
Kansas,May  3 2021,3
Kansas,May  2 2021,0
Kansas,May  1 2021,0
Kansas,Apr 30 2021,4
Kansas,Apr 29 2021,0
Kansas,Apr 28 2021,8
Kansas,Apr 27 2021,0
Kansas,Apr 26 2021,2
Kansas,Apr 25 2021,0
Kansas,Apr 24 2021,0
Kansas,Apr 23 2021,7
Kansas,Apr 22 2021,0
Kansas,Apr 21 2021,6
Kansas,Apr 20 2021,0
Kansas,Apr 19 2021,2
Kansas,Apr 18 2021,0
Kansas,Apr 17 2021,0
Kansas,Apr 16 2021,9
Kansas,Apr 15 2021,0
Kansas,Apr 14 2021,14
Kansas,Apr 13 2021,0
Kansas,Apr 12 2021,0
Kansas,Apr 11 2021,0
Kansas,Apr 10 2021,0
Kansas,Apr  9 2021,6
Kansas,Apr  8 2021,0
Kansas,Apr  7 2021,5
Kansas,Apr  6 2021,0
Kansas,Apr  5 2021,0
Kansas,Apr  4 2021,0
Kansas,Apr  3 2021,0
Kansas,Apr  2 2021,19
Kansas,Apr  1 2021,0
Kansas,Mar 31 2021,11
Kansas,Mar 30 2021,0
Kansas,Mar 29 2021,11
Kansas,Mar 28 2021,0
Kansas,Mar 27 2021,0
Kansas,Mar 26 2021,10
Kansas,Mar 25 2021,0
Kansas,Mar 24 2021,31
Kansas,Mar 23 2021,0
Kansas,Mar 22 2021,8
Kansas,Mar 21 2021,0
Kansas,Mar 20 2021,0
Kansas,Mar 19 2021,5
Kansas,Mar 18 2021,0
Kansas,Mar 17 2021,2
Kansas,Mar 16 2021,0
Kansas,Mar 15 2021,11
Kansas,Mar 14 2021,0
Kansas,Mar 13 2021,0
Kansas,Mar 12 2021,0
Kansas,Mar 11 2021,0
Kansas,Mar 10 2021,35
Kansas,Mar  9 2021,0
Kansas,Mar  8 2021,4
Kansas,Mar  7 2021,0
Kansas,Mar  6 2021,0
Kansas,Mar  5 2021,0
Kansas,Mar  4 2021,0
Kansas,Mar  3 2021,72
Kansas,Mar  2 2021,0
Kansas,Mar  1 2021,9
Kansas,Feb 28 2021,0
Kansas,Feb 27 2021,0
Kansas,Feb 26 2021,11
Kansas,Feb 25 2021,0
Kansas,Feb 24 2021,81
Kansas,Feb 23 2021,0
Kansas,Feb 22 2021,29
Kansas,Feb 21 2021,0
Kansas,Feb 20 2021,0
Kansas,Feb 19 2021,93
Kansas,Feb 18 2021,0
Kansas,Feb 17 2021,115
Kansas,Feb 16 2021,0
Kansas,Feb 15 2021,42
Kansas,Feb 14 2021,0
Kansas,Feb 13 2021,0
Kansas,Feb 12 2021,61
Kansas,Feb 11 2021,0
Kansas,Feb 10 2021,106
Kansas,Feb  9 2021,0
Kansas,Feb  8 2021,96
Kansas,Feb  7 2021,0
Kansas,Feb  6 2021,0
Kansas,Feb  5 2021,206
Kansas,Feb  4 2021,0
Kansas,Feb  3 2021,86
Kansas,Feb  2 2021,0
Kansas,Feb  1 2021,30
Kansas,Jan 31 2021,0
Kansas,Jan 30 2021,0
Kansas,Jan 29 2021,61
Kansas,Jan 28 2021,0
Kansas,Jan 27 2021,96
Kansas,Jan 26 2021,0
Kansas,Jan 25 2021,24
Kansas,Jan 24 2021,0
Kansas,Jan 23 2021,0
Kansas,Jan 22 2021,23
Kansas,Jan 21 2021,0
Kansas,Jan 20 2021,50
Kansas,Jan 19 2021,0
Kansas,Jan 18 2021,23
Kansas,Jan 17 2021,0
Kansas,Jan 16 2021,0
Kansas,Jan 15 2021,147
Kansas,Jan 14 2021,0
Kansas,Jan 13 2021,100
Kansas,Jan 12 2021,0
Kansas,Jan 11 2021,107
Kansas,Jan 10 2021,0
Kansas,Jan  9 2021,0
Kansas,Jan  8 2021,121
Kansas,Jan  7 2021,0
Kansas,Jan  6 2021,130
Kansas,Jan  5 2021,0
Kansas,Jan  4 2021,18
Kansas,Jan  3 2021,0
Kansas,Jan  2 2021,0
Kansas,Jan  1 2021,138
Kansas,Dec 31 2020,0
Kansas,Dec 30 2020,193
Kansas,Dec 29 2020,0
Kansas,Dec 28 2020,41
Kansas,Dec 27 2020,0
Kansas,Dec 26 2020,0
Kansas,Dec 25 2020,0
Kansas,Dec 24 2020,0
Kansas,Dec 23 2020,59
Kansas,Dec 22 2020,0
Kansas,Dec 21 2020,107
Kansas,Dec 20 2020,0
Kansas,Dec 19 2020,0
Kansas,Dec 18 2020,88
Kansas,Dec 17 2020,0
Kansas,Dec 16 2020,144
Kansas,Dec 15 2020,0
Kansas,Dec 14 2020,37
Kansas,Dec 13 2020,0
Kansas,Dec 12 2020,0
Kansas,Dec 11 2020,131
Kansas,Dec 10 2020,0
Kansas,Dec  9 2020,85
Kansas,Dec  8 2020,0
Kansas,Dec  7 2020,70
Kansas,Dec  6 2020,0
Kansas,Dec  5 2020,0
Kansas,Dec  4 2020,107
Kansas,Dec  3 2020,0
Kansas,Dec  2 2020,119
Kansas,Dec  1 2020,0
Kansas,Nov 30 2020,31
Kansas,Nov 29 2020,0
Kansas,Nov 28 2020,0
Kansas,Nov 27 2020,26
Kansas,Nov 26 2020,0
Kansas,Nov 25 2020,47
Kansas,Nov 24 2020,0
Kansas,Nov 23 2020,46
Kansas,Nov 22 2020,0
Kansas,Nov 21 2020,0
Kansas,Nov 20 2020,84
Kansas,Nov 19 2020,0
Kansas,Nov 18 2020,60
Kansas,Nov 17 2020,0
Kansas,Nov 16 2020,7
Kansas,Nov 15 2020,0
Kansas,Nov 14 2020,0
Kansas,Nov 13 2020,44
Kansas,Nov 12 2020,0
Kansas,Nov 11 2020,34
Kansas,Nov 10 2020,0
Kansas,Nov  9 2020,15
Kansas,Nov  8 2020,0
Kansas,Nov  7 2020,0
Kansas,Nov  6 2020,79
Kansas,Nov  5 2020,0
Kansas,Nov  4 2020,41
Kansas,Nov  3 2020,0
Kansas,Nov  2 2020,17
Kansas,Nov  1 2020,0
Kansas,Oct 31 2020,0
Kansas,Oct 30 2020,22
Kansas,Oct 29 2020,0
Kansas,Oct 28 2020,31
Kansas,Oct 27 2020,0
Kansas,Oct 26 2020,1
Kansas,Oct 25 2020,0
Kansas,Oct 24 2020,0
Kansas,Oct 23 2020,23
Kansas,Oct 22 2020,0
Kansas,Oct 21 2020,80
Kansas,Oct 20 2020,0
Kansas,Oct 19 2020,13
Kansas,Oct 18 2020,0
Kansas,Oct 17 2020,0
Kansas,Oct 16 2020,21
Kansas,Oct 15 2020,0
Kansas,Oct 14 2020,67
Kansas,Oct 13 2020,0
Kansas,Oct 12 2020,8
Kansas,Oct 11 2020,0
Kansas,Oct 10 2020,0
Kansas,Oct  9 2020,40
Kansas,Oct  8 2020,0
Kansas,Oct  7 2020,17
Kansas,Oct  6 2020,0
Kansas,Oct  5 2020,8
Kansas,Oct  4 2020,0
Kansas,Oct  3 2020,0
Kansas,Oct  2 2020,20
Kansas,Oct  1 2020,0
Kansas,Sep 30 2020,41
Kansas,Sep 29 2020,0
Kansas,Sep 28 2020,5
Kansas,Sep 27 2020,0
Kansas,Sep 26 2020,0
Kansas,Sep 25 2020,11
Kansas,Sep 24 2020,0
Kansas,Sep 23 2020,21
Kansas,Sep 22 2020,0
Kansas,Sep 21 2020,4
Kansas,Sep 20 2020,0
Kansas,Sep 19 2020,0
Kansas,Sep 18 2020,10
Kansas,Sep 17 2020,0
Kansas,Sep 16 2020,52
Kansas,Sep 15 2020,0
Kansas,Sep 14 2020,23
Kansas,Sep 13 2020,0
Kansas,Sep 12 2020,0
Kansas,Sep 11 2020,16
Kansas,Sep 10 2020,0
Kansas,Sep  9 2020,10
Kansas,Sep  8 2020,0
Kansas,Sep  7 2020,4
Kansas,Sep  6 2020,0
Kansas,Sep  5 2020,0
Kansas,Sep  4 2020,23
Kansas,Sep  3 2020,0
Kansas,Sep  2 2020,12
Kansas,Sep  1 2020,0
Kansas,Aug 31 2020,3
Kansas,Aug 30 2020,0
Kansas,Aug 29 2020,0
Kansas,Aug 28 2020,6
Kansas,Aug 27 2020,11
Kansas,Aug 26 2020,0
Kansas,Aug 25 2020,0
Kansas,Aug 24 2020,7
Kansas,Aug 23 2020,0
Kansas,Aug 22 2020,0
Kansas,Aug 21 2020,8
Kansas,Aug 20 2020,0
Kansas,Aug 19 2020,6
Kansas,Aug 18 2020,0
Kansas,Aug 17 2020,3
Kansas,Aug 16 2020,0
Kansas,Aug 15 2020,0
Kansas,Aug 14 2020,7
Kansas,Aug 13 2020,0
Kansas,Aug 12 2020,8
Kansas,Aug 11 2020,0
Kansas,Aug 10 2020,7
Kansas,Aug  9 2020,0
Kansas,Aug  8 2020,0
Kansas,Aug  7 2020,12
Kansas,Aug  6 2020,0
Kansas,Aug  5 2020,3
Kansas,Aug  4 2020,0
Kansas,Aug  3 2020,7
Kansas,Aug  2 2020,0
Kansas,Aug  1 2020,0
Kansas,Jul 31 2020,9
Kansas,Jul 30 2020,0
Kansas,Jul 29 2020,14
Kansas,Jul 28 2020,0
Kansas,Jul 27 2020,9
Kansas,Jul 26 2020,0
Kansas,Jul 25 2020,0
Kansas,Jul 24 2020,18
Kansas,Jul 23 2020,0
Kansas,Jul 22 2020,1
Kansas,Jul 21 2020,0
Kansas,Jul 20 2020,8
Kansas,Jul 19 2020,0
Kansas,Jul 18 2020,0
Kansas,Jul 17 2020,0
Kansas,Jul 16 2020,0
Kansas,Jul 15 2020,11
Kansas,Jul 14 2020,0
Kansas,Jul 13 2020,4
Kansas,Jul 12 2020,0
Kansas,Jul 11 2020,0
Kansas,Jul 10 2020,2
Kansas,Jul  9 2020,0
Kansas,Jul  8 2020,2
Kansas,Jul  7 2020,0
Kansas,Jul  6 2020,3
Kansas,Jul  5 2020,0
Kansas,Jul  4 2020,0
Kansas,Jul  3 2020,5
Kansas,Jul  2 2020,0
Kansas,Jul  1 2020,2
Kansas,Jun 30 2020,0
Kansas,Jun 29 2020,6
Kansas,Jun 28 2020,0
Kansas,Jun 27 2020,0
Kansas,Jun 26 2020,3
Kansas,Jun 25 2020,0
Kansas,Jun 24 2020,2
Kansas,Jun 23 2020,0
Kansas,Jun 22 2020,5
Kansas,Jun 21 2020,0
Kansas,Jun 20 2020,0
Kansas,Jun 19 2020,7
Kansas,Jun 18 2020,0
Kansas,Jun 17 2020,2
Kansas,Jun 16 2020,0
Kansas,Jun 15 2020,2
Kansas,Jun 14 2020,0
Kansas,Jun 13 2020,0
Kansas,Jun 12 2020,3
Kansas,Jun 11 2020,0
Kansas,Jun 10 2020,4
Kansas,Jun  9 2020,0
Kansas,Jun  8 2020,4
Kansas,Jun  7 2020,0
Kansas,Jun  6 2020,0
Kansas,Jun  5 2020,10
Kansas,Jun  4 2020,0
Kansas,Jun  3 2020,5
Kansas,Jun  2 2020,0
Kansas,Jun  1 2020,9
Kansas,May 31 2020,0
Kansas,May 30 2020,0
Kansas,May 29 2020,3
Kansas,May 28 2020,0
Kansas,May 27 2020,17
Kansas,May 26 2020,0
Kansas,May 25 2020,3
Kansas,May 24 2020,0
Kansas,May 23 2020,0
Kansas,May 22 2020,7
Kansas,May 21 2020,0
Kansas,May 20 2020,5
Kansas,May 19 2020,0
Kansas,May 18 2020,1
Kansas,May 17 2020,0
Kansas,May 16 2020,0
Kansas,May 15 2020,8
Kansas,May 14 2020,0
Kansas,May 13 2020,6
Kansas,May 12 2020,0
Kansas,May 11 2020,1
Kansas,May 10 2020,0
Kansas,May  9 2020,5
Kansas,May  8 2020,5
Kansas,May  7 2020,3
Kansas,May  6 2020,7
Kansas,May  5 2020,1
Kansas,May  4 2020,2
